# Generated by models/ecoli/analysis/cohort/kcat_estimates_v2_to_tsv.py from kcat_estimates_v2_with_estimators_summary.csv (source: 20260302.164308__wildtype_minimal_media) on 2026-05-21 18:58:57. Column: kcat_gap_estimate. 389 reaction-catalyst pairs with finite positive estimates (skipped 76 blank/NaN).
"reaction_id"	"catalyst_id"	"kcat_estimate"
"RXN-9657 (reverse)"	"CPLX0-8006[c]"	1909.56
"3-OCTAPRENYL-4-OHBENZOATE-DECARBOX-RXN"	"CPLX0-301[c]"	1903.72
"RXN-9514 (reverse)"	"CPLX0-8005[c]"	5590.07
"L-ASPARTATE-OXID-RXN"	"L-ASPARTATE-OXID-MONOMER[c]"	252.288
"4.2.1.58-RXN"	"FABA-CPLX[c]"	2075.5
"RXN-11484"	"7KAPSYN-CPLX[c]"	204.999
"N-ACETYLTRANSFER-RXN"	"N-ACETYLTRANSFER-CPLX[c]"	196112.0
"METHENYLTHFCYCLOHYDRO-RXN-5-10-METHENYL-THF/WATER//10-FORMYL-THF/PROTON.46. (reverse)"	"FOLD-CPLX[c]"	63356.8
"METHYLENETHFDEHYDROG-NADP-RXN-METHYLENE-THF/NADP//5-10-METHENYL-THF/NADPH.44. (reverse)"	"FOLD-CPLX[c]"	63356.8
"IMP-DEHYDROG-RXN"	"IMP-DEHYDROG-CPLX[c]"	2010.58
"HOMSUCTRAN-RXN"	"HOMSUCTRAN-CPLX[c]"	600.492
"RXN-9772"	"L-ASPARTATE-OXID-MONOMER[c]"	15421.9
"P-PANTOCYSDECARB-RXN"	"CPLX0-341[c]"	478083.0
"P-PANTOCYSLIG-RXN"	"CPLX0-341[c]"	478083.0
"AICARSYN-RXN"	"CPLX0-7959[c]"	24195.5
"AMPSYN-RXN"	"CPLX0-7959[c]"	24046.0
"PABASYN-RXN"	"PABASYN-CPLX[c]"	16.4185
"RXN-22713"	"PABASYN-CPLX[c]"	11458.9
"QUINOLINATE-SYNTHA-RXN"	"CPLX0-7719[c]"	3135.0
"KDO-8PSYNTH-RXN"	"KDO-8PSYNTH-CPLX[c]"	4993.43
"SAICARSYN-RXN"	"SAICARSYN-CPLX[c]"	6584.86
"PEPCARBOX-RXN (reverse)"	"PEPCARBOX-CPLX[c]"	206354.0
"GLUTRACE-RXN"	"GLUTRACE-MONOMER[c]"	1525030.0
"GLUTRACE-RXN (reverse)"	"GLUTRACE-MONOMER[c]"	296.48
"METHIONYL-TRNA-FORMYLTRANSFERASE-RXN-10-FORMYL-THF/L-methionyl-tRNAfmet//THF/N-formyl-L-methionyl-tRNAfmet/PROTON.77."	"EG11268-MONOMER[c]"	0.00105734
"RXN0-7422-CPD-14932/L-methionyl-tRNAfmet//DIHYDROFOLATE/N-formyl-L-methionyl-tRNAfmet/PROTON.83."	"EG11268-MONOMER[c]"	4.09138e-14
"GLYOHMETRANS-RXN-SER/CPD-1301//GLY/CPD-12996/WATER.34. (reverse)"	"GLYOHMETRANS-CPLX[c]"	1570.34
"GLYOHMETRANS-RXN-SER/THF//GLY/METHYLENE-THF/WATER.33."	"GLYOHMETRANS-CPLX[c]"	157.915
"GLYOHMETRANS-RXN-SER/THF//GLY/METHYLENE-THF/WATER.33. (reverse)"	"GLYOHMETRANS-CPLX[c]"	3301.61
"RXN0-5240"	"GLYOHMETRANS-CPLX[c]"	0.00418415
"RXN0-5240 (reverse)"	"GLYOHMETRANS-CPLX[c]"	0.497157
"GAPOXNPHOSPHN-RXN"	"GAPDH-A-CPLX[c]"	80581.2
"GAPOXNPHOSPHN-RXN (reverse)"	"GAPDH-A-CPLX[c]"	365.364
"CDPDIGLYSYN-RXN-CTP/CPD-18350/PROTON//CPD-18358/PPI.36."	"CDPDIGLYSYN-MONOMER[i]"	5.96965e-12
"CDPDIGLYSYN-RXN-CTP/CPD-18351/PROTON//CPD-18357/PPI.36."	"CDPDIGLYSYN-MONOMER[i]"	1.01679e-11
"CDPDIGLYSYN-RXN-CTP/CPD-18352/PROTON//CPD-18356/PPI.36."	"CDPDIGLYSYN-MONOMER[i]"	2.04308e-11
"CDPDIGLYSYN-RXN-CTP/CPD-18353/PROTON//CPD-18355/PPI.36."	"CDPDIGLYSYN-MONOMER[i]"	4.25084e-12
"CDPDIGLYSYN-RXN-CTP/CPD-18380/PROTON//CPD-18387/PPI.36."	"CDPDIGLYSYN-MONOMER[i]"	1.61199e-11
"CDPDIGLYSYN-RXN-CTP/CPD-18390/PROTON//CPD-18391/PPI.36."	"CDPDIGLYSYN-MONOMER[i]"	4.05069e-11
"CDPDIGLYSYN-RXN-CTP/CPD0-1422/PROTON//CPD-12815/PPI.36."	"CDPDIGLYSYN-MONOMER[i]"	328527.0
"CDPDIGLYSYN-RXN-CTP/CPD0-1425/PROTON//CPD-18388/PPI.36."	"CDPDIGLYSYN-MONOMER[i]"	8.81641e-15
