# Generated by models/ecoli/analysis/cohort/kcat_estimates_v2_to_tsv.py from kcat_estimates_v2_with_estimators_summary.csv (source: 20260302.164308__wildtype_minimal_media) on 2026-05-21 18:58:57. Column: kcat_smoothed_max_estimate. 373 reaction-catalyst pairs with finite positive estimates (skipped 92 blank/NaN).
"reaction_id"	"catalyst_id"	"kcat_estimate"
"RXN-17472"	"BIOTIN-SYN-CPLX[c]"	47.7015
"RXN-17473"	"BIOTIN-SYN-CPLX[c]"	47.7015
"DIMETHUROPORDEHYDROG-RXN"	"SIROHEMESYN-CPLX[c]"	13160.0
"RXN-13403"	"SIROHEMESYN-CPLX[c]"	13160.0
"SIROHEME-FERROCHELAT-RXN"	"SIROHEMESYN-CPLX[c]"	13160.0
"RXN-11483"	"EG10122-MONOMER[c]"	500.65
"UDP-NACMURALGLDAPLIG-RXN"	"UDP-NACMURALGLDAPLIG-MONOMER[c]"	13422.3
"RXN-24044 (reverse)"	"CPLX0-7564[c]"	73257.9
"SUCCDIAMINOPIMDESUCC-RXN"	"CPLX0-3161[c]"	11103.6
"DXPREDISOM-RXN (reverse)"	"DXPREDISOM-CPLX[i]"	479418.0
"RXN-14014-DELTA1-PIPERIDEINE-2-6-DICARBOXYLATE/NADP/WATER//CPD-14443/NADPH/PROTON.72. (reverse)"	"DIHYDROPICRED-CPLX[c]"	3896.45
"DIHYDRODIPICSYN-RXN"	"DIHYDRODIPICSYN-CPLX[c]"	2856.71
"TRANS-RXN0-286"	"G6561-MONOMER[i]"	27221.3
"PANTEPADENYLYLTRAN-RXN"	"COADTRI-CPLX[c]"	25757.8
"RXN0-302"	"CPLX0-721[c]"	480633.0
"UDP-NACMURALGLDAPAALIG-RXN"	"UDP-NACMURALGLDAPAALIG-MONOMER[c]"	6290.87
"RXN-8999"	"UPPSYN-CPLX[c]"	20804.4
"UDPNACETYLGLUCOSAMENOLPYRTRANS-RXN"	"UDPNACETYLGLUCOSAMENOLPYRTRANS-MONOMER[c]"	1362.45
"UDPNACETYLMURAMATEDEHYDROG-RXN (reverse)"	"UDPNACETYLMURAMATEDEHYDROG-MONOMER[c]"	11330.5
"UDP-NACMUR-ALA-LIG-RXN"	"CPLX0-8014[c]"	17055.2
"RXN-24043 (reverse)"	"CPLX0-7564[c]"	23956.2
"DXS-RXN"	"CPLX0-743[c]"	61417.1
"RXN-15878 (reverse)"	"EG10370-MONOMER[c]"	21068.0
"FPPSYN-RXN"	"FPPSYN-MONOMER[c]"	3141.04
"GPPSYN-RXN"	"FPPSYN-MONOMER[c]"	3141.04
"2.7.7.60-RXN"	"CPLX0-234[c]"	961266.0
"TETHYDPICSUCC-RXN"	"CPLX0-3181[c]"	232.054
"RXN-14014-DELTA1-PIPERIDEINE-2-6-DICARBOXYLATE/NAD/WATER//CPD-14443/NADH/PROTON.70. (reverse)"	"DIHYDROPICRED-CPLX[c]"	3294.53
"2.7.1.148-RXN"	"CPLX0-3841[c]"	745762.0
"RXN-22914"	"CPLX0-341[c]"	5664.77
"RXN-22915"	"CPLX0-341[c]"	5664.77
"NAG1P-URIDYLTRANS-RXN"	"NAG1P-URIDYLTRANS-CPLX[c]"	21595.9
"2.3.1.157-RXN"	"NAG1P-URIDYLTRANS-CPLX[c]"	21614.5
"RXN-16909"	"CARBPSYN-CPLX[c]"	24960.7
"RXN-22736"	"CARBPSYN-CPLX[c]"	24960.7
"ARGSUCCINLYA-RXN"	"ARGSUCCINLYA-MONOMER[c]"	84577.8
"INORGPYROPHOSPHAT-RXN[CCO-CYTOSOL]-PPI/WATER//Pi/PROTON.34."	"CPLX0-243[c]"	39467.1
"ACETYLORNDEACET-RXN"	"ACETYLORNDEACET-CPLX[c]"	432562.0
"RXN-14382 (reverse)"	"CPLX0-248[c]"	1.97355
"METHENYLTHFCYCLOHYDRO-RXN-5-10-METHENYL-THF/WATER//10-FORMYL-THF/PROTON.46."	"FOLD-CPLX[c]"	217443.0
"METHYLENETHFDEHYDROG-NADP-RXN-METHYLENE-THF/NADP//5-10-METHENYL-THF/NADPH.44."	"FOLD-CPLX[c]"	217443.0
"ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN (reverse)"	"ASP-SEMIALDEHYDE-DEHYDROGENASE-CPLX[c]"	584.329
"3-CH3-2-OXOBUTANOATE-OH-CH3-XFER-RXN-METHYLENE-THF/2-KETO-ISOVALERATE/WATER//2-DEHYDROPANTOATE/THF.62. (reverse)"	"3-METHYL-2-OXOBUT-OHCH3XFER-CPLX[c]"	393072.0
"3-CH3-2-OXOBUTANOATE-OH-CH3-XFER-RXN-CPD-12996/2-KETO-ISOVALERATE/WATER//2-DEHYDROPANTOATE/CPD-1301.63."	"3-METHYL-2-OXOBUT-OHCH3XFER-CPLX[c]"	393201.0
