# Generated by models/ecoli/analysis/cohort/kcat_estimations.py on wildtype simulations: 64 seed(s), 8 generation(s) used (gens 4-11, first 4 skipped), 505 total cells. Generated 2026-03-30 20:54:40.
"reaction_id"	"catalyst_id"	"kcat_estimate"
"KETOGLUTREDUCT-RXN"	"PGLYCDEHYDROG-CPLX[c]"	3.890415543627513
"KETOGLUTREDUCT-RXN (reverse)"	"PGLYCDEHYDROG-CPLX[c]"	3.890415543627513
"PGLYCDEHYDROG-RXN"	"PGLYCDEHYDROG-CPLX[c]"	40975.45624253883
"PGLYCDEHYDROG-RXN (reverse)"	"PGLYCDEHYDROG-CPLX[c]"	4.986048969040448
"RXN-16701"	"PGLYCDEHYDROG-CPLX[c]"	2.7282445263015767
"RXN-16701 (reverse)"	"PGLYCDEHYDROG-CPLX[c]"	2.726218042827438
"THYMIDYLATESYN-RXN-METHYLENE-THF/DUMP//TMP/DIHYDROFOLATE.38."	"THYMIDYLATESYN-CPLX[c]"	812.9378565507569
"N-ACETYLTRANSFER-RXN"	"N-ACETYLTRANSFER-CPLX[c]"	172980.43161259085
"RXN-12587"	"CPLX0-248[c]"	3.863321075784511
"RXN-12587 (reverse)"	"CPLX0-248[c]"	2.3848332700813044
"RXN-12588"	"CPLX0-248[c]"	2.980222522084804
"RXN-14382"	"CPLX0-248[c]"	4.589104755064526
"RXN-14382 (reverse)"	"CPLX0-248[c]"	3.863321075784511
"RXN-22700"	"CPLX0-248[c]"	4.6694340853953254e-05
"RXN-9787"	"CPLX0-248[c]"	6.795814971229289
"RXN0-308"	"CPLX0-248[c]"	5.509838453957437
"2.7.3.9-RXN"	"CPLX0-7938[c]"	6997.959204715509
"RXN-17354"	"CPLX0-7938[c]"	1706.2989166735442
"RXN-17355"	"CPLX0-7938[c]"	1706.2989166735442
"3-OXOACYL-ACP-REDUCT-RXN-Beta-hydroxydecanoyl-ACPs/NADP//POLYMER-INST-B-KETOACYL-ACP-C6-H12/NADPH/PROTON.80. (reverse)"	"CPLX0-8005[c]"	10173.769780906598
"3-OXOACYL-ACP-REDUCT-RXN-POLYMER-INST-OH-ACYL-ACP-C0-H0/NADP//Acetoacetyl-ACPs/NADPH/PROTON.67. (reverse)"	"CPLX0-8005[c]"	12524.286334773238
"3-OXOACYL-ACP-REDUCT-RXN-POLYMER-INST-OH-ACYL-ACP-C12-H24/NADP//3-oxo-palmitoyl-ACPs/NADPH/PROTON.73. (reverse)"	"CPLX0-8005[c]"	10529.894300787217
"3-OXOACYL-ACP-REDUCT-RXN-POLYMER-INST-OH-ACYL-ACP-C4-H8/NADP//3-Oxo-octanoyl-ACPs/NADPH/PROTON.70. (reverse)"	"CPLX0-8005[c]"	10173.769780906598
"3-OXOACYL-ACP-REDUCT-RXN-R-3-hydroxyarachidoyl-ACPs/NADP//3-oxo-arachidoyl-ACPs/NADPH/PROTON.68. (reverse)"	"CPLX0-8005[c]"	1.7334692079158995e-11
"3-OXOACYL-ACP-REDUCT-RXN-R-3-hydroxystearoyl-ACPs/NADP//3-oxo-stearoyl-ACPs/NADPH/PROTON.64. (reverse)"	"CPLX0-8005[c]"	1.7334692079158995e-11
"RXN-10655 (reverse)"	"CPLX0-8005[c]"	1.439397445078857e-12
"RXN-10659 (reverse)"	"CPLX0-8005[c]"	1.439397445078857e-12
"RXN-11476 (reverse)"	"CPLX0-8005[c]"	6.322037005927409
"RXN-11480 (reverse)"	"CPLX0-8005[c]"	6.322037005927409
"RXN-9514 (reverse)"	"CPLX0-8005[c]"	7208.985758412367
"RXN-9518 (reverse)"	"CPLX0-8005[c]"	12524.286334773238
"RXN-9524 (reverse)"	"CPLX0-8005[c]"	7308.196017629603
"RXN-9528 (reverse)"	"CPLX0-8005[c]"	7308.196017629601
"RXN-9532 (reverse)"	"CPLX0-8005[c]"	12524.286334773238
"RXN-9536 (reverse)"	"CPLX0-8005[c]"	12191.887662442236
"RXN-9540 (reverse)"	"CPLX0-8005[c]"	8548.725162486513
"RXN-9556 (reverse)"	"CPLX0-8005[c]"	3.970084289305555e-12
"RXN0-2142 (reverse)"	"CPLX0-8005[c]"	1.439397445078857e-12
"LIPIDXSYNTHESIS-RXN"	"EG12666-MONOMER[m]"	30549.732917901525
"RXN-14014-DELTA1-PIPERIDEINE-2-6-DICARBOXYLATE/NAD/WATER//CPD-14443/NADH/PROTON.70. (reverse)"	"DIHYDROPICRED-CPLX[c]"	31531.020462600223
"RXN-14014-DELTA1-PIPERIDEINE-2-6-DICARBOXYLATE/NADP/WATER//CPD-14443/NADPH/PROTON.72. (reverse)"	"DIHYDROPICRED-CPLX[c]"	24471.36256674165
"PHOSGLYPHOS-RXN"	"PGK[c]"	73.82225677220711
"PHOSGLYPHOS-RXN (reverse)"	"PGK[c]"	17789.371677016647
"CHORISMATE-SYNTHASE-RXN"	"AROC-CPLX[c]"	7198.631570344031
"SULFITE-REDUCT-RXN (reverse)"	"SULFITE-REDUCT-CPLX[c]"	20367.17709144558
"DIOHBUTANONEPSYN-RXN"	"DIOHBUTANONEPSYN-CPLX[c]"	80.79269698318964
"GLUTRNAREDUCT-RXN (reverse)"	"CPLX0-3741[c]"	62261.38676701853
"ADENYLYLSULFKIN-RXN"	"ADENYLYLSULFKIN-CPLX[c]"	2759.0154507033503
"RXN0-5127"	"EG11423-MONOMER[c]"	326725.03414741764
"KDOTRANS-RXN"	"KDOTRANS-MONOMER[m]"	35622.05771813914
"KDOTRANS2-RXN"	"KDOTRANS-MONOMER[m]"	35622.05771813914
"GLURS-RXN-GLT-tRNAs/GLT/ATP/PROTON//Charged-GLT-tRNAs/AMP/PPI.52."	"GLURS-MONOMER[c]"	402.8871381428247
"RXN0-21"	"ABC-6-CPLX[i]"	4968.956028618246
"ISOCITDEH-RXN"	"ISOCITHASE-CPLX[c]"	693.0881230161194
"RXN-8642"	"ISOCITHASE-CPLX[c]"	591.7888463729048
"RXN-8642 (reverse)"	"ISOCITHASE-CPLX[c]"	677.9428487725085
"RXN-9951"	"ISOCITHASE-CPLX[c]"	591.7888463729048
"RXN-9951 (reverse)"	"ISOCITHASE-CPLX[c]"	677.9428487725085
"DIHYDROOROT-RXN"	"DIHYDROOROT-CPLX[c]"	1148.474745959443
"DIHYDROOROT-RXN (reverse)"	"DIHYDROOROT-CPLX[c]"	1736.6050143446432
"CPM-KDOSYNTH-RXN"	"CPM-KDOSYNTH-MONOMER[c]"	1491.2248067069595
"QUINOLINATE-SYNTHA-RXN"	"CPLX0-7719[c]"	462.3209113197014
"SAICARSYN-RXN"	"SAICARSYN-CPLX[c]"	866.6829639473901
"ARGSUCCINSYN-RXN"	"CPLX0-238[c]"	11888.772781116668
"2-OCTAPRENYL-METHOXY-BENZOQ-METH-RXN"	"CPLX0-8301[c]"	250.12065370614405
"ADOMET-DMK-METHYLTRANSFER-RXN"	"CPLX0-8301[c]"	1097.2762072170774
"HOMSUCTRAN-RXN"	"HOMSUCTRAN-CPLX[c]"	585.0036360647066
"CITSYN-RXN"	"CITRATE-SI-SYNTHASE[c]"	9858.049548454643
"AIRS-RXN"	"AIRS-CPLX[c]"	1759.8476465207848
"GLUTAMINESYN-RXN"	"GLUTAMINESYN-OLIGOMER[c]"	6202.42137013353
"RXN0-743"	"PURE-CPLX[c]"	10679.229279089071
"2.7.1.148-RXN"	"CPLX0-3841[c]"	5066355.435108548
"GTP-CYCLOHYDRO-II-RXN"	"GTP-CYCLOHYDRO-II-CPLX[c]"	50.09241288312489
"NACGLCTRANS-RXN"	"NACGLCTRANS-MONOMER[m]"	3287588.263732841
"NACGLCTRANS-RXN (reverse)"	"NACGLCTRANS-MONOMER[m]"	347.60646215309816
"CTPSYN-RXN"	"CTPSYN-CPLX[c]"	96.4240244948744
"RXN-14325"	"CTPSYN-CPLX[c]"	22499.275738885837
"GLUTAMIN-RXN__CTPSYN-CPLX"	"CTPSYN-CPLX[c]"	27.28770339051411
"2.7.7.60-RXN"	"CPLX0-234[c]"	2843373.001218046
"ARGSUCCINLYA-RXN"	"ARGSUCCINLYA-MONOMER[c]"	18239.351615539632
"FADSYN-RXN"	"RIBF-MONOMER[c]"	108.291271715556
"RIBOFLAVINKIN-RXN"	"RIBF-MONOMER[c]"	177.34026570347163
"PORPHOBILSYNTH-RXN"	"PORPHOBILSYNTH-CPLX[c]"	6925.896518984955
"GMP-SYN-NH3-RXN"	"GMP-SYN-CPLX[c]"	458.49968871861927
"1.3.1.9-RXN (reverse)"	"CPLX0-8006[c]"	2.3000623693735996e-13
"ENOYL-ACP-REDUCT-NADH-RXN-Arachidoyl-ACPs/NAD//trans-delta2-arachidoyl-ACPs/NADH/PROTON.62. (reverse)"	"CPLX0-8006[c]"	1.7490069748362233e-13
"ENOYL-ACP-REDUCT-NADH-RXN-Butanoyl-ACPs/NAD//POLYMER-INST-TRANS-D2-ENOYL-ACP-C0-H0/NADH/PROTON.69. (reverse)"	"CPLX0-8006[c]"	3326.711446966209
"ENOYL-ACP-REDUCT-NADH-RXN-POLYMER-INST-Saturated-Fatty-Acyl-ACPs-C4-H8/NAD//POLYMER-INST-TRANS-D2-ENOYL-ACP-C4-H8/NADH/PROTON.100. (reverse)"	"CPLX0-8006[c]"	3326.711446966209
"ENOYL-ACP-REDUCT-NADH-RXN-Stearoyl-ACPs/NAD//Octadec-2-enoyl-ACPs/NADH/PROTON.52. (reverse)"	"CPLX0-8006[c]"	5.60131418336586e-12
"ENOYL-ACP-REDUCT-NADPH-RXN-Butanoyl-ACPs/NADP//NADPH/POLYMER-INST-TRANS-D2-ENOYL-ACP-C0-H0/PROTON.71. (reverse)"	"CPLX0-8006[c]"	3562.20019260685
"ENOYL-ACP-REDUCT-NADPH-RXN-Decanoyl-ACPs/NADP//NADPH/Trans-D2-decenoyl-ACPs/PROTON.56. (reverse)"	"CPLX0-8006[c]"	3562.20019260685
"ENOYL-ACP-REDUCT-NADPH-RXN-Dodecanoyl-ACPs/NADP//NADPH/Dodec-2-enoyl-ACPs/PROTON.54. (reverse)"	"CPLX0-8006[c]"	5022.7170811418055
"ENOYL-ACP-REDUCT-NADPH-RXN-Hexanoyl-ACPs/NADP//NADPH/Hex-2-enoyl-ACPs/PROTON.50. (reverse)"	"CPLX0-8006[c]"	5022.7170811418055
"ENOYL-ACP-REDUCT-NADPH-RXN-Myristoyl-ACPs/NADP//NADPH/Tetradec-2-enoyl-ACPs/PROTON.56. (reverse)"	"CPLX0-8006[c]"	4356.194843082054
"ENOYL-ACP-REDUCT-NADPH-RXN-Palmitoyl-ACPs/NADP//NADPH/2-Hexadecenoyl-ACPs/PROTON.54. (reverse)"	"CPLX0-8006[c]"	2794.8212352503906
"ENOYL-ACP-REDUCT-NADPH-RXN-POLYMER-INST-Saturated-Fatty-Acyl-ACPs-C4-H8/NADP//NADPH/POLYMER-INST-TRANS-D2-ENOYL-ACP-C4-H8/PROTON.102. (reverse)"	"CPLX0-8006[c]"	3562.20019260685
"ENOYL-ACP-REDUCT-NADPH-RXN-Stearoyl-ACPs/NADP//NADPH/Octadec-2-enoyl-ACPs/PROTON.54. (reverse)"	"CPLX0-8006[c]"	1.857351231019959e-13
"RXN-10657 (reverse)"	"CPLX0-8006[c]"	4.858269655736539e-13
"RXN-10661 (reverse)"	"CPLX0-8006[c]"	4.858269655736539e-13
