# Generated by models/ecoli/analysis/cohort/kcat_estimates_v2_to_tsv.py from kcat_estimates_v2_with_estimators_summary.csv (source: 20260302.164308__wildtype_minimal_media) on 2026-05-21 18:58:57. Column: kcat_drop_top_20_estimate. 389 reaction-catalyst pairs with finite positive estimates (skipped 76 blank/NaN).
"reaction_id"	"catalyst_id"	"kcat_estimate"
"RXN-9657 (reverse)"	"CPLX0-8006[c]"	1307.41
"3-OCTAPRENYL-4-OHBENZOATE-DECARBOX-RXN"	"CPLX0-301[c]"	671.454
"RXN-9514 (reverse)"	"CPLX0-8005[c]"	4392.34
"L-ASPARTATE-OXID-RXN"	"L-ASPARTATE-OXID-MONOMER[c]"	65.1267
"4.2.1.58-RXN"	"FABA-CPLX[c]"	1260.23
"RXN-11484"	"7KAPSYN-CPLX[c]"	79.4815
"N-ACETYLTRANSFER-RXN"	"N-ACETYLTRANSFER-CPLX[c]"	47437.2
"METHENYLTHFCYCLOHYDRO-RXN-5-10-METHENYL-THF/WATER//10-FORMYL-THF/PROTON.46. (reverse)"	"FOLD-CPLX[c]"	9498.22
"METHYLENETHFDEHYDROG-NADP-RXN-METHYLENE-THF/NADP//5-10-METHENYL-THF/NADPH.44. (reverse)"	"FOLD-CPLX[c]"	9498.22
"IMP-DEHYDROG-RXN"	"IMP-DEHYDROG-CPLX[c]"	406.906
"HOMSUCTRAN-RXN"	"HOMSUCTRAN-CPLX[c]"	590.611
"RXN-9772"	"L-ASPARTATE-OXID-MONOMER[c]"	1527.34
"P-PANTOCYSDECARB-RXN"	"CPLX0-341[c]"	7264.56
"P-PANTOCYSLIG-RXN"	"CPLX0-341[c]"	5741.07
"AICARSYN-RXN"	"CPLX0-7959[c]"	2998.25
"AMPSYN-RXN"	"CPLX0-7959[c]"	2244.4
"PABASYN-RXN"	"PABASYN-CPLX[c]"	16.3382
"RXN-22713"	"PABASYN-CPLX[c]"	942.091
"QUINOLINATE-SYNTHA-RXN"	"CPLX0-7719[c]"	177.748
"KDO-8PSYNTH-RXN"	"KDO-8PSYNTH-CPLX[c]"	1482.74
"SAICARSYN-RXN"	"SAICARSYN-CPLX[c]"	811.986
"PEPCARBOX-RXN (reverse)"	"PEPCARBOX-CPLX[c]"	16709.9
"GLUTRACE-RXN"	"GLUTRACE-MONOMER[c]"	16922.8
"GLUTRACE-RXN (reverse)"	"GLUTRACE-MONOMER[c]"	296.471
"METHIONYL-TRNA-FORMYLTRANSFERASE-RXN-10-FORMYL-THF/L-methionyl-tRNAfmet//THF/N-formyl-L-methionyl-tRNAfmet/PROTON.77."	"EG11268-MONOMER[c]"	0.00105734
"RXN0-7422-CPD-14932/L-methionyl-tRNAfmet//DIHYDROFOLATE/N-formyl-L-methionyl-tRNAfmet/PROTON.83."	"EG11268-MONOMER[c]"	4.09138e-14
"GLYOHMETRANS-RXN-SER/CPD-1301//GLY/CPD-12996/WATER.34. (reverse)"	"GLYOHMETRANS-CPLX[c]"	329.249
"GLYOHMETRANS-RXN-SER/THF//GLY/METHYLENE-THF/WATER.33."	"GLYOHMETRANS-CPLX[c]"	157.867
"GLYOHMETRANS-RXN-SER/THF//GLY/METHYLENE-THF/WATER.33. (reverse)"	"GLYOHMETRANS-CPLX[c]"	737.08
"RXN0-5240"	"GLYOHMETRANS-CPLX[c]"	0.00417849
"RXN0-5240 (reverse)"	"GLYOHMETRANS-CPLX[c]"	0.496297
"GAPOXNPHOSPHN-RXN"	"GAPDH-A-CPLX[c]"	6578.34
"GAPOXNPHOSPHN-RXN (reverse)"	"GAPDH-A-CPLX[c]"	52.59
"CDPDIGLYSYN-RXN-CTP/CPD-18350/PROTON//CPD-18358/PPI.36."	"CDPDIGLYSYN-MONOMER[i]"	3.22404e-13
"CDPDIGLYSYN-RXN-CTP/CPD-18351/PROTON//CPD-18357/PPI.36."	"CDPDIGLYSYN-MONOMER[i]"	2.56233e-12
"CDPDIGLYSYN-RXN-CTP/CPD-18352/PROTON//CPD-18356/PPI.36."	"CDPDIGLYSYN-MONOMER[i]"	8.53635e-17
"CDPDIGLYSYN-RXN-CTP/CPD-18353/PROTON//CPD-18355/PPI.36."	"CDPDIGLYSYN-MONOMER[i]"	1.67612e-12
"CDPDIGLYSYN-RXN-CTP/CPD-18380/PROTON//CPD-18387/PPI.36."	"CDPDIGLYSYN-MONOMER[i]"	1.61199e-11
"CDPDIGLYSYN-RXN-CTP/CPD-18390/PROTON//CPD-18391/PPI.36."	"CDPDIGLYSYN-MONOMER[i]"	4.05069e-11
"CDPDIGLYSYN-RXN-CTP/CPD0-1422/PROTON//CPD-12815/PPI.36."	"CDPDIGLYSYN-MONOMER[i]"	56645.1
"CDPDIGLYSYN-RXN-CTP/CPD0-1425/PROTON//CPD-18388/PPI.36."	"CDPDIGLYSYN-MONOMER[i]"	8.81641e-15
"RXN0-5515"	"CDPDIGLYSYN-MONOMER[i]"	5.90666e-12
"GSAAMINOTRANS-RXN"	"GSAAMINOTRANS-CPLX[c]"	9020.85
"PHOSGLYPHOS-RXN"	"PGK[c]"	96.6072
"PHOSGLYPHOS-RXN (reverse)"	"PGK[c]"	10906.7
"BIOTIN-CARBOXYL-RXN"	"BIOTIN-CARBOXYL-CPLX[c]"	79211.7
"RXN-11475"	"EG10119-MONOMER[c]"	50.2228
"RIBOFLAVIN-SYN-RXN"	"CPLX0-3952[c]"	31.8729
"ASPCARBTRANS-RXN"	"ASPCARBTRANS-CPLX[c]"	1881.91
"2.5.1.19-RXN"	"AROA-MONOMER[c]"	789.562
"2.5.1.19-RXN (reverse)"	"AROA-MONOMER[c]"	687.828
"ERYTHRON4PDEHYDROG-RXN"	"CPLX0-8212[c]"	55.5741
"LUMAZINESYN-RXN"	"LUMAZINESYN-CPLX[c]"	1026.58
"LIPIDXSYNTHESIS-RXN"	"EG12666-MONOMER[m]"	30402.3
"DIAMINOPIMDECARB-RXN"	"DIAMINOPIMDECARB-CPLX[c]"	3836.64
"TRIPHOSPHATASE-RXN[CCO-CYTOSOL]-P3I/WATER//PPI/Pi/PROTON.38.__CPLX0-243"	"CPLX0-243[c]"	87.1315
"KDOTRANS-RXN"	"KDOTRANS-MONOMER[m]"	31348.6
"KDOTRANS2-RXN"	"KDOTRANS-MONOMER[m]"	31348.6
"DUTP-PYROP-RXN__DUTP-PYROP-CPLX"	"DUTP-PYROP-CPLX[c]"	197.384
"UDPACYLGLCNACDEACETYL-RXN"	"UDPACYLGLCNACDEACETYL-MONOMER[c]"	12107.6
"RXN-12002"	"UMPKI-CPLX[c]"	57670.2
"RXN-8992"	"CPLX0-7426[c]"	439.089
"3-HYDROXYDECANOYL-ACP-DEHYDR-RXN-POLYMER-INST-OH-ACYL-ACP-C0-H0//POLYMER-INST-TRANS-D2-ENOYL-ACP-C0-H0/WATER.76."	"FABA-CPLX[c]"	4759.42
"3-HYDROXYDECANOYL-ACP-DEHYDR-RXN-POLYMER-INST-OH-ACYL-ACP-C12-H24//2-Hexadecenoyl-ACPs/WATER.60."	"FABA-CPLX[c]"	3106.87
"3-HYDROXYDECANOYL-ACP-DEHYDR-RXN-POLYMER-INST-OH-ACYL-ACP-C4-H8//POLYMER-INST-TRANS-D2-ENOYL-ACP-C4-H8/WATER.76."	"FABA-CPLX[c]"	4709.42
"3-HYDROXYDECANOYL-ACP-DEHYDR-RXN-R-3-hydroxyarachidoyl-ACPs//trans-delta2-arachidoyl-ACPs/WATER.63."	"FABA-CPLX[c]"	5.50957e-13
"3-HYDROXYDECANOYL-ACP-DEHYDR-RXN-R-3-hydroxystearoyl-ACPs//Octadec-2-enoyl-ACPs/WATER.53."	"FABA-CPLX[c]"	7.72724e-13
"4.2.1.59-RXN"	"FABA-CPLX[c]"	1547.93
"4.2.1.61-RXN"	"FABA-CPLX[c]"	1284.31
"5.3.3.14-RXN"	"FABA-CPLX[c]"	9.51855e-13
"5.3.3.14-RXN (reverse)"	"FABA-CPLX[c]"	5.43006e-13
"RXN-9520"	"FABA-CPLX[c]"	4881.05
"RXN-9533"	"FABA-CPLX[c]"	4881.05
"RXN-9537"	"FABA-CPLX[c]"	4212.92
"RXN-9655"	"FABA-CPLX[c]"	4881.05
"ADENYLOSUCCINATE-SYNTHASE-RXN"	"ADENYLOSUCCINATE-SYN-DIMER[c]"	341.703
"RXN-21483-PROTOPORPHYRINOGEN/UBIQUINONE-8//PROTOPORPHYRIN_IX/CPD-9956.60."	"CPLX0-7811[i]"	297.02
"RXN0-6259-PROTOPORPHYRIN_IX/REDUCED-MENAQUINONE//PROTOPORPHYRINOGEN/CPD-9728.67. (reverse)"	"CPLX0-7811[i]"	435.118
"GLUTSEMIALDEHYDROG-RXN (reverse)"	"GLUTSEMIALDEHYDROG-CPLX[c]"	2913.12
"SEDOBISALDOL-RXN"	"FRUCBISALD-CLASSII[c]"	5830.5
"SEDOBISALDOL-RXN (reverse)"	"FRUCBISALD-CLASSII[c]"	8.39597e-17
"F16ALDOLASE-RXN__FRUCBISALD-CLASSII"	"FRUCBISALD-CLASSII[c]"	273.161
"RXN-15131__CYSTATHIONINE-BETA-LYASE-CPLX"	"CYSTATHIONINE-BETA-LYASE-CPLX[c]"	432.821
"OROTPDECARB-RXN"	"OROTPDECARB-CPLX[c]"	9126.3
"RXN-8675"	"SIROHEMESYN-CPLX[c]"	453.902
"UROPORIIIMETHYLTRANSA-RXN"	"SIROHEMESYN-CPLX[c]"	453.902
"PRPPSYN-RXN"	"CPLX0-8299[c]"	10619.4
"PRPPSYN-RXN-CPD-15318/ATP//PRPP/AMP/PROTON.31."	"CPLX0-8299[c]"	11181.9
"PRPPSYN-RXN-CPD-15895/ATP//PRPP/AMP/PROTON.31."	"CPLX0-8299[c]"	8114.39
"PRPPSYN-RXN-CPD-16551/ATP//PRPP/AMP/PROTON.31."	"CPLX0-8299[c]"	3137.57
"PSERTRANSAM-RXN"	"PSERTRANSAM-CPLX[c]"	4.25277
"PSERTRANSAMPYR-RXN"	"PSERTRANSAM-CPLX[c]"	0.82132
"PSERTRANSAMPYR-RXN (reverse)"	"PSERTRANSAM-CPLX[c]"	2.73608
"RXN-13179"	"CPLX0-7847[c]"	291.981
"ADENYL-KIN-RXN"	"ADENYL-KIN-MONOMER[c]"	2763.4
"RXN-14074"	"ADENYL-KIN-MONOMER[c]"	2099.51
"LIPIDADISACCHARIDESYNTH-RXN"	"CPLX0-7415[c]"	1809.81
"1.3.1.9-RXN (reverse)"	"CPLX0-8006[c]"	6.86484e-13
"ENOYL-ACP-REDUCT-NADH-RXN-Arachidoyl-ACPs/NAD//trans-delta2-arachidoyl-ACPs/NADH/PROTON.62. (reverse)"	"CPLX0-8006[c]"	1.21702e-13
"ENOYL-ACP-REDUCT-NADH-RXN-Butanoyl-ACPs/NAD//POLYMER-INST-TRANS-D2-ENOYL-ACP-C0-H0/NADH/PROTON.69. (reverse)"	"CPLX0-8006[c]"	2766.88
"ENOYL-ACP-REDUCT-NADH-RXN-POLYMER-INST-Saturated-Fatty-Acyl-ACPs-C4-H8/NAD//POLYMER-INST-TRANS-D2-ENOYL-ACP-C4-H8/NADH/PROTON.100. (reverse)"	"CPLX0-8006[c]"	2744.98
"ENOYL-ACP-REDUCT-NADH-RXN-Stearoyl-ACPs/NAD//Octadec-2-enoyl-ACPs/NADH/PROTON.52. (reverse)"	"CPLX0-8006[c]"	6.6742e-13
"ENOYL-ACP-REDUCT-NADPH-RXN-Butanoyl-ACPs/NADP//NADPH/POLYMER-INST-TRANS-D2-ENOYL-ACP-C0-H0/PROTON.71. (reverse)"	"CPLX0-8006[c]"	1581.38
"ENOYL-ACP-REDUCT-NADPH-RXN-Decanoyl-ACPs/NADP//NADPH/Trans-D2-decenoyl-ACPs/PROTON.56. (reverse)"	"CPLX0-8006[c]"	1545.78
"ENOYL-ACP-REDUCT-NADPH-RXN-Dodecanoyl-ACPs/NADP//NADPH/Dodec-2-enoyl-ACPs/PROTON.54. (reverse)"	"CPLX0-8006[c]"	1864.9
"ENOYL-ACP-REDUCT-NADPH-RXN-Hexanoyl-ACPs/NADP//NADPH/Hex-2-enoyl-ACPs/PROTON.50. (reverse)"	"CPLX0-8006[c]"	1864.9
"ENOYL-ACP-REDUCT-NADPH-RXN-Myristoyl-ACPs/NADP//NADPH/Tetradec-2-enoyl-ACPs/PROTON.56. (reverse)"	"CPLX0-8006[c]"	1545.23
"ENOYL-ACP-REDUCT-NADPH-RXN-Palmitoyl-ACPs/NADP//NADPH/2-Hexadecenoyl-ACPs/PROTON.54. (reverse)"	"CPLX0-8006[c]"	1762.88
"ENOYL-ACP-REDUCT-NADPH-RXN-POLYMER-INST-Saturated-Fatty-Acyl-ACPs-C4-H8/NADP//NADPH/POLYMER-INST-TRANS-D2-ENOYL-ACP-C4-H8/PROTON.102. (reverse)"	"CPLX0-8006[c]"	1471.46
"ENOYL-ACP-REDUCT-NADPH-RXN-Stearoyl-ACPs/NADP//NADPH/Octadec-2-enoyl-ACPs/PROTON.54. (reverse)"	"CPLX0-8006[c]"	2.50871e-13
"RXN-10657 (reverse)"	"CPLX0-8006[c]"	1.06985e-12
"RXN-10661 (reverse)"	"CPLX0-8006[c]"	1.06985e-12
"RXN-9558 (reverse)"	"CPLX0-8006[c]"	5.89536e-13
"RXN-9658 (reverse)"	"CPLX0-8006[c]"	2671.52
"RXN-9659 (reverse)"	"CPLX0-8006[c]"	1488.97
"RXN-9660 (reverse)"	"CPLX0-8006[c]"	3953.28
"RXN-9661 (reverse)"	"CPLX0-8006[c]"	2272.25
"RXN-9662 (reverse)"	"CPLX0-8006[c]"	2310.52
"RXN-9663 (reverse)"	"CPLX0-8006[c]"	1875.11
"RXN0-2145 (reverse)"	"CPLX0-8006[c]"	1.07792e-12
"GLUTAMINESYN-RXN"	"GLUTAMINESYN-OLIGOMER[c]"	4927.92
"UDPHYDROXYMYRGLUCOSAMNACETYLTRANS-RXN"	"CPLX0-8016[c]"	910.362
"RXN0-7192__BIOTINLIG-MONOMER"	"BIOTINLIG-MONOMER[c]"	0.00351207
"FGAMSYN-RXN"	"FGAMSYN-MONOMER[c]"	2061.51
"PHOSNACMURPENTATRANS-RXN"	"PHOSNACMURPENTATRANS-MONOMER[m]"	197109.0
"PHOSPHAGLYPSYN-RXN-CPD-12814/GLYCEROL-3P//CMP/CPD-12820/PROTON.44."	"PHOSPHAGLYPSYN-MONOMER[i]"	1.33208e-13
"PHOSPHAGLYPSYN-RXN-CPD-12815/GLYCEROL-3P//CMP/CPD-12821/PROTON.44."	"PHOSPHAGLYPSYN-MONOMER[i]"	6925.77
"PHOSPHAGLYPSYN-RXN-CPD-18355/GLYCEROL-3P//CMP/CPD-18400/PROTON.44."	"PHOSPHAGLYPSYN-MONOMER[i]"	1.0787e-12
"PHOSPHAGLYPSYN-RXN-CPD-18357/GLYCEROL-3P//CMP/CPD-18399/PROTON.44."	"PHOSPHAGLYPSYN-MONOMER[i]"	9.0161e-13
"PHOSPHAGLYPSYN-RXN-CPD-18358/GLYCEROL-3P//CMP/CPD-18359/PROTON.44."	"PHOSPHAGLYPSYN-MONOMER[i]"	3.62372e-13
"PHOSPHAGLYPSYN-RXN-CPD-18387/GLYCEROL-3P//CMP/CPD-18397/PROTON.44."	"PHOSPHAGLYPSYN-MONOMER[i]"	6.73241e-12
"PHOSPHAGLYPSYN-RXN-CPD-18391/GLYCEROL-3P//CMP/CPD-18398/PROTON.44."	"PHOSPHAGLYPSYN-MONOMER[i]"	1.88469e-11
"RXN0-742"	"PURK-CPLX[c]"	4903.76
"SULFATE-ADENYLYLTRANS-RXN"	"SULFATE-ADENYLYLTRANS-CPLX[c]"	4729.59
"GTP-CYCLOHYDRO-II-RXN"	"GTP-CYCLOHYDRO-II-CPLX[c]"	42.5744
"PDXJ-RXN"	"CPLX0-321[c]"	136.405
"NAD-SYNTH-NH3-RXN"	"NAD-SYNTH-CPLX[c]"	59.7796
"H2PTERIDINEPYROPHOSPHOKIN-RXN"	"H2PTERIDINEPYROPHOSPHOKIN-MONOMER[c]"	201.114
"DIOHBUTANONEPSYN-RXN"	"DIOHBUTANONEPSYN-CPLX[c]"	62.5701
"2-OCTAPRENYL-METHOXY-BENZOQ-METH-RXN"	"2-OCTAPRENYL-METHOXY-BENZOQ-METH-MONOMER[c]"	89.8705
"ADOMET-DMK-METHYLTRANSFER-RXN"	"2-OCTAPRENYL-METHOXY-BENZOQ-METH-MONOMER[c]"	220.107
"DIHYDROOROTATE-DEHYDROGENASE-RXN-DI-H-OROTATE/CPD-9728//OROTATE/REDUCED-MENAQUINONE.51."	"DIHYDROOROTOX-MONOMER[c]"	5846.73
