,Protein ID,Gene names ,UniProt id,UniProt gene name,Monomer ID
1810,sp|P39411|NCPP_ECOLI,yjjX,P39411,NCPP_ECOLI,EG12600-MONOMER
1811,sp|P39452|RIR3_ECOLI,nrdE,P39452,RIR3_ECOLI,NRDE-MONOMER
1812,sp|P39829|GARD_ECOLI,garD,P39829,GARD_ECOLI,GALACTARDEHYDRA-MONOMER
1813,sp|P39830|YBAL_ECOLI,ybaL,P39830,YBAL_ECOLI,YBAL-MONOMER
1814,sp|P39831|YDFG_ECOLI,ydfG,P39831,YDFG_ECOLI,EG12345-MONOMER
1815,sp|P39834|YGIL_ECOLI,ygiL,P39834,YGIL_ECOLI,EG12363-MONOMER
1816,sp|P39835|GNTT_ECOLI,gntT,P39835,GNTT_ECOLI,GNTT-MONOMER
1817,sp|P39838|RCSD_ECOLI,rcsD,P39838,RCSD_ECOLI,EG12385-MONOMER
1818,sp|P40120|OPGD_ECOLI,opgD,P40120,OPGD_ECOLI,EG12859-MONOMER
1819,sp|P40191|PDXK_ECOLI,pdxK,P40191,PDXK_ECOLI,PDXK-MONOMER
1820,sp|P40710|NLPE_ECOLI,nlpE,P40710,NLPE_ECOLI,EG12137-MONOMER
1821,sp|P40711|ARFB_ECOLI,arfB,P40711,ARFB_ECOLI,EG12354-MONOMER
1822,sp|P40719|QSEC_ECOLI,qseC,P40719,QSEC_ECOLI,EG12658-MONOMER
1823,sp|P40874|MTOX_ECOLI,solA,P40874,MTOX_ECOLI,SARCOX-MONOMER
1824,sp|P41052|MLTB_ECOLI,mltB,P41052,MLTB_ECOLI,G7410-MONOMER
1825,sp|P41407|AZOR_ECOLI,azoR,P41407,AZOR_ECOLI,G6731-MONOMER
1826,sp|P41409|RIHA_ECOLI,rihA,P41409,RIHA_ECOLI,G6358-MONOMER
1827,sp|P42588|PAT_ECOLI,patA,P42588,PAT_ECOLI,G7596-MONOMER
1828,sp|P42593|FADH_ECOLI,fadH,P42593,FADH_ECOLI,DIENOYLCOAREDUCT-MONOMER
1829,sp|P42596|RLMG_ECOLI,rlmG,P42596,RLMG_ECOLI,G7603-MONOMER
1830,sp|P42599|YGJR_ECOLI,ygjR,P42599,YGJR_ECOLI,G7606-MONOMER
1831,sp|P42604|UXAA_ECOLI,uxaA,P42604,UXAA_ECOLI,ALTRODEHYDRAT-MONOMER
1832,sp|P42620|YQJG_ECOLI,yqjG,P42620,YQJG_ECOLI,G7616-MONOMER
1833,sp|P42624|YHAK_ECOLI,yhaK,P42624,YHAK_ECOLI,G7620-MONOMER
1834,sp|P42626|YHAM_ECOLI,yhaM,P42626,YHAM_ECOLI,G7622-MONOMER
1835,sp|P42632|TDCE_ECOLI,tdcE,P42632,TDCE_ECOLI,KETOBUTFORMLY-INACT-MONOMER
1836,sp|P42641|OBG_ECOLI,obgE,P42641,OBG_ECOLI,G7656-MONOMER
1837,sp|P42909|PTPB1_ECOLI,agaB,P42909,PTPB1_ECOLI,AGAB-MONOMER
1838,sp|P43329|HRPA_ECOLI,hrpA,P43329,HRPA_ECOLI,G6732-MONOMER
1839,sp|P43337|NUDL_ECOLI,nudL,P43337,NUDL_ECOLI,EG12693-MONOMER
1840,sp|P43340|YCAK_ECOLI,ycaK,P43340,YCAK_ECOLI,EG12702-MONOMER
1841,sp|P43341|LPXH_ECOLI,lpxH,P43341,LPXH_ECOLI,EG12666-MONOMER
1842,sp|P43533|FLGN_ECOLI,flgN,P43533,FLGN_ECOLI,G6562-MONOMER
1843,sp|P43671|PQIB_ECOLI,pqiB,P43671,PQIB_ECOLI,G6491-MONOMER
1844,sp|P43672|UUP_ECOLI,uup,P43672,UUP_ECOLI,UUP-MONOMER
1845,sp|P45395|KDSD_ECOLI,kdsD,P45395,KDSD_ECOLI,G7662-MONOMER
1846,sp|P45425|NANK_ECOLI,nanK,P45425,NANK_ECOLI,NANK-MONOMER
1847,sp|P45464|LPOA_ECOLI,lpoA,P45464,LPOA_ECOLI,G7642-MONOMER
1848,sp|P45469|YRAR_ECOLI,yraR,P45469,YRAR_ECOLI,G7646-MONOMER
1849,sp|P45470|YHBO_ECOLI,yhbO,P45470,YHBO_ECOLI,G7647-MONOMER
1850,sp|P45472|YHBQ_ECOLI,yhbQ,P45472,YHBQ_ECOLI,G7649-MONOMER
1851,sp|P45523|FKBA_ECOLI,fkpA,P45523,FKBA_ECOLI,G7716-MONOMER
1852,sp|P45524|YHET_ECOLI,yheT,P45524,YHET_ECOLI,G7718-MONOMER
1853,sp|P45530|TUSB_ECOLI,tusB,P45530,TUSB_ECOLI,G7712-MONOMER
1854,sp|P45531|TUSC_ECOLI,tusC,P45531,TUSC_ECOLI,G7713-MONOMER
1855,sp|P45544|FRLR_ECOLI,frlR,P45544,FRLR_ECOLI,G7727-MONOMER
1856,sp|P45552|YHFZ_ECOLI,yhfZ,P45552,YHFZ_ECOLI,G7735-MONOMER
1857,sp|P45565|AIS_ECOLI,ais,P45565,AIS_ECOLI,G7165-MONOMER
1858,sp|P45568|DXR_ECOLI,dxr,P45568,DXR_ECOLI,DXPREDISOM-MONOMER
1859,sp|P45577|PROQ_ECOLI,proQ,P45577,PROQ_ECOLI,EG12866-MONOMER
1860,sp|P45578|LUXS_ECOLI,luxS,P45578,LUXS_ECOLI,EG12712-MONOMER
1861,sp|P45579|HCXA_ECOLI,hcxA,P45579,HCXA_ECOLI,EG12692-MONOMER
1862,sp|P45748|TSAC_ECOLI,tsaC,P45748,TSAC_ECOLI,G7698-MONOMER
1863,sp|P45753|HOFM_ECOLI,hofM,P45753,HOFM_ECOLI,G7739-MONOMER
1864,sp|P45758|GSPD_ECOLI,gspD,P45758,GSPD_ECOLI,G7703-MONOMER
1865,sp|P45799|NUDE_ECOLI,nudE,P45799,NUDE_ECOLI,G7740-MONOMER
1866,sp|P45800|IGAA_ECOLI,yrfF,P45800,IGAA_ECOLI,G7741-MONOMER
1867,sp|P45955|CPOB_ECOLI,cpoB,P45955,CPOB_ECOLI,EG12854-MONOMER
1868,sp|P46022|MTGA_ECOLI,mtgA,P46022,MTGA_ECOLI,G7668-MONOMER
1869,sp|P46118|HEXR_ECOLI,hexR,P46118,HEXR_ECOLI,EG12860-MONOMER
