TUs	TU_Genes	Gene_Names
pykF	pykF	pykF
nrdDG	nrdG // nrdD	nrdG // nrdD
ybiV	ybiV	ybiV
rfaH	rfaH	rfaH
yecJ	yecJ	yecJ
fnr	fnr	fnr
ubiK	ubiK	ubiK
htpG	htpG	htpG
setB	setB	setB
ynjH	ynjH	ynjH
gntR	gntR	gntR
ybhJ	ybhJ	ybhJ
ydiU	ydiU	ydiU
sdsR	sdsR	sdsR
argI	argI	argI
dkgAp // dkgA	dkgA	dkgA
ackA	ackA	ackA
yjjJ	yjjJ	yjjJ
rraB	rraB	rraB
yaiS	yaiS	yaiS
ybgIJKL-nei	pxpA // nei // pxpC // pxpB // ybgI	pxpA // nei // pxpC // pxpB // ybgI
abrB	abrB	abrB
ybfHG	ybfG	ybfG
ybfQ	ybfQ	ybfQ
yeaX	yeaX	yeaX
dnaTC	dnaC // dnaT	dnaC // dnaT
yggI	yggI	yggI
thiCEFSGH	thiS // thiH // thiG // thiF // thiE // thiC	thiS // thiH // thiG // thiF // thiE // thiC
mdtM // yjiN	mdtM // yjiN	mdtM // yjiN
pepA	pepA	pepA
yqaE-kbp	kbp // yqaE	kbp // yqaE
bssS	bssS	bssS
leuS // lptE // holA // nadD // cobC	leuS // lptE // holA // nadD // cobC	leuS // lptE // holA // nadD // cobC
yeaC	yeaC	yeaC
kdgR	kdgR	kdgR
rpsLG-fusA-tufA	tufA // fusA // rpsG // rpsL	tufA // fusA // rpsG // rpsL
sdhE-ygfX	sdhE // ygfX	sdhE // ygfX
insN-2	insO	insO
tolC-ygiBC	ygiC // ygiB // tolC	ygiC // ygiB // tolC
galETK	galK // galT // galE	galK // galT // galE
ydhP	ydhP	ydhP
ybdO	ybdO	ybdO
nlpC	nlpC	nlpC
mdtK	mdtK	mdtK
rfaDFCL	rfaD // waaF // waaC // waaL	rfaD // waaF // waaC // waaL
ygeR	ygeR	ygeR
ridA	ridA	ridA
gpt	gpt	gpt
degS	degS	degS
ylcG // rusA // ybcO // ninE // ybcN	ylcG // rusA // ybcO // ninE // ybcN	ylcG // rusA // ybcO // ninE // ybcN
rimJ	rimJ	rimJ
ydhS	ydhS	ydhS
galR	galR	galR
rimP-nusA-infB	rimP // infB // nusA	rimP // infB // nusA
kduD	kduD	kduD
yjfJ // yjfI	yjfJ // yjfI	yjfJ // yjfI
yheO-tusDCB	tusB // tusC // tusD // yheO	tusB // tusC // tusD // yheO
nemRA-gloA	gloA // nemA // nemR	gloA // nemA // nemR
ybbP // ybbA	ybbP // ybbA	ybbP // ybbA
yggE	yggE	yggE
folM // ydgI	folM // ydgI	folM // ydgI
dsrB	dsrB	dsrB
syd	syd	syd
menFD-yfbB-menBCE	menE // menC // menB // menH // menD // menF	menE // menC // menB // menH // menD // menF
adiC	adiC	adiC
aroKB-damX-dam-rpe-gph-trpS	trpS // gph // rpe // dam // damX // aroB // aroK	trpS // gph // rpe // dam // damX // aroB // aroK
glk	glk	glk
hisL	hisL	hisL
ybaA	ybaA	ybaA
pgk	pgk	pgk
dicA	dicA	dicA
amiC	amiC	amiC
pphB	pphB	pphB
glgS	glgS	glgS
dusA	dusA	dusA
acnA	ymiC // acnA	ymiC // acnA
ltaE-ybjT	ybjT // ltaE	ybjT // ltaE
rmf	rmf	rmf
yajD	yajD	yajD
pagP	pagP	pagP
ydfH	ydfH	ydfH
yggR	yggR	yggR
pinH	pinH	pinH
dppABCDF	dppF // dppD // dppC // dppB // dppA	dppF // dppD // dppC // dppB // dppA
yijD // fabR	yijD // fabR	yijD // fabR
proVWX	proX // proW // proV	proX // proW // proV
yjjQ-bglJ	bglJ // yjjQ	bglJ // yjjQ
ddpXABCDF	ddpF // ddpD // ddpC // ddpB // ddpA // ddpX	ddpF // ddpD // ddpC // ddpB // ddpA // ddpX
frmR // frmA // frmB	frmR // frmA // frmB	frmR // frmA // frmB
nohA-stfQ-tfaQ	tfaQ // stfQ // nohA	tfaQ // stfQ // nohA
yneL	yneL	yneL
yfdY	yfdY	yfdY
nadK	nadK	nadK
btuCED	btuD // btuE // btuC	btuD // btuE // btuC
yiiG	yiiG	yiiG
rtcBA	rtcA // rtcB	rtcA // rtcB
alsBACE	alsE // alsC // alsA // alsB	alsE // alsC // alsA // alsB
yjhC // yjhB	yjhC // yjhB	yjhC // yjhB
rclB // rclC	rclB // rclC	rclB // rclC
tktB	tktB	tktB
yedA	yedA	yedA
yphG	yphG	yphG
accA	accA	accA
yihD	yihD	yihD
tpx	tpx	tpx
rrlH-rrfH	rrfH // rrlH	rrfH // rrlH
msrB	msrB	msrB
yagH // yagG	yagH // yagG	yagH // yagG
bdm-sra	sra // bdm	sra // bdm
ydcK	ydcK	ydcK
yfgI // yfgH	yfgI // yfgH	yfgI // yfgH
treBC	treC // treB	treC // treB
yzcX	yzcX	yzcX
hupB	hupB	hupB
fucR	fucR	fucR
mpaA	mpaA	mpaA
lafU	lafU	lafU
argE	argE	argE
insI2	insI2	insI2
ycfQ	comR	comR
yffN // yffM	yffN // yffM	yffN // yffM
codBA	codB // codA	codB // codA
yidZ	yidZ	yidZ
glpGR	glpR // glpG	glpR // glpG
hslR-hslO	hslO // hslR	hslO // hslR
yggN	yggN	yggN
yaeF	yaeF	yaeF
rpsO-pnp	pnp // rpsO	pnp // rpsO
racR	racR	racR
ytjC	ytjC	ytjC
ypdC // pyrR // pyrS	ypdC // pyrR // pyrS	ypdC // pyrR // pyrS
lrp	lrp	lrp
setC	setC	setC
arcA	arcA	arcA
potFGHI	potI // potH // potG // potF	potI // potH // potG // potF
arrS	arrS	arrS
yadC	yadC	yadC
ssuEADCB	ssuB // ssuC // ssuD // ssuA // ssuE	ssuB // ssuC // ssuD // ssuA // ssuE
ompG	ompG	ompG
yodD	yodD	yodD
yfcZ	yfcZ	yfcZ
fepDGC	fepC // fepG // fepD	fepC // fepG // fepD
yibL	yibL	yibL
eda	eda	eda
ryfD	ryfD	ryfD
luxS	luxS	luxS
djlA	djlA	djlA
pabA	pabA	pabA
yciGFE	yciE // yciF // yciG	yciE // yciF // yciG
ykgL	ykgL	ykgL
yfbR	yfbR	yfbR
dsdC	dsdC	dsdC
yhjY	yhjY	yhjY
putP	putP	putP
cyaA	cyaA	cyaA
argR	argR	argR
chpSB	chpB // chpS	chpB // chpS
glnS	glnS	glnS
nhaB	nhaB	nhaB
yjfZ	yjfZ	yjfZ
ypaA // rpnE	ypaA // rpnE	ypaA // rpnE
malXY	malX // malY	malX // malY
prlC-yhiQ	prlC // rsmJ	prlC // rsmJ
serV-argVYZQ	argQ // argZ // argY // argV // serV	argQ // argZ // argY // argV // serV
cynTS	cynS // cynT	cynS // cynT
patA	patA	patA
rrsC-gltU-rrlC-rrfC	rrfC // rrlC // gltU // rrsC	rrfC // rrlC // gltU // rrsC
amn	amn	amn
ycgX	ycgX	ycgX
yidP	yidP	yidP
yeiQ	yeiQ	yeiQ
betT	betT	betT
yrhB	yrhB	yrhB
asnV	asnV	asnV
rcsDB	rcsB // rcsD	rcsB // rcsD
trxA	trxA	trxA
nrdHIEF	nrdH // nrdI // nrdF // nrdE	nrdH // nrdI // nrdF // nrdE
entS	entS	entS
ycfT	ycfT	ycfT
yhgN	yhgN	yhgN
pbpG	pbpG	pbpG
araJ	araJ	araJ
yhfL	yhfL	yhfL
ptsHI-crr	ptsH // ptsI // crr	ptsH // ptsI // crr
yraM	lpoA	lpoA
fiu	fiu	fiu
ydhIJK	ydhK // ydhJ // ydhI	ydhK // ydhJ // ydhI
pspG	pspG	pspG
ymdB-clsC	clsC // ymdB	clsC // ymdB
dtpD	dtpD	dtpD
rcnR	rcnR	rcnR
rpoH	rpoH	rpoH
csrD	csrD	csrD
cadBA	cadA // cadB	cadA // cadB
yjhA	nanC	nanC
gadX	gadX	gadX
greA	greA	greA
ynfEFGH-dmsD	dmsD // ynfH // ynfG // ynfF // ynfE	dmsD // ynfH // ynfG // ynfF // ynfE
gfcB // gfcC // gfcD	gfcB // gfcC // gfcD	gfcB // gfcC // gfcD
yagU	yagU	yagU
ugd	ugd	ugd
trpLEDCBA	trpA // trpB // trpC // trpD // trpE // trpL	trpA // trpB // trpC // trpD // trpE // trpL
ibaG	ibaG	ibaG
tsx	tsx	tsx
yeiI	yeiI	yeiI
inaA	inaA	inaA
fusA-tufA	tufA // fusA	tufA // fusA
ldtD	ldtD	ldtD
tp2	tp2	tp2
insH6	insH6	insH6
oxyR	oxyR	oxyR
sohA-yhaV	yhaV // prlF	yhaV // prlF
uspA	uspA	uspA
yqjA-mzrA	mzrA // yqjA	mzrA // yqjA
dcuC	dcuC	dcuC
gntT	gntT	gntT
ybjS	ybjS	ybjS
ybjX	ybjX	ybjX
yodC	yodC	yodC
kdpFABC	kdpF // kdpC // kdpB // kdpA	kdpF // kdpC // kdpB // kdpA
rlmG	rlmG	rlmG
fliAZY	tcyJ // fliZ // fliA	tcyJ // fliZ // fliA
lsp-fkpB-ispH	ispH // fkpB // lspA	ispH // fkpB // lspA
fabB	fabB	fabB
ompA	ompA	ompA
rhtA	rhtA	rhtA
rdlA	rdlA	rdlA
argS	argS	argS
dmsABC	dmsA // dmsB // dmsC	dmsA // dmsB // dmsC
nudF // yqiB // cpdA // yqiA // parE	nudF // yqiB // cpdA // yqiA // parE	nudF // yqiB // cpdA // yqiA // parE
osmE	osmE	osmE
C0614	C0614	C0614
fnrS	fnrS	fnrS
alsRBACE	alsE // alsC // alsA // alsB // alsR	alsE // alsC // alsA // alsB // alsR
acrZ	acrZ	acrZ
appY	appY	appY
rsmF	rsmF	rsmF
araC	araC	araC
yghX	yghX	yghX
pflB	pflB	pflB
ftsAZ	ftsZ // ftsA	ftsZ // ftsA
azuC	azuC	azuC
imp-surA-pdxA	pdxA // surA // lptD	pdxA // surA // lptD
hcp-hcr-poxB	poxB // hcr // hcp	poxB // hcr // hcp
rssAB	rssB // rssA	rssB // rssA
ybfA	ybfA	ybfA
argP	argP	argP
pdxH-tyrS-pdxY	pdxY // tyrS // pdxH	pdxY // tyrS // pdxH
surA-pdxA-rsmA-apaGH	apaH // apaG // rsmA // pdxA // surA	apaH // apaG // rsmA // pdxA // surA
yjiJ	yjiJ	yjiJ
fadR	fadR	fadR
accBC	accC // accB	accC // accB
dcuSR	dcuR // dcuS	dcuR // dcuS
ybeD	ybeD	ybeD
ydjE	ydjE	ydjE
intG	intG	intG
rpsB-tsf	tff // rpsB // tsf	tff // rpsB // tsf
uacT	uacT	uacT
yjgX	yjgX	yjgX
mdtEF	mdtF // mdtE	mdtF // mdtE
galE	galE	galE
ybdD	ybdD	ybdD
ppsR	ppsR	ppsR
mrcA	mrcA	mrcA
pspABCDE	pspA // pspB // pspC // pspD // pspE	pspA // pspB // pspC // pspD // pspE
ygeP	ygeP	ygeP
yjfF // ytfT // ytfR // ytfQ	yjfF // ytfT // ytfR // ytfQ	yjfF // ytfT // ytfR // ytfQ
artPIQM	artM // artQ // artI // artP	artM // artQ // artI // artP
ssnA	ssnA	ssnA
ybfE	ybfE	ybfE
mepH	mepH	mepH
guaC	guaC	guaC
tas	tas	tas
rsgA	rsgA	rsgA
pyrG-eno	eno // pyrG	eno // pyrG
agrB	agrB	agrB
cueR	cueR	cueR
gloA	gloA	gloA
ydgD	ydgD	ydgD
ddlA	ddlA	ddlA
ygcE // yqcE	ygcE // yqcE	ygcE // yqcE
kdtA-coaD	waaA // coaD	waaA // coaD
yjdN	yjdN	yjdN
tgt-yajC	yajC // tgt	yajC // tgt
flu	flu	flu
leuL	leuL	leuL
decR	decR	decR
tpiA	tpiA	tpiA
relB // relE	relB // relE	relB // relE
acpH	acpH	acpH
csrAp3 // csrA	csrA	csrA
fliLMNOPQR	fliL // fliM // fliN // fliO // fliP // fliQ // fliR	fliL // fliM // fliN // fliO // fliP // fliQ // fliR
dgkA	dgkA	dgkA
xapR	xapR	xapR
acrB	acrB	acrB
gapA	gapA	gapA
ykiA	ykiA	ykiA
rob	rob	rob
dgcZ	dgcZ	dgcZ
ygdI	ygdI	ygdI
yfjW	yfjW	yfjW
dnaAN-recF	recF // dnaN // dnaA	recF // dnaN // dnaA
frwB // frwC	frwB // frwC	frwB // frwC
paaXY	paaY // paaX	paaY // paaX
miaA-hfq-hflXKC	hflC // hflK // hflX // hfq // miaA	hflC // hflK // hflX // hfq // miaA
rybA-mntS	rybA // mntS	rybA // mntS
yahM	yahM	yahM
gcl-hyi-glxR-ybbVW-allB-ybbY-glxK	glxK // ybbY // allB // ybbW // glxR // hyi // gcl	glxK // ybbY // allB // ybbW // glxR // hyi // gcl
ydeN	ydeN	ydeN
yfbK	yfbK	yfbK
ffh	ffh	ffh
atpIBEFHAGDC	atpC // atpD // atpG // atpA // atpH // atpF // atpE // atpB // atpI	atpC // atpD // atpG // atpA // atpH // atpF // atpE // atpB // atpI
yiiE	yiiE	yiiE
dnaAN-recF	recF // dnaN // dnaA	recF // dnaN // dnaA
rutR	rutR	rutR
gntU terminator // gntU	gntU	gntU
ykgMO	ykgM // ykgO	ykgM // ykgO
kdgK	kdgK	kdgK
yncH	yncH	yncH
yebQ	yebQ	yebQ
yphA	yphA	yphA
edd-eda	eda // edd	eda // edd
ubiD	ubiD	ubiD
poxB	poxB	poxB
ubiX	ubiX	ubiX
rfaDFCL	waaL // waaC // waaF // rfaD	waaL // waaC // waaF // rfaD
insA2 // insB2 // insAB2 // afuB // afuC	insA2 // insB2 // insAB2 // afuB // afuC	insA2 // insB2 // insAB2 // afuB // afuC
uvrB	uvrB	uvrB
opgD	opgD	opgD
ydbJ	ydbJ	ydbJ
ypfJ // tmcA	ypfJ // tmcA	ypfJ // tmcA
ftsQAZ	ftsQ // ftsA // ftsZ	ftsQ // ftsA // ftsZ
rhlB	rhlB	rhlB
hupA	hupA	hupA
pspE	pspE	pspE
phoQ	phoQ	phoQ
dinJ-yafQ	dinJ // yafQ	dinJ // yafQ
ilvIH	ilvH // ilvI	ilvH // ilvI
tynA	tynA	tynA
yccX	yccX	yccX
eutB // eutC // eutL // eutK // eutR	eutB // eutC // eutL // eutK // eutR	eutB // eutC // eutL // eutK // eutR
nadB	nadB	nadB
yidB	yidB	yidB
gadBC	gadC // gadB	gadC // gadB
holC-valS	valS // holC	valS // holC
ftsQ	ftsQ	ftsQ
tilS	tilS	tilS
pheLA	pheA // pheL	pheA // pheL
racC	racC	racC
ytfA	ytfA	ytfA
oxc	oxc	oxc
thrLABC	thrL // thrA // thrB // thrC	thrL // thrA // thrB // thrC
xanP	xanP	xanP
arcA	arcA	arcA
yiaKLMNO-lyx-sgbHUE	sgbE // sgbU // sgbH // lyxK // yiaO // yiaN // yiaM // yiaL // yiaK	sgbE // sgbU // sgbH // lyxK // yiaO // yiaN // yiaM // yiaL // yiaK
kdsC-lptCAB	lptB // lptA // lptC // kdsC	lptB // lptA // lptC // kdsC
yadH // yadG	yadH // yadG	yadH // yadG
tesA-ybbO	ybbO // tesA	ybbO // tesA
puuDRCBE	puuE // puuB // puuC // puuR // puuD	puuE // puuB // puuC // puuR // puuD
yoaH	yoaH	yoaH
prmB // aroC // mepA // yfcA // epmC // yfcL	prmB // aroC // mepA // yfcA // epmC // yfcL	prmB // aroC // mepA // yfcA // epmC // yfcL
pps	ppsA	ppsA
yibJ	yibJ	yibJ
msrA	msrA	msrA
symR	symR	symR
yciE	yciE	yciE
rihC	rihC	rihC
gltX	gltX	gltX
yciI	yciI	yciI
yjjN	lgoD	lgoD
yfbO	yfbO	yfbO
cysDNC	cysC // cysN // cysD	cysC // cysN // cysD
rdlD	rdlD	rdlD
aldA	aldA	aldA
crp	crp	crp
yiiS-uspD	uspD // yiiS	uspD // yiiS
gdhA	gdhA	gdhA
cspD	cspD	cspD
ycgM	ycgM	ycgM
queG	queG	queG
ftp	ftp	ftp
nupG	nupG	nupG
glyW-cysT-leuZ	3'ETS<sup><i>leuZ</i></sup> // leuZ // cysT // glyW	3'ETSleuZ // leuZ // cysT // glyW
gspAB	gspB // gspA	gspB // gspA
recF	recF	recF
rrsA-ileT-alaT-rrlA-rrfA	rrfA // rrlA // alaT // ileT // rrsA	rrfA // rrlA // alaT // ileT // rrsA
pyrF-yciH	yciH // pyrF	yciH // pyrF
mcrA	mcrA	mcrA
yicS	yicS	yicS
psuT	psuT	psuT
asnC	asnC	asnC
yhhW	yhhW	yhhW
metZWV	metZ // metW // metV	metZ // metW // metV
rsmB	rsmB	rsmB
hemF	hemF	hemF
astCADBE	astE // astB // astD // astA // astC	astE // astB // astD // astA // astC
yidQ	yidQ	yidQ
ycfP // nagZ // thiK // lpoB // ycfL // hinT	ycfP // nagZ // thiK // lpoB // ycfL // hinT	ycfP // nagZ // thiK // lpoB // ycfL // hinT
yhbY	yhbY	yhbY
btsS // btsR	btsS // btsR	btsS // btsR
slp-dctR	dctR // slp	dctR // slp
yheU // yheT // yheS	yheU // yheT // yheS	yheU // yheT // yheS
ptsHI-crr	ptsH // ptsI // crr	ptsH // ptsI // crr
C0362	C0362	C0362
topA	topA	topA
essD-ybcS-rzpD	rzpD // rrrD // essD	rzpD // rrrD // essD
arcB	arcB	arcB
ycdY // ycdX	ycdY // ycdX	ycdY // ycdX
ybeL	ybeL	ybeL
yegW	yegW	yegW
fadL	fadL	fadL
aaeXAB	aaeX // aaeA // aaeB	aaeX // aaeA // aaeB
ppiA	ppiA	ppiA
yfhG	qseG	qseG
mfd	mfd	mfd
htrG-cca	cca // ygiM	cca // ygiM
osmF-yehYXW	yehW // yehX // yehY // osmF	yehW // yehX // yehY // osmF
tusE	tusE	tusE
yafU	yafU	yafU
yeeZ	yeeZ	yeeZ
sodA	sodA	sodA
ispB	ispB	ispB
clpA	clpA	clpA
yadN	yadN	yadN
pspF	pspF	pspF
uidABC	uidC // uidB // uidA	uidC // uidB // uidA
ycaQ // lpxK // msbA // ycaI	ycaQ // lpxK // msbA // ycaI	ycaQ // lpxK // msbA // ycaI
tesB	tesB	tesB
yeeN	yeeN	yeeN
ompA	ompA	ompA
cyuP // cyuA	cyuP // cyuA	cyuP // cyuA
lysU	lysU	lysU
modABC	modC // modB // modA	modC // modB // modA
cspA	cspA	cspA
gapA	gapA	gapA
ybjL	ybjL	ybjL
tusA	tusA	tusA
yedN	yedN	yedN
ivbL-ilvBN	ilvN // ilvB // ivbL	ilvN // ilvB // ivbL
ygjK // ygjJ	ygjK // ygjJ	ygjK // ygjJ
grpE	grpE	grpE
ftsZ	ftsZ	ftsZ
pgk	pgk	pgk
lacZYA	lacA // lacY // lacZ	lacA // lacY // lacZ
ybiX	ybiX	ybiX
proC	proC	proC
lpxM	lpxM	lpxM
cyaA	cyaA	cyaA
ygiW	ygiW	ygiW
stpA	stpA	stpA
yghO	yghO	yghO
xdhABC	xdhC // xdhB // xdhA	xdhC // xdhB // xdhA
rpiB	rpiB	rpiB
zitB	zitB	zitB
metY	metY	metY
proQ // prc	proQ // prc	proQ // prc
menA-rraA	rraA // menA	rraA // menA
pitB	pitB	pitB
focA-pflB	pflB // focA	pflB // focA
prfC	prfC	prfC
ivbL-ilvBN-uhpABC	uhpC // uhpB // uhpA // ilvN // ilvB // ivbL	uhpC // uhpB // uhpA // ilvN // ilvB // ivbL
ahpCF	ahpF // ahpC	ahpF // ahpC
rpoE-rseABC	rseD // rseC // rseB // rseA // rpoE	rseD // rseC // rseB // rseA // rpoE
rssB	rssB	rssB
chiQ	chiQ	chiQ
yeaQ	yeaQ	yeaQ
pheM	pheM	pheM
yacC-speED	yacC // speD // speE	yacC // speD // speE
mscS	mscS	mscS
nanS	nanS	nanS
gadW	gadW	gadW
ascB	ascB	ascB
hypABCDE-fhlA	fhlA // hypE // hypD // hypC // hypB // hypA	fhlA // hypE // hypD // hypC // hypB // hypA
lipA	lipA	lipA
ynjE	ynjE	ynjE
insH-8	insH8	insH8
rpmH-rnpA	rpmH // rnpA	rpmH // rnpA
xdhD // ygfM	xdhD // ygfM	xdhD // ygfM
insD6 // insC6 // insCD6	insD6 // insC6 // insCD6	insD6 // insC6 // insCD6
pstB-phoU	phoU // pstB	phoU // pstB
micL	micL	micL
yoeA	yoeA	yoeA
ybdJ	ybdJ	ybdJ
ydiM	ydiM	ydiM
narP	narP	narP
ppk-ppx	ppx // ppk	ppx // ppk
pbl	pbl	pbl
ytfI	ytfI	ytfI
groL	groL	groL
feaR	feaR	feaR
exoD	exoD	exoD
insK	insK	insK
sodC	sodC	sodC
gltS	gltS	gltS
mutH	mutH	mutH
nikABCDER	nikR // nikA // nikB // nikC // nikD // nikE	nikR // nikA // nikB // nikC // nikD // nikE
epmA	epmA	epmA
rpoS	rpoS	rpoS
frr	frr	frr
hemH	hemH	hemH
msyB	msyB	msyB
ynfK	ynfK	ynfK
dacB	dacB	dacB
ygcS	ygcS	ygcS
hybOABCDEFG	hybO // hybG // hybF // hybE // hybD // hybC // hybB // hybA	hybO // hybG // hybF // hybE // hybD // hybC // hybB // hybA
mdtN // mdtO // mdtP	mdtN // mdtO // mdtP	mdtN // mdtO // mdtP
phoH	phoH	phoH
pykA	pykA	pykA
bluF	bluF	bluF
queC	queC	queC
glnQ	glnQ	glnQ
ydfU // ydfT	ydfU // ydfT	ydfU // ydfT
dcuD	dcuD	dcuD
ygaH // ygaZ	ygaH // ygaZ	ygaH // ygaZ
flgBCDEFGHIJ	flgB // flgC // flgD // flgE // flgF // flgG // flgH // flgI // flgJ	flgB // flgC // flgD // flgE // flgF // flgG // flgH // flgI // flgJ
yjbH // yjbG // yjbF	yjbH // yjbG // yjbF	yjbH // yjbG // yjbF
mlc	mlc	mlc
ampH	ampH	ampH
leuO	leuO	leuO
iraP	iraP	iraP
rstAB	rstB // rstA	rstB // rstA
yneJ	yneJ	yneJ
yfjH	yfjH	yfjH
yfjT // yfjS // ypjK // yfjR	yfjT // yfjS // ypjK // yfjR	yfjT // yfjS // ypjK // yfjR
dapA-nlpB	bamC // dapA	bamC // dapA
yijE	yijE	yijE
torYZ	torZ // torY	torZ // torY
mutL-miaA-hfq-hflXKC	hflC // hflK // hflX // hfq // miaA // mutL	hflC // hflK // hflX // hfq // miaA // mutL
csrA	csrA	csrA
yahJ // yahI	yahJ // yahI	yahJ // yahI
polB	polB	polB
pqqL	pqqL	pqqL
yfaH	yfaH	yfaH
raiA	raiA	raiA
artPIQM	artM // artQ // artI // artP	artM // artQ // artI // artP
yihUTS	yihU // yihT // yihS	yihU // yihT // yihS
gadAX	gadX // gadA	gadX // gadA
glcBA	glcA // glcB	glcA // glcB
rpsI terminator // rpsI	rpsI	rpsI
ecpBCDE	ecpB // ecpC // ecpD // ecpE	ecpB // ecpC // ecpD // ecpE
moaBCDE	moaE // moaD // moaC // moaB	moaE // moaD // moaC // moaB
curA	curA	curA
yeaL	yeaL	yeaL
suhB	suhB	suhB
serA	serA	serA
rmuC	rmuC	rmuC
ilvLXG_1G_2MEDA	ilvX // ilvG // ilvA // ilvD // ilvE // ilvM // ilvL	ilvX // ilvG // ilvA // ilvD // ilvE // ilvM // ilvL
ybjN	ybjN	ybjN
cspF	cspF	cspF
insN-1p // insO1 // insI1 // insN	insI1 // insN	insI1 // insN
hcp-hcr	hcr // hcp	hcr // hcp
mokB	mokB	mokB
ycjW	ycjW	ycjW
narQ	narQ	narQ
wza-wzb-wzc-wcaAB	wcaB // wcaA // wzc // wzb // wza	wcaB // wcaA // wzc // wzb // wza
ppiC	ppiC	ppiC
garPLRK-rnpB	rnpB // garK // garR // garL // garP	rnpB // garK // garR // garL // garP
dksA-yadB	gluQ // dksA	gluQ // dksA
bamC	bamC	bamC
gmhA	gmhA	gmhA
nanCM	nanM // nanC	nanM // nanC
ompN	ompN	ompN
ycbX	ycbX	ycbX
murR	murR	murR
metC	metC	metC
dgoRKADT	dgoR // dgoK // dgoA // dgoD // dgoT	dgoR // dgoK // dgoA // dgoD // dgoT
napFDAGHBC-ccmABCDEFGH	ccmH // ccmG // ccmF // ccmE // ccmD // ccmC // ccmB // ccmA // napC // napB // napH // napG // napA // napD // napF	ccmH // ccmG // ccmF // ccmE // ccmD // ccmC // ccmB // ccmA // napC // napB // napH // napG // napA // napD // napF
ybeZYX-lnt	lnt // ybeX // ybeY // ybeZ	lnt // ybeX // ybeY // ybeZ
nhaAR	nhaR // nhaA	nhaR // nhaA
fur	fur	fur
hisBHAFI	hisI // hisF // hisA // hisH // hisB	hisI // hisF // hisA // hisH // hisB
zntB	zntB	zntB
yraL	rsmI	rsmI
torI	torI	torI
ihfB	ihfB	ihfB
dinD	dinD	dinD
kdsA	kdsA	kdsA
ftsK	ftsK	ftsK
mhpR-lacI	lacI // mhpR	lacI // mhpR
ppdD-hofBC	ppdD // hofB // hofC	ppdD // hofB // hofC
agaSYBCDI	agaI // agaD // agaC // agaB // kbaY // agaS	agaI // agaD // agaC // agaB // kbaY // agaS
sapA // sapB // sapC // sapD // sapF	sapA // sapB // sapC // sapD // sapF	sapA // sapB // sapC // sapD // sapF
ynjH	ynjH	ynjH
rpnB	rpnB	rpnB
fumB	fumB	fumB
yiaY	yiaY	yiaY
fimE	fimE	fimE
hisJQMP	hisP // hisM // hisQ // hisJ	hisP // hisM // hisQ // hisJ
rcsB	rcsB	rcsB
mokC // hokC	mokC // hokC	mokC // hokC
serB-radA	radA // serB	radA // serB
ychJ	ychJ	ychJ
iraD	idlP // iraD	idlP // iraD
elaD	elaD	elaD
cynTSX	cynT // cynS // cynX	cynT // cynS // cynX
yhjG	yhjG	yhjG
rseABC	rseC // rseB // rseA	rseC // rseB // rseA
ileS-lspA-fkpB-ispH	ispH // fkpB // lspA // ileS	ispH // fkpB // lspA // ileS
sbmA-yaiW	yaiW // sbmA	yaiW // sbmA
dnaN-recF	recF // dnaN	recF // dnaN
bcp	bcp	bcp
ymgG // ymgD	ymgG // ymgD	ymgG // ymgD
yjcB	yjcB	yjcB
yejM // yejL	yejM // yejL	yejM // yejL
ubiG	ubiG	ubiG
yhhI	yhhI	yhhI
serT	serT	serT
aspU	aspU	aspU
cydAB	cydB // cydA	cydB // cydA
ptsG	ptsG	ptsG
dapB	dapB	dapB
tfaP // ycfK // ymfQ // jayE // beeE // ymfR // ymfN // ymfM // ymfL // ymfT	tfaP // ycfK // ymfQ // jayE // beeE // ymfR // ymfN // ymfM // ymfL // ymfT	tfaP // ycfK // ymfQ // jayE // beeE // ymfR // ymfN // ymfM // ymfL // ymfT
yiaT	yiaT	yiaT
yeiE	yeiE	yeiE
carAB	carA // carB	carA // carB
rpnA	rpnA	rpnA
valVW	valV // valW	valV // valW
nemA	nemA	nemA
metJ	metJ	metJ
cysG	cysG	cysG
ugpBAECQ	ugpQ // ugpC // ugpE // ugpA // ugpB	ugpQ // ugpC // ugpE // ugpA // ugpB
yceQ	yceQ	yceQ
yhbO	yhbO	yhbO
yehQ // yehP // yehM // yehL	yehQ // yehP // yehM // yehL	yehQ // yehP // yehM // yehL
mtr	mtr	mtr
yheO-tusDCB	yheO // tusD // tusC // tusB	yheO // tusD // tusC // tusB
ompC	ompC	ompC
isrC	isrC	isrC
mgrB	mgrB	mgrB
yhjJ	yhjJ	yhjJ
yggX	yggX	yggX
insE4 // insF4 // insEF4	insE4 // insF4 // insEF4	insE4 // insF4 // insEF4
ybcY	ybcY	ybcY
cyaR	cyaR	cyaR
cysB	cysB	cysB
degQS	degS // degQ	degS // degQ
fecIR	fecR // fecI	fecR // fecI
yhjR	yhjR	yhjR
hpt	hpt	hpt
infA	infA	infA
ccmABCDEFGH	ccmH // ccmG // ccmF // ccmE // ccmD // ccmC // ccmB // ccmA	ccmH // ccmG // ccmF // ccmE // ccmD // ccmC // ccmB // ccmA
yccT	yccT	yccT
yafC	yafC	yafC
yeeED	yeeE // yeeD	yeeE // yeeD
pyrD	pyrD	pyrD
yhbX	yhbX	yhbX
epd-pgk	pgk // epd	pgk // epd
macAB	macB // macA	macB // macA
