TUs	TU_Genes	Gene_Names
abgA // abgB // abgT // ogt	abgA // abgB // abgT // ogt	abgA // abgB // abgT // ogt
yqjI	nfeR	nfeR
ypdJ	ypdJ	ypdJ
ihfA	ihfA	ihfA
yicC	yicC	yicC
ychQA-kdsA	kdsA // ychA // ychQ	kdsA // ychA // ychQ
ftsK	ftsK	ftsK
tufA	tufA	tufA
coaE // zapD // yacG	coaE // zapD // yacG	coaE // zapD // yacG
agaR	agaR	agaR
ycjD	ycjD	ycjD
ynjF	ynjF	ynjF
folX-yfcH	yfcH // folX	yfcH // folX
ndh	ndh	ndh
yiaW // yiaV	yiaW // yiaV	yiaW // yiaV
fimAICDFGH	fimD // fimH // fimG // fimF // fimC // fimI // fimA	fimD // fimH // fimG // fimF // fimC // fimI // fimA
eno	eno	eno
fhuF	fhuF	fhuF
insL1	insL1	insL1
sbcB	sbcB	sbcB
purU	purU	purU
yjiC	yjiC	yjiC
rbn	rbn	rbn
pck	pck	pck
yhjE	yhjE	yhjE
sdhCDAB-sucABCD-sdhX	sdhX // sdhC // sdhD // sdhA // sdhB // sucA // sucB // sucC // sucD	sdhX // sdhC // sdhD // sdhA // sdhB // sucA // sucB // sucC // sucD
dgt	dgt	dgt
bacA	bacA	bacA
dnaN-recF	recF // dnaN	recF // dnaN
aspC	aspC	aspC
yiiU	zapB	zapB
rplY terminator // rplVp // rplY	rplY	rplY
tdcABCDEFG	tdcG // tdcF // tdcE // tdcD // tdcC // tdcB // tdcA	tdcG // tdcF // tdcE // tdcD // tdcC // tdcB // tdcA
yrhC	yrhC	yrhC
serW	serW	serW
trpt	trpT	trpT
cydAB	cydB // cydA	cydB // cydA
ptsG	ptsG	ptsG
folA	folA	folA
ymfK	ymfK	ymfK
wecH	wecH	wecH
folE-yeiB	folE // yeiB	folE // yeiB
carAB	carA // carB	carA // carB
yhgF	yhgF	yhgF
lysT-valT-lysW	lysT // valT // lysW	lysT // valT // lysW
ydhM	nemR	nemR
metJ	metJ	metJ
ygbA	ygbA	ygbA
serC	serC	serC
murJ	murJ	murJ
yhaJ	yhaJ	yhaJ
yehK	yehK	yehK
fabA	fabA	fabA
bfd // bfr	bfd // bfr	bfd // bfr
ompC	ompC	ompC
sraB	sraB	sraB
treR	treR	treR
malQ	malQ	malQ
mutY-yggX-mltC	mltC // yggX // mutY	mltC // yggX // mutY
efeB // efeO	efeB // efeO	efeB // efeO
ybaK	ybaK	ybaK
trhP	trhP	trhP
araE	araE	araE
yhcB	yhcB	yhcB
emrRAB	mprA // emrA // emrB	mprA // emrA // emrB
glf-rfc	wbbH // glf	wbbH // glf
psiE	psiE	psiE
infA	infA	infA
pdxA-rsmA	rsmA // pdxA	rsmA // pdxA
mgsA	mgsA	mgsA
yadD	rpnC	rpnC
dacD terminator // dacD	dacD	dacD
pyrC	pyrC	pyrC
nlpI	nlpI	nlpI
rpoS	rpoS	rpoS
rhaM	rhaM	rhaM
ychF	ychF	ychF
uxaCA	uxaA // uxaC	uxaA // uxaC
pflA	pflA	pflA
ybaP	ybaP	ybaP
yodB	yodB	yodB
narGHJI	narG // narH // narJ // narI	narG // narH // narJ // narI
yqjG	yqjG	yqjG
icd	icd	icd
rne	rne	rne
aer	aer	aer
gadE	gadF // gadE	gadF // gadE
deoR	deoR	deoR
rluF	rluF	rluF
dcyD-tcyLN	dcyD // tcyL // tcyN	dcyD // tcyL // tcyN
glnLG	glnG // glnL	glnG // glnL
ygiF // glnE	ygiF // glnE	ygiF // glnE
ibpAB	ibpB // ibpA	ibpB // ibpA
yciY	yciY	yciY
rnlB	rnlB	rnlB
nfsB	nfsB	nfsB
cecR-ybhGFSR	cecR // ybhG // ybhF // ybhS // ybhR	cecR // ybhG // ybhF // ybhS // ybhR
pepN	pepN	pepN
yebF	yebF	yebF
aroP	aroP	aroP
parC	parC	parC
otsA	otsA	otsA
cyaY	cyaY	cyaY
flhDC	flhC // flhD	flhC // flhD
seqA-pgm	pgm // seqA	pgm // seqA
argA	argA	argA
mntP	mntP	mntP
sohB	sohB	sohB
pppA	pppA	pppA
xylFGHR	xylF // xylG // xylH // xylR	xylF // xylG // xylH // xylR
uhpABC	uhpC // uhpB // uhpA	uhpC // uhpB // uhpA
ydeA	ydeA	ydeA
exuT	exuT	exuT
sdiA	sdiA	sdiA
gapC_1C_2	gapC	gapC
ybeX // lnt	ybeX // lnt	ybeX // lnt
dgcJ	dgcJ	dgcJ
ligB	ligB	ligB
selAB	selB // selA	selB // selA
ssrS-ygfA	fau // ssrS	fau // ssrS
yjhIHG	yjhI // yjhH // yjhG	yjhI // yjhH // yjhG
murQP	murP // murQ	murP // murQ
ariR	ariR	ariR
queE	queE	queE
dpiBA	dpiA // dpiB	dpiA // dpiB
tcyP	tcyP	tcyP
insH-1	insH1	insH1
rplM-rpsI	rpsI // rplM	rpsI // rplM
yqeB	yqeB	yqeB
pepA	pepA	pepA
ssrS-ygfA	fau // ssrS	fau // ssrS
serC	serC	serC
tfaD	tfaD	tfaD
acrR	acrR	acrR
ydiJ // menI // ydiH	ydiJ // menI // ydiH	ydiJ // menI // ydiH
nudE	nudE	nudE
phoPQ	phoQ // phoP	phoQ // phoP
ygeF	ygeF	ygeF
cycA	cycA	cycA
alr	alr	alr
