Transcription Units from All genes of E. coli K-12 substr. MG1655	Matches	Sequence - coordinates of DNA region	Sequence - length of region	Direction
TU0-7461	EG11387	[amyA 2,006,156 &rarr; 2,007,643]	1488	+
TU0-13355	G6880	[TU0-13355 1,718,493 &larr; 1,719,602]	1110	-
TU00238	EG10045 // EG11135	[ansA-pncA 1,850,860 &rarr; 1,852,528]	1669	+
TU0-6569	EG10046	[ansB 3,099,682 &larr; 3,100,728]	1047	-
TU00075	EG10046	[ansB 3,099,682 &larr; 3,100,728]	1047	-
TU0-8147	G6764	[ansP 1,524,481 &larr; 1,525,980]	1500	-
TU0-8148	G6764	[ansP 1,524,481 &larr; 1,525,980]	1500	-
TU0-5202	EG10048 // EG10047	[apaGH 50,380 &larr; 51,606]	1227	-
TU0-14121	EG11934	[TU0-14121 4,269,414 &rarr; 4,270,127]	714	+
TU00461	EG10049	[appA 1,040,617 &rarr; 1,041,915]	1299	+
TU00097	EG10049 // EG11380 // EG11379 // G0-10588	[appCBA-yccB 1,037,740 &rarr; 1,041,915]	4176	+
TU0-45143	EG10050	[appY 583,681 &rarr; 584,430]	750	+
TU0-42454	EG10050	[appY 583,681 &rarr; 584,430]	750	+
TU0-8479	EG10050	[appY 583,681 &rarr; 584,430]	750	+
TU0-12947	EG10051	[apt 491,412 &rarr; 491,963]	552	+
TU0-1106	EG13270	[aqpZ 915,352 &larr; 916,047]	696	-
TU00214	EG10053 // EG10052 // EG10055	[araBAD 65,855 &larr; 70,048]	4194	-
TU00003	EG10054	[araC 70,387 &rarr; 71,265]	879	+
TU00076	EG10056	[araE 2,980,764 &larr; 2,982,182]	1419	-
TU0-42571	EG11157 // EG10056	[araE-ygeA 2,979,943 &larr; 2,982,182]	2240	-
TU0-42451	EG10057 // EG10059 // EG10058	[araFGH 1,982,554 &larr; 1,986,128]	3575	-
TU00098	EG10057 // EG10059 // EG10058	[araFGH 1,982,554 &larr; 1,986,128]	3575	-
TU00099	EG10060	[araJ 411,297 &larr; 412,481]	1185	-
TU348	EG10061	[arcA 4,639,590 &larr; 4,640,306]	717	-
TU345	EG10061	[arcA 4,639,590 &larr; 4,640,306]	717	-
TU352	EG10061	[arcA 4,639,590 &larr; 4,640,306]	717	-
TU346	EG10061	[arcA 4,639,590 &larr; 4,640,306]	717	-
TU354	EG10061	[arcA 4,639,590 &larr; 4,640,306]	717	-
TU347	EG10061	[arcA 4,639,590 &larr; 4,640,306]	717	-
TU344	EG10061	[arcA 4,639,590 &larr; 4,640,306]	717	-
TU0-5621	EG10062	[arcB 3,350,689 &larr; 3,353,025]	2337	-
TU0-8517	G0-8871	[arcZ 3,350,577 &rarr; 3,350,697]	121	+
TU0-13910	G0-10465	[arfA 3,438,431 &larr; 3,438,649]	219	-
TU0-8472	EG10063	[argA 2,949,242 &rarr; 2,950,573]	1332	+
TU00004	EG10064 // EG10065 // EG11223	[argCBH 4,155,001 &rarr; 4,158,223]	3223	+
TU00111	EG10066	[argD 3,488,960 &larr; 3,490,180]	1221	-
TU0-6886	EG11286	[argE 4,153,696 &larr; 4,154,847]	1152	-
TU00226	EG11286	[argE 4,153,696 &larr; 4,154,847]	1152	-
TU00005	EG10067	[argF 289,301 &larr; 290,305]	1005	-
TU0-5501	EG10068	[argG 3,318,637 &rarr; 3,319,980]	1344	+
TU0-42684	EG11223	[argH 4,156,850 &rarr; 4,158,223]	1374	+
TU00006	EG10069	[argI 4,477,307 &larr; 4,478,311]	1005	-
TU0-13799	EG11159	[argO 3,068,173 &larr; 3,068,808]	636	-
TU0-1341	EG10490	[argP 3,059,753 &rarr; 3,060,646]	894	+
TU0-14512	EG30013	[argQ 2,817,784 &larr; 2,817,860]	77	-
TU00007	EG10070	[argR 3,384,703 &rarr; 3,385,173]	471	+
TU0-3501	EG10070	[argR 3,384,703 &rarr; 3,385,173]	471	+
TU0-13444	EG10071	[argS 1,960,062 &rarr; 1,961,795]	1734	+
TU0-3581	EG10452 // EG12125 // EG10007 // EG12124 // EG10072	[argT-hisJQMP 2,423,736 &larr; 2,427,791]	4056	-
TU00491	EG30014	[argU 564,723 &rarr; 564,799]	77	+
TU00500	EG30016	[argW 2,466,309 &rarr; 2,466,383]	75	+
TU00503	EG30049 // EG30042 // EG30017 // EG30068	[argX-hisR-leuT-proM 3,982,375 &rarr; 3,982,811]	437	+
TU0-42593	G6606	[ariR 1,216,369 &rarr; 1,216,635]	267	+
TU0-13569	G0-10460 // G7171 // G7166 // G7170 // G7168 // G7167 // G7169	[TU0-13569 2,365,910 &rarr; 2,373,278]	7369	+
TU0-42694	EG10076	[aroD 1,774,686 &rarr; 1,775,444]	759	+
TU00008	EG11039 // EG10078	[aroF-tyrA 2,738,948 &larr; 2,741,150]	2203	-
