Transcription Units from All genes of E. coli K-12 substr. MG1655	Matches	Sequence - coordinates of DNA region	Sequence - length of region	Direction
TU0-13022	G6371	[TU0-13022 709,790 &rarr; 710,116]	327	+
TU0-8522	G0-9382	[chiX 507,204 &rarr; 507,287]	84	+
TU0-8267	G6937	[cho 1,823,515 &rarr; 1,824,402]	888	+
TU00250	EG12096 // EG11250	[chpSB 4,448,447 &rarr; 4,449,042]	596	+
TU0-1261	EG12096 // EG11250	[chpSB 4,448,447 &rarr; 4,449,042]	596	+
TU00014	EG10155	[cirA 2,244,778 &larr; 2,246,769]	1992	-
TU00015	EG10155	[cirA 2,244,778 &larr; 2,246,769]	1992	-
TU0-14750	G6339 // G6340 // G6344 // G6343 // G6341 // G6342	[citCDEFXG 646,631 &larr; 651,856]	5226	-
TU0-12999	G6339 // G6340 // G6344 // G6343 // G6341 // G6342	[citCDEFXG 646,631 &larr; 651,856]	5226	-
TU0-12998	G6338	[TU0-12998 645,117 &larr; 646,580]	1464	-
TU0-12821	EG12331	[TU0-12821 175,107 &rarr; 176,528]	1422	+
TU0-13337	G6850	[TU0-13337 1,665,315 &rarr; 1,666,571]	1257	+
TU00447	EG10156	[clpA 923,264 &rarr; 925,540]	2277	+
TU00445	EG10156	[clpA 923,264 &rarr; 925,540]	2277	+
TU00446	EG10156	[clpA 923,264 &rarr; 925,540]	2277	+
TU00421	EG10157	[clpB 2,731,600 &larr; 2,734,173]	2574	-
TU0-14490	EG10159 // EG10158	[clpPX 456,677 &rarr; 458,700]	2024	+
TU00419	EG10159 // EG10158	[clpPX 456,677 &rarr; 458,700]	2024	+
TU00251	EG10159 // EG10158	[clpPX 456,677 &rarr; 458,700]	2024	+
TU0-14357	G6463	[clpS 922,913 &rarr; 923,233]	321	+
TU0-14455	EG10159 // EG10542	[clpX-lon 457,426 &rarr; 461,242]	3817	+
TU863	G6633 // EG11608	[clsA-yciU 1,306,821 &larr; 1,308,645]	1825	-
TU0-14619	G6551	[clsC 1,106,355 &rarr; 1,107,776]	1422	+
TU361	EG10900 // EG11265	[cmk-rpsA 961,201 &rarr; 963,668]	2468	+
TU0-14699	G6440	[cmr 883,673 &rarr; 884,905]	1233	+
TU423	G6440	[cmr 883,673 &rarr; 884,905]	1233	+
TU0-13801	EG11245 // EG11162 // EG11792 // EG11791 // EG11161 // G7520	[TU0-13801 3,073,976 &larr; 3,079,330]	5355	-
TU0-13352	G6869	[TU0-13352 1,704,949 &rarr; 1,705,164]	216	+
TU0-14228	EG10922	[coaA 4,174,076 &larr; 4,175,026]	951	-
TU0-12810	EG12314 // EG12313 // EG12312	[TU0-12810 111,649 &larr; 113,219]	1571	-
TU0-8368	EG12150 // EG13238 // EG12151	[cobUST 2,063,388 &larr; 2,065,764]	2377	-
TU00252	EG12150 // EG13238 // EG12151	[cobUST 2,063,388 &larr; 2,065,764]	2377	-
TU00197	EG11327 // EG11326	[codBA 354,922 &rarr; 357,454]	2533	+
TU0-12935	G6246	[TU0-12935 467,412 &rarr; 468,230]	819	+
TU0-3122	G6260	[copA 508,875 &larr; 511,379]	2505	-
TU00455	EG11463	[corA 4,001,426 &rarr; 4,002,376]	951	+
