Protein ID	Gene names 	selected_HL	HL_value	HL_value_STD	cHL_to_sHL_ratio	cHL_STD_to_sHL_STD_ratio	HL_value_uncapped
sp|P00350|6PGD_ECOLI	gnd	constant_HL_model_3vs12_6vs12_mean	12.0	0.4725807631192969	0.19911930558121516	0.0037986136595762727	29.709034282124243
sp|P00363|FRDA_ECOLI	frdA	constant_HL_model_mean	12.0				113.27449947409745
sp|P00370|DHE4_ECOLI	gdhA	standard_HL_model_6_12_mean	12.0	1.6223195200133684	0.5074174315824059	1.408794925800936	19.694900855684228
sp|P00393|DHNA_ECOLI	ndh	constant_HL_model_3vs12_6vs12_mean	12.0	53.24637216524429			90.17015961226262
sp|P00448|SODM_ECOLI	sodA	constant_HL_model_3vs6_3vs12_mean	12.0	16.569435797866426	0.14509408315643466	0.15839300316707447	15.761292112772527
sp|P00452|RIR1_ECOLI	nrdA	standard_HL_model_6_12_mean	12.0	9.165655282355388	0.4975446229894279	1.1825717338489599	33.63432688962926
sp|P00509|AAT_ECOLI	aspC	standard_HL_model_6_12_mean	12.0	1.8217607321790497	0.3726355452988358	6.844157234019231	73.58651595752127
sp|P00547|KHSE_ECOLI	thrB	standard_HL_model_3_12_mean	12.0	0.23163547910880702	0.7142298609398995	50.96188205145174	30.308872214009078
sp|P00550|PTM3C_ECOLI	mtlA	constant_HL_model_3vs12_6vs12_mean	12.0	64.17836350058128			103.42051312206678
sp|P00561|AK1H_ECOLI	thrA	constant_HL_model_mean	12.0				64.8290832724554
sp|P00562|AK2H_ECOLI	metL	standard_HL_model_6_12_mean	12.0	10.604431498611216	0.48905705741743943	1.0785567998523093	33.92365881445653
sp|P00579|RPOD_ECOLI	rpoD	standard_HL_model_6_12_mean	12.0	2.104100630520826	0.9215507723350141	2.0699986060364286	25.33687477201199
sp|P00582|DPO1_ECOLI	polA	constant_HL_model_3vs6_3vs12_mean	12.0	174.1623019650133	0.2711797229511607	0.3707614785870876	234.70003852073208
sp|P00634|PPB_ECOLI	phoA	constant_HL_model_mean	12.0				71.65438990256747
sp|P00803|LEP_ECOLI	lepB	constant_HL_model_3vs12_6vs12_mean	12.0	35.68202779611484			75.14357971958331
sp|P00805|ASPG2_ECOLI	ansB	constant_HL_model_mean	4.764445552710929				4.764445552710929
sp|P00811|AMPC_ECOLI	ampC	constant_HL_model_3vs12_6vs12_mean	12.0	6.325351556237365	0.058588420463104786	0.010550400883016633	28.18746093441424
sp|P00861|DCDA_ECOLI	lysA	standard_HL_model_6_12_mean	12.0	1.1974144894691041	0.5816971429652967	4.11452003663225	23.940561335565775
sp|P00864|CAPP_ECOLI	ppc	constant_HL_model_3vs12_6vs12_mean	12.0	0.9322481801873818	0.7427138277356331	0.045489300403841394	106.8758921160441
sp|P00887|AROH_ECOLI	aroH	constant_HL_model_3vs12_6vs12_mean	12.0	18.04883554074223			29.128826467894648
sp|P00888|AROF_ECOLI	aroF	standard_HL_model_6_12_mean	5.42045341369664	0.31532299556264615	0.5213683865798777	4.073988503831517	5.42045341369664
sp|P00893|ILVI_ECOLI	ilvI	constant_HL_model_3vs12_6vs12_mean	12.0	42.41066117255712			61.86968083416099
sp|P00894|ILVH_ECOLI	ilvH	constant_HL_model_3vs12_6vs12_mean	12.0	6.904081897512934	0.15123581997701388	0.022266778382611655	46.132070247777975
sp|P00895|TRPE_ECOLI	trpE	standard_HL_model_3_6_mean	12.0	1.844672123220119	0.2662649267605941	4.654465483087194	117.26902281398995
sp|P00904|TRPGD_ECOLI	trpGD	constant_HL_model_3vs6_3vs12_mean	12.0	20.91451441302571	0.3906962461175345	0.5180892373099832	20.385567269292803
sp|P00909|TRPC_ECOLI	trpC	constant_HL_model_3vs12_6vs12_mean	12.0	0.12496209668861395	0.5837434564874007	0.024237884409198156	14.731321491585208
sp|P00914|PHR_ECOLI	phrB	constant_HL_model_3vs12_6vs12_mean	12.0	5.165677211876145			69.20358971460372
sp|P00926|SDHD_ECOLI	dsdA	constant_HL_model_3vs12_6vs12_mean	12.0	22.850048179590253			24.83736302155647
sp|P00934|THRC_ECOLI	thrC	constant_HL_model_3vs6_3vs12_mean	12.0	42.63419123035561			63.610480651770075
sp|P00935|METB_ECOLI	metB	constant_HL_model_3vs6_3vs12_mean	12.0	18.075583011713434	0.4920833454671205	0.8225618199757928	22.100431398001433
sp|P00944|XYLA_ECOLI	xylA	standard_HL_model_6_12_mean	12.0	4.102587448041632	0.5946110307763322	1.888934629975137	27.86959897262101
sp|P00946|MANA_ECOLI	manA	standard_HL_model_6_12_mean	12.0	23.80221005122911	0.5626078059173057	1.1427949626228413	79.44994129684997
sp|P00954|SYW_ECOLI	trpS	constant_HL_model_3vs6_3vs12_mean	12.0	25.476208439656666	0.5075384160108953	0.917769555620186	36.431621284962254
sp|P00956|SYI_ECOLI	ileS	standard_HL_model_3_12_mean	12.0	69.22932147361516	1.3388154953116587	2.262188186539002	141.83705212826206
sp|P00957|SYA_ECOLI	alaS	constant_HL_model_3vs12_6vs12_mean	12.0	18.42748316362372			73.26334384196096
sp|P00959|SYM_ECOLI	metG	constant_HL_model_3vs12_6vs12_mean	12.0	3.689250560316872	0.5174358462370479	0.22474178390409888	31.10924609807146
sp|P00960|SYGA_ECOLI	glyQ	constant_HL_model_mean	12.0				49.959580067180376
