Protein ID	half_life (units.min)	notes	assignment
sp|P02931|OMPF_ECOLI	669.5624004	consistent	C-lim12_1
sp|P03007|DPO3E_ECOLI	204.40069986	consistent	C-lim12_1
sp|P03018|UVRD_ECOLI	528.23064426	consistent	C-lim12_1
sp|P03024|GALR_ECOLI	429.0174528	consistent	C-lim12_1
sp|P03813|YGEA_ECOLI	426.4525491	consistent	C-lim12_1
sp|P03817|MIOC_ECOLI	640.6884474000001	consistent	C-lim12_1
sp|P03819|KEFC_ECOLI	795.689259	consistent	C-lim12_1
sp|P03841|MALM_ECOLI	697.7615676	consistent	C-lim12_1
sp|P04036|DAPB_ECOLI	747.5527272	consistent	C-lim12_1
sp|P04079|GUAA_ECOLI	588.70674918	consistent	C-lim12_1
sp|P04335|FRSA_ECOLI	323.64613476	consistent	C-lim12_1
sp|P04391|OTC1_ECOLI	524.16493728	consistent	C-lim12_1
sp|P04693|TYRB_ECOLI	485.2988142	consistent	C-lim12_1
sp|P04816|LIVK_ECOLI	724.5150246000001	consistent	C-lim12_1
sp|P04825|AMPN_ECOLI	651.9575405999999	consistent	C-lim12_1
sp|P04846|NLPA_ECOLI	700.7697629999999	consistent	C-lim12_1
sp|P04949|FLIC_ECOLI	82.31686914000001	consistent	C-lim12_1
sp|P04951|KDSB_ECOLI	666.1090182	consistent	C-lim12_1
sp|P04968|ILVA_ECOLI	531.28418562	consistent	C-lim12_1
sp|P04982|RBSD_ECOLI	655.5780576000001	consistent	C-lim12_1
sp|P04993|RECD_ECOLI	430.81329816	consistent	C-lim12_1
sp|P04995|EX1_ECOLI	659.9270784	consistent	C-lim12_1
sp|P05041|PABB_ECOLI	687.2052851999999	consistent	C-lim12_1
sp|P05042|FUMC_ECOLI	602.443221	consistent	C-lim12_1
sp|P05055|PNP_ECOLI	694.2628506	consistent	C-lim12_1
sp|P05194|AROD_ECOLI	602.4121944	consistent	C-lim12_1
sp|P05458|PTRA_ECOLI	708.5300609999999	consistent	C-lim12_1
sp|P05719|T1SK_ECOLI	681.6541656	consistent	C-lim12_1
sp|P05791|ILVD_ECOLI	644.5855368	consistent	C-lim12_1
sp|P05793|ILVC_ECOLI	631.9485078	consistent	C-lim12_1
sp|P05825|FEPA_ECOLI	959.3672574	consistent	C-lim12_1
sp|P05852|TSAD_ECOLI	535.41446016	consistent	C-lim12_1
sp|P06149|DLD_ECOLI	610.8000264	consistent	C-lim12_1
sp|P06282|CDH_ECOLI	783.4208148	consistent	C-lim12_1
sp|P06709|BIRA_ECOLI	470.80754244	consistent	C-lim12_1
sp|P06710|DPO3X_ECOLI	418.04867124	consistent	C-lim12_1
sp|P06715|GSHR_ECOLI	717.2990916	consistent	C-lim12_1
sp|P06720|AGAL_ECOLI	534.14120736	consistent	C-lim12_1
sp|P06721|METC_ECOLI	587.20243326	consistent	C-lim12_1
sp|P06722|MUTH_ECOLI	543.2189415	consistent	C-lim12_1
sp|P06959|ODP2_ECOLI	663.5129598	consistent	C-lim12_1
