transcription_units,monomers_to_remove
"['EG10118', 'EG10122', 'EG10121', 'EG10119', 'EG10120']","['EG10118', 'EG10122', 'EG10121', 'EG10119', 'EG10120']"
"['EG10123', 'EG11205']","['EG10123', 'EG11205']"
"['EG12007', 'EG12006']","['EG12007', 'EG12006']"
"['EG10128', 'EG10129', 'EG10127']","['EG10128', 'EG10129', 'EG10127']"
"['EG10131', 'EG10132']","['EG10131', 'EG10132']"
"['EG12608', 'EG11557', 'EG11558']","['EG12608', 'EG11557', 'EG11558']"
"['EG12608', 'EG11557', 'EG11558', 'EG11559', 'EG11560', 'EG11561']","['EG12608', 'EG11557', 'EG11558', 'EG11559', 'EG11560', 'EG11561']"
"['EG10134', 'EG10135']","['EG10134', 'EG10135']"
"['EG12845', 'G7425', 'G7426', 'G7427']","['EG12845', 'G7425', 'G7426', 'G7427']"
"['G7430', 'G7429', 'G7428', 'G7427', 'G7426', 'G7425', 'EG12845']","['G7430', 'G7429', 'G7428', 'G7427', 'G7426', 'G7425', 'EG12845']"
"['EG12194', 'EG12193']","['EG12194', 'EG12193']"
"['EG12194', 'EG12193']","['EG12194', 'EG12193']"
"['EG11727', 'EG11726']","['EG11727', 'EG11726']"
"['EG10136', 'EG12434']","['EG10136', 'EG12434']"
"['EG12052', 'EG12053', 'EG12054', 'EG12055', 'EG12169', 'EG12057', 'EG12058', 'EG12059']","['EG12052', 'EG12053', 'EG12054', 'EG12055', 'EG12169', 'EG12057', 'EG12058', 'EG12059']"
"['EG12052', 'EG12053', 'EG12054', 'EG12055', 'EG12169', 'EG12057', 'EG12058', 'EG12059', 'EG12060', 'EG12061', 'EG12062', 'EG12064', 'EG12067', 'EG12143', 'EG12068']","['EG12052', 'EG12053', 'EG12054', 'EG12055', 'EG12169', 'EG12057', 'EG12058', 'EG12059', 'EG12060', 'EG12061', 'EG12062', 'EG12064', 'EG12067', 'EG12143', 'EG12068']"
"['EG10139', 'G6092']","['EG10139', 'G6092']"
"['EG10139', 'G6092', 'EG12715']","['EG10139', 'G6092', 'EG12715']"
"['EG12406', 'G6412', 'G6411', 'G6410', 'G6409']","['EG12406', 'G6412', 'G6411', 'G6410', 'G6409']"
"['EG12402', 'EG12403']","['EG12402', 'EG12403']"
"['EG12198', 'EG10144', 'EG10143', 'EG10142', 'EG10141', 'EG10140']","['EG12198', 'EG10144', 'EG10143', 'EG10142', 'EG10141', 'EG10140']"
"['EG10149', 'EG10146', 'EG10602', 'EG10601']","['EG10149', 'EG10146', 'EG10602', 'EG10601']"
"['EG10151', 'EG10150', 'EG10147', 'EG10148', 'EG10987', 'G7349', 'EG10988']","['EG10151', 'EG10150', 'EG10147', 'EG10148', 'EG10987', 'G7349', 'EG10988']"
"['G6371', 'G6370']","['G6371', 'G6370']"
"['EG12096', 'EG11250', 'EG11250']","['EG12096', 'EG11250', 'EG11250']"
"['EG11250', 'EG12096', 'EG11250']","['EG11250', 'EG12096', 'EG11250']"
"['G6344', 'G6343', 'G6342', 'G6341', 'G6340', 'G6339']","['G6344', 'G6343', 'G6342', 'G6341', 'G6340', 'G6339']"
"['G6339', 'G6340', 'G6341', 'G6342', 'G6343', 'G6344']","['G6339', 'G6340', 'G6341', 'G6342', 'G6343', 'G6344']"
"['EG10158', 'EG10159']","['EG10158', 'EG10159']"
"['EG10159', 'EG10158']","['EG10159', 'EG10158']"
"['G6551', 'G6550']","['G6551', 'G6550']"
"['G7021', 'G7020', 'G7019']","['G7021', 'G7020', 'G7019']"
"['EG11791', 'EG11792', 'G7520', 'EG11245', 'EG11162', 'EG11161']","['EG11791', 'EG11792', 'G7520', 'EG11245', 'EG11162', 'EG11161']"
"['EG12312', 'EG12313', 'EG12314']","['EG12312', 'EG12313', 'EG12314']"
"['G6577', 'G6576']","['G6577', 'G6576']"
"['EG12151', 'EG12150', 'EG13238']","['EG12151', 'EG12150', 'EG13238']"
"['EG11327', 'EG11326']","['EG11327', 'EG11326']"
"['EG12854', 'EG10684', 'EG11008']","['EG12854', 'EG10684', 'EG11008']"
"['EG10163', 'EG10020']","['EG10163', 'EG10020']"
"['G0-16649', 'G7816']","['G0-16649', 'G7816']"
"['EG11217', 'EG11218', 'EG10730', 'EG10145']","['EG11217', 'EG11218', 'EG10730', 'EG10145']"
"['EG10730', 'EG11218', 'EG11217']","['EG10730', 'EG11218', 'EG11217']"
"['G7455', 'G7454', 'EG10215']","['G7455', 'G7454', 'EG10215']"
"['G6548', 'G6547', 'EG11489']","['G6548', 'G6547', 'EG11489']"
"['G6543', 'G6544', 'G6545', 'G6546']","['G6543', 'G6544', 'G6545', 'G6546']"
"['EG12204', 'G7000']","['EG12204', 'G7000']"
"['EG11111', 'G6510']","['EG11111', 'G6510']"
"['EG11849', 'EG11848']","['EG11849', 'EG11848']"
"['EG12367', 'G6322', 'G6321', 'G6320']","['EG12367', 'G6322', 'G6321', 'G6320']"
"['G6318', 'G6319']","['G6318', 'G6319']"
"['EG12177', 'EG12178', 'EG12176']","['EG12177', 'EG12178', 'EG12176']"
"['EG10173', 'EG10174']","['EG10173', 'EG10174']"
"['EG10174', 'EG10173']","['EG10174', 'EG10173']"
"['EG10012', 'EG11405']","['EG10012', 'EG11405']"
"['EG10175', 'EG10176']","['EG10175', 'EG10176']"
"['EG10176', 'EG10175', 'EG10177']","['EG10176', 'EG10175', 'EG10177']"
"['EG10182', 'EG10181', 'EG10180', 'EG10179', 'EG10178']","['EG10182', 'EG10181', 'EG10180', 'EG10179', 'EG10178']"
"['EG10185', 'EG10194', 'EG10186']","['EG10185', 'EG10194', 'EG10186']"
"['EG10189', 'EG10190', 'EG10191']","['EG10189', 'EG10190', 'EG10191']"
"['EG10193', 'EG10183', 'EG10198', 'EG10197', 'EG10195']","['EG10193', 'EG10183', 'EG10198', 'EG10197', 'EG10195']"
"['EG12754', 'G7622']","['EG12754', 'G7622']"
"['EG11407', 'EG11408']","['EG11407', 'EG11408']"
"['EG11408', 'EG11407']","['EG11408', 'EG11407']"
"['EG11418', 'EG11701']","['EG11418', 'EG11701']"
"['EG11889', 'EG11080', 'EG11783', 'EG11890']","['EG11889', 'EG11080', 'EG11783', 'EG11890']"
"['EG11225', 'EG10095']","['EG11225', 'EG10095']"
"['G7826', 'G7827']","['G7826', 'G7827']"
"['G7038', 'G7037', 'EG12347']","['G7038', 'G7037', 'EG12347']"
"['G6777', 'G6778', 'G6779', 'G6780', 'G6781', 'G6782']","['G6777', 'G6778', 'G6779', 'G6780', 'G6781', 'G6782']"
"['EG10215', 'G0-10651']","['EG10215', 'G0-10651']"
"['EG10216', 'EG10454', 'EG10217', 'EG12380', 'G0-9461', 'EG11059']","['EG10216', 'EG10454', 'EG10217', 'EG12380', 'G0-9461', 'EG11059']"
"['EG10216', 'EG10454', 'EG10217', 'EG12380', 'G0-9461', 'EG11059', 'G0-9461']","['EG10216', 'EG10454', 'EG10217', 'EG12380', 'G0-9461', 'EG11059', 'G0-9461']"
"['EG11440', 'EG11268']","['EG11440', 'EG11268']"
"['EG11652', 'G7682']","['EG11652', 'G7682']"
"['EG10221', 'EG10219', 'EG10220', 'EG10222']","['EG10221', 'EG10219', 'EG10220', 'EG10222']"
"['EG10222', 'EG10220']","['EG10222', 'EG10220']"
"['EG10222', 'EG10220', 'EG10219']","['EG10222', 'EG10220', 'EG10219']"
"['G7319', 'G7320']","['G7319', 'G7320']"
"['G6434', 'G6433']","['G6434', 'G6433']"
"['EG12880', 'G7354']","['EG12880', 'G7354']"
"['G7789', 'EG20051', 'EG20049', 'GB4478', 'EG20053']","['G7789', 'EG20051', 'EG20049', 'GB4478', 'EG20053']"
"['EG12399', 'G6626', 'G6627', 'G6626']","['EG12399', 'G6626', 'G6627', 'G6626']"
"['EG10228', 'G6835', 'G6834']","['EG10228', 'G6835', 'G6834']"
"['G6110', 'G6109']","['G6110', 'G6109']"
"['G6353', 'G6352']","['G6353', 'G6352']"
"['G6356', 'G6355']","['G6356', 'G6355']"
"['G7565', 'G7564']","['G7565', 'G7564']"
"['EG10230', 'EG10949']","['EG10230', 'EG10949']"
"['EG10232', 'EG10233', 'EG10234']","['EG10232', 'EG10233', 'EG10234']"
"['EG10234', 'EG10233', 'EG10232']","['EG10234', 'EG10233', 'EG10232']"
"['G6849', 'G6848', 'G6847', 'G6846', 'G6845']","['G6849', 'G6848', 'G6847', 'G6846', 'G6845']"
"['EG10237', 'EG10244']","['EG10237', 'EG10244']"
"['EG10237', 'EG10244', 'EG11215']","['EG10237', 'EG10244', 'EG11215']"
"['EG10238', 'EG10861', 'EG10546', 'EG10545', 'EG11284', 'EG10316', 'EG10455', 'G6093']","['EG10238', 'EG10861', 'EG10546', 'EG10545', 'EG11284', 'EG10316', 'EG10455', 'G6093']"
"['G6783', 'G6784']","['G6783', 'G6784']"
"['G6346', 'G6345']","['G6346', 'G6345']"
"['EG12628', 'EG12627', 'EG12626', 'EG12625', 'EG10248']","['EG12628', 'EG12627', 'EG12626', 'EG12625', 'EG10248']"
"['EG11297', 'EG11831']","['EG11297', 'EG11831']"
"['EG12178', 'EG12176']","['EG12178', 'EG12176']"
"['EG13161', 'EG10250']","['EG13161', 'EG10250']"
"['EG10250', 'EG10249']","['EG10250', 'EG10249']"
"['EG11311', 'EG10317']","['EG11311', 'EG10317']"
"['EG10252', 'EG10253']","['EG10252', 'EG10253']"
"['G0-9562', 'G0-41']","['G0-9562', 'G0-41']"
"['EG10255', 'G7175']","['EG10255', 'G7175']"
"['EG10256', 'EG10257']","['EG10256', 'EG10257']"
"['EG11383', 'G7668']","['EG11383', 'G7668']"
"['EG13283', 'G7233']","['EG13283', 'G7233']"
"['EG10258', 'EG10810']","['EG10258', 'EG10810']"
"['EG10261', 'EG10263', 'EG10260', 'EG10259', 'EG11105']","['EG10261', 'EG10263', 'EG10260', 'EG10259', 'EG11105']"
"['EG10262', 'EG10293']","['EG10262', 'EG10293']"
"['EG10269', 'EG10672']","['EG10269', 'EG10672']"
"['EG10270', 'EG10857']","['EG10270', 'EG10857']"
"['G6829', 'G6828', 'G6827', 'G6826']","['G6829', 'G6828', 'G6827', 'G6826']"
"['EG50006', 'EG50007', 'G7271', 'G7270', 'EG12190']","['EG50006', 'EG50007', 'G7271', 'G7270', 'EG12190']"
"['G7282', 'G7281']","['G7282', 'G7281']"
"['G7286', 'G7285', 'G7284', 'G7283']","['G7286', 'G7285', 'G7284', 'G7283']"
"['G7292', 'G7291', 'G7290', 'G7289', 'G7288', 'G7287']","['G7292', 'G7291', 'G7290', 'G7289', 'G7288', 'G7287']"
"['EG11610', 'EG11609']","['EG11610', 'EG11609']"
"['EG10272', 'EG10271']","['EG10272', 'EG10271']"
"['G7016', 'G7015']","['G7016', 'G7015']"
"['EG12606', 'EG50003']","['EG12606', 'EG50003']"
"['EG10276', 'EG11318', 'EG11317', 'EG10277', 'EG11437']","['EG10276', 'EG11318', 'EG11317', 'EG10277', 'EG11437']"
"['EG10276', 'EG11318', 'EG11317', 'EG10277', 'EG11437', 'EG10890']","['EG10276', 'EG11318', 'EG11317', 'EG10277', 'EG11437', 'EG10890']"
"['EG10277', 'EG11317', 'EG10276', 'EG11318']","['EG10277', 'EG11317', 'EG10276', 'EG11318']"
"['EG11853', 'EG11852', 'EG11851', 'EG11850']","['EG11853', 'EG11852', 'EG11851', 'EG11850']"
"['EG10278', 'EG10279']","['EG10278', 'EG10279']"
"['G7212', 'G7213', 'EG10334']","['G7212', 'G7213', 'EG10334']"
"['EG12357', 'G6923', 'G6922', 'G6921', 'G6920']","['EG12357', 'G6923', 'G6922', 'G6921', 'G6920']"
"['EG11158', 'EG30099']","['EG11158', 'EG30099']"
"['EG10282', 'EG10703']","['EG10282', 'EG10703']"
"['EG10282', 'EG10703', 'EG10368']","['EG10282', 'EG10703', 'EG10368']"
"['EG12340', 'EG10283']","['EG12340', 'EG10283']"
"['EG10284', 'EG11856', 'EG11857', 'EG11858']","['EG10284', 'EG11856', 'EG11857', 'EG11858']"
"['EG11227', 'EG11228', 'EG11229']","['EG11227', 'EG11228', 'EG11229']"
"['EG10290', 'EG10289', 'EG10288', 'EG10287', 'EG10286']","['EG10290', 'EG10289', 'EG10288', 'EG10287', 'EG10286']"
"['EG10292', 'EG10291']","['EG10292', 'EG10291']"
"['EG12933', 'EG12101', 'EG12102']","['EG12933', 'EG12101', 'EG12102']"
"['EG10295', 'EG10298', 'EG10296']","['EG10295', 'EG10298', 'EG10296']"
"['G6267', 'G6266']","['G6267', 'G6266']"
"['EG10301', 'EG10487', 'EG10486', 'EG10485', 'EG10484']","['EG10301', 'EG10487', 'EG10486', 'EG10485', 'EG10484']"
"['EG10301', 'EG10487', 'EG10486', 'EG10485', 'EG10484', 'EG10483']","['EG10301', 'EG10487', 'EG10486', 'EG10485', 'EG10484', 'EG10483']"
"['EG10302', 'EG10304', 'EG10305', 'EG10303']","['EG10302', 'EG10304', 'EG10305', 'EG10303']"
"['EG10308', 'EG10311', 'EG10315', 'EG10314', 'EG10457', 'EG10313', 'EG10310', 'EG11974', 'EG10308']","['EG10308', 'EG10311', 'EG10315', 'EG10314', 'EG10457', 'EG10313', 'EG10310', 'EG11974', 'EG10308']"
