set#,sigma,alpha,kh,lambdaA,lambdaT,kt,n
1,0.825,1.0,0.25,0.01,0.01,0.1,1.15
2,0.825,2.0,0.25,0.01,0.01,0.1,1.15
3,0.825,3.0,0.25,0.01,0.01,0.1,1.15
4,0.825,4.0,0.25,0.01,0.01,0.1,1.15
5,0.825,5.0,0.25,0.01,0.01,0.1,1.15
6,1.55,1.0,0.25,0.01,0.01,0.1,1.5
7,1.55,1.0,0.25,1.0075,0.01,0.1,0.7999999999999999
8,1.55,1.0,0.25,1.0075,0.01,1.3250000000000002,1.5
9,1.55,1.0,0.25,2.005,0.01,0.1,0.7999999999999999
10,1.55,1.0,0.25,2.005,0.01,1.3250000000000002,1.5
11,1.55,1.0,0.25,3.0025,0.01,0.1,0.7999999999999999
12,1.55,1.0,0.25,3.0025,0.01,1.3250000000000002,1.5
13,1.55,1.0,0.25,4.0,0.01,0.1,0.7999999999999999
14,1.55,1.0,0.25,4.0,0.01,1.3250000000000002,1.15
15,1.55,1.0,0.25,4.0,0.01,1.3250000000000002,1.5
16,1.55,1.0,1.1875,0.01,0.01,0.1,1.15
17,1.55,1.0,1.1875,1.0075,0.01,0.1,0.7999999999999999
18,1.55,1.0,1.1875,1.0075,0.01,1.3250000000000002,1.5
19,1.55,1.0,1.1875,2.005,0.01,0.1,0.7999999999999999
20,1.55,1.0,1.1875,2.005,0.01,1.3250000000000002,1.15
21,1.55,1.0,1.1875,3.0025,0.01,0.1,0.7999999999999999
22,1.55,1.0,1.1875,3.0025,0.01,1.3250000000000002,1.15
23,1.55,1.0,1.1875,3.0025,0.01,1.3250000000000002,1.5
24,1.55,1.0,1.1875,4.0,0.01,0.1,0.7999999999999999
25,1.55,1.0,1.1875,4.0,0.01,1.3250000000000002,1.15
26,1.55,1.0,1.1875,4.0,0.01,1.3250000000000002,1.5
27,1.55,1.0,2.125,0.01,0.01,0.1,1.15
28,1.55,1.0,2.125,1.0075,0.01,0.1,0.7999999999999999
29,1.55,1.0,2.125,1.0075,0.01,1.3250000000000002,1.5
30,1.55,1.0,2.125,2.005,0.01,0.1,0.7999999999999999
31,1.55,1.0,2.125,2.005,0.01,1.3250000000000002,1.15
32,1.55,1.0,2.125,2.005,0.01,1.3250000000000002,1.5
33,1.55,1.0,2.125,3.0025,0.01,0.1,0.7999999999999999
34,1.55,1.0,2.125,3.0025,0.01,1.3250000000000002,1.15
35,1.55,1.0,2.125,3.0025,0.01,1.3250000000000002,1.5
36,1.55,1.0,2.125,4.0,0.01,0.1,0.7999999999999999
37,1.55,1.0,2.125,4.0,0.01,1.3250000000000002,1.5
38,1.55,1.0,3.0625,0.01,0.01,0.1,1.15
39,1.55,1.0,3.0625,1.0075,0.01,0.1,0.7999999999999999
40,1.55,1.0,3.0625,1.0075,0.01,1.3250000000000002,1.15
41,1.55,1.0,3.0625,1.0075,0.01,1.3250000000000002,1.5
42,1.55,1.0,3.0625,2.005,0.01,0.1,0.7999999999999999
43,1.55,1.0,3.0625,2.005,0.01,1.3250000000000002,1.15
44,1.55,1.0,3.0625,2.005,0.01,1.3250000000000002,1.5
45,1.55,1.0,3.0625,3.0025,0.01,0.1,0.7999999999999999
46,1.55,1.0,3.0625,3.0025,0.01,1.3250000000000002,1.15
47,1.55,1.0,3.0625,3.0025,0.01,1.3250000000000002,1.5
48,1.55,1.0,3.0625,4.0,0.01,0.1,0.7999999999999999
49,1.55,1.0,3.0625,4.0,0.01,1.3250000000000002,1.5
50,1.55,1.0,4.0,0.01,0.01,0.1,1.15
51,1.55,1.0,4.0,1.0075,0.01,0.1,0.7999999999999999
52,1.55,1.0,4.0,1.0075,0.01,1.3250000000000002,1.15
53,1.55,1.0,4.0,2.005,0.01,0.1,0.7999999999999999
54,1.55,1.0,4.0,2.005,0.01,1.3250000000000002,1.15
55,1.55,1.0,4.0,2.005,0.01,1.3250000000000002,1.5
56,1.55,1.0,4.0,3.0025,0.01,0.1,0.7999999999999999
57,1.55,1.0,4.0,3.0025,0.01,1.3250000000000002,1.5
58,1.55,1.0,4.0,4.0,0.01,0.1,0.7999999999999999
59,1.55,1.0,4.0,4.0,0.01,1.3250000000000002,1.5
60,1.55,2.0,0.25,0.01,0.01,0.1,1.5
61,1.55,2.0,0.25,1.0075,0.01,0.1,0.7999999999999999
62,1.55,2.0,0.25,1.0075,0.01,1.3250000000000002,1.5
63,1.55,2.0,0.25,2.005,0.01,0.1,0.7999999999999999
64,1.55,2.0,0.25,2.005,0.01,1.3250000000000002,1.5
65,1.55,2.0,0.25,3.0025,0.01,0.1,0.7999999999999999
66,1.55,2.0,0.25,3.0025,0.01,1.3250000000000002,1.5
67,1.55,2.0,0.25,4.0,0.01,0.1,0.7999999999999999
68,1.55,2.0,0.25,4.0,0.01,1.3250000000000002,1.15
69,1.55,2.0,0.25,4.0,0.01,1.3250000000000002,1.5
70,1.55,2.0,1.1875,0.01,0.01,0.1,1.15
71,1.55,2.0,1.1875,1.0075,0.01,0.1,0.7999999999999999
72,1.55,2.0,1.1875,1.0075,0.01,1.3250000000000002,1.5
73,1.55,2.0,1.1875,2.005,0.01,0.1,0.7999999999999999
74,1.55,2.0,1.1875,2.005,0.01,1.3250000000000002,1.15
75,1.55,2.0,1.1875,3.0025,0.01,0.1,0.7999999999999999
76,1.55,2.0,1.1875,3.0025,0.01,1.3250000000000002,1.15
77,1.55,2.0,1.1875,3.0025,0.01,1.3250000000000002,1.5
78,1.55,2.0,1.1875,4.0,0.01,0.1,0.7999999999999999
79,1.55,2.0,1.1875,4.0,0.01,1.3250000000000002,1.15
80,1.55,2.0,1.1875,4.0,0.01,1.3250000000000002,1.5
81,1.55,2.0,2.125,0.01,0.01,0.1,1.15
82,1.55,2.0,2.125,1.0075,0.01,0.1,0.7999999999999999
83,1.55,2.0,2.125,1.0075,0.01,1.3250000000000002,1.5
84,1.55,2.0,2.125,2.005,0.01,0.1,0.7999999999999999
