"transcription_units"	"monomers_to_remove"
["G6183", "G6184", "G6185", "G6186"]	["G6183", "G6185", "G6186"]
["G6188", "G6189"]	["G6188", "G6189"]
["G6209", "EG50010", "G6208"]	["G6209", "EG50010", "G6208"]
["G6212", "G0-10541", "G6213"]	["G6212", "G0-10541", "G6213"]
["EG11094", "EG10927"]	["EG11094", "EG10927"]
["EG12168", "G6233"]	["EG12168", "G6233"]
["EG11320", "EG11321", "EG11322", "EG10666", "G6234", "EG10704"]	["EG11320", "EG11321", "EG11322", "EG10666", "G6234", "EG10704"]
["G6239", "G198"]	["G6239", "G198"]
["G6248", "EG11622"]	["G6248", "EG11622"]
["EG12429", "EG10439"]	["EG12429", "EG10439"]
["EG10765", "EG12830"]	["EG10765", "EG12830"]
["G6265", "G6264"]	["G6265", "G6264"]
["G6266", "G6267"]	["G6266", "G6267"]
["EG11657", "G6270"]	["EG11657", "G6270"]
["EG10849", "EG11769", "G6271", "EG11770"]	["EG10849", "EG11769", "G6271", "EG11770"]
["G6287", "G6288", "G6289", "EG12384"]	["G6287", "G6288", "G6289", "EG12384"]
["EG10758", "EG12666"]	["EG10758", "EG12666"]
["EG10328", "EG12879"]	["EG10328", "EG12879"]
["G6291", "G6292"]	["G6291", "G6292"]
["G6293", "EG12388"]	["G6293", "EG12388"]
["G6301", "G6302"]	["G6301", "G6302"]
["G6303", "G6304", "G6305", "G6306", "G0-10435"]	["G6303", "G6304", "G6305", "G6306", "G0-10435"]
["G6344", "G6343", "G6342", "G6341", "G6340", "G6339"]	["G6344", "G6343", "G6342", "G6341", "G6340", "G6339"]
["G6345", "G6346"]	["G6345", "G6346"]
["EG11255", "EG11254", "EG10606", "EG10607", "EG10854"]	["EG11255", "EG11254", "EG10606", "EG10607", "EG10854"]
["EG10532", "EG10855", "EG11412", "G6350", "G6349"]	["EG10532", "EG10855", "EG11412", "G6350", "G6349"]
["G6352", "G6353"]	["G6352", "G6353"]
["G6355", "G6356"]	["G6355", "G6356"]
["G6361", "EG10168"]	["G6361", "EG10168"]
["G6363", "G6362"]	["G6363", "G6362"]
["G6370", "G6371"]	["G6370"]
["EG10848", "EG11522"]	["EG10848", "EG11522"]
["G6376", "EG11523"]	["G6376", "EG11523"]
["G6387", "G6386", "G6385"]	["G6387", "G6386", "G6385"]
["EG10630", "EG11700"]	["EG10630", "EG11700"]
["G6395", "EG11677"]	["G6395", "EG11677"]
["G6407", "G6406", "G6405"]	["G6407", "G6406", "G6405"]
["EG12406", "G6412", "G6411", "G6410", "G6409"]	["EG12406", "G6412", "G6411", "G6410", "G6409"]
["G6420", "G6421"]	["G6420", "G6421"]
["G6427", "G6426"]	["G6427", "G6426"]
["EG12407", "G6429", "G6430", "G6431", "G6432"]	["EG12407", "G6429", "G6430", "G6431", "G6432"]
["G6433", "G6434"]	["G6433", "G6434"]
["G6443", "G6442"]	["G6443", "G6442"]
["G6448", "G6449"]	["G6448", "G6449"]
["G6451", "G6452"]	["G6451", "G6452"]
["EG10754", "G6455", "G6454"]	["G6455", "G6454"]
["G6465", "EG12690"]	["G6465", "EG12690"]
["EG12375", "EG10613", "EG11409", "G6471"]	["EG12375", "EG10613", "EG11409", "G6471"]
["G6472", "EG10519"]	["G6472", "EG10519"]
["G6474", "G6475"]	["G6474", "G6475"]
["G6481", "G6482", "G6483", "G6484", "G6485", "EG12397"]	["G6481", "G6482", "G6483", "G6484", "G6485", "EG12397"]
["G6496", "G6495"]	["G6496", "G6495"]
["G6504", "G6503", "EG11826"]	["G6504", "G6503", "EG11826"]
["G6507", "G6506", "G6505"]	["G6507", "G6506", "G6505"]
["G0-10536", "G0-10430", "G6509"]	["G0-10536", "G0-10430", "G6509"]
["G6512", "G0-9662"]	["G6512"]
["EG11540", "EG12703"]	["EG11540", "EG12703"]
["G6527", "EG11735"]	["G6527", "EG11735"]
["G6535", "G6536"]	["G6535", "G6536"]
["G6540", "G6541"]	["G6540", "G6541"]
["G6550", "G6551"]	[]
["G6554", "EG11820"]	["G6554"]
["G6556", "G6555"]	["G6556", "G6555"]
["EG11493", "EG11494", "EG12302", "EG11500", "EG12303"]	["EG11493", "EG11494", "EG12302", "EG11500", "EG12303"]
