gene_name	cistron_name	monomer_name	prob_monomer_expressed
EG11377	EG11377_RNA	1-ACYLGLYCEROL-3-P-ACYLTRANSFER-MONOMER[i]	1.0
EG10337	EG10337_RNA	1-PFK-MONOMER[c]	0.9974358974358974
G6239	G6239_RNA	2-DEHYDROPANTOATE-REDUCT-MONOMER[c]	1.0
EG11226	EG11226_RNA	2-ISOPROPYLMALATESYN-MONOMER[c]	1.0
EG11473	EG11473_RNA	2-OCTAPRENYL-METHOXY-BENZOQ-METH-MONOMER[c]	1.0
EG11476	EG11476_RNA	2-OCTAPRENYLPHENOL-HYDROX-MONOMER[i]	1.0
EG11675	EG11675_RNA	3-CH3-2-OXOBUTANOATE-OH-CH3-XFER-MONOMER[c]	1.0
EG11577	EG11577_RNA	3-ISOPROPYLMALDEHYDROG-MONOMER[c]	1.0
EG11318	EG11318_RNA	3-OXOACYL-ACP-REDUCT-MONOMER[c]	1.0
EG12606	EG12606_RNA	3-OXOACYL-ACP-SYNTHII-MONOMER[c]	1.0
EG11370	EG11370_RNA	4OHBENZOATE-OCTAPRENYLTRANSFER-MONOMER[i]	0.9512820512820512
EG10699	EG10699_RNA	6PFK-1-MONOMER[c]	1.0
EG10700	EG10700_RNA	6PFK-2-MONOMER[c]	0.9897435897435898
EG10411	EG10411_RNA	6PGLUCONDEHYDROG-MONOMER[c]	1.0
G6397	G6397_RNA	6PGLUCONOLACT-MONOMER[c]	1.0
EG10425	EG10425_RNA	7-ALPHA-HYDROXYSTEROID-DEH-MONOMER[c]	1.0
EG10121	EG10121_RNA	7KAPSYN-MONOMER[c]	1.0
EG11679	EG11679_RNA	AAS-MONOMER[i]	0.9974358974358974
EG11621	EG11621_RNA	ABC-MONOMER[m]	1.0
EG12853	EG12853_RNA	ABGT-MONOMER[i]	0.46153846153846156
EG10027	EG10027_RNA	ACETATEKINA-MONOMER[c]	1.0
EG10499	EG10499_RNA	ACETOLACTSYNIII-HCHAIN-MONOMER[c]	1.0
EG10500	EG10500_RNA	ACETOLACTSYNIII-ICHAIN-MONOMER[c]	1.0
EG11672	EG11672_RNA	ACETYL-COA-ACETYLTRANSFER-MONOMER[c]	0.982051282051282
EG10064	EG10064_RNA	ACETYLGLUTKIN-MONOMER[c]	1.0
EG11286	EG11286_RNA	ACETYLORNDEACET-MONOMER[c]	1.0
EG10066	EG10066_RNA	ACETYLORNTRANSAM-MONOMER[c]	1.0
EG10637	EG10637_RNA	ACNEULY-MONOMER[c]	0.9897435897435898
EG11325	EG11325_RNA	ACONITASE-MONOMER[c]	1.0
EG12316	EG12316_RNA	ACONITATEDEHYDRB-MONOMER[c]	1.0
G6343	G6343_RNA	ACPSUB-MONOMER[c]	0.1641025641025641
EG11704	EG11704_RNA	ACRB-MONOMER[m]	1.0
EG10014	EG10014_RNA	ACRD-MONOMER[i]	0.5717948717948718
EG10267	EG10267_RNA	ACRF-MONOMER[m]	0.01282051282051282
EG11448	EG11448_RNA	ACS-MONOMER[c]	1.0
EG10192	EG10192_RNA	ACSERLYA-MONOMER[c]	1.0
EG10193	EG10193_RNA	ACSERLYB-MONOMER[c]	1.0
G6105	G6105_RNA	ACYLCOADEHYDROG-MONOMER[c]	0.9538461538461539
EG11530	EG11530_RNA	ACYLCOASYN-MONOMER[c]	1.0
EG11493	EG11493_RNA	ADCLY-MONOMER[c]	1.0
EG10030	EG10030_RNA	ADENODEAMIN-MONOMER[c]	1.0
EG10051	EG10051_RNA	ADENPRIBOSYLTRAN-MONOMER[c]	1.0
EG10032	EG10032_RNA	ADENYL-KIN-MONOMER[c]	1.0
EG10170	EG10170_RNA	ADENYLATECYC-MONOMER[c]	1.0
EG10790	EG10790_RNA	ADENYLOSUCCINATE-SYN-MONOMER[c]	1.0
EG10185	EG10185_RNA	ADENYLYLSULFKIN-MONOMER[c]	1.0
EG50010	EG50010_RNA	ADHC-MONOMER[c]	0.9974358974358974
EG10031	EG10031_RNA	ADHE-MONOMER[c]	1.0
G6775	G6775_RNA	ADHP-MONOMER[c]	0.8974358974358975
EG10394	EG10394_RNA	AERGLYC3PDEHYDROG-MONOMER[i]	1.0
EG12769	EG12769_RNA	AGAB-MONOMER[c]	0.25384615384615383
EG12770	EG12770_RNA	AGAC-MONOMER[i]	0.2358974358974359
G7635	G7635_RNA	AGAD-MONOMER[i]	0.23333333333333334
EG12322	EG12322_RNA	AGAX-MONOMER[m]	1.0
EG10960	EG10960_RNA	AGMATIN-MONOMER[c]	1.0
EG10795	EG10795_RNA	AICARTRANSIMPCYCLO-CPLX[c]	1.0
EG10798	EG10798_RNA	AIRS-MONOMER[c]	1.0
EG10512	EG10512_RNA	AKBLIG-MONOMER[c]	0.9615384615384616
EG10001	EG10001_RNA	ALARACEBIOSYN-MONOMER[c]	1.0
EG11408	EG11408_RNA	ALARACECAT-MONOMER[c]	1.0
EG10034	EG10034_RNA	ALAS-MONOMER[c]	1.0
EG12292	EG12292_RNA	ALDDEHYDROGB-MONOMER[c]	0.14615384615384616
EG10036	EG10036_RNA	ALDHDEHYDROG-MONOMER[c]	1.0
EG11698	EG11698_RNA	ALDOSE1EPIM-MONOMER[c]	1.0
EG10727	EG10727_RNA	ALKAPHOSPHA-MONOMER[p]	0.5615384615384615
EG11387	EG11387_RNA	ALPHA-AMYL-CYTO-MONOMER[c]	1.0
EG11316	EG11316_RNA	ALPHA-AMYL-PERI-MONOMER[p]	0.7435897435897436
EG10191	EG10191_RNA	ALPHACOMP-MONOMER[c]	1.0
EG10577	EG10577_RNA	ALPHAGALACTOSID-MONOMER[c]	0.9564102564102565
EG11065	EG11065_RNA	ALTRO-OXIDOREDUCT-MONOMER[c]	0.8025641025641026
EG12734	EG12734_RNA	ALTRODEHYDRAT-MONOMER[c]	1.0
EG13139	EG13139_RNA	AMINEOXID-MONOMER[p]	0.5384615384615384
EG10039	EG10039_RNA	AMP-NUCLEOSID-MONOMER[c]	1.0
EG12183	EG12183_RNA	AMPG-MONOMER[i]	1.0
EG11821	EG11821_RNA	AMTB-MONOMER[m]	0.7512820512820513
EG10561	EG10561_RNA	AMYLOMALT-MONOMER[c]	0.9974358974358974
EG10391	EG10391_RNA	ANGLYC3PDEHYDROGSUBUNITA-MONOMER[c]	1.0
EG10392	EG10392_RNA	ANGLYC3PDEHYDROGSUBUNITB-MONOMER[c]	0.9974358974358974
EG10393	EG10393_RNA	ANGLYC3PDEHYDROGSUBUNITC-MONOMER[i]	0.9974358974358974
EG10045	EG10045_RNA	ANSA-MONOMER[c]	1.0
EG10046	EG10046_RNA	ANSB-MONOMER[p]	0.5692307692307692
G6764	G6764_RNA	ANSP-MONOMER[i]	0.7692307692307693
EG11028	EG11028_RNA	ANTHRANSYNCOMPI-MONOMER[c]	1.0
EG11027	EG11027_RNA	ANTHRANSYNCOMPII-MONOMER[c]	1.0
EG11934	EG11934_RNA	APHA-MONOMER[p]	0.9948717948717949
