reactionID,kcat (1/s),Exclude
SERINE--TRNA-LIGASE-RXN,[0.35],
SERINE--TRNA-LIGASE-RXN,[2.6],
NAG1P-URIDYLTRANS-RXN,[12.4],
FUMHYDR-RXN,[3100],
TYROSINE-AMINOTRANSFERASE-RXN,[210],
2.6.1.57-RXN,[160],yes
2.6.1.57-RXN,[250],yes
CYTDEAM-RXN,[185],
ALANINE--TRNA-LIGASE-RXN-ALA-tRNAs/L-ALPHA-ALANINE/ATP/PROTON//Charged-ALA-tRNAs/AMP/PPI.64.,[1.5],
ISOLEUCINE--TRNA-LIGASE-RXN,[104],
ISOLEUCINE--TRNA-LIGASE-RXN,[3.1],
TRIOSEPISOMERIZATION-RXN,[8700],
RXN0-5266,[341],
PPPGPPHYDRO-RXN,[0.023],
1.13.11.16-RXN,[29],
OXALOACETATE-TAUTOMERASE-RXN,[300],
FUMHYDR-RXN,[3000],
RXN0-5462,[0.003],
F16ALDOLASE-RXN,[10.333333],
RXN-16701,[33.3],
PGLYCDEHYDROG-RXN,[27.8],
PGLYCDEHYDROG-RXN,[0.55],yes
KETOGLUTREDUCT-RXN,[0.71],
RXN-16701,[0.25],
UDP-NACMUR-ALA-LIG-RXN,[6.85],
TRYPTOPHAN--TRNA-LIGASE-RXN,"[1.5,2.0,2]",
ASNSYNB-RXN,[1.01],
TYROSINE-AMINOTRANSFERASE-RXN,[500],
2.6.1.57-RXN,[350],yes
PHEAMINOTRANS-RXN,[1200],yes
ASPAMINOTRANS-RXN,[290],yes
RXN0-5264,[53.45],
RXN0-5264,[49.24],
RXN0-5264,[49.55],
RXN0-5264,[96.5],
RXN0-5264,[102.3],
RXN0-5264,[150.53],
THIOREDOXIN-REDUCT-NADPH-RXN,[33],
ISOLEUCINE--TRNA-LIGASE-RXN,[80.4],
NAG1P-URIDYLTRANS-RXN,[44.3],
UGD-RXN,[11.3],
RXN-9772,[5.55],
L-ASPARTATE-OXID-RXN,[2.6],
PSERTRANSAM-RXN,[0.39],
PSERTRANSAMPYR-RXN,[0.15],
PSERTRANSAM-RXN,[1.75],
IGPSYN-RXN,[1.2],
DALADALALIG-RXN,[14.7],
TRNA-URACIL-5--METHYLTRANSFERASE-RXN,[0.091],
RXN-16701,[7.7],
DUTP-PYROP-RXN,[5.8],
CHORISMATEMUT-RXN,[41.4],
DIMESULFREDUCT-RXN,[79.9],
HOMOSERKIN-RXN,[18.3],
HOMOSERKIN-RXN,[2.1],
UDP-NACMUR-ALA-LIG-RXN,[16.3],
INORGPYROPHOSPHAT-RXN,[389],
3-ISOPROPYLMALDEHYDROG-RXN,[69],
POLYPHOSPHATE-KINASE-RXN,[10.5],
POLYPHOSPHATE-KINASE-RXN,[0.088],
POLYPHOSPHATE-KINASE-RXN,[0.167],
POLYPHOSPHATE-KINASE-RXN,[0.117],
ACETOLACTREDUCTOISOM-RXN,[0.12],
ACETOLACTREDUCTOISOM-RXN,[0.052],
DAHPSYN-RXN,[29.5],
HOLO-ACP-SYNTH-RXN,[1.67],
IGPSYN-RXN,[2.2],
GUANPRIBOSYLTRAN-RXN,[112.0],
XANPRIBOSYLTRAN-RXN,[150],
HYPOXANPRIBOSYLTRAN-RXN,[54.8],
HISTIDINE--TRNA-LIGASE-RXN,[2.6],
NAG6PDEACET-RXN,[105],
ISOCHORSYN-RXN,[1.33],
ASPDECARBOX-RXN,[0.57],
ASPARTATE--TRNA-LIGASE-RXN,[18],
TRNA-PSEUDOURIDINE-SYNTHASE-I-RXN,[0.144],
ERYTH4PDEHYDROG-RXN,[20],
HOLO-ACP-SYNTH-RXN,[1.17],
GTP-CYCLOHYDRO-II-RXN,[0.15],
ASNSYNB-RXN,[1.01],
ASNSYNB-RXN,[1.05],
ASNSYNB-RXN,[1.10],
HISTIDINE--TRNA-LIGASE-RXN,[7],
HISTIDINE--TRNA-LIGASE-RXN,[34],
UDPGLUCEPIM-RXN,[760],
AMINOCYL-TRNA-HYDROLASE-RXN,[3.6],
MHPCHYDROL-RXN,[36],
RXN-12070,[1.1],
DIENOYLCOAREDUCT-RXN,[16],
METHIONYL-TRNA-FORMYLTRANSFERASE-RXN,[41.52],
DAHPSYN-RXN,[21],
TRIOSEPISOMERIZATION-RXN,[9000],
ADPSUGPPHOSPHAT-RXN,[11.1],
ADPSUGPPHOSPHAT-RXN,[9.9],
ADPSUGPPHOSPHAT-RXN,[7.8],
ADPSUGPPHOSPHAT-RXN,[13.9],
2-OXOPENT-4-ENOATE-HYDRATASE-RXN,[450],
DIMESULFREDUCT-RXN,[61],
PREPHENATEDEHYDRAT-RXN,[26.15],
CHORISMATEMUT-RXN,[39.03],
RIBULPEPIM-RXN,[20.4],
ASNSYNB-RXN,[1.01],
ASNSYNB-RXN,[1.05],
ASNSYNB-RXN,[1.10],
DIAMINOPIMEPIM-RXN,[67],
DIAMINOPIMEPIM-RXN,[84],
ACETOOHBUTSYN-RXN,[66.7],
RXN-16165,[6.85],
3.5.1.88-RXN,[2100],
GLYOXI-RXN,[338],
ADENYLOSUCCINATE-SYNTHASE-RXN,[1],
GLUTAMINE--TRNA-LIGASE-RXN,[2.62],
GLUTAMINE--TRNA-LIGASE-RXN,[2.8],
METHGLYSYN-RXN,[324],
3.5.1.88-RXN,[5.6],
2.9.1.1-RXN,[0.0217],
PNPOXI-RXN,[0.3],
7-ALPHA-HYDROXYSTEROID-DEH-RXN,[151],
GLUTAMINE--TRNA-LIGASE-RXN,[3.2],
ARGININE--TRNA-LIGASE-RXN,[26],
7KAPSYN-RXN,[0.05],
GKI-RXN,[2.5],
TSA-REDUCT-RXN-GLYCERATE/NAD//TARTRONATE-S-ALD/NADH/PROTON.44.,[23],
GALACTARDEHYDRA-RXN,[22],
KDGALDOL-RXN,[27.3],
GLUCARDEHYDRA-RXN,[20],
CARBPSYN-RXN,[8],
CHORISMATEMUT-RXN,[27],
PREPHENATEDEHYDROG-RXN,[27],
METHIONYL-TRNA-FORMYLTRANSFERASE-RXN,[39.1],
F16ALDOLASE-RXN,[8.2],
F16ALDOLASE-RXN,[0.35],
3.5.1.88-RXN,[1030],
LYSINE--TRNA-LIGASE-RXN,[0.5533],
PEPCARBOX-RXN,[150],
DIHYDROFOLATEREDUCT-RXN,[13.7],
LEUCINE--TRNA-LIGASE-RXN,[3.4],
LEUCINE--TRNA-LIGASE-RXN,[4.2],
LEUCINE--TRNA-LIGASE-RXN,[3.9],
MMUM-RXN,[0.38],
UDPACYLGLCNACDEACETYL-RXN,[3.3],
SUCCINYLDIAMINOPIMTRANS-RXN,[0.3],
ACETYLORNTRANSAM-RXN,[0.62],
1.8.4.8-RXN,[3.5],
1.8.4.8-RXN,[3.5],
1.8.4.8-RXN,[3.5],
RXN-11591,[0.012],
CHORISMATEMUT-RXN,[27],
PREPHENATEDEHYDROG-RXN,[27],
1.5.1.20-RXN,[23.5],
ASPARTATE--TRNA-LIGASE-RXN,[18],
GLURS-RXN,[3],
ADENYLOSUCCINATE-SYNTHASE-RXN,[1.4],
1.1.1.262-RXN,[1.4],
5.4.2.10-RXN,[7.9],
PHOSPHOGLUCMUT-RXN,[0.0055],
SUCCCOASYN-RXN,[24.5],yes
SUCCCOASYN-RXN,[44.7],
GCVMULTI-RXN,[14.4],
3.5.1.88-RXN,[270],
RXN0-1882,[6],
LYSINE--TRNA-LIGASE-RXN,[6.1],
ALCOHOL-DEHYDROG-RXN,[67.5],
ALCOHOL-DEHYDROG-RXN,[163],
3.4.11.18-RXN,[1.16],
GART-RXN,[133],
UDPNACETYLGLUCOSAMACYLTRANS-RXN,[7.17],
PANTEPADENYLYLTRAN-RXN,[3.3],
RXN-11839,[0.12],
RXN-11842,[0.099],
GALACTURIDYLYLTRANS-RXN,[780],
GALACTURIDYLYLTRANS-RXN,[283],
RXN0-5055,[33.9],
BIOTIN-CARBOXYL-RXN,[16.68],
RXN0-1441,[117.3],
HOMSUCTRAN-RXN,[5.23],
HOMSUCTRAN-RXN,[24],
RXN-982,[0.3],
RXN-982,[0.14],
RXN-982,[0.09],
HOLO-ACP-SYNTH-RXN,[1.08],
HOLO-ACP-SYNTH-RXN,[1.08],
RXN-11484,[0.06],
RXN-11484,[0.06],
3.5.1.88-RXN,[1320],
CYTDEAM-RXN,[185],
GDPMANDEHYDRA-RXN,[5],
METHIONYL-TRNA-FORMYLTRANSFERASE-RXN,[37.3],
ALANINE--TRNA-LIGASE-RXN-ALA-tRNAs/L-ALPHA-ALANINE/ATP/PROTON//Charged-ALA-tRNAs/AMP/PPI.64.,[0.2],
THIOSULFATE-SULFURTRANSFERASE-RXN,[230],
THIOSULFATE-SULFURTRANSFERASE-RXN,[230],
OROTPDECARB-RXN,[28],
GLUCARDEHYDRA-RXN,[35],
RXN0-5285,[34],
RXN0-310,[1.6],
METHYLMALONYL-COA-MUT-RXN,[0.2],
RXN0-268,[0.72],
CHORISMATEMUT-RXN,[34.2],
PREPHENATEDEHYDRAT-RXN,[32.2],
RIBULPEPIM-RXN,[17.3],
R621-RXN,[670],
CATAL-RXN,[5300],
RXN-8667,[17000],
GALACTURIDYLYLTRANS-RXN,[283],
GALACTURIDYLYLTRANS-RXN,[780],
FUCPALDOL-RXN,[19.3],
RXN0-6274,[1.26],
LEUCINE--TRNA-LIGASE-RXN,[3],
LEUCINE--TRNA-LIGASE-RXN,[3.6],
LEUCINE--TRNA-LIGASE-RXN,[2.9],
TREHALOSE6PSYN-RXN,[7.3],
TREHALOSE6PSYN-RXN,[6.7],
TREHALOSEPHOSPHA-RXN,[14.6],
2.7.7.60-RXN,[9],
GLYOHMETRANS-RXN-SER/THF//GLY/METHYLENE-THF/WATER.33.,[0.217],
RXN0-5240,[0.00055],
RXN0-5240,[0.0002],
RXN0-5234,[0.5],
CYSTEINE--TRNA-LIGASE-RXN,[3.4],
THREONINE--TRNA-LIGASE-RXN,[36],
ALANINE--TRNA-LIGASE-RXN-ALA-tRNAs/L-ALPHA-ALANINE/ATP/PROTON//Charged-ALA-tRNAs/AMP/PPI.64.,[0.44],
METHIONYL-TRNA-FORMYLTRANSFERASE-RXN,[13.9],
RXN-11839,[0.11],
RXN-11842,[0.099],
RXN-8999,[2.5],
DAHPSYN-RXN,[32],
PHEAMINOTRANS-RXN,[2.9],
BRANCHED-CHAINAMINOTRANSFERVAL-RXN,[19],
