reactionID,kcat (1/s),Exclude
RXN-7967-QUINATE/NAD//DEHYDROQUINATE/NADH/PROTON.40.,[0.113],
2.1.1.79-RXN,[2.2],
ACETOLACTSYN-RXN,[23.3],
RXN0-947,[0.2],
ACETOLACTREDUCTOISOM-RXN,[2.231],
2-DEHYDROPANTOATE-REDUCT-RXN,[0.194],
THYM-PHOSPH-RXN,[1770],
MHPCHYDROL-RXN,[28],
1.8.4.13-RXN,[3.7],
1.8.4.14-RXN,[1.1],
INORGPYROPHOSPHAT-RXN,[390],
UDPACYLGLCNACDEACETYL-RXN,[1.5],
5-NUCLEOTID-RXN,[750],
ISOCIT-CLEAV-RXN,[100],
METHYLISOCITRATE-LYASE-RXN,[19],
GABATRANSAM-RXN,[47.4],
LEUCINE--TRNA-LIGASE-RXN,[11],
ISOLEUCINE--TRNA-LIGASE-RXN,[0.1],
HISTIDINE--TRNA-LIGASE-RXN,[2.02],
DXPREDISOM-RXN,[29],
RXN0-4022,[0.01],
RXN-8999,[2.5],
TRNA-GUANINE-N7--METHYLTRANSFERASE-RXN,[3.6],
ALARACECAT-RXN,[28.3],
ALARACECAT-RXN,[27.6],
GLUTAMINESYN-RXN,[36],
CHORISMATEMUT-RXN,[38.9],
THIOREDOXIN-REDUCT-NADPH-RXN,[7.74],
DAHPSYN-RXN,[71],
RIBOFLAVIN-SYN-RXN,[0.267],
CYSTEINE--TRNA-LIGASE-RXN,[2.46],
DAHPSYN-RXN,[32],
KDO-8PSYNTH-RXN,[4.5],
ACETOLACTSYN-RXN,[47],
ACNEULY-RXN,[4.33],
DXPREDISOM-RXN,[29],
DIHYDROFOLATEREDUCT-RXN,[24.6],
ACNEULY-RXN,[10.5],
KDO-8PSYNTH-RXN,[125],
AMINOBUTDEHYDROG-RXN,[7.68],
AMINOBUTDEHYDROG-RXN,[5.65],
RXN-1961,[0.0153],
RXN-1961,[0.0702],
DAPASYN-RXN,[0.08],
RXN0-4281,[2.85],
RXN0-4281,[27.62],
RXN0-4281,[29.15],
RXN0-4281,[11],
METHYLTHIOADENOSINE-NUCLEOSIDASE-RXN,[3.0],
ADENOSYLHOMOCYSTEINE-NUCLEOSIDASE-RXN,[2.6],
RXN0-7008,[20],
DARAB5PISOM-RXN,[218],
DARAB5PISOM-RXN,[242],
DARAB5PISOM-RXN,[157],
DARAB5PISOM-RXN,[255],
ACETYLORNDEACET-RXN,[3800],
2.1.1.79-RXN,[0.042],
RXN-15581,[15.7],
DXPREDISOM-RXN,[33],
AMP-DEPHOSPHORYLATION-RXN,[23],
RXN-7609,[65],
RXN-14025,[61],
RXN-14026,[26],
RXN-14126,[33],
RXN-14090,[91],
3-NUCLEOTID-RXN,[39],
3-NUCLEOTID-RXN,[61],
RXN-14524,[27],
RXN-14525,[26],
RXN-14523,[29],
RXN-14522,[101],
RXN-14161,[14],
RXN-14142,[15],
RXN-14143,[24],
RXN0-5292,[26],
LEUCINE--TRNA-LIGASE-RXN,[3.2],
RXN-11109,[1.4],
RXN-16701,[13.5],
UDPNACETYLMURAMATEDEHYDROG-RXN,[18],
UDPNACETYLMURAMATEDEHYDROG-RXN,[15],
RXN0-7104,[0.41],
RXN0-5065,[86],
RXN0-5065,[79],
RXN0-5065,[100],
BIOTINLIG-RXN,[0.165],
SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN,[2],
R601-RXN,[250],
R601-RXN,[30],
SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN,[110],
THIOESTER-RXN,[10.13],
S-FORMYLGLUTATHIONE-HYDROLASE-RXN,[28.5],
S-FORMYLGLUTATHIONE-HYDROLASE-RXN,[6.51],
GLYOXII-RXN,[1.02],
RXN0-299,[3],
RXN0-5387,[6],
RXN0-5387,[370],
RXN0-5387,[8.9],
PHENDEHYD-RXN,[96.83],
GLYCOLALD-DEHYDROG-RXN,[18.33],
RXN-16312,[362],
HISTIDINE--TRNA-LIGASE-RXN,[1.71],
RXN0-5108,[75],
GUANOSINE-DIPHOSPHATASE-RXN,[3.4],
DUTP-PYROP-RXN,[22],
RXN0-5107,[15],
GDPMANMANHYDRO-RXN,[0.49],
HOLO-ACP-SYNTH-RXN,"[1,0.7]",
BIOTIN-CARBOXYL-RXN,[0.228],
RXN0-5141,[74.9],
RXN0-5141,[50.8],
RXN0-5213,[15.7],
RXN0-5213,[5.6],
R601-RXN,[230],
R601-RXN,[15],
SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN,[24],
ALANINE--TRNA-LIGASE-RXN-ALA-tRNAs/L-ALPHA-ALANINE/ATP/PROTON//Charged-ALA-tRNAs/AMP/PPI.64.,[2],
CYSTEINE--TRNA-LIGASE-RXN,"[2.9,2.5]",
VALINE--TRNA-LIGASE-RXN-VAL-tRNAs/VAL/ATP/PROTON//Charged-VAL-tRNAs/AMP/PPI.52.,[4],
3.4.11.18-RXN,[18.3],
PROLINE--TRNA-LIGASE-RXN,[70],
PROLINE--TRNA-LIGASE-RXN,[0.239],
RXN0-6371,[2270],
RXN0-6371,[2870],
RXN0-6371,[3360],
PHENYLALANINE--TRNA-LIGASE-RXN,[0.817],
2.1.1.79-RXN,[0.067],
3.4.11.18-RXN,[3.9],
HISTIDPHOS-RXN,[2140],
ADENYLOSUCCINATE-SYNTHASE-RXN,[1],
3.1.3.68-RXN,[33],
3.1.3.68-RXN,[11],
3.1.3.68-RXN,[9.4],
3.1.3.68-RXN,[2.8],
3.1.3.68-RXN,[25],
SUGAR-PHOSPHATASE-RXN,[3.7],
SUGAR-PHOSPHATASE-RXN,[2.7],
SUGAR-PHOSPHATASE-RXN,[13],
SUGAR-PHOSPHATASE-RXN,[3.1],
SUGAR-PHOSPHATASE-RXN,[7.5],
RXN0-5185,[16],
RXN0-5185,[0.75],
GLUCOSE-1-PHOSPHAT-RXN,[1.4],
GLUCOSE-1-PHOSPHAT-RXN,[0.1],
GLUCOSE-1-PHOSPHAT-RXN,[2.7],
GLUCOSE-1-PHOSPHAT-RXN,[0.56],
5-NUCLEOTID-RXN,[25],
5-NUCLEOTID-RXN,[31],
5-NUCLEOTID-RXN,[1.3],
5-NUCLEOTID-RXN,[2.1],
5-NUCLEOTID-RXN,[0.18],
5-NUCLEOTID-RXN,[0.88],
RXN0-5186,[19.5],
RXN0-5186,[7.1],
RXN0-5187,[9.4],
RXN-7607,[2.6],
RXN-7609,[5.5],
RXN0-5114,[66],
RXN0-5114,[76],
RXN0-5114,[0.11],
GPH-RXN,[8.9],
GPH-RXN,[21],
SUGAR-PHOSPHATASE-RXN,[111],
SUGAR-PHOSPHATASE-RXN,[28],
SUGAR-PHOSPHATASE-RXN,[22],
SUGAR-PHOSPHATASE-RXN,[101],
SUGAR-PHOSPHATASE-RXN,[7.5],
SUGAR-PHOSPHATASE-RXN,[14],
SUGAR-PHOSPHATASE-RXN,[9.2],
SUGAR-PHOSPHATASE-RXN,[20],
SUGAR-PHOSPHATASE-RXN,[21],
SUGAR-PHOSPHATASE-RXN,[19],
SUGAR-PHOSPHATASE-RXN,[11],
SUGAR-PHOSPHATASE-RXN,[5.4],
SUGAR-PHOSPHATASE-RXN,[11],
SUGAR-PHOSPHATASE-RXN,[24],
3.1.3.74-RXN,[1],
F16BDEPHOS-RXN,[5.3],
RXN0-5187,[6.5],
RXN0-5187,[3.3],
3.1.3.74-RXN,[12],
SUGAR-PHOSPHATASE-RXN,[13],
GLUCOSE-6-PHOSPHATASE-RXN,[14],
TREHALOSEPHOSPHA-RXN,[9.1],
3.1.3.74-RXN,[0.58],
3.1.3.74-RXN,[0.50],
RXN0-4361,[0.19],
PANTOATE-BETA-ALANINE-LIG-RXN,[1.4],
RXN-11842,[0.099],
MHPCHYDROL-RXN,[28],
ADENOSYLHOMOCYSTEINE-NUCLEOSIDASE-RXN,[2.1],
METHYLTHIOADENOSINE-NUCLEOSIDASE-RXN,[4.0],
GLUC1PADENYLTRANS-RXN,[370],
XYLULOKIN-RXN,[255],
ACYLPHOSPHATASE-RXN,[94],
RXN-10856,[0.089],
H2NEOPTERINALDOL-RXN,[0.082],
2-DEHYDROPANTOATE-REDUCT-RXN,[25],
ISOCHORSYN-RXN,[3.55],
DIHYDROFOLATEREDUCT-RXN,[5.3],
RXN0-743,[15.5],
RXN0-743,[15.6],
THYM-PHOSPH-RXN,[198],
URA-PHOSPH-RXN,[35],
LEUCINE--TRNA-LIGASE-RXN,[0.12],
F16BDEPHOS-RXN,[24],
ACETYLORNDEACET-RXN,[3800],
RXN0-299,[3.3],
UDP-NACMUR-ALA-LIG-RXN,[5.3],
RXN0-7022,[4.83],
LEUCINE--TRNA-LIGASE-RXN,[29],
ISOLEUCINE--TRNA-LIGASE-RXN,[0.51],
ISOCITDEH-RXN,[106.3],
ISOCITDEH-RXN,[88.1],
LEUCINE--TRNA-LIGASE-RXN,[9.6],
HOMSUCTRAN-RXN,[25.7],
TREHALA-RXN,[199],
1.8.4.14-RXN,[6.9],
RXN-11832,[103],
RXN-7913,[108],
BETA-GLUCURONID-RXN,[1500],
1.1.1.39-RXN,[82.7],
MALIC-NADP-RXN,[12.4],
1.1.1.39-RXN,[2.93],
MALIC-NADP-RXN,[66.6],
MALIC-NADP-RXN,[0.38],
L-GLN-FRUCT-6-P-AMINOTRANS-RXN,[14.2],
NAG6PDEACET-RXN,[102],
GLUTRACE-RXN,[43.33],
GLUTRACE-RXN,[12.17],
THIOESTER-RXN,[10.13],
325-BISPHOSPHATE-NUCLEOTIDASE-RXN,[11.4],
325-BISPHOSPHATE-NUCLEOTIDASE-RXN,[13.2],
RXN0-1321,[0.004],
RXN-12583,[37.9],
SUCCCOASYN-RXN,[44.73],
RXN0-5408,[0.490],
RXN0-7046,[7.9],
NACGLCTRANS-RXN,[0.72],
H2NEOPTERINP3PYROPHOSPHOHYDRO-RXN,[11.6],
RXN0-384,[4.59],
DIHYDROOROT-RXN,[181.1],
2.5.1.64-RXN,[0.05],
2.5.1.64-RXN,[0.075],
RXN-12458,[0.0167],
RXN-11598,[0.0013],
RXN-11598,[0.0007],
MALATE-DEH-RXN,[931],
KDPGALDOL-RXN,[83],
KDPGALDOL-RXN,[80],
DCTP-DEAM-RXN,[1.24],
RXN0-4301,[0.44],
NACGLCTRANS-RXN,[0.27],
NACGLCTRANS-RXN,[0.93],
RXN-14160,[1.1],
RXN-14073,[3.3],
GLYCPDIESTER-RXN,[3.2],
GLYCPDIESTER-RXN,[1.8],
RXN-14136,[2.8],
RHAMNULPALDOL-RXN,[9.1],
DIENOYLCOAREDUCT-RXN,[9.5],
CATAL-RXN,[2950],
RXN-8667,[25],
RXN0-280,[0.86166674],
ALCOHOL-DEHYDROGENASE-NADPORNOP+-RXN,[53.5],
RXN-18605,[700],
ACYL-COA-HYDROLASE-RXN,[0.55],
ACYL-COA-HYDROLASE-RXN,[6.7],
ACYL-COA-HYDROLASE-RXN,[17],
ACYL-COA-HYDROLASE-RXN,[9.6],
ACYL-COA-HYDROLASE-RXN,[13],
ACYL-COA-HYDROLASE-RXN,[3.7],
ACYL-COA-HYDROLASE-RXN,[0.1],
ACYL-COA-HYDROLASE-RXN,[9.4],
CTPSYN-RXN,[6.1],
RXN-9310,[167],
INOPHOSPHOR-RXN,[44.93],
RXN0-3741[CCO-CYTOSOL]-TMP/WATER//THYMIDINE/Pi.37.,[1.19],
RXN0-3741,[0.69],
RXN0-3741[CCO-CYTOSOL]-DCMP/WATER//DEOXYCYTIDINE/Pi.42.,[0.84],
RXN0-3741[CCO-CYTOSOL]-DUMP/WATER//DEOXYURIDINE/Pi.41.,[1.36],
RXN0-3741,[1.6],
RXN0-3741[CCO-CYTOSOL]-DAMP/WATER//DEOXYADENOSINE/Pi.43.,[2.28],
RXN0-3741[CCO-CYTOSOL]-DIMP/WATER//DEOXYINOSINE/Pi.41.,[0.61],
RXN-14161,[0.14],
RXN0-5364,[0.08],
UNDECAPRENYL-DIPHOSPHATASE-RXN,[50],
UDPHYDROXYMYRGLUCOSAMNACETYLTRANS-RXN,[23],
ALARACECAT-RXN,[54],
ALARACECAT-RXN,[5.78],
METHYLTHIOADENOSINE-NUCLEOSIDASE-RXN,[0.49],
ADENOSYLHOMOCYSTEINE-NUCLEOSIDASE-RXN,[0.45],
RXN0-5387,[34.2],
CARBPSYN-RXN,[4.79],
CARBPSYN-RXN,[2.13],
GLUTAMIN-RXN,[91.4],
GLUTAMIN-RXN,[101],
GLUTAMINE--TRNA-LIGASE-RXN,[3.2],
CYTDEAM-RXN,[185],
2.5.1.19-RXN,[26.4],
RXN0-5390,[23.7],
RXN0-5395,[31],
DUTP-PYROP-RXN,[5.8],
CATAL-RXN,[11000],
RXN-8667,[65],
RXN0-5455,[28.54],
RXN0-5455,[4.91],
RXN0-5455,[0.26],
SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN,[37.9],
RXN0-5433,[0.4],
L-RHAMNONATE-DEHYDRATASE-RXN,[3.2],
RXN0-5433,[0.4],
GST-RXN,[9.1],
GST-RXN,[7.7],
RXN0-4641,[5.7],
3.4.11.18-RXN,[18.3],
DIHYDRODIPICSYN-RXN,[124],
3.4.11.18-RXN,[84],
IMP-DEHYDROG-RXN,[13],
3.4.11.18-RXN,[18.3],
GLYOHMETRANS-RXN,[11.4],
F16BDEPHOS-RXN,[14.6],
F16BDEPHOS-RXN,[5.7],
F16BDEPHOS-RXN,[2.9],
F16BDEPHOS-RXN,[2.5],
F16BDEPHOS-RXN,[2.9],
F16BDEPHOS-RXN,[0.2],
F16BDEPHOS-RXN,[5.3],
THIOSULFATE-SULFURTRANSFERASE-RXN,[64],
RIBOSYLHOMOCYSTEINASE-RXN,[0.38],
GALPMUT-RXN,[27],
RXN0-7008,[29],
LEUCYLTRANSFERASE-RXN,[0.00367],
RXN0-7046,[0.154],
RXN0-7046,[0.207],
RXN0-7046,[10.3],
RXN0-7105,[0.14],
RXN0-7046,[7.45],
RXN0-7046,[13.9],
RXN0-5055,[0.58],
RXN0-5055,[0.44],
DIHYDRODIPICSYN-RXN,[124],
2.5.1.19-RXN,[14],
PANTOTHENATE-KIN-RXN,[1.14],
RXN0-6710,[1.71],
O-SUCCHOMOSERLYASE-RXN,[121],
METBALT-RXN,[1.8],
RXN-15131,[35],
RXN0-742,[5.9],
GARTRANSFORMYL2-RXN,[37.6],
RXN0-742,[52],
ATPSYN-RXN,"[16,20]",
ATPSYN-RXN,[285],
MALONYL-COA-ACP-TRANSACYL-RXN,[0.00047],
CYTDEAM-RXN,[49.68],
RXN0-6254,[0.00617],
RXN-9310,[147],
PROTOPORGENOXI-RXN,[0.292],
ALCOHOL-DEHYDROGENASE-NADPORNOP+-RXN,[1.1],
ALCOHOL-DEHYDROGENASE-NADPORNOP+-RXN,[1],
ACNEULY-RXN,[6.75],
RXN-11841,[0.00097],
GLUCUROISOM-RXN,[196],
GLUTDECARBOX-RXN,[24.85],
RXN0-1321,[0.0094],
GLYOHMETRANS-RXN,[11.5],
RXN0-5234,[0.5],
DIHYDRODIPICSYN-RXN,[78],
ALANINE--TRNA-LIGASE-RXN-ALA-tRNAs/L-ALPHA-ALANINE/ATP/PROTON//Charged-ALA-tRNAs/AMP/PPI.64.,[1.2],
RXN-15131,[34.1],
DIHYDROFOLATEREDUCT-RXN,[18.4],
DIHYDROFOLATEREDUCT-RXN,[19.2],
DIHYDROFOLATEREDUCT-RXN,[5.4],
DIHYDROFOLATEREDUCT-RXN,[24.8],
RXN0-4361,[35.7],
RXN0-4361,[35.7],
RXN0-4361,[36],
AMINEPHEN-RXN,[12.4],
ISOCHORSYN-RXN,[0.617],
UDPACYLGLCNACDEACETYL-RXN,[8.83],
THREONINE--TRNA-LIGASE-RXN,[0.05],
PHENYLALANINE--TRNA-LIGASE-RXN,[199],
TYROSINE--TRNA-LIGASE-RXN,[35],
PABASYN-RXN,[0.67],
CHORISMATEMUT-RXN,[50],
ANTHRANSYN-RXN,[138],
CARBPSYN-RXN,[1.9],
CARBPSYN-RXN,[0.17],
CARBPSYN-RXN,[3.6],
CARBPSYN-RXN,[2.2],
CARBPSYN-RXN,[0.13],
DIHYDRODIPICSYN-RXN,[45],
MHPELY-RXN,[205.4],
L-GLN-FRUCT-6-P-AMINOTRANS-RXN,[12],
RXN-12458,[0.09],
RXN0-302,[2.7],
VALINE--TRNA-LIGASE-RXN,[12.9],
ACETOLACTSYN-RXN,[40.3],
OXALYL-COA-DECARBOXYLASE-RXN,[60.7],
RXN-9772,[0.267],
L-ASPARTATE-OXID-RXN,[0.667],
DIHYDRODIPICSYN-RXN,[9.8],
UDPGLUCEPIM-RXN,[750],
RXN-11592,[0.0825],
RXN-11592,[0.10666668],
RXN-11837,[0.032833334],
ACNEULY-RXN,[4.33],
ERYTHRON4PDEHYDROG-RXN,[1.4],
GLUTAMIN-RXN,[6.6],
ASNSYNB-RXN,[0.9],
ASNSYNB-RXN,[0.67],
ASNSYNA-RXN,[0.96],
ASNSYNA-RXN,[0.75],
6PFRUCTPHOS-RXN,[62],
RXN0-6549,[27],
PHOSACETYLTRANS-RXN,[415.5],
PHOSACETYLTRANS-RXN,[119.8],
PHOSACETYLTRANS-RXN,[227.6],
PHOSACETYLTRANS-RXN,[29.6],
MANNPISOM-RXN,[23],
GLYOHMETRANS-RXN-SER/THF//GLY/METHYLENE-THF/WATER.33.,[10.67],
LTAA-RXN,[0.5],
RXN0-5240,[0.000633],
LTAA-RXN,[6.27],
THREONINE-ALDOLASE-RXN,[1.033],
THREONINE-ALDOLASE-RXN,[0.7167],
RXN0-5240,[0.00182],
GLYOHMETRANS-RXN-SER/THF//GLY/METHYLENE-THF/WATER.33.,[0.0317],
RXN-15578,[6.8],
RXN0-6562,[5.7],
DXS-RXN,[345],
LTAA-RXN,[3.2],
THREONINE-ALDOLASE-RXN,[1.1],
HOMOSERKIN-RXN,[46],
RXN0-6564,[9.7],
RXN0-6564,[1.44],
DIHYDROURACIL-DEHYDROGENASE-NAD+-RXN,[0.65],
DIHYDROURACIL-DEHYDROGENASE-NAD+-RXN,[0.64],
RXN0-6565,[0.28],
RXN0-6565,[0.39],
RXN-16165,[1],
ADENINE-DEAMINASE-RXN,[200],
RXN0-7013,[0.48],
LYSDECARBOX-RXN,[30],
INOPHOSPHOR-RXN,[6200],
RXN0-313,[13],
RXNMETA-12671,[39],
GMP-REDUCT-RXN,[0.28],
RXN0-5144,[0.31],
RXN0-7081,[0.34],
ACETOLACTSYN-RXN,[40.3],
3-DEHYDROQUINATE-SYNTHASE-RXN,[16],
DARAB5PISOM-RXN,[218],
DARAB5PISOM-RXN,[242],
DARAB5PISOM-RXN,[157],
DARAB5PISOM-RXN,[255],
CYTDEAM-RXN,[132],
TRANS-RXN0-277,[167.9],
1.8.4.13-RXN,[3.1],
1.8.4.13-RXN,[2.7],
1.8.4.13-RXN,[0.14],
1.8.4.13-RXN,[0.16],
1.8.4.13-RXN,[6.6],
RXN0-6708,[49],
CYTDEAM-RXN,[45],
RXN0-1321,[0.00629],
CPM-KDOSYNTH-RXN,[12.5],
GLYOXIII-RXN,[2.62],
RXN-8999,[2.5],
UDPNACETYLGLUCOSAMENOLPYRTRANS-RXN,[3.8],
NAPHTHOATE-SYN-RXN,[0.062],
NADH-DEHYDROG-A-RXN,[26],
DXS-RXN,[2.6],
2.5.1.64-RXN,[0.28],
NMNAMIDOHYDRO-RXN,[3.3],
CATAL-RXN,[200],
ADENINE-DEAMINASE-RXN,[200],
RXN-9535,[0.11],
RXN-9535,[0.0567],
3-OXOACYL-ACP-SYNTH-RXN-MALONYL-ACP/Dodecanoyl-ACPs/PROTON//ACP/3-oxo-myristoyl-ACPs/CARBON-DIOXIDE.76.,[0.029],
RXN0-5118,[4.7],
RXN0-6733,[6.4],
RXN0-6733,[6],
RXN0-6732,[20],
RXN0-6732,[27],
ASPAMINOTRANS-RXN,[530],
ASPAMINOTRANS-RXN,[670],
GLYOXI-RXN,[344],
GLYOXII-RXN,[61],
UDPNACETYLGLUCOSAMACYLTRANS-RXN,[3.6],
UDPHYDROXYMYRGLUCOSAMNACETYLTRANS-RXN,[3.0],
THREODEHYD-RXN,[88],
3.5.1.88-RXN,[64],
ACETOLACTSYN-RXN,[71.3],
ACETYLORNDEACET-RXN,[3800],
RXN-8992,[2],
RXN0-5462,[0.0028],
RXN0-5462,[0.0053],
GLU6PDEHYDROG-RXN,[174],
GLU6PDEHYDROG-RXN,[240],
RXN0-7010,[15],
RXN0-7010,[14],
RXN0-7010,[7.2],
RXN0-7010,[4.9],
O-SUCCHOMOSERLYASE-RXN,[1.80],
RXN0-961,[38.3],
TRIPHOSPHATASE-RXN,[16.7],
SPERMIDINESYN-RXN,[0.14],
CATAL-RXN,[11000],
ACETYLESTERASE-RXN,[29],
ACETALD-DEHYDROG-RXN,[17.5],
RXN0-7024,[57.06],
RXN0-7024,[62.39],
RXN0-4022,[0.0033],
RXN0-4022,[0.1268],
ACETYLORNTRANSAM-RXN,[4.7],
SUCCORNTRANSAM-RXN,[3],
ACETYLORNTRANSAM-RXN,[0.61],
RXN0-5101,[354000],
RXN0-5101,[142000],
RXN0-5101,[123000],
RXN0-5101,[2.1],
RXN0-4022,[0.142],
RXN0-4022,[0.108],
RXN0-7046,[0.13],
RXN-9311,[6.2],
RXN-9311,[14.8],
RXN-9311,[12.6],
DIHYDROFOLATEREDUCT-RXN,[12.6],
R303-RXN,[56.21],
RXN-11865,[0.0098],
RXN-11860,[0.0073],
GLUTDEHYD-RXN,[37.3],
RXN0-7075,[15],
RXN0-7075,[11],
RXN0-4281,[0.25],
RXN0-4281,[4.9333334],
RXN0-4281,[0.367],
RXN0-4281,[6.13],
RXN0-4281,[2.33],
RXN0-4281,[7.63],
RXN0-4281,[0.25],
RXN0-4281,[0.25],
RXN0-5187,[0.6],
SUCCCOASYN-RXN,[1.2],yes
SUCCCOASYN-RXN,[1.8],yes
SUCCCOASYN-RXN,[1.5],yes
SUCCCOASYN-RXN,[14.3],
SUCCCOASYN-RXN,[19.6],
SUCCCOASYN-RXN,[26.7],
RXN0-7078,[0.14],
RXN0-5107,[15.4],
RXN0-7079,[1.2],
RXN-14139,[10.5],
RXN-14139,[18.2],
RXN-14139,[9.2],
RXN-14139,[18.2],
RXN-14139,[15.2],
RXN0-7083,[0.012],
RXN0-5462,[0.0006],
RXN0-5120,[0.5],
RXN0-7101,[0.5116667],
RXN0-7101,[0.9716667],
RXN0-7101,[0.21],
RXN-15607,[0.2766667],
RXN-15607,[0.0517],
RXN-15607,[0.283],
NMNAMIDOHYDRO-RXN,[4.1],
RXN0-5507,[0.072],
RXN0-5229,[0.51],
RXN-9311,[17.7],yes
RXN-9311,[2.2],yes
1.1.1.83-RXN,[11.7],
3-ISOPROPYLMALDEHYDROG-RXN,[0.102],
TARTRATE-DEHYDROGENASE-RXN,[0.26],
RXN-15943,[127.6],
RXN-15943,[127.4],
DLACTDEHYDROGNAD-RXN,[1100],yes
DLACTDEHYDROGNAD-RXN,[100],yes
DLACTDEHYDROGNAD-RXN,[640],yes
DLACTDEHYDROGNAD-RXN,[50],yes
DLACTDEHYDROGNAD-RXN,[410],yes
DLACTDEHYDROGNAD-RXN,[31],yes
GLUCOSE-1-PHOSPHAT-RXN,[0.98],
GLUCOSE-1-PHOSPHAT-RXN,[1.26],
GLUCOSE-1-PHOSPHAT-RXN,[10.2],
SUGAR-PHOSPHATASE-RXN,[12],
GLUCOSE-1-PHOSPHAT-RXN,[40],
SUGAR-PHOSPHATASE-RXN,[9],
SUGAR-PHOSPHATASE-RXN,[56],
SUGAR-PHOSPHATASE-RXN,[4],
SUGAR-PHOSPHATASE-RXN,[22],
SUGAR-PHOSPHATASE-RXN,[22],
RXN0-1001,[2.1],
SULFITE-REDUCT-RXN,[40],
ASPCARBTRANS-RXN,[1670],
URPHOS-RXN,[98],
THYM-PHOSPH-RXN,[198],
UDPNACETYLGLUCOSAMENOLPYRTRANS-RXN,[2.4],
6PFRUCTPHOS-RXN,[185],
GLYCEROL-KIN-RXN,[193.3],
OHMETPYRKIN-RXN,[0.43],
PNKIN-RXN,[0.36],
OHMETPYRKIN-RXN,[0.086],
PYRIMSYN3-RXN,[0.07],
ASPARTATEKIN-RXN,[56.7],
HOMOSERDEHYDROG-RXN,[400],
RHAMNULPALDOL-RXN,[38.3],
RHAMNULPALDOL-RXN,[38.3],
DEOXYRIBOSE-P-ALD-RXN,[521.1],
ASPARTASE-RXN,[180],
UDPGLUCEPIM-RXN,[18],
UDPGLUCEPIM-RXN,[500],
GALPMUT-RXN,[27],
GALPMUT-RXN,[1.5],
RXN-16165,[5.6],
RXN-16165,[13.3],
RXN0-6373,[232],
RXN0-6373,[1659],
RXN0-6373,[1930],
RXN0-6373,[2509],
RXN0-6373,[3011],
RXN0-6373,[3860],
SERINE-O-ACETTRAN-RXN,[427],
SERINE-O-ACETTRAN-RXN,[16.9],
PRTRANS-RXN,[4.4],
RXN-16165,[5.6],
