	Uniprot accession	Protein name	Gene name	MinimalMedia_1	MinimalMedia_2	MinimalMedia_mean
57	P02932	PHOE_ECOLI	phoE	0.4101498615712656	1.115678142330467	0.7629140019508661
58	P02942	MCP1_ECOLI	tsr	0.9763143479633908	0.7630479860168198	0.8696811669901052
59	P03004	DNAA_ECOLI	dnaA	0.6645206330771025	0.6282873679811254	0.646404000529114
60	P03007	DPO3E_ECOLI	dnaQ	0.4095041097007491	0.401667041354086	0.4055855755274175
61	P03018	UVRD_ECOLI	uvrD	0.6335408217941255	0.8430269942399544	0.73828390801704
62	P03023	LACI_ECOLI	lacI	0.6674616071658678	2	1.333730803582934
63	P03024	GALR_ECOLI	galR	0.6177599574853043	2	1.308879978742652
64	P03813	YGEA_ECOLI	ygeA	1.198747876961281	0.625632448447979	0.91219016270463
65	P03817	MIOC_ECOLI	mioC	0.6692397956303083	0.6773679498953481	0.6733038727628282
66	P03819	KEFC_ECOLI	kefC	2	1.085874731115354	1.542937365557677
67	P03835	INSG_ECOLI	insG	0.7368559391559396		0.7368559391559396
68	P03841	MALM_ECOLI	malM	0.6924530206898141	0.7075	0.699976510344907
69	P04036	DAPB_ECOLI	dapB	0.6723891512846389	0.7354330944435268	0.7039111228640829
70	P04079	GUAA_ECOLI	guaA	0.7208079680064735	0.8354265325156262	0.7781172502610498
71	P04335	FRSA_ECOLI	frsA	0.6941161014792078	0.9616564327937904	0.827886267136499
72	P04391	OTC1_ECOLI	argI	1.093776834222268	0.7539813282628631	0.9238790812425652
73	P04395	3MG2_ECOLI	alkA	0.921971658447964		0.921971658447964
74	P04425	GSHB_ECOLI	gshB	0.7284997259580409	1.645458078855573	1.186978902406807
75	P04693	TYRB_ECOLI	tyrB	0.831024292106933	0.7259350266037681	0.7784796593553505
76	P04805	SYE_ECOLI	gltX	0.7623234427114037	0.8447874817912197	0.8035554622513117
77	P04816	LIVK_ECOLI	livK	0.714859370207319	0.9914681083716806	0.8531637392894998
78	P04825	AMPN_ECOLI	pepN	0.691024159499179	0.6995736377615394	0.6952988986303592
79	P04846	NLPA_ECOLI	nlpA	0.7114050385265511	0.5783258236392	0.6448654310828756
80	P04949	FLIC_ECOLI	fliC	0.4264538687434903	0.2864462311588031	0.3564500499511467
81	P04951	KDSB_ECOLI	kdsB	0.8861417053644616	0.7010358800678609	0.7935887927161612
82	P04968	ILVA_ECOLI	ilvA	0.7223366482275847	0.8310350387468534	0.776685843487219
83	P04982	RBSD_ECOLI	rbsD	0.7835506494926877	0.6264473892056064	0.7049990193491471
84	P04983	RBSA_ECOLI	rbsA	0.7898285268841783	0.942278967212646	0.8660537470484122
85	P04993	RECD_ECOLI	recD	0.6478686730609445	0.7112757479039818	0.6795722104824632
86	P04994	EX7L_ECOLI	xseA	0.6390472945007736	0.676269799817902	0.6576585471593378
87	P04995	EX1_ECOLI	sbcB	0.6985174434056913	1.233694594551128	0.9661060189784094
88	P05020	PYRC_ECOLI	pyrC	0.7578692932783281	1.178985247740955	0.9684272705096416
89	P05041	PABB_ECOLI	pabB	0.6480539997665888	0.695077114306139	0.6715655570363639
90	P05042	FUMC_ECOLI	fumC	1.218192037859127	0.7092942911808642	0.9637431645199956
91	P05052	APPY_ECOLI	appY	0.5134514527121539	0.550466905095196	0.531959178903675
92	P05055	PNP_ECOLI	pnp	0.6779722178631978	0.843775416327837	0.7608738170955174
93	P05100	3MG1_ECOLI	tag	0.5266923209611383	0.5244620947136667	0.5255772078374025
94	P05194	AROD_ECOLI	aroD	0.6793807002698091	0.6835446245880636	0.6814626624289364
95	P05458	PTRA_ECOLI	ptrA	0.816511326132609	1.21569604785247	1.01610368699254
96	P05459	PDXB_ECOLI	pdxB	0.8536278324253599	0.8732044451331332	0.8634161387792465
97	P05523	FPG_ECOLI	mutM	0.7211784378872618	0.6070075001052522	0.6640929689962569
98	P05637	APAH_ECOLI	apaH	0.8187807057005136	0.7302615421482841	0.7745211239243989
99	P05704	MCP3_ECOLI	trg	0.9030154620048092	0.6603580044699348	0.781686733237372
100	P05706	PTHA_ECOLI	srlB	0.6957002466923069		0.6957002466923069
101	P05719	T1SK_ECOLI	hsdS	0.7317280993792099	1.718946091380317	1.225337095379763
102	P05791	ILVD_ECOLI	ilvD	0.9636235846486948	0.7102253790724703	0.8369244818605825
103	P05793	ILVC_ECOLI	ilvC	0.8224113632914947	0.9306064780397072	0.8765089206656009
104	P05825	FEPA_ECOLI	fepA	0.8145020072738958	0.8604582264950913	0.8374801168844935
105	P05827	ILVY_ECOLI	ilvY	0.7145950558245904	0.7123873204909252	0.7134911881577578
106	P05852	TSAD_ECOLI	tsaD	0.6562553126055274	0.6606592336202086	0.658457273112868
107	P06129	BTUB_ECOLI	btuB	0.6744387614846643	0.7265845315791882	0.7005116465319263
108	P06136	FTSQ_ECOLI	ftsQ	0.6339557294815589	0.6500901803474135	0.6420229549144862
109	P06149	DLD_ECOLI	dld	0.9715131177369504	0.7569178541706391	0.8642154859537947
110	P06282	CDH_ECOLI	cdh	0.7504530683827184	0.8274213812955776	0.788937224839148
111	P06610	BTUE_ECOLI	btuE	2	0.7411929478566078	1.370596473928304
112	P06611	BTUD_ECOLI	btuD	0.5432737118734263		0.5432737118734263
113	P06612	TOP1_ECOLI	topA	0.7172610151743304	0.9435786656633226	0.8304198404188265
114	P06616	ERA_ECOLI	era	0.6830159983618002	0.7111153612807598	0.69706567982128
115	P06709	BIRA_ECOLI	birA	0.5930506049751544	0.6662000634879195	0.629625334231537
116	P06710	DPO3X_ECOLI	dnaX		0.670829589997081	0.670829589997081
117	P06715	GSHR_ECOLI	gor	0.7817490750095976	0.7467529862234952	0.7642510306165464
118	P06720	AGAL_ECOLI	melA	0.6273778259473645	0.5037539857905798	0.5655659058689722
119	P06721	METC_ECOLI	metC	0.6656907762832013	0.6338836592366014	0.6497872177599013
120	P06722	MUTH_ECOLI	mutH	0.7639395703340142	0.7283365983537248	0.7461380843438694
121	P06846	EBGR_ECOLI	ebgR	0.8597528952305977	1.19526524812658	1.027509071678589
122	P06959	ODP2_ECOLI	aceF	0.901529982310992	0.7175847648456092	0.8095573735783006
123	P06961	CCA_ECOLI	cca	0.7033037194934766	0.6868348945251459	0.6950693070093112
124	P06966	DICA_ECOLI	dicA	0.4733433703470444		0.4733433703470444
125	P06968	DUT_ECOLI	dut	0.7588325790196198	2	1.37941628950981
126	P06971	FHUA_ECOLI	fhuA	0.7289884729412438	0.8392672810063556	0.7841278769737997
127	P06974	FLIM_ECOLI	fliM	0.5927717881015234	0.673535776624295	0.6331537823629092
128	P06983	HEM3_ECOLI	hemC	0.6944625892980302	0.6843890432263503	0.6894258162621902
129	P06986	HIS8_ECOLI	hisC	0.8415085819991983	0.7501731936145377	0.795840887806868
130	P06987	HIS7_ECOLI	hisB	1.314121766176321	0.6991893938162782	1.0066555799963
131	P06988	HISX_ECOLI	hisD	0.9114908558712158	0.741868128652095	0.8266794922616554
132	P06989	HIS2_ECOLI	hisI	0.8346115957447905	1.000079086353764	0.9173453410492772
133	P06992	RSMA_ECOLI	rsmA	0.9820372590192956	0.6299535317588375	0.8059953953890666
134	P06993	MALT_ECOLI	malT	0.642821636184612	0.3203273471190977	0.4815744916518548
135	P06996	OMPC_ECOLI	ompC	0.8609793618481887	0.845080775905704	0.8530300688769463
136	P06999	PFKB_ECOLI	pfkB	0.98544953951763	0.8385633960555431	0.9120064677865866
137	P07001	PNTA_ECOLI	pntA	1.03485453652993	0.8625936592545002	0.9487240978922152
138	P07003	POXB_ECOLI	poxB	0.6704449393380745	0.6620666472033029	0.6662557932706887
139	P07004	PROA_ECOLI	proA	0.7062194700897386	0.7553194152632244	0.7307694426764815
140	P07012	RF2_ECOLI	prfB	0.7102074311612674	0.8329360953006658	0.7715717632309667
141	P07014	SDHB_ECOLI	sdhB	0.7194394579029347	0.7754402620193103	0.7474398599611225
142	P07017	MCP2_ECOLI	tar	0.684927989103964	0.7754407204797794	0.7301843547918717
143	P07018	MCP4_ECOLI	tap	0.6786367868442755	0.6803216984572076	0.6794792426507416
144	P07021	YFIB_ECOLI	yfiB	0.4450065584090368		0.4450065584090368
145	P07023	TYRA_ECOLI	tyrA	0.7135026310658079	2	1.356751315532904
146	P07024	USHA_ECOLI	ushA	0.7538404511211291	0.5578769339896421	0.6558586925553855
147	P07026	SDIA_ECOLI	sdiA	0.6161328784797698	0.6568734901234726	0.6365031843016212
148	P07102	PPA_ECOLI	appA	0.6573386136080687	0.672669783673731	0.6650041986408999
149	P07109	HISP_ECOLI	hisP	0.6614886419528098	0.6824311439913623	0.671959892972086
150	P07117	PUTP_ECOLI	putP	0.6662433720537236	0.7480127010257428	0.7071280365397332
151	P07118	SYV_ECOLI	valS	0.7943929114403796	0.6528415322011535	0.7236172218207666
152	P07330	CHEB_ECOLI	cheB	0.9393569727144936	0.929871564422416	0.9346142685684548
153	P07363-2	CHEA_ECOLI		0.5409675236713143	0.7724352082587139	0.656701365965014
154	P07363	CHEA_ECOLI	cheA	0.5539024387245526	0.5562286124488192	0.5550655255866859
155	P07364	CHER_ECOLI	cheR	0.5547169917028971	0.5402805039110236	0.5474987478069604
156	P07395	SYFB_ECOLI	pheT	0.6879249666963749	1.09032700949624	0.8891259880963075
157	P07604	TYRR_ECOLI	tyrR	0.69243724789175	0.5636800240990493	0.6280586359953997
158	P07623	METAS_ECOLI	metAS	2	1.325019051567922	1.662509525783961
159	P07639	AROB_ECOLI	aroB	1.337677596974153	0.6867623106826788	1.012219953828416
160	P07648	RECC_ECOLI	recC	0.6929326401491045	0.7192826615885902	0.7061076508688473
161	P07649	TRUA_ECOLI	truA	0.6758222486177943	0.8583874540309284	0.7671048513243613
162	P07650	TYPH_ECOLI	deoA	0.914636004715464	0.7427510457089501	0.8286935252122071
163	P07654	PSTA_ECOLI	pstA	0.6990386790720101	0.7421200889540868	0.7205793840130484
164	P07762	GLGB_ECOLI	glgB	0.6372827759572232	0.852643514604392	0.7449631452808076
165	P07813	SYL_ECOLI	leuS	0.7084338129322864	0.9344555883738512	0.8214447006530687
166	P07821	FHUC_ECOLI	fhuC	0.746467658517626	0.631713624441571	0.6890906414795985
167	P07822	FHUD_ECOLI	fhuD	0.5981566034369606	0.7053220143661499	0.6517393089015553
168	P07862	DDLB_ECOLI	ddlB	0.9273344547650896	0.8769068600344239	0.9021206573997568
169	P07913	TDH_ECOLI	tdh	0.7337308607252562	0.8197635127830997	0.776747186754178
170	P08142	ILVB_ECOLI	ilvB	0.69298126812212	0.700372335523914	0.696676801823017
171	P08178	PUR5_ECOLI	purM	0.7994114219756246	0.7881505968877867	0.7937810094317057
172	P08179	PUR3_ECOLI	purN	1.095722967947545	0.6689478545574092	0.8823354112524772
173	P08189	FIMF_ECOLI	fimF	0.5812374328798414		0.5812374328798414
174	P08191	FIMH_ECOLI	fimH	0.5706752300564131		0.5706752300564131
175	P08192	FOLC_ECOLI	folC	0.6058129150637829	2	1.302906457531891
176	P08200	IDH_ECOLI	icd	0.8503895857399343	0.8907120113172435	0.870550798528589
177	P08201	NIRB_ECOLI	nirB	0.3729348482322824	0.5715973636181914	0.4722661059252369
178	P08202	ARAA_ECOLI	araA	2	0.7729897126532684	1.386494856326634
179	P08244	PYRF_ECOLI	pyrF	0.6521331220978045	0.7032761496217265	0.6777046358597655
180	P08245	YCIH_ECOLI	yciH	0.473291349261002	0.681873748877263	0.5775825490691325
181	P08312	SYFA_ECOLI	pheS	0.9479503315547066	0.7159845994531425	0.8319674655039246
182	P08331	CPDB_ECOLI	cpdB	0.7985198767537746	0.8530843609130658	0.8258021188334201
183	P08337	MUTT_ECOLI	mutT	0.7760762486472601	2	1.38803812432363
184	P08368	CREB_ECOLI	creB	0.6775211709855571	0.7559371992610034	0.7167291851232802
185	P08373	MURB_ECOLI	murB	0.6941578803484296	0.6937920346631276	0.6939749575057785
186	P08390	USG_ECOLI	usg	1.041854790984371	0.6780583696241408	0.8599565803042561
187	P08394	RECB_ECOLI	recB	0.6188113771874832	1.086260295959779	0.8525358365736311
188	P08395	SPPA_ECOLI	sppA	0.6633607529519552	0.6959574232397433	0.6796590880958493
189	P08400	PHOR_ECOLI	phoR	0.7701387769524692	1.68152669687093	1.2258327369117
190	P08401	CREC_ECOLI	creC	0.6438566684824515	2	1.321928334241226
191	P08506	DACC_ECOLI	dacC	0.9163097454534824	0.5777252825945841	0.7470175140240333
192	P08622	DNAJ_ECOLI	dnaJ	0.7123592771971013	0.7314795225955867	0.721919399896344
193	P08660	AK3_ECOLI	lysC	0.716782803856354	0.9220094195676628	0.8193961117120083
194	P08839	PT1_ECOLI	ptsI	0.7884822837222543	0.7417500097884793	0.7651161467553668
195	P08956	T1RK_ECOLI	hsdR	0.8286057015393066	0.6627448233072128	0.7456752624232597
196	P08957	T1MK_ECOLI	hsdM	0.6313619963503742	0.6937837039377979	0.662572850144086
197	P08997	MASY_ECOLI	aceB	0.911886413256311	0.703430000420936	0.8076582068386235
198	P09029	PURK_ECOLI	purK	0.7609485718108719	0.9087373703840028	0.8348429710974374
199	P09030	EX3_ECOLI	xthA	0.7021528216417277	0.7124597246112746	0.7073062731265012
200	P09053	AVTA_ECOLI	avtA	0.7003077033378045	0.8658863177558681	0.7830970105468362
201	P09099	XYLB_ECOLI	xylB	0.7018306781295903	0.7075	0.7046653390647952
202	P09126	HEM4_ECOLI	hemD	2	0.6191075942887323	1.309553797144366
203	P09127	HEMX_ECOLI	hemX	0.7790603617828595	1.232412697885676	1.005736529834268
204	P09147	GALE_ECOLI	galE	0.7768711908947702	0.8043617821800136	0.7906164865373919
205	P09148	GAL7_ECOLI	galT	0.7060708839544912	0.7306105530608675	0.7183407185076793
206	P09151	LEU1_ECOLI	leuA	0.6367010489379571	0.7818592006153284	0.7092801247766427
207	P09155	RND_ECOLI	rnd	0.7693636044476995	0.7907424169640106	0.780053010705855
208	P09158	SPEE_ECOLI	speE	0.7591856983294686	0.7370216486509348	0.7481036734902017
209	P09169	OMPT_ECOLI	ompT	0.7223984263358676	0.7764577114952277	0.7494280689155477
210	P09184	VSR_ECOLI	vsr	0.7696396912047673	0.521188774799621	0.6454142330021941
211	P09323	PTW3C_ECOLI	nagE	1.442739531510184	0.5795057430395608	1.011122637274873
212	P09348	MOTA_ECOLI	motA	0.5863673738752982	1.330194233840256	0.9582808038577773
213	P09372	GRPE_ECOLI	grpE	0.7123754221975562	0.7439008759532391	0.7281381490753976
214	P09373	PFLB_ECOLI	pflB	0.6789359246988209	0.8569167133800187	0.7679263190394199
215	P09391	GLPG_ECOLI	glpG	0.7146433581433608	0.7075	0.7110716790716805
216	P09394	GLPQ_ECOLI	glpQ	0.8658365568407339	1.056272454267579	0.9610545055541564
217	P09424	MTLD_ECOLI	mtlD	0.6923453647136475	1.621586567627024	1.156965966170336
218	P09546	PUTA_ECOLI	putA	0.5572718905631697	0.7190548855029374	0.6381633880330535
219	P09549	DEDD_ECOLI	dedD	0.5245825728452974	0.5949573159676375	0.5597699444064674
220	P09551	ARGT_ECOLI	argT	0.958353773323996	0.816009576235528	0.887181674779762
221	P09831	GLTB_ECOLI	gltB	0.6873820682464106	0.9084890031994328	0.7979355357229216
222	P09832	GLTD_ECOLI	gltD	0.6938939470578017	0.7837163875028058	0.7388051672803038
223	P09833	MODC_ECOLI	modC	0.6242343470222788	0.6860727368102401	0.6551535419162594
224	P09835	UHPB_ECOLI	uhpB	0.821526184435243	0.7163149653790418	0.7689205749071424
225	P09980	REP_ECOLI	rep	0.6520487494079459	0.7485109839260699	0.7002798666670078
226	P0A698	UVRA_ECOLI	uvrA	0.6453183562318547	0.8287403776484952	0.737029366940175
227	P0A6A0	UBIB_ECOLI	ubiB	0.903668426847317	2	1.451834213423659
228	P0A6A3	ACKA_ECOLI	ackA	0.9713245771531924	1.16043330067579	1.065878938914491
229	P0A6A6	LEUC_ECOLI	leuC	0.6224551567826943	0.6309984309163376	0.6267267938495159
230	P0A6A8	ACP_ECOLI	acpP	0.6809354662823454	0.7857795554689987	0.733357510875672
231	P0A6B4	ALR1_ECOLI	alr	0.7470823072254599	0.7913590124222113	0.7692206598238356
232	P0A6B7	ISCS_ECOLI	iscS	0.7618109742472946	0.6536608168889247	0.7077358955681097
233	P0A6C1	END4_ECOLI	nfo	0.6308205844149017	0.5237029470802231	0.5772617657475625
234	P0A6C5	ARGA_ECOLI	argA	0.648160309299072	0.6718171275418539	0.6599887184204629
235	P0A6C8	ARGB_ECOLI	argB	0.690973525589849	0.7522595818740719	0.7216165537319605
236	P0A6D0	ARGR_ECOLI	argR	0.6628401569617249	0.7540813610178588	0.7084607589897919
237	P0A6D3	AROA_ECOLI	aroA	0.7449604463037738	1.008607744571434	0.8767840954376039
238	P0A6D7	AROK_ECOLI	aroK	0.8450258359097232	0.7862863321728281	0.8156560840412757
239	P0A6E1	AROL_ECOLI	aroL	0.703640343633174	0.6963632780779019	0.7000018108555379
240	P0A6E4	ASSY_ECOLI	argG	0.7901180382783757	0.706259868407425	0.7481889533429004
241	P0A6E6	ATPE_ECOLI	atpC	0.7682791208387508	0.8229515117406498	0.7956153162897004
242	P0A6E9	BIOD2_ECOLI	bioD	0.7015980177497372	0.8268533614900396	0.7642256896198885
243	P0A6F1	CARA_ECOLI	carA	0.8756511633063612	0.60708051522619	0.7413658392662756
244	P0A6F3	GLPK_ECOLI	glpK	0.8652171372821831	0.7887555976929984	0.8269863674875908
245	P0A6F5	CH60_ECOLI	groL	0.8617471518750981	0.770419202394646	0.816083177134872
246	P0A6F9	CH10_ECOLI	groS	0.6417061297670623	0.88264762298031	0.7621768763736861
247	P0A6G3	PNCC_ECOLI	pncC	0.7057236470384929	0.6568877278900941	0.6813056874642935
248	P0A6G7	CLPP_ECOLI	clpP	0.7075	0.8789298710099552	0.7932149355049776
249	P0A6H1	CLPX_ECOLI	clpX	0.6135780127550998	0.6532995715522782	0.633438792153689
250	P0A6H5	HSLU_ECOLI	hslU	0.7159599453500424	0.6880524834167935	0.7020062143834179
251	P0A6H8	CLSA_ECOLI	clsA	0.6789174798753207	0.787600579993248	0.7332590299342843
252	P0A6I0	KCY_ECOLI	cmk	0.6442538032297719	0.6981906044244596	0.6712222038271157
253	P0A6I3	COAA_ECOLI	coaA	0.9335530069506198	1.020233204644836	0.976893105797728
254	P0A6I6	COAD_ECOLI	coaD	0.8155331685688145		0.8155331685688145
255	P0A6I9	COAE_ECOLI	coaE	0.5962204037475963	0.7029055076727103	0.6495629557101533
256	P0A6J1	CYSC_ECOLI	cysC	0.5972045445786361	0.7210329497540934	0.6591187471663648
257	P0A6J3	CYSZ_ECOLI	cysZ	0.6388908361144134	0.5787452736344407	0.6088180548744271
258	P0A6J5	DADA_ECOLI	dadA	0.692928646815378	0.3317828364042098	0.5123557416097939
259	P0A6J8	DDLA_ECOLI	ddlA	0.6582272975936097	0.6692570264876392	0.6637421620406244
260	P0A6K1	DAPF_ECOLI	dapF	0.7594097388767979	1.206957237807566	0.983183488342182
261	P0A6K3	DEF_ECOLI	def	0.6537043529758381	1.484057146513418	1.068880749744628
262	P0A6K6	DEOB_ECOLI	deoB	0.6510554930632043	0.7542674260889227	0.7026614595760635
263	P0A6L0	DEOC_ECOLI	deoC	0.7060425796483789	0.7446285140817818	0.7253355468650804
264	P0A6L2	DAPA_ECOLI	dapA	0.7533223217320474	0.9977778787175668	0.8755501002248072
265	P0A6L4	NANA_ECOLI	nanA	0.744235999005207	0.8842590645339943	0.8142475317696006
266	P0A6L7	UXAB_ECOLI	uxaB	0.6700407371161857	1.603615354064124	1.136828045590155
267	P0A6L9	HSCB_ECOLI	hscB	1.361749057299061	0.8411155907858461	1.101432324042454
268	P0A6M4	DTD_ECOLI	dtd	0.7126186957741257	0.7613048281401364	0.7369617619571311
269	P0A6M8	EFG_ECOLI	fusA	0.8027746665542984	0.7215536207700584	0.7621641436621784
270	P0A6N4	EFP_ECOLI	efp	0.6630371850807001	0.6455237432504407	0.6542804641655704
271	P0A6N8	EFPL_ECOLI	yeiP	0.6984765111543145	0.772890049290451	0.7356832802223827
272	P0A6P1	EFTS_ECOLI	tsf	0.8075058350698762	0.7851690323729391	0.7963374337214076
273	P0A6P5	DER_ECOLI	der	0.8288691721833442	0.6676884896999903	0.7482788309416673
274	P0A6P7	ENGB_ECOLI	engB	0.7291093262672432	0.6968779688828164	0.7129936475750298
275	P0A6P9	ENO_ECOLI	eno	0.865720640004264	0.7496092520052663	0.8076649460047651
276	P0A6Q3	FABA_ECOLI	fabA	1.172260399617546	0.6852941148015613	0.9287772572095534
277	P0A6Q6	FABZ_ECOLI	fabZ	0.7330029387104703	1.051615789454772	0.8923093640826212
278	P0A6R0	FABH_ECOLI	fabH	1.133241804156773	0.6902368401837492	0.9117393221702612
279	P0A6R3	FIS_ECOLI	fis	0.2850391294839586	0.5059905636460761	0.3955148465650173
280	P0A6S0	FLGH_ECOLI	flgH	0.7185360396325857	0.663631722291037	0.6910838809618114
281	P0A6S3	FLGI_ECOLI	flgI	0.7718470466055076	0.6414822133713185	0.7066646299884131
282	P0A6S5	FTSB_ECOLI	ftsB	0.6326599673813954	1.069938928244476	0.8512994478129359
283	P0A6S7	GPDA_ECOLI	gpsA	0.7392451807143544	0.7264930542356022	0.7328691174749783
284	P0A6T1	G6PI_ECOLI	pgi	0.6855796094753878	0.7529918923195429	0.7192857508974653
285	P0A6T3	GAL1_ECOLI	galK	1.292505801475361	0.7275376181783054	1.010021709826833
286	P0A6T5	GCH1_ECOLI	folE	0.6749947542435611	0.7063312788753129	0.690663016559437
287	P0A6U3	MNMG_ECOLI	mnmG	0.6139316304988169	0.6033951326755905	0.6086633815872038
288	P0A6U5	RSMG_ECOLI	rsmG	0.634584122307126	1.340134156334835	0.9873591393209806
289	P0A6U8	GLGA_ECOLI	glgA	0.6523818404953133	0.7216578750059107	0.687019857750612
290	P0A6V1	GLGC_ECOLI	glgC	0.6678773617686378	1.216108726692314	0.941993044230476
291	P0A6V8	GLK_ECOLI	glk	0.7075	0.736714718705547	0.7221073593527735
292	P0A6W0	GLSA2_ECOLI	glsA2	0.8687966126172495	0.7120250189927522	0.7904108158050008
293	P0A6W3	MRAY_ECOLI	mraY	0.4141104716549589		0.4141104716549589
294	P0A6W5	GREA_ECOLI	greA	0.7209026339092951	0.7494709712371931	0.7351868025732441
295	P0A6W9	GSH1_ECOLI	gshA	0.8279717272366598	0.678517043882136	0.7532443855593979
