	Uniprot accession	Protein name	Gene name	MinimalMedia_1	MinimalMedia_2	MinimalMedia_mean
1	A5A614	YCIZ_ECOLI	yciZ	0.4426310636149453		0.4426310636149453
2	O32583	THIS_ECOLI	thiS	0.4248123987985789	0.6736407720006498	0.5492265853996143
3	P00350	6PGD_ECOLI	gnd	0.9023587602503026	0.7988148628830289	0.8505868115666657
4	P00363	FRDA_ECOLI	frdA	0.768479908268772	0.7800880390572195	0.774283973662996
5	P00370	DHE4_ECOLI	gdhA	0.759367814801342	0.6707454862590271	0.7150566505301845
6	P00393	DHNA_ECOLI	ndh	1.296875022943316	0.7228315656590649	1.00985329430119
7	P00448	SODM_ECOLI	sodA	0.7901339948157342	0.8229760923445768	0.8065550435801555
8	P00452	RIR1_ECOLI	nrdA	0.7283000875534028	0.9880528011491482	0.8581764443512755
9	P00490	PHSM_ECOLI	malP	0.7029698198697403	0.9258842828861292	0.8144270513779348
10	P00509	AAT_ECOLI	aspC	0.8347922758227492	0.739045769907782	0.7869190228652656
11	P00547	KHSE_ECOLI	thrB	0.7694871408074341	0.780239194992123	0.7748631678997786
12	P00550	PTM3C_ECOLI	mtlA	0.93421998375821	0.751147789427233	0.8426838865927215
13	P00561	AK1H_ECOLI	thrA	0.7490905940729181	0.8555340034986466	0.8023122987857824
14	P00562	AK2H_ECOLI	metL	0.6525867102545996	0.8936084793067318	0.7730975947806658
15	P00579	RPOD_ECOLI	rpoD	0.6853584386328471	0.6064283257249383	0.6458933821788927
16	P00582	DPO1_ECOLI	polA	0.6999256036084395	0.8316322995090558	0.7657789515587476
17	P00634	PPB_ECOLI	phoA	0.5651417441880826	0.8362808694223228	0.7007113068052027
18	P00803	LEP_ECOLI	lepB	1.110182913129972	0.6629674753583022	0.8865751942441369
19	P00805	ASPG2_ECOLI	ansB	1.496916724715165	0.5656477841450539	1.03128225443011
20	P00811	AMPC_ECOLI	ampC	0.6963006569196253	0.7039442020589237	0.7001224294892745
21	P00861	DCDA_ECOLI	lysA	1.114762907243659	1.518150210470868	1.316456558857263
22	P00864	CAPP_ECOLI	ppc	0.7992899437272758	0.7278031926372122	0.763546568182244
23	P00887	AROH_ECOLI	aroH	1.649962299539558	0.7785729945932502	1.214267647066404
24	P00888	AROF_ECOLI	aroF	0.614036827797435	0.5880364545038296	0.6010366411506323
25	P00893	ILVI_ECOLI	ilvI	0.7082621648170834	0.8506364850154268	0.7794493249162551
26	P00894	ILVH_ECOLI	ilvH	1.104284223714988	0.7136520798208791	0.9089681517679332
27	P00895	TRPE_ECOLI	trpE	0.8034334843135763	0.7320875937810142	0.7677605390472952
28	P00903	PABA_ECOLI	pabA	0.7317411782591124	0.318049845324538	0.5248955117918253
29	P00904	TRPGD_ECOLI	trpGD	0.5931249474955671	0.6605039706803363	0.6268144590879516
30	P00909	TRPC_ECOLI	trpC	0.6831939097811763	0.8839673642378901	0.7835806370095333
31	P00914	PHR_ECOLI	phrB	0.6594429323859892	0.7796690706170395	0.7195560015015143
32	P00926	SDHD_ECOLI	dsdA	0.7699687350673302	0.7214492515861359	0.7457089933267331
33	P00934	THRC_ECOLI	thrC	0.7053775192805537	0.785214567471318	0.7452960433759359
34	P00935	METB_ECOLI	metB	1.043857971909567	0.7158501021017982	0.8798540370056828
35	P00936	CYAA_ECOLI	cyaA	0.4636312121046739	0.6553303514827685	0.5594807817937212
36	P00944	XYLA_ECOLI	xylA	0.5062253272334444		0.5062253272334444
37	P00946	MANA_ECOLI	manA	0.6953362346639013	0.6936800275868458	0.6945081311253736
38	P00954	SYW_ECOLI	trpS	0.7835585438463064	0.7338918278532033	0.7587251858497548
39	P00956	SYI_ECOLI	ileS	0.7919864037615162	0.9067378427725334	0.8493621232670248
40	P00957	SYA_ECOLI	alaS	0.6882993264900901	0.8305882506396337	0.7594437885648619
41	P00959	SYM_ECOLI	metG	0.7719794226531954	0.7954239821954527	0.783701702424324
42	P00960	SYGA_ECOLI	glyQ	0.7183752422573425	0.7942726334446666	0.7563239378510045
43	P00961	SYGB_ECOLI	glyS	0.9077999876312256	0.6036317383004176	0.7557158629658216
44	P00962	SYQ_ECOLI	glnS	0.8438372479785416	0.6363415502672639	0.7400893991229027
45	P00963	ASNA_ECOLI	asnA	0.706802548536107	0.6646798497378416	0.6857411991369743
46	P00968	CARB_ECOLI	carB	0.684205616038105	0.766561763606515	0.72538368982231
47	P02358	RS6_ECOLI	rpsF	0.6618972337665985	0.7473172532539032	0.7046072435102508
48	P02359	RS7_ECOLI	rpsG	0.7196022620546257	0.8289343642932607	0.7742683131739432
49	P02413	RL15_ECOLI	rplO	0.6967874269953688	1.107859576357802	0.9023235016765856
50	P02918	PBPA_ECOLI	mrcA	0.7386069265374483	0.7343988186947361	0.7365028726160923
51	P02919	PBPB_ECOLI	mrcB	0.683838193789534	1.308120817547304	0.9959795056684192
52	P02924	ARAF_ECOLI	araF	0.596924098435548	0.6695597442311826	0.6332419213333653
53	P02925	RBSB_ECOLI	rbsB	0.7855350002430637	0.8411896497796099	0.8133623250113368
54	P02929	TONB_ECOLI	tonB	0.5019189444217507	0.4397714500373394	0.470845197229545
55	P02930	TOLC_ECOLI	tolC	0.8711578313188125	0.9990040458090989	0.9350809385639556
56	P02931	OMPF_ECOLI	ompF	0.8273056922610221	0.8122681833820083	0.8197869378215152
