Gene id	half_life (units.min)
msrA	317.3696387697385
msrB	241.25506671823683
murA	591.0070744593555
nadD	296.95976846101564
kefG	341.88840150727094
nagB	349.9432874810738
nanE	303.60616818239356
ndk	338.66902981152776
rppH	328.99335789541556
nusB	313.0626870824989
orn	720.0
pyrB	350.0662694830182
pdxJ	329.7762893771566
pfkA	349.7073895946025
pgk	720.0
gpmB	272.9075101225518
pcm	289.6935493166427
plsB	720.0
ppa	343.6488392528749
ppk	720.0
proB	320.8037745731373
hslV	611.3279015531557
lexA	192.60811267251793
pth	631.5742009255152
purA	351.80966107430925
purC	358.54654257751537
pyrD	720.0
pyrE	318.56803877445554
pyrG	720.0
pyrH	623.464795756428
pyrI	311.5500527085977
queA	288.93184347168443
rbfA	322.56360704914425
recA	289.14686348107915
recF	303.97751147062775
prfA	580.8582087325012
prfC	350.08147002238553
ribA	305.93717651475487
ribB	72.01038063099762
rplJ	720.0
rplK	358.20877354071945
rplL	720.0
rplS	314.8103613482591
rplA	354.4693601900559
rplT	327.3845892760461
rpmA	574.8395082363551
rpmB	328.04063112500415
rplI	318.1758340988381
rpsJ	640.7040904484311
rpsK	720.0
rpsL	686.0120404742802
rpsM	326.54522556869387
rpsP	529.6521562800699
rpsR	584.0190234907944
rpsS	333.1453449675813
rpsT	587.112726035079
rpsB	353.9965164793158
rpsC	707.0264483180532
rpsD	620.6260295701836
rpsE	330.5206816980421
rpsH	649.3507312221078
rpsI	720.0
rimM	283.3944847910872
rnc	332.1743459022365
rpiA	321.3834651467449
rpoA	626.2028571992574
rpoZ	217.96068883040388
frr	290.13761193993497
ruvA	302.53193693675854
ruvB	212.03112921527713
ruvC	260.20880497804774
metK	277.6141872826862
selA	704.9592133599966
sfsA	673.4552755289213
glyA	330.3673480723814
dctA	335.50550307078
smpB	720.0
sucC	347.14050261412126
surE	501.8558796814037
tgt	656.2459825708056
tig	344.2899533385769
tnaA	302.556805206752
tolB	679.1501205484685
tpiA	355.11065398326923
tpx	645.58228823823
talA	357.26346536167006
talB	348.34517589823696
trmD	352.60921969547707
trpA	348.896564782203
trpB	316.7857797818001
trpR	297.6597046787041
thyA	335.65705156367807
ubiE	280.48231238874723
rapZ	689.7936997212714
yebC	240.77220051367578
yeeN	347.4516813417996
ppsR	338.5025853200169
rimP	348.90337316221445
ybaB	266.4767655190075
ybjQ	329.3359844498432
ygfB	311.08358448949
nrdR	276.12190249810146
yaiI	259.5660546695468
ymdB	353.54269458454206
ycfP	279.197923547976
yacL	226.620680745171
yajQ	644.7361220691828
upp	351.55873473240234
udk	304.43342644153716
uvrB	241.24131478790892
uvrC	305.8278346304298
uxaC	356.65387835801727
wrbA	358.81038256914564
yihI	261.7794929316746
yqgF	323.85206714775165
yaaA	213.93417009953728
rlmH	297.5088097585739
rhlB	343.9941322373297
psd	720.0
serS	691.5987258081673
asnS	693.0285649082178
thrS	677.1662965854293
yeeX	622.2031072500077
matP	344.3390262896503
lysS	353.6545344025262
lysU	342.4210305308379
yggX	308.3540501832047
xerD	182.19646286025215
frdC	333.06097435130215
rraA	720.0
ycjF	284.963643520638
hdfR	340.57012286819355
argP	697.6708790006652
prmA	293.69842623262144
rpoC	294.4358156630155
yafD	97.28352346997299
rbn	338.3356611280637
rpoB	322.0925232379168
fadR	595.1143480842646
nanR	250.19169943221297
slyA	311.35150110611346
yqgE	322.5079793552416
yfbU	720.0
yjgA	253.14007646615386
yceI	638.9088074721391
yihX	567.5639074725043
yidA	342.80274992389485
yciA	343.39875039786693
ybgC	359.11146104468116
blc	324.8374289211628
bamC	357.24274687594516
slyB	324.5944906532676
mipA	720.0
ompA	720.0
pal	336.1932946548834
ompW	720.0
ompX	720.0
pldA	720.0
pgpB	720.0
tsx	720.0
mltA	112.6407659157606
bamA	669.4655129555629
rimJ	300.98041741633386
speG	310.3891142399915
fabB	645.6040022443452
eda	550.8646688018733
alaA	338.0717059477415
ansA	720.0
cheW	104.46740200007304
cspE	129.3497589609456
dnaN	358.87060847511447
fbaB	720.0
fbp	301.0364496648023
ftnA	347.76313829974436
ftsZ	74.85135592021632
fur	258.5824665982901
gapA	720.0
epd	304.7723394618137
galM	720.0
glnA	689.8309300215486
glpX	323.4488002984693
gstA	341.3573479777955
cysE	329.62128058055396
dapD	320.2973768160065
araC	44.81393823054495
fnr	74.02066204948332
mntR	301.73008927527036
cysB	337.5668196608119
gcvA	660.7199420959854
metR	48.65289381696064
aceA	286.9622773800301
modE	720.0
mug	720.0
btuR	303.10235924066626
cfa	28.446315350362546
