Gene id	half_life (units.min)
yggX	578.87450586
xerD	272.9284452
ycjF	675.3731664000001
hdfR	602.883603
argP	704.5847094000001
prmA	584.9845029
rpoC	471.05767698
yafD	211.81833654
fadR	635.1980705999999
yqgE	506.45649108000003
yihX	582.6532493999999
yidA	606.84678
yciA	677.741586
bamC	668.9078448
slyB	576.8962956600001
ompA	847.022868
pal	687.3385907999999
ompX	900.6636546
pldA	864.5115516
tsx	891.9542112
mltA	269.98974876
bamA	708.7815738
alaA	585.6694386
ansA	771.9375084000001
cheW	287.64928914
cspE	180.12936449999998
ftsZ	171.75952320000002
gapA	740.1066726
epd	536.2046228400001
glnA	702.3967896
glpX	616.567335
cysE	615.0752904
dapD	578.12393436
araC	110.7242871
fnr	134.65647252
metR	79.15100214
mug	773.1446159999999
btuR	599.2218933
cfa	63.31027757999999
rng	538.41142944
rbsK	732.9069588
ybeZ	474.55808598000004
phoU	595.60023918
slyD	504.33289974
ppiC	561.01119306
hpt	582.43274574
gpt	630.2962146
pta	671.2435332
pflA	598.14254808
trxB	683.55606
idnO	475.44037235999997
arcA	640.447035
adhE	585.03628584
asd	601.6342596000001
fdx	398.75063526
ftsE	617.7658308
fucO	647.5216356
serA	744.3020670000001
ulaR	709.0388406000001
ettA	644.141031
ibaG	483.81110952
yrdA	688.149057
znuC	472.30444476
mreB	756.9021606
cspC	388.3536375
glnB	675.7940556000001
trxA	584.5175293799999
truC	715.8811578
yobA	610.2045696
clsB	437.17887618000003
dsbE	851.5950546
yaeQ	596.3076416399999
ubiD	694.7532966
uspD	598.48508988
uspE	610.2339936
iscA	139.94626943999998
dppD	760.6813422
mglA	727.7721894
pstB	570.95557914
sapD	674.1971742000001
ftsH	672.4545852
fabD	695.2009524
hypB	404.19769428
iraP	515.41711344
frmR	575.60465274
ybcJ	285.90289698
ybdF	682.4087778
ybdG	843.2667174000001
ybeL	517.06758024
ybgJ	693.6629178000001
ldtB	710.8863054000001
ycaR	595.58833704
yccF	794.1058494
yccJ	384.26522867999995
yceB	774.485508
yceD	449.99757611999996
lpoB	693.181449
ycgL	505.36447475999995
ymgD	410.15392092
lapB	775.568172
pntB	926.4415896
fbaA	597.13757808
ilvE	657.4220406
nth	664.5964769999999
purB	668.3235348
aroG	630.0221628
arsC	586.1392128
atpB	760.201452
atpF	778.197654
atpH	758.0248098
atpG	748.3521569999999
mgtA	914.5406946
hflC	737.0234256000001
hflK	827.303637
betT	780.8682719999999
accA	792.2109846000001
pcnB	412.43932344
eutM	750.6367716
cdd	676.0547196
ftsA	624.9513479999999
gltA	661.4261862
clpA	80.65639956
corA	712.6661742
cyoB	880.2630894
cydA	860.8884102000001
deoD	813.958899
garR	616.9653834
folA	756.2635572
dnaG	739.337607
dps	269.3478165
dusB	437.7502035
menB	612.4092696
ychF	568.451145
elbB	666.9004536
tolQ	773.6569446000001
exbD	144.54365676
tolR	745.9680204
fliL	189.77738826
kdsC	756.704673
surA	739.4855328
ygfA	527.85603348
fumA	519.03530754
aspA	421.33786482
sdhA	753.7922472
zwf	763.7362092
grxB	780.6727308
grxD	421.860708
waaA	712.3503833999999
glgP	631.2868632
gnsA	660.7753044
yibF	678.1801601999999
sspA	680.1520074
gstB	581.0516627999999
hemG	593.5204665
hemY	829.1355474
iscU	151.72780566
hupA	609.7443215999999
melR	253.786155
rob	684.6445452
xylR	561.43389444
lrp	653.3110752
crp	629.5763526
agaR	618.2337246000001
fucR	94.68549978
glcC	147.71752674
rspR	639.5906976
allR	700.625913
cra	634.256991
purR	674.1237438
oxyR	668.7192666
yfeR	818.90346
mprA	683.9782338
acrR	673.1044428
rutR	806.1388032
fabR	759.7172694
mpaA	564.8017844999999
yeaG	305.61614742
cusR	552.3939291600001
dcuR	304.48018836
yecJ	505.76246862
yeeZ	577.85596032
yejL	636.2124456
yejM	780.0664800000001
yfhG	812.7377292
raiA	166.0874313
ispB	610.1595432
ivy	631.307376
mrdA	741.060438
ftsI	179.54490131999998
ampH	396.6685488
livJ	689.297682
yajG	760.6128294
osmE	695.7639576
lolC	761.9182182000001
lptG	756.8810507999999
kbp	635.8464041999999
ygfZ	588.26143878
ilvN	301.90045302
guaB	755.4049776
entB	375.13938984
yecD	696.165201
yiaF	874.1458404
yibA	317.75974278
yidQ	588.737307
yieE	424.06255782000005
viaA	524.12420292
yigB	666.1223382000001
yihD	516.30829314
ygaM	671.0646108000001
ppnN	689.127762
yggN	545.80232106
ygiB	376.96375974
ygiC	603.7964676
ygiM	670.3928513999999
ygiW	454.29395999999997
mlaC	519.62190684
lptC	750.6865266000001
rsmD	669.1924349999999
trmJ	597.9092830200001
acrA	735.1334766
ahpC	485.77239114
ypdB	557.97904842
ytfL	540.15239976
cheY	363.95465465999996
corC	627.2193594
cpxA	669.5933826
cysG	607.8459336000001
ynaI	716.5969572
yoaE	778.3801488
arcB	661.9101882
barA	696.4459836
uspA	712.023342
uvrY	249.56882358
degS	727.2695946
mglB	697.389447
dppB	846.6922205999999
dppC	843.0261594
dsbC	713.7181326
rseP	462.73024338
elaA	457.40270934
elaB	626.8898561999999
miaB	166.50253146
nudJ	776.7613212
eutB	701.5184028
fabI	714.0375612
fkpB	620.9855988
fre	602.7675432
galU	694.5335934
glcG	587.70575694
glnH	761.865333
gss	652.7698326
gudD	546.69230952
gyrA	508.63784669999995
gyrB	621.4943094
hdhA	659.3422134
hisJ	791.898282
hisM	731.7923592
skp	624.431196
rssB	543.48723882
cpdA	753.8249873999999
fruK	766.2568938000001
marC	688.7869913999999
mazG	393.45166692000004
mdaB	427.64459424
metF	526.3545279599999
moaB	678.0410268
mog	593.8855568399999
mrp	628.2220758
mtnN	816.7016346
nagD	743.6555004
narL	659.5678776000001
zapB	563.46562914
yjbR	488.64037152000003
nsrR	547.43199312
yjeI	674.0120502
ridA	693.7194252
tabA	496.31195316000003
narX	667.4963874
nlpI	696.3950795999999
glnL	665.7571115999999
glnG	483.40490166
nuoA	798.7758504
nuoH	910.2941022
nusA	716.5661412
sucA	521.86757328
aceE	751.0810385999999
ogt	647.7021557999999
parC	372.7689021
perM	755.0090328
phoB	533.6836632000001
pitA	903.9011333999999
pmbA	576.4472875800001
ppiA	556.75651002
ppx	414.92142948
pspA	567.35702748
ybhR	781.254087
rssA	683.92365
folM	733.7181864
rfaH	445.02381293999997
rnk	124.94661216
rof	226.45371984
hpf	510.77922659999996
rsd	311.90965631999995
rseB	629.8729266
sanA	688.1517306000001
sbmA	737.1495762
sseB	416.8087107
sspB	460.3926453
ubiX	734.5394592
purF	349.36819884
purE	602.2223934000001
relA	500.77479636
yibN	714.7953114
rho	699.5350632
rplQ	805.983057
rplU	753.1696542
rpsQ	761.5181784
rpsA	617.5164654
sbcD	607.4422559999999
ugpB	804.8908626
pstS	721.443858
secB	720.3904134
secD	841.1287152
serB	656.1708732
sodC	678.1275654
sodB	710.4399264
sucD	644.0927982
yfiF	661.4981982
ubiA	156.76515084
iscR	146.61302478000002
tdcF	661.5345264
rplR	615.3820896
ibpA	124.95733229999999
relE	408.41317704
slmA	645.2714046
srkA	670.7157108
osmC	737.4616391999999
degP	669.4071264
emtA	396.79707534
tufB	601.0905846
insL3	176.86446798
rcsB	454.58773121999997
ftsY	740.530788
glnQ	748.9227432
fadL	666.261426
lpxB	668.280696
dnaE	499.61666004
argC	592.59780114
argH	636.6171918
nadA	126.85243829999999
damX	559.8371232000001
fumE	272.8018824
argS	619.1797386
aroC	756.4615524000001
moeA	685.412334
udp	910.4916288
bioB	108.589866
bioF	552.20362986
katG	739.9855584000001
glpD	322.8819705
chiA	735.4480602
topB	220.51130964
zraR	450.85714229999996
fumB	636.822447
mcrB	502.89920801999995
recE	426.55825296
ligA	600.3854256000001
glgX	652.8202992
purL	650.9903178000001
pepD	683.628018
prlF	357.49955747999996
purH	594.42747744
dgt	717.6681209999999
malQ	867.9239508000001
aroP	715.1810952
miaA	555.83771046
selD	536.8161843600001
tus	706.4469012
proS	678.7506666
phnB	606.6869502
cysP	616.7461092
menD	808.359696
glmS	619.9853171999999
betB	673.717101
cysH	255.35594586
priA	625.6512186
murC	615.3412079999999
pncB	348.51849852000004
minC	626.3112623999999
argD	563.14929696
malI	525.96972402
fhlA	468.60273215999996
pdxA	614.246091
eutC	543.54275316
malX	162.6610431
agp	791.0697882
parE	463.34635751999997
fic	688.2199968
fruA	832.8161586
pepQ	669.1073382
katE	656.7879006000001
yciF	687.8991252
yciE	691.8814044
ycaC	700.3876032000001
pncA	649.5296448
rne	632.8276169999999
malZ	470.72828561999995
pykA	720.2384292
kdpE	627.9170682
cysS	596.2618862400001
asnB	511.69882494
murE	559.8890706
cysQ	639.168585
gabT	610.063815
pckA	658.6646826
mukB	498.59375543999994
livM	690.8432148
mglC	727.8167106
malY	696.2879496
yigA	183.61598016000002
tdk	642.0163722
mutL	583.69873668
garL	626.0270652
ppsA	647.6931234
eco	595.0485050999999
phoP	564.85187544
phoQ	665.7597317999999
oppA	841.8474798
cysN	134.40387726
dppA	938.9546207999999
prc	701.4546197999999
ppiB	632.691837
hipA	654.2834075999999
puuC	221.74613094
hemL	734.440977
htpX	598.07784264
mutS	610.7173566
lnt	808.5601878
dcp	610.528596
yffB	640.4947284
accC	700.8264528000001
hypE	582.9455877600001
mrr	631.6443636
yjiA	526.33666086
dacB	790.597365
hmp	376.63037448
ascG	508.54233762
crl	272.27805264
rpoN	504.07187616000004
radA	589.11376206
acnA	620.9067798
hflX	380.18153718
ubiH	418.81015890000003
yhdE	549.42701214
ribD	624.8565516
gppA	590.1172881
metE	428.45193215999996
htrL	664.42692
rfaP	704.6573274
rfaQ	720.0798672
mnmA	697.951887
yeiB	673.1258819999999
amiB	354.32943954
amyA	752.7827814
maeA	656.6344482
ftsP	673.6307634
rfaI	668.5894986000001
rfaJ	633.9843972
yfeD	503.12230542
rfaY	636.0712236
rfaZ	122.77697304
plsX	729.0650574
gcvT	655.013367
nadR	692.5095785999999
roxA	652.0354560000001
rodZ	703.3641911999999
acs	479.29697022
rffG	779.8092408
wecG	804.2259456
yigL	560.97541362
tatD	543.48957396
narQ	765.2872127999999
dcd	468.09539837999995
pabC	692.8225956
mltG	830.1302292
holA	548.24941242
trmO	585.18956262
metQ	718.7863326
nrdD	187.52465130000002
treC	206.74335648000002
