"transcription_units"	"monomers_to_remove"
["G6861", "G6862"]	["G6861", "G6862"]
["EG10205", "EG10658"]	["EG10205"]
["G6092", "EG10139"]	["G6092"]
["EG11831", "EG11297"]	["EG11831"]
["EG11405", "EG10012"]	["EG11405", "EG10012"]
["EG10540", "EG10538", "EG10541", "EG10537", "EG10536"]	["EG10540", "EG10538", "EG10541", "EG10537", "EG10536"]
["G7663", "G7664", "G7665", "EG11680"]	["G7663", "G7664", "G7665", "EG11680"]
["G6344", "G6343", "G6342", "G6341", "G6340", "G6339"]	["G6344", "G6343", "G6342", "G6341", "G6340", "G6339"]
["G6701", "G6700"]	[]
["EG10023", "EG10022", "EG10026"]	["EG10023", "EG10022"]
["EG12374", "EG10307", "EG10682"]	["EG12374", "EG10307"]
["EG10195", "EG10197", "EG10198", "EG10183", "EG10193"]	["EG10195", "EG10197", "EG10198", "EG10183", "EG10193"]
["G6576", "G6577"]	["G6576", "G6577"]
["G6630", "EG11251", "EG10518"]	["G6630", "EG11251"]
["EG10817", "EG10814", "EG10816", "EG10815", "EG10818", "EG10819"]	["EG10817", "EG10814", "EG10816", "EG10815", "EG10818", "EG10819"]
["EG10118", "EG10121", "EG10119", "EG10120"]	["EG10118", "EG10121", "EG10119", "EG10120"]
["EG10739", "EG11470"]	["EG10739", "EG11470"]
["G6810", "G6809"]	["G6810", "G6809"]
["EG10945", "EG11296"]	["EG11296"]
["EG10057", "EG10058", "EG10059"]	["EG10057", "EG10058", "EG10059"]
["EG11592", "EG11591"]	[]
["EG10579", "EG12438", "EG11368", "EG11532", "EG12437"]	["EG10579", "EG12438", "EG11368", "EG11532", "EG12437"]
["G6443", "G6442"]	["G6443", "G6442"]
["G7128", "EG12414", "EG12415", "EG12416", "EG12417"]	["G7128", "EG12414", "EG12415", "EG12416", "EG12417"]
["EG10526", "EG10524"]	["EG10526", "EG10524"]
["G7161", "G7160"]	["G7161", "G7160"]
["EG10327", "EG10218"]	["EG10327", "EG10218"]
["EG11084", "EG11085", "EG11086", "EG10341", "EG10621", "EG10622", "EG10604", "EG10620", "EG10344", "EG10623", "EG10619", "EG10214", "EG10342", "EG10339", "EG10347", "EG10265"]	["EG11084", "EG11085", "EG11086", "EG10341", "EG10621", "EG10622", "EG10604", "EG10620", "EG10344", "EG10623", "EG10619", "EG10214", "EG10339"]
["G7107", "G7106", "G7105", "G7104", "G7103"]	["G7107", "G7106", "G7105", "G7104", "G7103"]
["EG11271", "EG10707"]	["EG11271", "EG10707"]
["EG10383", "EG10387", "EG10385"]	["EG10387", "EG10385"]
["EG50001", "EG50002"]	["EG50001", "EG50002"]
["EG11079", "EG10492", "EG10548", "EG11080", "EG11081"]	["EG11079", "EG10492", "EG10548", "EG11080", "EG11081"]
["G7856", "EG12494", "EG12495", "G7858", "G7859", "G7860"]	["G7856", "EG12494", "EG12495", "G7858", "G7859", "G7860"]
["EG12802", "G7662", "G7663", "G7664", "G7665", "EG11680"]	["EG12802", "G7662", "G7663", "G7664", "G7665", "EG11680"]
["EG11369", "EG11370"]	["EG11369", "EG11370"]
["EG10232", "EG10233", "EG10234"]	["EG10232", "EG10233"]
["EG10872", "EG10864", "EG10871", "EG10873", "EG10894", "EG10895"]	["EG10872", "EG10864", "EG10871", "EG10894", "EG10895"]
["EG11089", "EG10963", "EG10962"]	["EG11089"]
["EG10429", "EG10430", "EG10433", "EG10434"]	["EG10429", "EG10430", "EG10433", "EG10434"]
["EG12362", "EG10579", "EG12438", "EG11368", "EG11532", "EG12437"]	["EG12362", "EG10579", "EG12438", "EG11368", "EG11532", "EG12437"]
["EG11086", "EG10341", "EG10621", "EG10622", "EG10604", "EG10620", "EG10344", "EG10623", "EG10619", "EG10214", "EG10342", "EG10339", "EG10347", "EG10265"]	["EG11086", "EG10341", "EG10621", "EG10622", "EG10604", "EG10620", "EG10344", "EG10623", "EG10619", "EG10214", "EG10339"]
["G6799", "G6798"]	["G6799"]
["G7532", "G7533", "EG10664"]	["G7533"]
["EG10571", "EG11249", "EG10572"]	["EG10571", "EG11249", "EG10572"]
["G6776", "EG11508"]	["G6776"]
["G0-10471", "EG10209", "EG11201", "EG11069", "EG11202"]	["G0-10471", "EG10209", "EG11201", "EG11069", "EG11202"]
["EG10396", "EG10398", "EG11517"]	["EG10396", "EG10398", "EG11517"]
["EG10186", "EG10194", "EG10185"]	["EG10186", "EG10194", "EG10185"]
["EG10251", "EG11191"]	["EG10251", "EG11191"]
