# Generated by /Users/miagrahn/wcEcoli/reconstruction/ecoli/scripts/protein_half_lives/convert_clim_half_lives_to_flat.py on Tue Mar 24 16:58:41 2026
id	common_name	half_life (units.min)
"EG10986-MONOMER"	"tag"	139.90193763900373
"AROD-MONOMER"	"aroD"	1914.725051971764
"EG10786-MONOMER"	"ptrA"	1914.725051971764
"ERYTHRON4PDEHYDROG-MONOMER"	"pdxB"	1914.725051971764
"EG10329-MONOMER"	"mutM"	1914.725051971764
"EG10048-MONOMER"	"apaH"	1003.9324613479155
"TRG-MONOMER"	"trg"	811.947855077693
"EG10460-MONOMER"	"hsdS"	1914.725051971764
"DIHYDROXYACIDDEHYDRAT-MONOMER"	"ilvD"	1914.725051971764
"KETOLREDUCTOISOM-MONOMER"	"ilvC"	1914.725051971764
"EG10293-MONOMER"	"fepA"	1914.725051971764
"PD00200"	"ilvY"	1914.725051971764
"EG11171-MONOMER"	"tsaD"	1323.4570142175533
"EG10126-MONOMER"	"btuB"	1914.725051971764
"EG10342-MONOMER"	"ftsQ"	350.64337815629034
"DLACTDEHYDROGFAD-MONOMER"	"dld"	345.4986155661122
"CDPDIGLYPYPHOSPHA-MONOMER"	"cdh"	1914.725051971764
"BTUE-MONOMER"	"btuE"	1373.6241771776195
"BTUD-MONOMER"	"btuD"	437.211878360098
"EG11013-MONOMER"	"topA"	1914.725051971764
"EG10270-MONOMER"	"era"	715.6515371135926
"BIOTINLIG-MONOMER"	"birA"	1288.7444773861553
"nan"	"nan"	938.5582123206965
"GLUTATHIONE-REDUCT-NADPH-MONOMER"	"gor"	1914.725051971764
"ALPHAGALACTOSID-MONOMER"	"melA"	871.9490209639534
"CYSTATHIONINE-BETA-LYASE-MONOMER"	"metC"	1914.725051971764
"EG10624-MONOMER"	"mutH"	1911.9492247548021
"PD03254"	"ebgR"	1914.725051971764
"E2P-MONOMER"	"aceF"	1914.725051971764
"EG10136-MONOMER"	"cca"	1659.2390478899472
"EG10226-MONOMER"	"dicA"	995.5591312802738
"DUTP-PYROP-MONOMER"	"dut"	1914.725051971764
"EG10302-MONOMER"	"fhuA"	1914.725051971764
"FLIM-FLAGELLAR-C-RING-SWITCH"	"fliM"	467.20189353583856
"OHMETHYLBILANESYN-MONOMER"	"hemC"	1914.725051971764
"HISTPHOSTRANS-MONOMER"	"hisC"	1914.725051971764
"IMIDPHOSPHADEHYDHISTIDPHOSPHA-MONOMER"	"hisB"	1914.725051971764
"HISTDEHYD-MONOMER"	"hisD"	1914.725051971764
"HISTCYCLOPRATPPHOS"	"hisI"	1914.725051971764
"EG10523-MONOMER"	"rsmA"	1914.725051971764
"PD00237"	"malT"	45.95072056083339
"EG10670-MONOMER"	"ompC"	1914.725051971764
"6PFK-2-MONOMER"	"pfkB"	1914.725051971764
"PNTA-MONOMER"	"pntA"	1914.725051971764
"PYRUVOXID-MONOMER"	"poxB"	1914.725051971764
"GLUTSEMIALDEHYDROG-MONOMER"	"proA"	1914.725051971764
"EG10762-MONOMER"	"prfB"	1661.4910380906913
"SDH-FE-S"	"sdhB"	1914.725051971764
"TAR-MONOMER"	"tar"	675.9303707100454
"TAP-MONOMER"	"tap"	296.60675120956404
"EG11152-MONOMER"	"yfiB"	85.64464330683339
"CHORISMUTPREPHENDEHYDROG-MONOMER"	"tyrA"	1234.6813683341186
"USHA-MONOMER"	"ushA"	1914.725051971764
"APPA-MONOMER"	"appA"	1914.725051971764
"HISP-MONOMER"	"hisP"	1914.725051971764
"PUTP-MONOMER"	"putP"	1914.725051971764
"VALS-MONOMER"	"valS"	1914.725051971764
"CHEB-MONOMER"	"cheB"	411.841121285617
"CHEA-SMALL"	"cheA"	122.22319326658592
"nan"	"nan"	124.90752546902412
"CHER-MONOMER"	"cheR"	144.52172201951743
"PHET-MONOMER"	"pheT"	1914.725051971764
"PD00413"	"tyrR"	1556.6780676481203
"HOMSUCTRAN-MONOMER"	"metA"	429.9753962565139
"AROB-MONOMER"	"aroB"	1914.725051971764
"EG10825-MONOMER"	"recC"	1914.725051971764
"EG10454-MONOMER"	"truA"	1914.725051971764
"DEOA-MONOMER"	"deoA"	1914.725051971764
"PSTA-MONOMER"	"pstA"	1914.725051971764
"GLYCOGEN-BRANCH-MONOMER"	"glgB"	1914.725051971764
"LEUS-MONOMER"	"leuS"	1914.725051971764
"FHUC-MONOMER"	"fhuC"	1914.725051971764
"FHUD-MONOMER"	"fhuD"	1914.725051971764
"DALADALALIGB-MONOMER"	"ddlB"	1914.725051971764
"THREODEHYD-MONOMER"	"tdh"	963.946600967533
"LARGEILVB-MONOMER"	"ilvB"	327.9490926003304
"AIRS-MONOMER"	"purM"	1914.725051971764
"GART-MONOMER"	"purN"	1914.725051971764
"EG10313-MONOMER"	"fimF"	1914.725051971764
"EG10315-MONOMER"	"fimH"	1914.725051971764
"FOLC-MONOMER"	"folC"	1914.725051971764
"ISOCITDEH-SUBUNIT"	"icd"	1914.725051971764
