"name"	"value"	"units"
"_rrna23s_mass_sub_fraction"	0.5230575	""
"_rrna16s_mass_sub_fraction"	0.2699973	""
"_rrna5s_mass_sub_fraction"	0.0169371	""
"_trna_mass_sub_fraction"	0.1483486	""
"_mrna_mass_sub_fraction"	0.0416595	""
