Protein ID,Rate Constant
CARBPSYN-SMALL,1.37E-05
CDPDIGLYSYN-MONOMER,1.93E-05
DCUR-MONOMER,0.000106967
DETHIOBIOTIN-SYN-MONOMER,3.57E-05
EG10743-MONOMER,1.19E-05
EG10863-MONOMER,0.000320901
GLUTCYSLIG-MONOMER,4.85E-06
