Protein ID,Rate Constant
1-ACYLGLYCEROL-3-P-ACYLTRANSFER-MONOMER,1.925408834888737e-05
1-PFK-MONOMER,1.925408834888737e-05
2-DEHYDROPANTOATE-REDUCT-MONOMER,1.925408834888737e-05
2-ISOPROPYLMALATESYN-MONOMER,1.925408834888737e-05
2-OCTAPRENYL-METHOXY-BENZOQ-METH-MONOMER,1.925408834888737e-05
2-OCTAPRENYLPHENOL-HYDROX-MONOMER,1.925408834888737e-05
3-CH3-2-OXOBUTANOATE-OH-CH3-XFER-MONOMER,1.925408834888737e-05
3-ISOPROPYLMALDEHYDROG-MONOMER,1.925408834888737e-05
3-OXOACYL-ACP-REDUCT-MONOMER,1.925408834888737e-05
3-OXOACYL-ACP-SYNTHII-MONOMER,1.925408834888737e-05
4OHBENZOATE-OCTAPRENYLTRANSFER-MONOMER,1.925408834888737e-05
6PFK-1-MONOMER,1.925408834888737e-05
6PFK-2-MONOMER,1.925408834888737e-05
6PGLUCONDEHYDROG-MONOMER,1.925408834888737e-05
6PGLUCONOLACT-MONOMER,1.925408834888737e-05
7-ALPHA-HYDROXYSTEROID-DEH-MONOMER,1.925408834888737e-05
7KAPSYN-MONOMER,1.925408834888737e-05
AAS-MONOMER,1.925408834888737e-05
ABC-MONOMER,1.925408834888737e-05
ABGT-MONOMER,1.925408834888737e-05
ACETATEKINA-MONOMER,1.925408834888737e-05
ACETOLACTSYNIII-HCHAIN-MONOMER,1.925408834888737e-05
ACETOLACTSYNIII-ICHAIN-MONOMER,1.925408834888737e-05
ACETYL-COA-ACETYLTRANSFER-MONOMER,1.925408834888737e-05
ACETYLGLUTKIN-MONOMER,1.925408834888737e-05
ACETYLORNDEACET-MONOMER,1.925408834888737e-05
ACETYLORNTRANSAM-MONOMER,1.925408834888737e-05
ACNEULY-MONOMER,1.925408834888737e-05
ACONITASE-MONOMER,1.925408834888737e-05
ACONITATEDEHYDRB-MONOMER,1.925408834888737e-05
ACPSUB-MONOMER,1.925408834888737e-05
ACRB-MONOMER,1.925408834888737e-05
ACRD-MONOMER,1.925408834888737e-05
