"enzymeID"
"FDNG-MONOMER[p]"
"FORMATEDEHYDROGH-MONOMER[c]"
"G7106-MONOMER[c]"
"MONOMER0-12[i]"
"XANTHOSINEPHOSPHORY-MONOMER[c]"
"ACPSUB-MONOMER[c]"
"ATOA-MONOMER[c]"
"CARBODEHYDRAT-MONOMER[c]"
"DMSA-MONOMER[i]"
"EG11234-MONOMER[c]"
"EG11245-MONOMER[c]"
"EG12279-MONOMER[c]"
"FUCPALDOL-MONOMER[c]"
"G6140-MONOMER[c]"
"G6710-MONOMER[c]"
"G6716-MONOMER[m]"
"G7145-MONOMER[c]"
"GLYOCARBOLIG-MONOMER[c]"
"LYXK-MONOMER[c]"
"MONOMER-162[c]"
"NARK-MONOMER[i]"
"NIKA-MONOMER[i]"
"NIKB-MONOMER[i]"
"NIKC-MONOMER[i]"
"RIBULPEPIM-MONOMER[c]"
"TAGAALDOL1-MONOMER[c]"
"XYLH-MONOMER[i]"
"YCBM-MONOMER[i]"
"YJCW-MONOMER[i]"
"BETAGALACTOSID-MONOMER[c]"
"G6277-MONOMER[c]"
"G6711-MONOMER[c]"
"G7234-MONOMER[c]"
"G7921-MONOMER[o]"
"GALACTOACETYLTRAN-MONOMER[c]"
"KDPB-MONOMER[i]"
"TNAB-MONOMER[i]"
"ANSB-MONOMER[c]"
"EG10513-MONOMER[i]"
"FUMB-MONOMER[c]"
"G6196-MONOMER[c]"
"G7236-MONOMER[c]"
"MHPDHYDROL-MONOMER[c]"
"RHAMNISOM-MONOMER[c]"
"SUCCARGDIHYDRO-MONOMER[c]"
"THREDEHYDCAT-MONOMER[c]"
"XYLISOM-MONOMER[c]"
"YGFU-MONOMER[i]"
"YNJC-MONOMER[i]"
"APPC-MONOMER[i]"
"CADB-MONOMER[i]"
"EG11865-MONOMER[c]"
"EG12030-MONOMER[c]"
"FUCP-MONOMER[i]"
"G6281-MONOMER[c]"
"G6715-MONOMER[c]"
"G7160-MONOMER[c]"
"G7237-MONOMER[c]"
"G7485-MONOMER[c]"
"HYCBSMALL-MONOMER[c]"
"HYCC-MONOMER[i]"
"OROPRIBTRANS-MONOMER[c]"
"TTDB-MONOMER[c]"
"ALDDEHYDROGB-MONOMER[c]"
"AQPZ-MONOMER[i]"
"EG12293-MONOMER[c]"
"G6198-MONOMER[c]"
"G6717-MONOMER[c]"
"G7263-MONOMER[c]"
"G7723-MONOMER[c]"
"GLYCDEH-MONOMER[c]"
"LACTALDREDUCT-MONOMER[c]"
"MANNPGUANYLTRANGDP-MONOMER[c]"
"METHYLMALONYL-COA-MUT-MONOMER[c]"
"MONOMER0-146[c]"
"ORNDECARBOXDEG-MONOMER[c]"
"PHNE-MONOMER[c]"
"YJIO-MONOMER[i]"
"ACETYL-COA-ACETYLTRANSFER-MONOMER[c]"
"ATOD-MONOMER[c]"
"EG11845-MONOMER[c]"
"MONOMER0-282[e]"
"RIB5PISOMB-MONOMER[c]"
"RIBULOKIN-MONOMER[c]"
"TTDA-MONOMER[c]"
"B1600-MONOMER[i]"
"DCUB-MONOMER[i]"
"G6285-MONOMER[c]"
"G6958-MONOMER[c]"
"G7288-MONOMER[c]"
"G7920-MONOMER[p]"
"KDGALDOL-MONOMER[c]"
"PHNC-MONOMER[i]"
"PHOSMANMUT-MONOMER[c]"
"XYLF-MONOMER[p]"
"B1296-MONOMER[i]"
"EG11289-MONOMER[c]"
"EG11692-MONOMER[c]"
"FUCISOM-MONOMER[c]"
"G6713-MONOMER[c]"
"G6984-MONOMER[i]"
"G7230-MONOMER[c]"
"G7486-MONOMER[c]"
"NIKE-MONOMER[i]"
"NIRB-MONOMER[c]"
"PHND-MONOMER[i]"
"PUTA-MONOMER[i]"
"ARABISOM-MONOMER[c]"
"CITRYLY-MONOMER[c]"
"EG12286-MONOMER[c]"
"FDNI-MONOMER[i]"
"FDOG-MONOMER[c]"
"G6200-MONOMER[c]"
"G6709-MONOMER[c]"
"G6999-MONOMER[i]"
"G7158-MONOMER[c]"
"G7516-MONOMER[c]"
"HYCD-MONOMER[i]"
"LACY-MONOMER[i]"
"NIKD-MONOMER[i]"
"NIRC-MONOMER[i]"
"PHENDEHYD-MONOMER[c]"
"RHAMNULPALDOL-MONOMER[c]"
"ARAF-MONOMER[i]"
"ARSF-MONOMER[i]"
"EG11847-MONOMER[c]"
"EG12033-MONOMER[c]"
"G6199-MONOMER[c]"
"G6261-MONOMER[c]"
"G6655-MONOMER[c]"
"G6708-MONOMER[c]"
"GLUTDECARBOXA-MONOMER[c]"
"SUCCORNTRANSAM-MONOMER[c]"
"YJDL-MONOMER[i]"
"ALKAPHOSPHA-MONOMER[p]"
"CITTRANS-MONOMER[c]"
"DMSC-MONOMER[i]"
"EG11902-MONOMER[i]"
"G6918-MONOMER[c]"
"G7859-MONOMER[c]"
"XAPB-MONOMER[i]"
"B1599-MONOMER[i]"
"FDNH-MONOMER[i]"
"HYCELARGE-MONOMER[c]"
"ACNEULY-MONOMER[c]"
"CITC-MONOMER[c]"
"G6755-MONOMER[c]"
"G6770-MONOMER[c]"
"G7105-MONOMER[i]"
"G7487-MONOMER[c]"
"G7858-MONOMER[c]"
"HYCF-MONOMER[c]"
"IDONDEHYD-MONOMER[c]"
"KEFC-MONOMER[i]"
"SUCCGLUDESUCC-MONOMER[c]"
"YCBE-MONOMER[i]"
"ANSP-MONOMER[i]"
"APPA-MONOMER[p]"
"EG11811-MONOMER[c]"
"G7544-MONOMER[c]"
"PITB-MONOMER[i]"
"SORB6PDEHYDROG-MONOMER[c]"
"XYLULOKIN-MONOMER[c]"
"ARGDECARBOXDEG-MONOMER[c]"
"G6530-MONOMER[p]"
"G7213-MONOMER[c]"
"G7415-MONOMER[c]"
"G7724-MONOMER[c]"
"NANK-MONOMER[c]"
"SBMA-MONOMER[i]"
"UGPE-MONOMER[i]"
"ADCLY-MONOMER[c]"
"APHA-MONOMER[p]"
"APPB-MONOMER[i]"
"B1006-MONOMER[i]"
"EG12438-MONOMER[c]"
"EXUT-MONOMER[i]"
"G6278-MONOMER[c]"
"GNTP-MONOMER[i]"
"LSERINEDEAM3-MONOMER[c]"
"MHPELY-MONOMER[c]"
"POTI-MONOMER[i]"
"ADHP-MONOMER[c]"
"EG11568-MONOMER[i]"
"EG12285-MONOMER[c]"
"G7726-MONOMER[c]"
"LCTP-MONOMER[i]"
"PABASYN-COMPII-MONOMER[c]"
"YJCX-MONOMER[i]"
"B0709-MONOMER[i]"
"EG11551-MONOMER[c]"
"EG12384-MONOMER[c]"
"G6478-MONOMER[i]"
"G7399-MONOMER[i]"
"SIROHEMESYN-MONOMER[c]"
"YNFJ-MONOMER[i]"
"6PFK-2-MONOMER[c]"
"CHD-MONOMER[c]"
"DMK-MONOMER[i]"
"DMSB-MONOMER[c]"
"FADA-MONOMER[c]"
"GLUCONREDUCT-MONOMER[c]"
"SUCCGLUALDDEHYD-MONOMER[c]"
"ARAG-MONOMER[i]"
"EG12287-MONOMER[c]"
"G7185-MONOMER[c]"
"RFFTRANS-MONOMER[c]"
"TRE6PHYDRO-MONOMER[c]"
"DXPREDISOM-MONOMER[c]"
"EG11371-MONOMER[i]"
"EG11848-MONOMER[c]"
"G6731-MONOMER[c]"
"G6782-MONOMER[e]"
"LYSDECARBOX-MONOMER[c]"
"ALARACEBIOSYN-MONOMER[c]"
"B1634-MONOMER[i]"
"B2170-MONOMER[i]"
"B2975-MONOMER[i]"
"EG10723-MONOMER[c]"
"G7517-MONOMER[c]"
"KCH-MONOMER[i]"
"POTE-MONOMER[i]"
"UGD-MONOMER[c]"
"DEHYDDEOXPHOSGALACT-ALDOL-MONOMER[c]"
"DPPB-MONOMER[i]"
"G6141-MONOMER[c]"
"GLUCONOKINI-MONOMER[c]"
"MGTA-MONOMER[i]"
"NANE-MONOMER[c]"
"NHAA-MONOMER[i]"
"POTC-MONOMER[i]"
"FUMA-MONOMER[c]"
"G6804-MONOMER[c]"
"G7647-MONOMER[c]"
"G7911-MONOMER[c]"
"HYCG-MONOMER[c]"
"KEFB-MONOMER[i]"
"NANT-MONOMER[i]"
"PANTOTHENATE-KIN-MONOMER[c]"
"TDCC-MONOMER[i]"
"YEJF-MONOMER[i]"
"YLIC-MONOMER[i]"
"ACYLCOADEHYDROG-MONOMER[i]"
"ADHC-MONOMER[c]"
"ASNSYNA-MONOMER[c]"
"G7164-MONOMER[c]"
"ANGLYC3PDEHYDROGSUBUNITA-MONOMER[i]"
"CYDC-MONOMER[i]"
"EG10515-MONOMER[i]"
"G6859-MONOMER[i]"
"YHIP-MONOMER[i]"
"ALTRO-OXIDOREDUCT-MONOMER[c]"
"EG10355-MONOMER[c]"
"EG10724-MONOMER[c]"
"EG11095-MONOMER[c]"
"G6246-MONOMER[c]"
"G6437-MONOMER[p]"
"G6561-MONOMER[i]"
"G7138-MONOMER[i]"
"G7504-MONOMER[i]"
"KDUD-MONOMER[c]"
"PGLUCONDEHYDRAT-MONOMER[c]"
"XYLE-MONOMER[i]"
"EG11822-MONOMER[c]"
"B0070-MONOMER[i]"
"DCTA-MONOMER[i]"
"EG11436-MONOMER[c]"
"G6310-MONOMER[i]"
"G7410-MONOMER[o]"
"G7449-MONOMER[c]"
"G7502-MONOMER[c]"
"G7910-MONOMER[c]"
"MALTACETYLTRAN-MONOMER[c]"
"PALMITOTRANS-MONOMER[i]"
"YHHO-MONOMER[i]"
"EG11352-MONOMER[c]"
"EG11957-MONOMER[c]"
"EG12134-MONOMER[i]"
"G6406-MONOMER[i]"
"G6986-MONOMER[c]"
"G7860-MONOMER[c]"
"NUPG-MONOMER[i]"
"B4141-MONOMER[i]"
"DSERDEAM-MONOMER[c]"
"G6208-MONOMER[c]"
"GLYCPDIESTER-PERI-MONOMER[p]"
"LSERINEDEAM1-MONOMER[c]"
"ALDHDEHYDROG-MONOMER[c]"
"EG11288-MONOMER[c]"
"EG11373-MONOMER[c]"
"G6329-MONOMER[c]"
"G6719-MONOMER[c]"
"G6805-MONOMER[c]"
"G7868-MONOMER[c]"
"PABASYN-COMPI-MONOMER[c]"
"XASA-MONOMER[i]"
"B0752-MONOMER[i]"
"EG11919-MONOMER[i]"
"G7011-MONOMER[c]"
"PHEP-MONOMER[i]"
"CDPDIGLYPYPHOSPHA-MONOMER[i]"
"DEOXYRIBOSE-P-ALD-MONOMER[c]"
"EG12357-MONOMER[c]"
"G6358-MONOMER[c]"
"G7098-MONOMER[i]"
"G7123-MONOMER[c]"
"G7545-MONOMER[c]"
"MONOMER0-149[c]"
"YJCV-MONOMER[i]"
"DEOA-MONOMER[c]"
"GLUCONOKINII-MONOMER[c]"
"LAUROYLACYLTRAN-MONOMER[i]"
"EG12432-MONOMER[c]"
"G7168-MONOMER[c]"
"KUP-MONOMER[i]"
"NIRD-MONOMER[c]"
"RHAT-MONOMER[i]"
"CYTIDEAM-MONOMER[c]"
"G6244-MONOMER[c]"
"GABATRANSAM-MONOMER[c]"
"PROPKIN-MONOMER[c]"
"AMTB-MONOMER[i]"
"G7212-MONOMER[c]"
"H2NEOPTERINALDOL-MONOMER[c]"
"YEJB-MONOMER[i]"
"AKBLIG-MONOMER[c]"
"BETT-MONOMER[i]"
"BGLF-MONOMER[i]"
"DLACTDEHYDROGNAD-MONOMER[c]"
"EG12237-MONOMER[c]"
"EG12445-MONOMER[i]"
"GLY3KIN-MONOMER[c]"
"SUCCSEMIALDDEHYDROG-MONOMER[c]"
"TRYPTOPHAN-MONOMER[c]"
"ALARACECAT-MONOMER[c]"
"EG11956-MONOMER[c]"
"FADB-MONOMER[c]"
"GLUTDECARBOXB-MONOMER[c]"
"LDC2-MONOMER[c]"
"RHAMNULOKIN-MONOMER[c]"
"ACYLCOASYN-MONOMER[i]"
"MONOMER0-561[i]"
"PANTEPADENYLYLTRAN-MONOMER[c]"
"PGLYCEROLTRANSI-MONOMER[i]"
"PSTC-MONOMER[i]"
"EG11425-MONOMER[c]"
"G6551-MONOMER[c]"
"G6810-MONOMER[c]"
"G6811-MONOMER[c]"
"GLUTRNAREDUCT-MONOMER[c]"
"LYSU-MONOMER[c]"
"NUOJ-MONOMER[i]"
"O-SUCCINYLBENZOATE-COA-LIG-MONOMER[c]"
"POTB-MONOMER[i]"
"PPENTOMUT-MONOMER[c]"
"THREODEHYD-MONOMER[c]"
"YADQ-MONOMER[i]"
"YGFO-MONOMER[i]"
"ARAE-MONOMER[i]"
"G6645-MONOMER[c]"
"MHPF-MONOMER[c]"
"PHOSPHAGLYPSYN-MONOMER[i]"
"UGPA-MONOMER[i]"
"YEJE-MONOMER[i]"
"ARGSUCCTRAN-MONOMER[c]"
"CYDD-MONOMER[i]"
"DALADEHYDROGA-MONOMER[i]"
"EG10564-MONOMER[c]"
"EG10973-MONOMER[c]"
"EG11372-MONOMER[c]"
"EG12267-MONOMER[i]"
"FUMC-MONOMER[c]"
"G6798-MONOMER[c]"
"G7166-MONOMER[c]"
"G7454-MONOMER[c]"
"GALACTURIDYLYLTRANS-MONOMER[c]"
"GKI-MONOMER[c]"
"MEND-MONOMER[c]"
"NUOL-MONOMER[i]"
"NUON-MONOMER[i]"
"POTH-MONOMER[i]"
"YNEA-MONOMER[i]"
"AGMATIN-MONOMER[c]"
"AROD-MONOMER[c]"
"BADH-MONOMER[c]"
"DALADALALIGB-MONOMER[c]"
"DPPC-MONOMER[i]"
"EG10572-MONOMER[c]"
"EG11517-MONOMER[c]"
"EG11826-MONOMER[i]"
"EG12424-MONOMER[c]"
"EMRE-MONOMER[i]"
"G7456-MONOMER[c]"
"G7558-MONOMER[c]"
"GCVP-MONOMER[c]"
"GLTK-MONOMER[i]"
"MENF-MONOMER[c]"
"NAPHTHOATE-SYN-MONOMER[c]"
"UDPGLUCEPIM-MONOMER[c]"
"ZNUB-MONOMER[i]"
"AAS-MONOMER[i]"
"ARTQ-MONOMER[i]"
"ASPARTASE-MONOMER[c]"
"DGTPTRIPHYDRO-MONOMER[c]"
"DPPF-MONOMER[i]"
"EG10950-MONOMER[p]"
"EG11294-MONOMER[c]"
"EG11315-MONOMER[c]"
"EG11816-MONOMER[c]"
"EG12298-MONOMER[p]"
"EG12600-MONOMER[c]"
"EG12656-MONOMER[c]"
"EUTC-MONOMER[c]"
"FDOH-MONOMER[i]"
"FOCA-MONOMER[i]"
"G6503-MONOMER[c]"
"G6627-MONOMER[c]"
"G6662-MONOMER[c]"
"G6718-MONOMER[m]"
"G7037-MONOMER[i]"
"G7409-MONOMER[c]"
"G7889-MONOMER[i]"
"GLTJ-MONOMER[i]"
"GLTP-MONOMER[i]"
"GLUTAMIDOTRANS-MONOMER[c]"
"GLUTATHIONE-REDUCT-NADPH-MONOMER[c]"
"HISP-MONOMER[i]"
"MALDEXPHOSPHORYL-MONOMER[c]"
"PROW-MONOMER[i]"
"PSTA-MONOMER[i]"
"PYRUVOXID-MONOMER[i]"
"THREDEHYDSYN-MONOMER[c]"
"TRANSKETOII-MONOMER[c]"
"UGPC-MONOMER[i]"
"YLID-MONOMER[i]"
"YNJD-MONOMER[i]"
"ZNUC-MONOMER[i]"
"ACETOACETYL-COA-TRANSFER-CPLX[c]"
"ADCLY-CPLX[c]"
"ANTHRANSYNCOMPII-MONOMER[c]"
"ATPASE-1-CPLX[i]"
"BETAGALACTOSID-CPLX[c]"
"CADB-MONOMER[i]"
"CPLX-171[c]"
"CPLX0-1667[c]"
"CPLX0-2061[c]"
"CPLX0-237[c]"
"CPLX0-2401[c]"
"CPLX0-7622[c]"
"CPLX0-7722[c]"
"CPLX0-7841[c]"
"CPLX0-7904[c]"
"CPLX0-821[c]"
"DTDPDEHYDRHAMEPIM-MONOMER[c]"
"E1O[c]"
"EG11373-MONOMER[c]"
"EG12298-MONOMER[p]"
"FADA-CPLX[c]"
"FORMATEDEHYDROGH-MONOMER[c]"
"FORMATEDEHYDROGN-CPLX[i]"
"G7579-MONOMER[c]"
"GALACTOACETYLTRAN-CPLX[c]"
"GLUTKIN-CPLX[c]"
"LYSDECARBOX-CPLX[c]"
"NARK-MONOMER[i]"
"RHAMNULPALDOL-CPLX[c]"
"THIG-MONOMER[c]"
"THREDEHYDCAT-CPLX[c]"
"XANTHOSINEPHOSPHORY-CPLX[c]"
"XYLISOM-CPLX[c]"
"CPLX0-1666[c]"
"FORMATEDEHYDROGN-CPLX[i]"
"G7579-MONOMER[c]"
"CDPDIGLYSYN-MONOMER[i]"
"GLUCONOKINII-CPLX[c]"
"EG10124-MONOMER[c]"
