# Generated by runscripts/reconstruction/polycistronic_rnas/create_tu_files.py on Fri Feb  5 17:21:03 2021 
"id"	"type"	"modified_forms"	"gene_set"	"monomer_set"
"EG10107_RNA"	"mRNA"	[]	["EG10107"]	["VALINE-PYRUVATE-AMINOTRANSFER-MONOMER"]
"EG10108_RNA"	"mRNA"	[]	["EG10108"]	["EG10108-MONOMER"]
"EG10112_RNA"	"mRNA"	[]	["EG10112"]	["BETT-MONOMER"]
"EG10116_RNA"	"mRNA"	[]	["EG10116"]	["EG10116-MONOMER"]
"EG10117_RNA"	"mRNA"	[]	["EG10117"]	["DAPASYN-MONOMER"]
"EG10122_RNA"	"mRNA"	[]	["EG10122"]	["EG10122-MONOMER"]
"EG10124_RNA"	"mRNA"	[]	["EG10124"]	["EG10124-MONOMER"]
"EG10125_RNA"	"mRNA"	[]	["EG10125"]	["EG10125-MONOMER"]
"EG10128_RNA"	"mRNA"	[]	["EG10128"]	["BTUD-MONOMER"]
"EG10129_RNA"	"mRNA"	[]	["EG10129"]	["BTUE-MONOMER"]
"EG10131_RNA"	"mRNA"	[]	["EG10131"]	["LYSDECARBOX-MONOMER"]
"EG10133_RNA"	"mRNA"	[]	["EG10133"]	["PD00436"]
"EG10135_RNA"	"mRNA"	[]	["EG10135"]	["CARBPSYN-LARGE"]
"EG10137_RNA"	"mRNA"	[]	["EG10137"]	["CYTIDEAM-MONOMER"]
"EG10138_RNA"	"mRNA"	[]	["EG10138"]	["CDPDIGLYPYPHOSPHA-MONOMER"]
"EG10139_RNA"	"mRNA"	[]	["EG10139"]	["CDPDIGLYSYN-MONOMER"]
"EG10145_RNA"	"mRNA"	[]	["EG10145"]	["EG10145-MONOMER"]
"EG10155_RNA"	"mRNA"	[]	["EG10155"]	["EG10155-MONOMER"]
"EG10156_RNA"	"mRNA"	[]	["EG10156"]	["EG10156-MONOMER"]
"EG10157_RNA"	"mRNA"	[]	["EG10157"]	["EG10157-MONOMER"]
"EG10160_RNA"	"mRNA"	[]	["EG10160"]	["CPDB-MONOMER"]
"EG10164_RNA"	"mRNA"	[]	["EG10164"]	["PD00257"]
"EG10165_RNA"	"mRNA"	[]	["EG10165"]	["CRR-MONOMER"]
"EG10166_RNA"	"mRNA"	[]	["EG10166"]	["PD03695"]
"EG10167_RNA"	"mRNA"	[]	["EG10167"]	["EG10167-MONOMER"]
