"tu_id"	"tu_count"
"EG10200"	69.6966666667
"EG10201"	188.09999999999997
"EG10202"	45.8766666667
"EG10203"	78.46
"EG10204"	113.70666666699998
"EG10205"	660.4666666669999
"EG10206"	170.30333333299998
"EG10207"	812.056666667
"EG10208"	68.5666666667
"EG10209"	80.4366666667
"EG10210"	18.65
"EG10211"	58.49999999999999
"EG10212"	104.49
"EG10213"	59.959999999999994
"EG10214"	156.67999999999998
"EG10215"	193.69
"EG10216"	66.9866666667
"EG10217"	526.343333333
"EG10218"	91.51333333329998
"EG10219"	40.9266666667
"EG10220"	154.89333333299996
"EG10221"	41.703333333299994
"EG10222"	455.1466666669999
"EG10223"	79.7966666667
"EG10224"	80.59999999999998
"EG10225"	37.16
"EG10226"	366.793333333
"EG10227"	1.82
"EG10228"	1.76333333333
"EG10229"	38.5633333333
"EG10230"	713.073333333
"EG10231"	194.766666667
"EG10232"	2.83
"EG10233"	4.33
"EG10234"	5.90333333333
"EG10235"	141.47
"EG10236"	134.85
"EG10237"	37.9966666667
"EG10238"	80.97333333329999
"EG10239"	156.71999999999997
"EG10240"	170.626666667
"EG10241"	867.816666667
"EG10242"	140.873333333
"EG10243"	99.2833333333
"EG10244"	46.313333333299994
"EG10245"	93.22
"EG10246"	451.7133333329999
"EG10247"	140.363333333
"EG10248"	1845.24
"EG10249"	16.1533333333
"EG10250"	4.1
"EG10251"	200.31999999999996
"EG10252"	2.1
"EG10253"	1.08333333333
"EG10254"	25.496666666699998
"EG10255"	16.4466666667
"EG10256"	156.786666667
"EG10257"	39.17999999999999
"EG10258"	2301.24666667
"EG10259"	577.173333333
"EG10260"	791.353333333
"EG10261"	909.2766666669999
"EG10262"	180.46666666699997
"EG10263"	732.006666667
"EG10264"	710.533333333
"EG10265"	833.263333333
"EG10266"	1.5933333333299997
"EG10267"	4.16
"EG10268"	7.029999999999999
"EG10269"	48.4966666667
"EG10270"	260.876666667
"EG10271"	1342.53666667
"EG10272"	1404.7299999999998
"EG10273"	723.6566666669999
"EG10274"	400.5199999999999
"EG10275"	1061.92333333
"EG10276"	547.83
"EG10277"	286.74
"EG10278"	12.976666666699998
"EG10279"	15.63
"EG10280"	82.2866666667
"EG10281"	92.7733333333
"EG10282"	1505.41666667
"EG10283"	208.823333333
"EG10284"	81.8133333333
"EG10285"	12.789999999999997
"EG10286"	94.57
"EG10287"	60.1766666667
"EG10288"	27.9033333333
"EG10289"	14.889999999999999
"EG10290"	53.86999999999999
"EG10291"	1121.15333333
"EG10292"	308.60999999999996
"EG10293"	1495.8466666699999
"EG10294"	205.786666667
"EG10295"	108.51666666699998
"EG10296"	62.1366666667
"EG10297"	11.74
"EG10298"	49.373333333299996
"EG10299"	440.783333333
"EG10300"	170.77
"EG10301"	8.38666666667
"EG10302"	424.203333333
"EG10303"	34.63
"EG10304"	82.6366666667
"EG10305"	88.7166666667
"EG10306"	371.64
"EG10307"	34.2733333333
"EG10308"	2281.24
"EG10309"	86.07
"EG10310"	138.81
"EG10311"	44.166666666699996
"EG10312"	6.0
"EG10313"	37.1866666667
"EG10314"	42.96999999999999
"EG10315"	42.4266666667
"EG10316"	763.386666667
"EG10317"	1196.8699999999997
"EG10318"	522.846666667
"EG10319"	208.03999999999996
"EG10320"	317.713333333
"EG10321"	17634.6266667
"EG10322"	516.286666667
"EG10323"	428.523333333
"EG10324"	265.99333333299995
"EG10325"	605.0199999999999
"EG10326"	83.63999999999999
"EG10327"	82.8333333333
"EG10328"	225.7
"EG10329"	12.6366666667
"EG10330"	17.0166666667
"EG10331"	14.2833333333
"EG10332"	11.4033333333
"EG10333"	19.98
"EG10334"	125.61
"EG10335"	877.126666667
"EG10336"	27.2566666667
"EG10337"	24.433333333299995
"EG10338"	102.01
"EG10339"	107.426666667
"EG10340"	100.57
"EG10341"	110.16999999999999
"EG10342"	164.986666667
"EG10343"	56.2966666667
"EG10344"	90.6
"EG10345"	64.95
"EG10346"	108.51999999999998
"EG10347"	537.296666667
"EG10348"	2.96
"EG10349"	4.32333333333
"EG10350"	10.149999999999999
"EG10351"	6.589999999999999
"EG10352"	1.39
"EG10353"	35.9466666667
"EG10355"	63.33666666669999
"EG10356"	66.07
"EG10357"	2.07333333333
"EG10358"	31.3533333333
"EG10359"	959.236666667
"EG10360"	5037.22666667
"EG10361"	22.85
"EG10362"	65.3033333333
"EG10363"	138.1
"EG10364"	39.4
"EG10365"	7.66666666667
"EG10366"	50.50999999999999
"EG10367"	8217.17
"EG10368"	254.79333333299996
"EG10369"	149.773333333
"EG10370"	280.42
"EG10371"	103.716666667
"EG10372"	1720.3299999999997
"EG10373"	11.8433333333
"EG10374"	25.5266666667
"EG10375"	76.6233333333
"EG10376"	56.3533333333
"EG10377"	200.50999999999996
"EG10378"	221.92999999999998
"EG10379"	338.486666667
"EG10380"	187.523333333
"EG10381"	174.37
"EG10382"	336.276666667
"EG10383"	880.1599999999999
"EG10384"	273.98
"EG10385"	52.9666666667
"EG10386"	459.07
"EG10387"	54.776666666699995
"EG10388"	145.61
"EG10389"	170.00666666699996
"EG10390"	299.49666666699994
"EG10391"	33.2433333333
"EG10392"	31.42
"EG10393"	27.719999999999995
"EG10394"	1844.6533333299997
"EG10395"	122.536666667
"EG10396"	234.12
"EG10397"	73.1
"EG10398"	671.67
"EG10399"	116.12999999999998
"EG10400"	44.1866666667
"EG10401"	79.5033333333
"EG10402"	1547.0799999999997
"EG10403"	888.5766666669999
"EG10404"	890.9
"EG10405"	23.84
"EG10406"	13.7333333333
"EG10407"	424.93999999999994
"EG10408"	1603.7299999999998
"EG10409"	435.906666667
"EG10410"	343.90666666699997
"EG10411"	872.8066666669998
"EG10412"	100.646666667
"EG10413"	146.31
"EG10414"	154.646666667
"EG10415"	164.06666666699996
"EG10416"	642.0199999999999
"EG10417"	38.46
"EG10418"	208.11999999999998
"EG10419"	142.62
"EG10420"	542.09
"EG10421"	319.64
"EG10422"	303.396666667
"EG10423"	319.91
"EG10424"	178.02333333299998
"EG10425"	122.643333333
"EG10426"	50.44333333329999
"EG10427"	53.19666666669999
"EG10428"	114.85
"EG10429"	136.376666667
"EG10430"	101.79999999999998
"EG10431"	32.669999999999995
"EG10432"	175.186666667
"EG10433"	140.133333333
"EG10434"	128.113333333
"EG10435"	432.79666666699995
"EG10436"	439.536666667
"EG10437"	308.60999999999996
"EG10438"	1402.84333333
"EG10439"	566.826666667
"EG10440"	1352.09333333
"EG10441"	1085.19666667
"EG10442"	34.13
"EG10443"	21.526666666699995
"EG10444"	112.65
"EG10445"	241.54999999999998
"EG10446"	156.87
"EG10447"	146.643333333
"EG10448"	118.30999999999999
"EG10449"	179.21999999999997
"EG10450"	146.953333333
"EG10451"	325.3333333329999
"EG10452"	71.56
"EG10453"	307.746666667
"EG10454"	40.25999999999999
"EG10455"	1229.80333333
"EG10456"	30.283333333299996
"EG10457"	4395.84
"EG10458"	66.0866666667
"EG10459"	80.18
"EG10460"	38.7266666667
"EG10461"	242.373333333
"EG10462"	233.94333333299997
"EG10463"	160.773333333
"EG10464"	44.32
"EG10465"	151.366666667
"EG10466"	4351.59666667
"EG10467"	2147.78
"EG10468"	0.916666666667
"EG10469"	1.3233333333299997
"EG10470"	1.7933333333299997
"EG10471"	4.63666666667
"EG10472"	2.74666666667
"EG10473"	3.83
"EG10474"	0.64
"EG10475"	0.933333333333
"EG10476"	0.993333333333
"EG10477"	1.69333333333
"EG10478"	2.25666666667
"EG10479"	3.36
"EG10480"	5.219999999999999
"EG10481"	14.923333333299999
"EG10482"	6.50333333333
"EG10483"	6.829999999999999
"EG10484"	7.0766666666699996
"EG10485"	8.28
"EG10486"	29.15
"EG10487"	9.23666666667
"EG10488"	28.183333333299995
"EG10489"	4124.85666667
"EG10490"	107.94
"EG10491"	120.51666666699998
"EG10492"	444.66333333299997
"EG10493"	52.9366666667
"EG10494"	208.08333333299998
"EG10495"	3416.86
"EG10496"	107.826666667
"EG10497"	203.25999999999996
"EG10498"	174.966666667
"EG10499"	300.79999999999995
"EG10500"	230.44333333299997
"EG10501"	73.37
"EG10502"	240.93666666699997
"EG10503"	14.229999999999999
"EG10504"	2443.1799999999994
"EG10505"	429.2766666669999
"EG10506"	4815.18
"EG10507"	61.18
"EG10508"	148.256666667
"EG10509"	64.2933333333
"EG10510"	951.7566666669999
"EG10511"	145.97
"EG10512"	17.1733333333
"EG10513"	0.7833333333329999
"EG10514"	2.10333333333
"EG10515"	7.116666666669999
"EG10516"	15.326666666699998
"EG10517"	16.66
"EG10518"	351.10333333299997
"EG10519"	153.823333333
"EG10520"	56.3766666667
"EG10521"	14.109999999999998
"EG10522"	1246.29666667
"EG10523"	237.883333333
"EG10525"	38.2033333333
"EG10527_EG10526_EG10524"	1.6799999999999995
"EG10526_EG10524"	2.001666666670001
"EG10528"	36.153333333300004
"EG10529"	189.293333333
"EG10530"	224.78333333299997
"EG10531"	6.386666666670009
"EG10532"	296.00999999999993
"EG10533"	139.86
"EG10534"	41.4
"EG10535"	15.386666666700002
"EG10536"	374.486666667
"EG10537"	404.166666667
"EG10538"	175.5
"EG10539"	1752.03
"EG10540"	653.4933333329998
"EG10541"	253.65999999999997
"EG10542"	242.413333333
"EG10543"	1276.20666667
"EG10544"	32306.479999999996
"EG10545"	371.2966666669999
"EG10546"	155.39333333300002
"EG10547"	818.606666667
"EG10548"	139.76999999999998
"EG10549"	87.5966666667
"EG10550"	511.443333333
"EG10551"	13.536666666699999
"EG10552"	439.03666666699996
"EG10553"	49.50666666670003
"EG10554"	84.64666666669997
"EG10555"	13.079999999999997
"EG10556"	8.569999999999999
"EG10557"	9.880000000000003
"EG10558"	17.3966666667
"EG10559"	36.4266666667
"EG10560"	54.899999999999984
"EG10561"	32.4366666667
"EG10562"	172.55666666699997
"EG10563"	9.983333333329995
"EG10564"	33.6166666667
"EG10565"	25.17
"EG10566"	103.756666667
"EG10567"	506.33666666700003
"EG10568"	498.8500000000001
"EG10569"	542.2333333330001
"EG10570"	458.61
"EG10571"	101.84333333300003
"EG10572"	43.093333333299995
"EG10573"	12.96
"EG10574"	40.18
"EG10575"	14.3266666667
"EG10576"	1802.4999999999998
"EG10577"	6.309999999999945
"EG10578"	11.740000000000002
"EG10579"	22.399999999999995
"EG10580"	131.63
"EG10581"	136.65999999999997
"EG10582"	99.80333333329999
"EG10583"	135.946666667
"EG10584"	3300.5099999999998
"EG10585"	177.62333333300012
"EG10586"	249.25333333299997
"EG10587"	146.15666666699997
"EG10588"	209.93666666700003
"EG10589"	751.526666667
"EG10590"	88.49000000000001
"EG10591"	43.27999999999999
"EG10592"	20.5633333333
"EG10593"	70.20000000000002
"EG10594"	15.67
"EG10595"	376.8266666669999
"EG10596"	287.413333333
"EG10597"	380.26333333300005
"EG10598"	339.383333333
"EG10599"	1256.73666667
"EG10600"	776.9899999999999
"EG10601"	428.03
"EG10602"	472.68666666699994
"EG10603"	328.0933333329999
"EG10604"	84.10333333329999
"EG10605"	57.61999999999998
"EG10606"	67.46666666669998
"EG10607"	41.496666666699994
"EG10608"	346.13999999999993
"EG10609"	101.00999999999998
"EG10610"	102.036666667
"EG10611"	116.07
"EG10612"	41.21666666670001
"EG10613"	138.57
"EG10614"	65.66333333329999
"EG10615"	46.2266666667
"EG10616"	71.92
"EG10617"	30.540000000000003
"EG10618"	110.436666667
"EG10619"	148.16333333300003
"EG10620"	108.34999999999998
"EG10621"	133.633333333
"EG10622"	146.64666666699998
"EG10623"	88.73999999999997
"EG10624"	18.573333333299995
"EG10625"	50.64333333329999
"EG10626"	21.563333333299997
"EG10627"	48.71999999999999
"EG10628"	141.043333333
"EG10629"	32.636666666699995
"EG10630"	216.493333333
"EG10631"	68.01666666670002
"EG10632"	77.73
"EG10633"	92.5733333333
"EG10634"	158.83333333299998
"EG10635"	68.98999999999998
"EG10636"	137.113333333
"EG10637"	12.80000000000001
"EG10638"	2.90666666667
"EG10639"	4.023333333329999
"EG10640"	3.9599999999999995
"EG10641"	3.55666666667
"EG10642"	0.8033333333329997
"EG10643"	97.3233333333
"EG10644"	2.299999999999997
"EG10645"	1.97666666667
"EG10646"	32.53
"EG10647"	2.956666666670003
"EG10648"	3.68333333333
"EG10649"	98.3733333333
"EG10650"	574.34
"EG10651"	81.90666666670006
"EG10652"	26.819999999999993
"EG10653"	2.7666666666699977
"EG10654"	7.0600000000000005
"EG10655"	1.8666666666700005
"EG10656"	43.40666666669999
"EG10657"	270.826666667
"EG10658"	395.113333333
"EG10659"	699.3933333329999
"EG10660"	170.1
"EG10661"	156.39333333300002
"EG10662"	35.26333333330001
"EG10663"	308.50333333299994
"EG10664"	18.4633333333
"EG10665"	343.2066666669999
"EG10666"	658.8833333329999
"EG10667"	444.05000000000007
"EG10668"	29.219999999999967
"EG10669"	13621.44
"EG10670"	2913.24666667
"EG10671"	9985.00666667
"EG10672"	137.93666666699937
"EG10673"	5251.026666669999
"EG10674"	3305.6999999999994
"EG10675"	298.36666666700006
"EG10676"	282.43999999999994
"EG10677"	314.1099999999999
"EG10678"	381.06000000000006
"EG10679"	36.31999999999999
"EG10680"	392.25
"EG10681"	176.37999999999997
"EG10682"	21.620000000000005
"EG10683"	36.6966666667
"EG10684"	2344.04
"EG10685"	23.23999999999978
"EG10686"	81.49333333329999
"EG10687"	101.88666666700001
"EG10688"	96.9233333333
"EG10689"	96.74
"EG10690"	283.1
"EG10691"	139.333333333
"EG10693"	142.38666666700001
"EG10694"	229.816666667
"EG10695"	309.576666667
"EG10696"	123.85333333299997
"EG10697"	231.463333333
"EG10698"	228.81333333299995
"EG10699"	468.86333333299996
"EG10700"	23.176666666699987
"EG10701"	1016.4366666699999
"EG10702"	451.1666666670001
"EG10703"	1059.22666667
"EG10704"	119.40666666700008
"EG10705"	43.103333333300014
"EG10706"	74.9333333333
"EG10707"	412.2933333330001
"EG10708"	35.819999999999986
"EG10709"	331.03
"EG10710"	384.153333333
"EG10711"	59.99666666669998
"EG10712"	25.446666666700004
"EG10713"	1.0033333333300014
"EG10714"	1.2866666666699997
"EG10715"	0.83
"EG10716"	1.4599999999999997
"EG10717"	1.9333333333300002
