"index"	"gene_id"	"protein_id"	"translation_efficiency"
129	"EG10088"	"ASP-SEMIALDEHYDE-DEHYDROGENASE-MONOMER[c]"	0.00042948144599022213
130	"EG10096"	"ASPAMINOTRANS-MONOMER[c]"	0.0005145478193506039
131	"EG10095"	"ASPARTASE-MONOMER[c]"	0.0001514596403733634
132	"EG10805"	"ASPCARBCAT-MONOMER[c]"	0.0005041738713798263
133	"EG10811"	"ASPCARBREG-MONOMER[c]"	0.0003672377581655524
134	"EG11747"	"ASPDECARBOX-MONOMER[c]"	0.00046890244827917977
135	"EG10998"	"ASPKINIHOMOSERDEHYDROGI-MONOMER[c]"	0.00020332938022725499
136	"EG10590"	"ASPKINIIHOMOSERDEHYDROGII-MONOMER[c]"	0.00021785290738634468
137	"EG10550"	"ASPKINIII-MONOMER[c]"	0.0001514596403733635
138	"EG10097"	"ASPS-MONOMER[c]"	0.0003630881789772408
139	"EG11670"	"ATOA-MONOMER[c]"	0.0002308651896575781
140	"EG11668"	"ATOC-MONOMER[c]"	0.00023086518965757824
141	"EG11669"	"ATOD-MONOMER[c]"	0.0002308651896575782
142	"EG11667"	"ATOS-MONOMER[i]"	0.000230865189657578
143	"EG10098"	"ATPA-MONOMER[i]"	0.00018050669469154266
144	"EG10099"	"ATPB-MONOMER[i]"	9.958990051947186e-05
145	"EG10100"	"ATPC-MONOMER[i]"	9.33655317370048e-05
146	"EG10101"	"ATPD-MONOMER[i]"	0.0002240772761688116
147	"EG10102"	"ATPE-MONOMER[i]"	0.00043778060436684495
148	"EG10103"	"ATPF-MONOMER[i]"	9.129074214284924e-05
149	"EG10104"	"ATPG-MONOMER[i]"	8.299158376622651e-05
150	"EG10105"	"ATPH-MONOMER[i]"	4.9794950259735914e-05
151	"EG10449"	"ATPPHOSRIBOSTRANS-MONOMER[c]"	0.0004606032899025569
152	"EG11754"	"B0070-MONOMER[i]"	4.772016066558027e-05
153	"G6135"	"B0260-MONOMER[i]"	0.0002308651896575781
154	"G6142"	"B0270-MONOMER[i]"	0.00023086518965757816
155	"G6241"	"B0427-MONOMER[i]"	7.676721498375952e-05
156	"G6262"	"B0486-MONOMER[i]"	0.00023086518965757802
157	"G6280"	"B0511-MONOMER[i]"	0.00023086518965757816
158	"G6338"	"B0612-MONOMER[i]"	0.00023086518965757824
159	"G6378"	"B0709-MONOMER[i]"	0.00013901090280842932
160	"G6393"	"B0752-MONOMER[i]"	0.00023086518965757816
161	"G6400"	"B0770-MONOMER[i]"	0.00023086518965757813
162	"G7400"	"B0899-MONOMER[c]"	0.0002308651896575781
163	"G6517"	"B1006-MONOMER[i]"	0.00023086518965757824
164	"G6559"	"B1065-MONOMER[i]"	0.00023086518965757816
165	"G6643"	"B1296-MONOMER[i]"	0.00023086518965757807
166	"G6744"	"B1433-MONOMER[i]"	0.00023086518965757816
167	"G6817"	"B1543-MONOMER[i]"	0.00023086518965757816
168	"G6854"	"B1596-MONOMER[i]"	0.0002308651896575779
169	"G6857"	"B1599-MONOMER[i]"	0.00023086518965757807
170	"G6858"	"B1600-MONOMER[i]"	0.00023086518965757807
171	"G6877"	"B1634-MONOMER[i]"	0.00021577811779218903
172	"G6893"	"B1657-MONOMER[i]"	0.0002054041698214106
173	"G6916"	"B1690-MONOMER[i]"	0.00023086518965757826
174	"G6917"	"B1691-MONOMER[i]"	0.00023086518965757832
175	"G6962"	"B1775-MONOMER[i]"	0.00023086518965757837
176	"G6977"	"B1791-MONOMER[i]"	0.0002308651896575782
177	"G7004"	"B1828-MONOMER[i]"	0.0002308651896575781
178	"G7114"	"B2075-MONOMER[i]"	7.88420045779152e-05
179	"G7115"	"B2076-MONOMER[i]"	6.846805660713683e-05
180	"EG12136"	"B2077-MONOMER[i]"	0.00023086518965757788
181	"G7130"	"B2098-MONOMER[i]"	0.00023086518965757816
182	"EG12034"	"B2170-MONOMER[i]"	0.00023086518965757826
183	"G7159"	"B2246-MONOMER[i]"	0.00023086518965757832
184	"G7198"	"B2322-MONOMER[i]"	0.00014731006118505195
185	"G7235"	"B2372-MONOMER[i]"	0.00023086518965757816
186	"G7421"	"B2740-MONOMER[i]"	0.0002308651896575782
187	"G7437"	"B2771-MONOMER[i]"	0.00023086518965757807
188	"EG13174"	"B2775-MONOMER[i]"	0.0002308651896575781
189	"G7447"	"B2789-MONOMER[i]"	0.00023086518965757816
190	"G7465"	"B2845-MONOMER[i]"	0.00022822685535712315
191	"G7542"	"B2975-MONOMER[i]"	0.00023086518965757824
192	"EG11687"	"B3659-MONOMER[i]"	0.00023086518965757802
193	"G7833"	"B4141-MONOMER[i]"	6.846805660713683e-05
194	"EG10110"	"BADH-MONOMER[c]"	0.00019710501144478803
195	"EG11618"	"BAER-MONOMER[c]"	0.0003215923870941276
196	"EG11617"	"BAES-MONOMER[i]"	0.00023086518965757813
197	"EG11367"	"BARA-MONOMER[i]"	0.0001016646901136275
198	"EG11615"	"BASR-MONOMER[c]"	0.00022407727616881166
199	"EG11614"	"BASS-MONOMER[i]"	0.0001244873756493397
200	"EG10275"	"BCCP-MONOMER[c]"	0.00045022934193177886
201	"EG11419"	"BCR-MONOMER[i]"	6.224368782466994e-05
202	"EG11055"	"BETA-GLUCURONID-MONOMER[c]"	0.0002308651896575781
203	"EG10190"	"BETACOMP-MONOMER[c]"	0.00023086518965757813
204	"EG10527"	"BETAGALACTOSID-MONOMER[c]"	0.0002308651896575781
205	"EG10112"	"BETT-MONOMER[i]"	6.846805660713686e-05
206	"EG10115"	"BGLF-MONOMER[i]"	0.00023086518965757802
207	"EG10276"	"BIOTIN-CARBOXYL-MONOMER[c]"	0.00019503022185063225
208	"EG10118"	"BIOTIN-SYN-MONOMER[c]"	0.00041080833964282155
209	"EG10123"	"BIOTINLIG-MONOMER[c]"	0.00012448737564933973
210	"EG10497"	"BRANCHED-CHAINAMINOTRANSFER-MONOMER[c]"	0.0005332209256980047
211	"EG12168"	"BRNQ-MONOMER[i]"	0.00022822685535712301
212	"EG10127"	"BTUC-MONOMER[i]"	5.1869739853891565e-05
213	"EG10128"	"BTUD-MONOMER[i]"	6.431847741882555e-05
214	"EG10129"	"BTUE-MONOMER[c]"	0.00020332938022725485
215	"EG10132"	"CADB-MONOMER[i]"	0.00023086518965757813
216	"EG11558"	"CAIC-MONOMER[c]"	0.00023086518965757807
217	"EG12608"	"CAIE-MONOMER[c]"	0.0002308651896575779
218	"EG11561"	"CAIT-MONOMER[i]"	0.00023086518965757807
219	"EG10176"	"CARBODEHYDRAT-MONOMER[c]"	0.00023086518965757807
220	"EG11647"	"CARBOXYL-TRANSFERASE-ALPHA-MONOMER[c]"	0.0003195175974999721
221	"EG10217"	"CARBOXYL-TRANSFERASE-BETA-MONOMER[c]"	0.0002738722264285475
222	"EG10135"	"CARBPSYN-LARGE[c]"	0.00030706885993503813
223	"EG10134"	"CARBPSYN-SMALL[c]"	0.0002199276969805002
224	"EG11608"	"CARDIOLIPSYN-MONOMER[i]"	0.0001161882172727171
225	"EG11559"	"CARNDEHYDRA-MONOMER[c]"	0.00023086518965757807
226	"EG11557"	"CARNRACE-MONOMER[c]"	0.000230865189657578
227	"EG12059"	"CCMA-MONOMER[i]"	0.00023086518965757813
228	"EG12058"	"CCMB-MONOMER[i]"	0.00023086518965757837
229	"EG12057"	"CCMC-MONOMER[i]"	0.00013071174443180682
230	"EG12055"	"CCME-MONOMER[i]"	0.00012863695483765098
231	"EG10138"	"CDPDIGLYPYPHOSPHA-MONOMER[i]"	0.0002095537490097218
232	"EG10139"	"CDPDIGLYSYN-MONOMER[i]"	5.601931904220286e-05
233	"EG10140"	"CELA-MONOMER[c]"	0.00023086518965757802
234	"EG10141"	"CELB-MONOMER[i]"	0.0002308651896575782
235	"EG10142"	"CELC-MONOMER[c]"	0.00023086518965757826
236	"EG11531"	"CFA-MONOMER[i]"	0.00024897475129867974
237	"EG11753"	"CHAA-MONOMER[i]"	0.0001514596403733634
238	"EG10067"	"CHAINF-MONOMER[c]"	0.00033611591425321757
239	"EG10069"	"CHAINI-MONOMER[c]"	0.0002308651896575779
240	"EG10109"	"CHD-MONOMER[c]"	0.0001431604819967407
241	"EG10147"	"CHEB-MONOMER[c]"	0.00023086518965757824
242	"EG10148"	"CHER-MONOMER[c]"	0.00023086518965757826
243	"EG10149"	"CHEW-MONOMER[c]"	0.00023086518965757807
244	"EG10150"	"CHEY-MONOMER[c]"	0.00023086518965757813
245	"EG10151"	"CHEZ-MONOMER[s]"	0.00023086518965757802
246	"EG10707"	"CHORISMUTPREPHENDEHYDRAT-MONOMER[c]"	0.0004211822876135998
247	"EG11039"	"CHORISMUTPREPHENDEHYDROG-MONOMER[c]"	0.00017220753631492006
248	"EG11369"	"CHORPYRLY-MONOMER[c]"	7.676721498375953e-05
249	"G6344"	"CITC-MONOMER[c]"	0.0002308651896575779
250	"G6342"	"CITRYLY-MONOMER[c]"	0.00023086518965757807
251	"EG10402"	"CITSYN-MONOMER[c]"	0.0003091436495291939
252	"G6341"	"CITTRANS-MONOMER[c]"	0.00023086518965757832
253	"EG11265"	"CMPKI-MONOMER[c]"	7.676721498375949e-05
254	"G6440"	"CMR-MONOMER[i]"	0.00012448737564933987
255	"EG11792"	"CMTA-MONOMER[i]"	0.00023086518965757824
256	"EG11791"	"CMTB-MONOMER[c]"	0.00023086518965757802
257	"EG10130"	"COBALADENOSYLTRANS-MONOMER[c]"	0.0001618335883441417
258	"EG12150"	"COBS-MONOMER[i]"	0.0001867310634740097
259	"EG13238"	"COBU-MONOMER[c]"	6.639326701298124e-05
260	"EG11327"	"CODB-MONOMER[i]"	0.00016598316753245297
261	"EG12189"	"COPROGENOXI-MONOMER[c]"	8.299158376622654e-05
262	"EG11463"	"CORA-MONOMER[c]"	0.00015353442996751907
263	"EG10160"	"CPDB-MONOMER[p]"	0.00038798565410710884
264	"EG10519"	"CPM-KDOSYNTH-MONOMER[c]"	0.00027179743683439196
265	"EG10163"	"CPXA-MONOMER[i]"	6.84680566071369e-05
266	"EG10020"	"CPXR-MONOMER[c]"	0.000307068859935038
267	"EG11218"	"CREB-MONOMER[c]"	5.186973985389157e-05
268	"EG10730"	"CREC-MONOMER[i]"	4.1495791883113236e-05
269	"EG11560"	"CROBETREDUCT-MONOMER[c]"	7.884200457791522e-05
270	"EG10165"	"CRR-MONOMER[i]"	0.0003962848124837319
271	"EG10810"	"CTPSYN-MONOMER[c]"	0.00031744280790581644
272	"EG10175"	"CYANLY-MONOMER[c]"	0.00023086518965757816
273	"EG12504"	"CYCA-MONOMER[i]"	0.00020540416982141064
274	"EG10448"	"CYCLASE-MONOMER[c]"	0.0002012545906330993
275	"EG10173"	"CYDA-MONOMER[i]"	0.00017635711550323142
276	"EG10174"	"CYDB-MONOMER[i]"	0.00015353442996751912
277	"EG10012"	"CYDC-MONOMER[i]"	0.00011618821727271716
278	"EG11405"	"CYDD-MONOMER[i]"	0.00014523527159089635
279	"EG10177"	"CYNX-MONOMER[i]"	0.00023086518965757797
280	"EG10178"	"CYOA-MONOMER[i]"	0.00013693611321427372
281	"EG10179"	"CYOB-MONOMER[i]"	0.00013693611321427372
