# Generated by /Users/miagrahn/wcEcoli/reconstruction/ecoli/scripts/protein_half_lives/convert_gupta_et_al_Clim_to_flat.py on Tue Nov  5 18:30:03 2024
"id"	"half_life (units.min)"
"BARA-MONOMER"	696.4
"BASR-MONOMER"	585.5
"BASS-MONOMER"	716.5
"BCCP-MONOMER"	342.8
"BETA-GLUCURONID-MONOMER"	589.3
"BETACOMP-MONOMER"	380.5
"BETAGALACTOSID-MONOMER"	635.2
"BETT-MONOMER"	780.9
"BIOTIN-CARBOXYL-MONOMER"	700.8
"BIOTIN-SYN-MONOMER"	108.6
"BIOTINLIG-MONOMER"	470.8
"BRANCHED-CHAINAMINOTRANSFER-MONOMER"	657.4
"BTUD-MONOMER"	227.0
"BTUE-MONOMER"	291.3
"CARBOXYL-TRANSFERASE-ALPHA-MONOMER"	792.2
"CARBOXYL-TRANSFERASE-BETA-MONOMER"	690.0
"CARBPSYN-LARGE"	642.8
"CARBPSYN-SMALL"	593.7
"CARDIOLIPSYN-MONOMER"	842.6
"CARNRACE-MONOMER"	544.1
"CCME-MONOMER"	543.2
"CDPDIGLYPYPHOSPHA-MONOMER"	783.4
"CELA-MONOMER"	377.5
"CELB-MONOMER"	663.3
"CELC-MONOMER"	109.5
"CFA-MONOMER"	63.3
"CHAINI-MONOMER"	524.2
"CHEB-MONOMER"	347.8
"CHEW-MONOMER"	287.6
"CHEY-MONOMER"	364.0
"CHORISMUTPREPHENDEHYDRAT-MONOMER"	679.0
"CHORISMUTPREPHENDEHYDROG-MONOMER"	476.8
"CHORPYRLY-MONOMER"	445.8
"CITSYN-MONOMER"	661.4
"CMPKI-MONOMER"	599.9
"CMTB-MONOMER"	241.9
"COBALADENOSYLTRANS-MONOMER"	599.2
"COBS-MONOMER"	819.5
"COPROGENOXI-MONOMER"	614.8
"CORA-MONOMER"	712.7
"CPDB-MONOMER"	866.2
"CPM-KDOSYNTH-MONOMER"	666.1
"CPXA-MONOMER"	669.6
"CPXR-MONOMER"	715.5
"CREB-MONOMER"	687.9
"CREC-MONOMER"	506.1
"CROBETREDUCT-MONOMER"	506.5
"CRR-MONOMER"	706.9
"CTPSYN-MONOMER"	787.4
"CYCA-MONOMER"	515.0
"CYCLASE-MONOMER"	578.1
"CYDA-MONOMER"	860.9
"CYDC-MONOMER"	520.5
"CYDD-MONOMER"	594.1
"CYOA-MONOMER"	454.8
"CYOB-MONOMER"	880.3
"CYSA-MONOMER"	128.7
"CYSD-MONOMER"	179.1
"CYSN-MONOMER"	134.4
"CYSP-MONOMER"	616.7
"CYSS-MONOMER"	596.3
"CYST-MONOMER"	422.8
"CYSTATHIONINE-BETA-LYASE-MONOMER"	587.2
"CYSW-MONOMER"	468.6
"CYTDEAM-MONOMER"	874.2
"CYTIDEAM-MONOMER"	676.1
"CYTOCHROME-B561-MONOMER"	604.6
"DALADALALIGA-MONOMER"	656.4
"DALADALALIGB-MONOMER"	474.3
"DALADEHYDROGA-MONOMER"	185.8
"DAPASYN-MONOMER"	710.5
"DCTA-MONOMER"	668.8
"DCTP-DEAM-MONOMER"	468.1
"DCUA-MONOMER"	505.6
"DCUR-MONOMER"	304.5
"DCUS-MONOMER"	738.6
"DCYSDESULF-MONOMER"	523.9
"DEOA-MONOMER"	591.6
"DEOD-MONOMER"	814.0
"DEOXYGLUCONOKIN-MONOMER"	675.9
"DEOXYRIBOSE-P-ALD-MONOMER"	376.0
"DETHIOBIOTIN-SYN-MONOMER"	309.3
"DGTPTRIPHYDRO-MONOMER"	717.7
"DHHB-METHYLTRANSFER-MONOMER"	404.1
"DIACYLGLYKIN-MONOMER"	532.3
"DIAMINOPIMDECARB-MONOMER"	521.8
"DIAMINOPIMEPIM-MONOMER"	606.1
"DIENOYLCOAREDUCT-MONOMER"	666.3
"DIHYDRODIPICSYN-MONOMER"	692.0
"DIHYDROFOLATEREDUCT-MONOMER"	756.3
"DIHYDROOROT-MONOMER"	371.0
"DIHYDROOROTOX-MONOMER"	805.5
"DIHYDROPICRED-MONOMER"	747.6
"DIHYDROPTERIREDUCT-MONOMER"	371.7
"DIHYDROXYACIDDEHYDRAT-MONOMER"	644.6
"DIOHBUTANONEPSYN-MONOMER"	86.5
"DISULFOXRED-MONOMER"	525.9
"DLACTDEHYDROGFAD-MONOMER"	610.8
"DLACTDEHYDROGNAD-MONOMER"	683.6
"DMBPPRIBOSYLTRANS-MONOMER"	488.7
"DPPA-MONOMER"	939.0
"DPPB-MONOMER"	846.7
"DPPC-MONOMER"	843.0
"DPPD-MONOMER"	760.7
"DPPF-MONOMER"	706.7
"DSBC-MONOMER"	713.7
"DSBD-MONOMER"	832.7
"DSBG-MONOMER"	734.6
"DSERDEAM-MONOMER"	682.8
"DTDPGLUCDEHYDRAT2-MONOMER"	779.8
"DTDPGLUCOSEPP2-MONOMER"	488.9
"DTMPKI-MONOMER"	596.1
"DUTP-PYROP-MONOMER"	786.1
"DXPREDISOM-MONOMER"	579.6
"DXS-MONOMER"	701.9
"E1O-MONOMER"	521.9
"E1P-MONOMER"	751.1
"E2O-MONOMER"	707.5
"E2P-MONOMER"	663.5
"E3-MONOMER"	804.4
"EG10003-MONOMER"	739.2
"EG10004-MONOMER"	750.9
"EG10011-MONOMER"	395.4
"EG10013-MONOMER"	371.7
"EG10015-MONOMER"	703.4
"EG10018-MONOMER"	362.8
"EG10021-MONOMER"	526.3
"EG10040-MONOMER"	629.5
"EG10041-MONOMER"	538.2
"EG10042-MONOMER"	785.3
"EG10043-MONOMER"	639.2
"EG10044-MONOMER"	695.8
"EG10047-MONOMER"	200.1
"EG10048-MONOMER"	431.3
"EG10083-MONOMER"	141.5
"EG10085-MONOMER"	309.9
"EG10087-MONOMER"	508.5
"EG10108-MONOMER"	488.9
"EG10113-MONOMER"	749.6
"EG10122-MONOMER"	723.9
"EG10124-MONOMER"	472.6
"EG10125-MONOMER"	120.2
"EG10126-MONOMER"	747.3
"EG10136-MONOMER"	531.2
"EG10143-MONOMER"	121.9
"EG10144-MONOMER"	613.4
"EG10153-MONOMER"	685.4
"EG10154-MONOMER"	721.7
"EG10155-MONOMER"	353.3
"EG10156-MONOMER"	80.7
"EG10158-MONOMER"	677.4
"EG10159-MONOMER"	150.0
"EG10167-MONOMER"	717.1
"EG10168-MONOMER"	808.6
"EG10201-MONOMER"	602.5
"EG10202-MONOMER"	790.6
"EG10203-MONOMER"	764.7
"EG10204-MONOMER"	617.6
"EG10210-MONOMER"	342.2
"EG10211-MONOMER"	398.6
"EG10212-MONOMER"	610.5
"EG10215-MONOMER"	98.5
"EG10216-MONOMER"	552.5
"EG10218-MONOMER"	424.6
"EG10226-MONOMER"	489.2
"EG10229-MONOMER"	393.5
"EG10230-MONOMER"	324.7
"EG10236-MONOMER"	574.0
"EG10237-MONOMER"	332.9
"EG10238-MONOMER"	499.6
"EG10239-MONOMER"	739.3
"EG10240-MONOMER"	588.4
"EG10241-MONOMER"	626.9
"EG10242-MONOMER"	692.2
"EG10243-MONOMER"	204.4
"EG10252-MONOMER"	825.8
"EG10253-MONOMER"	490.1
"EG10255-MONOMER"	595.0
"EG10270-MONOMER"	390.9
"EG10271-MONOMER"	107.9
"EG10272-MONOMER"	144.5
"EG10280-MONOMER"	666.3
"EG10284-MONOMER"	233.5
"EG10293-MONOMER"	959.4
"EG10300-MONOMER"	527.4
"EG10302-MONOMER"	906.7
"EG10306-MONOMER"	201.7
"EG10307-MONOMER"	688.2
"EG10310-MONOMER"	360.7
"EG10315-MONOMER"	781.8
"EG10321-MONOMER"	82.3
"EG10322-MONOMER"	189.8
"EG10329-MONOMER"	643.6
"EG10335-MONOMER"	527.4
"EG10339-MONOMER"	625.0
"EG10341-MONOMER"	179.5
"EG10342-MONOMER"	140.3
"EG10343-MONOMER"	669.2
"EG10346-MONOMER"	740.5
"EG10347-MONOMER"	171.8
"EG10355-MONOMER"	825.9
"EG10360-MONOMER"	697.8
"EG10370-MONOMER"	494.3
"EG10374-MONOMER"	733.1
"EG10375-MONOMER"	243.6
"EG10376-MONOMER"	696.0
"EG10381-MONOMER"	652.8
"EG10415-MONOMER"	392.0
"EG10416-MONOMER"	563.1
"EG10423-MONOMER"	508.6
"EG10424-MONOMER"	621.5
"EG10426-MONOMER"	550.8
"EG10434-MONOMER"	829.1
"EG10435-MONOMER"	737.0
"EG10436-MONOMER"	827.3
"EG10437-MONOMER"	380.2
"EG10438-MONOMER"	783.2
"EG10443-MONOMER"	654.3
"EG10454-MONOMER"	706.4
"EG10455-MONOMER"	624.4
"EG10456-MONOMER"	376.6
"EG10458-MONOMER"	618.0
"EG10459-MONOMER"	448.0
"EG10460-MONOMER"	681.7
"EG10461-MONOMER"	635.3
"EG10462-MONOMER"	598.1
"EG10463-MONOMER"	669.4
"EG10466-MONOMER"	609.7
"EG10467-MONOMER"	458.3
"EG10484-MONOMER"	404.2
"EG10486-MONOMER"	350.2
"EG10487-MONOMER"	582.9
"EG10490-MONOMER"	704.6
"EG10504-MONOMER"	530.5
"EG10506-MONOMER"	659.5
"EG10523-MONOMER"	815.5
"EG10528-MONOMER"	479.7
"EG10529-MONOMER"	644.5
"EG10530-MONOMER"	286.3
"EG10534-MONOMER"	600.4
"EG10542-MONOMER"	685.7
"EG10544-MONOMER"	670.2
"EG10559-MONOMER"	697.8
"EG10564-MONOMER"	696.3
"EG10570-MONOMER"	651.0
"EG10572-MONOMER"	393.5
"EG10575-MONOMER"	269.5
"EG10595-MONOMER"	555.8
"EG10596-MONOMER"	626.3
"EG10597-MONOMER"	639.8
"EG10598-MONOMER"	384.6
"EG10599-MONOMER"	767.0
"EG10600-MONOMER"	690.3
"EG10603-MONOMER"	684.0
"EG10606-MONOMER"	741.1
"EG10607-MONOMER"	582.1
"EG10608-MONOMER"	756.9
"EG10609-MONOMER"	619.0
"EG10611-MONOMER"	628.2
"EG10612-MONOMER"	631.6
"EG10613-MONOMER"	684.6
"EG10618-MONOMER"	498.6
"EG10624-MONOMER"	543.2
"EG10625-MONOMER"	610.7
"EG10626-MONOMER"	555.2
"EG10627-MONOMER"	461.3
"EG10634-MONOMER"	743.7
"EG10651-MONOMER"	264.2
"EG10657-MONOMER"	700.8
"EG10658-MONOMER"	668.9
"EG10662-MONOMER"	664.6
"EG10665-MONOMER"	716.6
"EG10666-MONOMER"	651.2
"EG10667-MONOMER"	610.1
"EG10668-MONOMER"	647.7
"EG10669-MONOMER"	847.0
"EG10670-MONOMER"	782.5
"EG10671-MONOMER"	669.6
"EG10673-MONOMER"	697.8
"EG10680-MONOMER"	737.5
"EG10684-MONOMER"	687.3
"EG10686-MONOMER"	372.8
"EG10687-MONOMER"	463.3
"EG10689-MONOMER"	560.2
"EG10690-MONOMER"	412.4
"EG10694-MONOMER"	745.6
"EG10695-MONOMER"	683.6
"EG10696-MONOMER"	652.0
"EG10697-MONOMER"	808.6
"EG10698-MONOMER"	669.1
"EG10711-MONOMER"	632.7
"EG10712-MONOMER"	606.7
"EG10724-MONOMER"	163.7
"EG10725-MONOMER"	574.1
"EG10735-MONOMER"	595.6
"EG10736-MONOMER"	692.5
"EG10739-MONOMER"	753.9
"EG10741-MONOMER"	576.4
"EG10743-MONOMER"	694.3
"EG10746-MONOMER"	756.6
"EG10747-MONOMER"	527.2
"EG10748-MONOMER"	650.4
"EG10757-MONOMER"	556.8
"EG10758-MONOMER"	632.7
"EG10760-MONOMER"	701.5
"EG10761-MONOMER"	634.2
"EG10762-MONOMER"	518.2
"EG10763-MONOMER"	625.7
"EG10765-MONOMER"	229.6
"EG10776-MONOMER"	567.4
"EG10777-MONOMER"	713.5
"EG10778-MONOMER"	257.1
"EG10780-MONOMER"	222.0
"EG10785-MONOMER"	667.7
"EG10786-MONOMER"	708.5
"EG10812-MONOMER"	455.0
"EG10813-MONOMER"	463.3
"EG10817-MONOMER"	655.6
"EG10823-MONOMER"	701.2
"EG10824-MONOMER"	790.7
"EG10825-MONOMER"	780.2
"EG10826-MONOMER"	430.8
"EG10827-MONOMER"	426.6
"EG10828-MONOMER"	605.8
"EG10829-MONOMER"	652.0
"EG10830-MONOMER"	275.5
"EG10834-MONOMER"	556.0
"EG10837-MONOMER"	419.1
"EG10838-MONOMER"	692.6
"EG10839-MONOMER"	445.0
"EG10841-MONOMER"	89.1
"EG10844-MONOMER"	624.5
"EG10845-MONOMER"	699.5
"EG10851-MONOMER"	557.1
"EG10852-MONOMER"	664.9
"EG10853-MONOMER"	529.0
"EG10854-MONOMER"	499.3
"EG10855-MONOMER"	794.8
"EG10856-MONOMER"	587.7
"EG10857-MONOMER"	530.8
"EG10858-MONOMER"	629.1
"EG10859-MONOMER"	632.8
"EG10860-MONOMER"	555.4
"EG10861-MONOMER"	123.2
"EG10862-MONOMER"	483.3
"EG10863-MONOMER"	702.5
"EG10864-MONOMER"	642.1
"EG10865-MONOMER"	703.3
"EG10866-MONOMER"	755.5
"EG10867-MONOMER"	707.1
"EG10868-MONOMER"	643.4
"EG10869-MONOMER"	713.7
"EG10870-MONOMER"	554.7
"EG10871-MONOMER"	776.3
"EG10872-MONOMER"	564.9
"EG10873-MONOMER"	777.2
"EG10874-MONOMER"	762.9
"EG10875-MONOMER"	671.0
"EG10876-MONOMER"	564.8
"EG10877-MONOMER"	421.3
"EG10878-MONOMER"	806.0
"EG10879-MONOMER"	615.4
"EG10880-MONOMER"	602.0
"EG10881-MONOMER"	684.9
"EG10882-MONOMER"	679.2
"EG10883-MONOMER"	640.0
"EG10884-MONOMER"	555.9
"EG10885-MONOMER"	570.9
"EG10886-MONOMER"	522.8
"EG10888-MONOMER"	595.0
"EG10892-MONOMER"	456.2
"EG10893-MONOMER"	695.1
"EG10899-MONOMER"	332.6
"EG10900-MONOMER"	617.5
"EG10901-MONOMER"	594.6
"EG10902-MONOMER"	756.8
"EG10903-MONOMER"	632.3
"EG10904-MONOMER"	727.4
"EG10905-MONOMER"	762.6
"EG10906-MONOMER"	727.4
"EG10907-MONOMER"	665.0
"EG10908-MONOMER"	780.0
"EG10909-MONOMER"	656.9
"EG10910-MONOMER"	830.1
"EG10911-MONOMER"	756.1
"EG10912-MONOMER"	541.3
"EG10913-MONOMER"	538.7
"EG10914-MONOMER"	788.1
"EG10915-MONOMER"	371.2
"EG10916-MONOMER"	761.5
"EG10917-MONOMER"	586.6
"EG10918-MONOMER"	582.5
"EG10919-MONOMER"	673.1
"EG10920-MONOMER"	367.4
"EG10921-MONOMER"	411.7
"EG10923-MONOMER"	618.0
"EG10924-MONOMER"	389.9
"EG10925-MONOMER"	404.2
"EG10926-MONOMER"	659.9
"EG10927-MONOMER"	640.8
"EG10941-MONOMER"	744.7
"EG10942-MONOMER"	577.9
"EG10943-MONOMER"	536.8
"EG10949-MONOMER"	683.5
"EG10950-MONOMER"	507.8
"EG10951-MONOMER"	544.5
"EG10955-MONOMER"	357.5
"EG10956-MONOMER"	692.0
"EG10967-MONOMER"	704.4
"EG10968-MONOMER"	620.5
"EG10973-MONOMER"	592.2
"EG10975-MONOMER"	579.1
"EG10976-MONOMER"	514.0
"EG10977-MONOMER"	680.2
"EG10978-MONOMER"	460.4
"EG10983-MONOMER"	752.2
"EG10985-MONOMER"	739.5
"EG10996-MONOMER"	670.1
"EG10997-MONOMER"	613.5
"EG11003-MONOMER"	662.2
"EG11004-MONOMER"	648.6
"EG11007-MONOMER"	770.6
"EG11008-MONOMER"	696.8
"EG11009-MONOMER"	775.4
"EG11010-MONOMER"	773.7
"EG11011-MONOMER"	746.0
"EG11012-MONOMER"	353.0
"EG11013-MONOMER"	650.3
"EG11014-MONOMER"	220.5
"EG11022-MONOMER"	554.5
"EG11023-MONOMER"	563.7
"EG11033-MONOMER"	706.0
"EG11035-MONOMER"	892.0
"EG11037-MONOMER"	601.1
"EG11038-MONOMER"	706.4
"EG11058-MONOMER"	671.7
"EG11059-MONOMER"	601.0
"EG11061-MONOMER"	749.5
"EG11062-MONOMER"	381.3
"EG11063-MONOMER"	480.2
"EG11064-MONOMER"	528.2
"EG11068-MONOMER"	249.5
"EG11071-MONOMER"	272.9
"EG11072-MONOMER"	685.9
"EG11073-MONOMER"	686.7
"EG11080-MONOMER"	621.0
"EG11081-MONOMER"	320.7
"EG11082-MONOMER"	556.1
"EG11083-MONOMER"	819.0
"EG11084-MONOMER"	735.8
"EG11085-MONOMER"	581.7
"EG11086-MONOMER"	520.5
"EG11088-MONOMER"	603.5
"EG11089-MONOMER"	246.5
"EG11090-MONOMER"	816.7
"EG11091-MONOMER"	323.6
"EG11092-MONOMER"	272.3
"EG11094-MONOMER"	607.4
"EG11096-MONOMER"	712.1
"EG11097-MONOMER"	87.0
"EG11099-MONOMER"	188.3
"EG11100-MONOMER"	458.2
"EG11101-MONOMER"	481.0
"EG11108-MONOMER"	307.0
"EG11110-MONOMER"	575.3
"EG11111-MONOMER"	20.0
"EG11116-MONOMER"	20.6
"EG11117-MONOMER"	774.5
"EG11118-MONOMER"	620.0
"EG11119-MONOMER"	450.0
"EG11121-MONOMER"	677.7
"EG11124-MONOMER"	821.6
"EG11125-MONOMER"	691.9
"EG11126-MONOMER"	687.9
"EG11128-MONOMER"	339.0
"EG11131-MONOMER"	408.4
"EG11132-MONOMER"	656.1
"EG11133-MONOMER"	37.6
"EG11134-MONOMER"	588.4
"EG11137-MONOMER"	454.8
"EG11139-MONOMER"	612.1
"EG11140-MONOMER"	249.6
"EG11145-MONOMER"	825.5
"EG11147-MONOMER"	640.5
"EG11149-MONOMER"	565.8
"EG11151-MONOMER"	166.1
"EG11153-MONOMER"	510.2
"EG11157-MONOMER"	426.5
"EG11158-MONOMER"	527.9
"EG11160-MONOMER"	769.5
"EG11162-MONOMER"	272.8
"EG11164-MONOMER"	377.0
"EG11165-MONOMER"	603.8
"EG11171-MONOMER"	535.4
"EG11177-MONOMER"	600.8
"EG11178-MONOMER"	659.2
"EG11179-MONOMER"	677.1
"EG11180-MONOMER"	824.0
"EG11182-MONOMER"	457.2
"EG11183-MONOMER"	559.8
"EG11187-MONOMER"	317.8
"EG11188-MONOMER"	664.4
"EG11189-MONOMER"	790.6
"EG11191-MONOMER"	645.3
"EG11192-MONOMER"	585.6
"EG11195-MONOMER"	606.8
"EG11199-MONOMER"	640.7
"EG11201-MONOMER"	183.6
"EG11202-MONOMER"	666.1
"EG11203-MONOMER"	691.0
"EG11210-MONOMER"	389.8
"EG11211-MONOMER"	481.9
"EG11212-MONOMER"	547.4
"EG11214-MONOMER"	233.9
"EG11217-MONOMER"	728.3
"EG11222-MONOMER"	146.2
"EG11232-MONOMER"	417.7
"EG11235-MONOMER"	921.1
"EG11236-MONOMER"	622.2
"EG11237-MONOMER"	735.4
"EG11238-MONOMER"	889.5
"EG11239-MONOMER"	272.4
"EG11241-MONOMER"	700.4
"EG11244-MONOMER"	789.3
"EG11246-MONOMER"	610.2
"EG11247-MONOMER"	550.7
"EG11249-MONOMER"	554.6
"EG11252-MONOMER"	689.7
"EG11253-MONOMER"	778.1
"EG11254-MONOMER"	645.7
"EG11255-MONOMER"	197.6
"EG11256-MONOMER"	515.4
"EG11259-MONOMER"	729.4
"EG11261-MONOMER"	592.6
"EG11268-MONOMER"	547.5
"EG11281-MONOMER"	583.7
"EG11285-MONOMER"	559.0
"EG11288-MONOMER"	587.5
"EG11289-MONOMER"	90.4
"EG11290-MONOMER"	673.1
"EG11291-MONOMER"	581.2
"EG11292-MONOMER"	567.8
"EG11293-MONOMER"	746.2
"EG11294-MONOMER"	655.3
"EG11295-MONOMER"	398.4
"EG11296-MONOMER"	589.1
"EG11298-MONOMER"	549.4
"EG11299-MONOMER"	538.4
"EG11305-MONOMER"	92.3
"EG11306-MONOMER"	156.8
"EG11309-MONOMER"	680.2
"EG11311-MONOMER"	437.8
"EG11315-MONOMER"	638.8
"EG11320-MONOMER"	560.6
"EG11323-MONOMER"	545.5
"EG11333-MONOMER"	446.7
"EG11338-MONOMER"	451.4
"EG11339-MONOMER"	506.9
"EG11340-MONOMER"	704.7
"EG11341-MONOMER"	720.1
"EG11344-MONOMER"	698.0
"EG11345-MONOMER"	611.1
"EG11350-MONOMER"	564.5
"EG11351-MONOMER"	683.2
"EG11352-MONOMER"	668.6
"EG11353-MONOMER"	634.0
"EG11354-MONOMER"	883.1
"EG11355-MONOMER"	218.5
"EG11357-MONOMER"	634.8
"EG11360-MONOMER"	366.9
"EG11361-MONOMER"	700.8
"EG11362-MONOMER"	225.6
"EG11371-MONOMER"	556.9
"EG11376-MONOMER"	673.6
"EG11378-MONOMER"	260.3
"EG11383-MONOMER"	666.9
"EG11384-MONOMER"	485.8
"EG11385-MONOMER"	452.3
"EG11390-MONOMER"	712.0
"EG11391-MONOMER"	495.6
"EG11394-MONOMER"	759.7
"EG11396-MONOMER"	694.8
"EG11404-MONOMER"	568.5
"EG11410-MONOMER"	471.3
"EG11412-MONOMER"	548.2
"EG11413-MONOMER"	647.7
"EG11415-MONOMER"	269.3
"EG11423-MONOMER"	712.2
"EG11425-MONOMER"	636.1
"EG11426-MONOMER"	122.8
"EG11430-MONOMER"	652.0
"EG11432-MONOMER"	503.1
"EG11433-MONOMER"	517.5
"EG11436-MONOMER"	719.0
"EG11437-MONOMER"	729.1
"EG11438-MONOMER"	529.8
"EG11440-MONOMER"	394.8
"EG11441-MONOMER"	561.9
"EG11447-MONOMER"	518.1
"EG11449-MONOMER"	602.9
"EG11450-MONOMER"	287.7
"EG11467-MONOMER"	343.6
"EG11470-MONOMER"	561.0
"EG11472-MONOMER"	469.4
"EG11474-MONOMER"	469.0
"EG11481-MONOMER"	543.5
"EG11484-MONOMER"	900.4
"EG11488-MONOMER"	826.4
"EG11494-MONOMER"	830.1
"EG11497-MONOMER"	585.0
"EG11500-MONOMER"	679.8
