"id"	"_comments"
"RXN-23909_ileV-tRNA"	"Noncanonical tRNA charging reaction that uses a tRNA-ATP complex"
"RXN-23909_ileX-tRNA"	"Noncanonical tRNA charging reaction that uses a tRNA-ATP complex"
"RXN-23909_RNA0-305"	"Noncanonical tRNA charging reaction that uses a tRNA-ATP complex"
"RXN-23910_alaT-tRNA"	"Noncanonical tRNA charging reaction that uses a tRNA-ATP complex"
"RXN-23910_alaU-tRNA"	"Noncanonical tRNA charging reaction that uses a tRNA-ATP complex"
"RXN-23910_alaV-tRNA"	"Noncanonical tRNA charging reaction that uses a tRNA-ATP complex"
"RXN-23910_alaW-tRNA"	"Noncanonical tRNA charging reaction that uses a tRNA-ATP complex"
"RXN-23910_alaX-tRNA"	"Noncanonical tRNA charging reaction that uses a tRNA-ATP complex"
"RXN-23911_glnU-tRNA"	"Noncanonical tRNA charging reaction that uses a tRNA-ATP complex"
"RXN-23911_glnV-tRNA"	"Noncanonical tRNA charging reaction that uses a tRNA-ATP complex"
"RXN-23911_glnW-tRNA"	"Noncanonical tRNA charging reaction that uses a tRNA-ATP complex"
"RXN-23911_glnX-tRNA"	"Noncanonical tRNA charging reaction that uses a tRNA-ATP complex"
"RXN-23912_selC-tRNA"	"Noncanonical tRNA charging reaction that uses a tRNA-ATP complex"
"RXN-23916_metW-tRNA"	"Noncanonical tRNA charging reaction that uses a tRNA-ATP complex"
"RXN-23916_metY-tRNA"	"Noncanonical tRNA charging reaction that uses a tRNA-ATP complex"
"RXN-23916_metZ-tRNA"	"Noncanonical tRNA charging reaction that uses a tRNA-ATP complex"
"RXN-23916_RNA0-306"	"Noncanonical tRNA charging reaction that uses a tRNA-ATP complex"
"RXN-23917_metT-tRNA"	"Noncanonical tRNA charging reaction that uses a tRNA-ATP complex"
"RXN-23917_metU-tRNA"	"Noncanonical tRNA charging reaction that uses a tRNA-ATP complex"
"RXN-23928_aspT-tRNA"	"Noncanonical tRNA charging reaction that uses a tRNA-ATP complex"
"RXN-23928_aspU-tRNA"	"Noncanonical tRNA charging reaction that uses a tRNA-ATP complex"
"RXN-23928_aspV-tRNA"	"Noncanonical tRNA charging reaction that uses a tRNA-ATP complex"
"RXN-23930_aspT-tRNA"	"Noncanonical tRNA charging reaction that uses a tRNA-ATP complex"
"RXN-23930_aspU-tRNA"	"Noncanonical tRNA charging reaction that uses a tRNA-ATP complex"
"RXN-23930_aspV-tRNA"	"Noncanonical tRNA charging reaction that uses a tRNA-ATP complex"
"RXN-23932_trpT-tRNA"	"Noncanonical tRNA charging reaction that uses a tRNA-ATP complex"
"RXN-23933_trpT-tRNA"	"Noncanonical tRNA charging reaction that uses a tRNA-ATP complex"
"RXN-23935_tyrT-tRNA"	"Noncanonical tRNA charging reaction that uses a tRNA-ATP complex"
"RXN-23935_tyrU-tRNA"	"Noncanonical tRNA charging reaction that uses a tRNA-ATP complex"
"RXN-23935_tyrV-tRNA"	"Noncanonical tRNA charging reaction that uses a tRNA-ATP complex"
"RXN-23936_tyrT-tRNA"	"Noncanonical tRNA charging reaction that uses a tRNA-ATP complex"
"RXN-23936_tyrU-tRNA"	"Noncanonical tRNA charging reaction that uses a tRNA-ATP complex"
"RXN-23936_tyrV-tRNA"	"Noncanonical tRNA charging reaction that uses a tRNA-ATP complex"
"RXN-23937_alaT-tRNA"	"Noncanonical tRNA charging reaction that uses a tRNA-ATP complex"
"RXN-23937_alaU-tRNA"	"Noncanonical tRNA charging reaction that uses a tRNA-ATP complex"
"RXN-23937_alaV-tRNA"	"Noncanonical tRNA charging reaction that uses a tRNA-ATP complex"
"RXN-23937_alaW-tRNA"	"Noncanonical tRNA charging reaction that uses a tRNA-ATP complex"
"RXN-23937_alaX-tRNA"	"Noncanonical tRNA charging reaction that uses a tRNA-ATP complex"
"RXN-23938_alaT-tRNA"	"Noncanonical tRNA charging reaction that uses a tRNA-ATP complex"
"RXN-23938_alaU-tRNA"	"Noncanonical tRNA charging reaction that uses a tRNA-ATP complex"
"RXN-23938_alaV-tRNA"	"Noncanonical tRNA charging reaction that uses a tRNA-ATP complex"
"RXN-23938_alaW-tRNA"	"Noncanonical tRNA charging reaction that uses a tRNA-ATP complex"
"RXN-23938_alaX-tRNA"	"Noncanonical tRNA charging reaction that uses a tRNA-ATP complex"
"RXN-23939_proK-tRNA"	"Noncanonical tRNA charging reaction that uses a tRNA-ATP complex"
"RXN-23939_proL-tRNA"	"Noncanonical tRNA charging reaction that uses a tRNA-ATP complex"
"RXN-23939_proM-tRNA"	"Noncanonical tRNA charging reaction that uses a tRNA-ATP complex"
"RXN-23940_proK-tRNA"	"Noncanonical tRNA charging reaction that uses a tRNA-ATP complex"
"RXN-23940_proL-tRNA"	"Noncanonical tRNA charging reaction that uses a tRNA-ATP complex"
"RXN-23940_proM-tRNA"	"Noncanonical tRNA charging reaction that uses a tRNA-ATP complex"
"RXN-23941_proK-tRNA"	"Noncanonical tRNA charging reaction that uses a tRNA-ATP complex"
"RXN-23941_proL-tRNA"	"Noncanonical tRNA charging reaction that uses a tRNA-ATP complex"
"RXN-23941_proM-tRNA"	"Noncanonical tRNA charging reaction that uses a tRNA-ATP complex"
"RXN-23942_proK-tRNA"	"Noncanonical tRNA charging reaction that uses a tRNA-ATP complex"
"RXN-23942_proL-tRNA"	"Noncanonical tRNA charging reaction that uses a tRNA-ATP complex"
"RXN-23942_proM-tRNA"	"Noncanonical tRNA charging reaction that uses a tRNA-ATP complex"
"RXN-23943_ileT-tRNA"	"Noncanonical tRNA charging reaction that uses a tRNA-ATP complex"
"RXN-23943_ileU-tRNA"	"Noncanonical tRNA charging reaction that uses a tRNA-ATP complex"
"RXN-23943_ileV-tRNA"	"Noncanonical tRNA charging reaction that uses a tRNA-ATP complex"
"RXN-23943_ileX-tRNA"	"Noncanonical tRNA charging reaction that uses a tRNA-ATP complex"
"RXN-23943_RNA0-305"	"Noncanonical tRNA charging reaction that uses a tRNA-ATP complex"
"RXN-23944_ileT-tRNA"	"Noncanonical tRNA charging reaction that uses a tRNA-ATP complex"
"RXN-23944_ileU-tRNA"	"Noncanonical tRNA charging reaction that uses a tRNA-ATP complex"
"RXN-23944_ileV-tRNA"	"Noncanonical tRNA charging reaction that uses a tRNA-ATP complex"
"RXN-23944_ileX-tRNA"	"Noncanonical tRNA charging reaction that uses a tRNA-ATP complex"
"RXN-23944_RNA0-305"	"Noncanonical tRNA charging reaction that uses a tRNA-ATP complex"
"RXN-23946_thrT-tRNA"	"Noncanonical tRNA charging reaction that uses a tRNA-ATP complex"
"RXN-23946_thrU-tRNA"	"Noncanonical tRNA charging reaction that uses a tRNA-ATP complex"
"RXN-23946_thrV-tRNA"	"Noncanonical tRNA charging reaction that uses a tRNA-ATP complex"
"RXN-23946_thrW-tRNA"	"Noncanonical tRNA charging reaction that uses a tRNA-ATP complex"
"RXN-23947_thrT-tRNA"	"Noncanonical tRNA charging reaction that uses a tRNA-ATP complex"
"RXN-23947_thrU-tRNA"	"Noncanonical tRNA charging reaction that uses a tRNA-ATP complex"
"RXN-23947_thrV-tRNA"	"Noncanonical tRNA charging reaction that uses a tRNA-ATP complex"
"RXN-23947_thrW-tRNA"	"Noncanonical tRNA charging reaction that uses a tRNA-ATP complex"
"RXN-23950_leuP-tRNA"	"Noncanonical tRNA charging reaction that uses a tRNA-ATP complex"
"RXN-23950_leuQ-tRNA"	"Noncanonical tRNA charging reaction that uses a tRNA-ATP complex"
"RXN-23950_leuT-tRNA"	"Noncanonical tRNA charging reaction that uses a tRNA-ATP complex"
"RXN-23950_leuU-tRNA"	"Noncanonical tRNA charging reaction that uses a tRNA-ATP complex"
"RXN-23950_leuV-tRNA"	"Noncanonical tRNA charging reaction that uses a tRNA-ATP complex"
"RXN-23950_leuW-tRNA"	"Noncanonical tRNA charging reaction that uses a tRNA-ATP complex"
"RXN-23950_leuX-tRNA"	"Noncanonical tRNA charging reaction that uses a tRNA-ATP complex"
"RXN-23950_leuZ-tRNA"	"Noncanonical tRNA charging reaction that uses a tRNA-ATP complex"
"RXN-23951_leuP-tRNA"	"Noncanonical tRNA charging reaction that uses a tRNA-ATP complex"
"RXN-23951_leuQ-tRNA"	"Noncanonical tRNA charging reaction that uses a tRNA-ATP complex"
"RXN-23951_leuT-tRNA"	"Noncanonical tRNA charging reaction that uses a tRNA-ATP complex"
"RXN-23951_leuU-tRNA"	"Noncanonical tRNA charging reaction that uses a tRNA-ATP complex"
"RXN-23951_leuV-tRNA"	"Noncanonical tRNA charging reaction that uses a tRNA-ATP complex"
"RXN-23951_leuW-tRNA"	"Noncanonical tRNA charging reaction that uses a tRNA-ATP complex"
"RXN-23951_leuX-tRNA"	"Noncanonical tRNA charging reaction that uses a tRNA-ATP complex"
"RXN-23951_leuZ-tRNA"	"Noncanonical tRNA charging reaction that uses a tRNA-ATP complex"
"RXN-23953_RNA0-300"	"Noncanonical tRNA charging reaction that uses a tRNA-ATP complex"
"RXN-23953_valT-tRNA"	"Noncanonical tRNA charging reaction that uses a tRNA-ATP complex"
"RXN-23953_valU-tRNA"	"Noncanonical tRNA charging reaction that uses a tRNA-ATP complex"
"RXN-23953_valV-tRNA"	"Noncanonical tRNA charging reaction that uses a tRNA-ATP complex"
"RXN-23953_valW-tRNA"	"Noncanonical tRNA charging reaction that uses a tRNA-ATP complex"
