# Generated by /Users/noravivancogonzalez/code/wcEcoli/reconstruction/ecoli/scripts/protein_half_lives/convert_gupta_et_al_to_flat.py on Tue May 14 15:22:08 2024
"id"	"half_life (units.min)"
"1-ACYLGLYCEROL-3-P-ACYLTRANSFER-MONOMER"	49.3
"1-PFK-MONOMER"	42.9
"2-DEHYDROPANTOATE-REDUCT-MONOMER"	42.6
"2-ISOPROPYLMALATESYN-MONOMER"	42.6
"2-OCTAPRENYL-METHOXY-BENZOQ-METH-MONOMER"	38.7
"2-OCTAPRENYLPHENOL-HYDROX-MONOMER"	87.1
"3-CH3-2-OXOBUTANOATE-OH-CH3-XFER-MONOMER"	46.5
"3-ISOPROPYLMALDEHYDROG-MONOMER"	52.0
"3-OXOACYL-ACP-REDUCT-MONOMER"	54.9
"3-OXOACYL-ACP-SYNTHII-MONOMER"	42.9
"4OHBENZOATE-OCTAPRENYLTRANSFER-MONOMER"	32.9
"6PFK-1-MONOMER"	58.9
"6PFK-2-MONOMER"	54.7
"6PGLUCONDEHYDROG-MONOMER"	51.0
"6PGLUCONOLACT-MONOMER"	50.8
"7-ALPHA-HYDROXYSTEROID-DEH-MONOMER"	42.2
"7KAPSYN-MONOMER"	68.4
"AAS-MONOMER"	45.9
"ABC-MONOMER"	51.8
"ACETATEKINA-MONOMER"	64.0
"ACETOLACTSYNIII-HCHAIN-MONOMER"	54.5
"ACETOLACTSYNIII-ICHAIN-MONOMER"	46.8
"ACETYLGLUTKIN-MONOMER"	43.3
"ACETYLORNDEACET-MONOMER"	45.8
"ACETYLORNTRANSAM-MONOMER"	55.8
"ACNEULY-MONOMER"	48.9
"ACONITASE-MONOMER"	48.1
"ACONITATEDEHYDRB-MONOMER"	40.9
"ACRB-MONOMER"	54.2
"ACRD-MONOMER"	39.0
"ACS-MONOMER"	45.2
"ACSERLYA-MONOMER"	44.0
"ACSERLYB-MONOMER"	47.8
"ACYLCOADEHYDROG-MONOMER"	37.0
"ACYLCOASYN-MONOMER"	34.2
"ADCLY-MONOMER"	78.5
"ADENODEAMIN-MONOMER"	52.0
"ADENPRIBOSYLTRAN-MONOMER"	35.9
"ADENYL-KIN-MONOMER"	59.0
"ADENYLATECYC-MONOMER"	33.6
"ADENYLOSUCCINATE-SYN-MONOMER"	44.4
"ADENYLYLSULFKIN-MONOMER"	39.5
"ADHC-MONOMER"	44.8
"ADHE-MONOMER"	42.7
"AERGLYC3PDEHYDROG-MONOMER"	36.8
"AGAB-MONOMER"	39.2
"AGAX-MONOMER"	21.5
"AGMATIN-MONOMER"	40.4
"AICARTRANSIMPCYCLO-CPLX"	49.5
"AIRS-MONOMER"	47.6
"AKBLIG-MONOMER"	66.2
"ALARACEBIOSYN-MONOMER"	46.2
"ALARACECAT-MONOMER"	41.1
"ALAS-MONOMER"	45.6
"ALDDEHYDROGB-MONOMER"	43.1
"ALDHDEHYDROG-MONOMER"	77.9
"ALDOSE1EPIM-MONOMER"	44.5
"ALKAPHOSPHA-MONOMER"	42.0
"ALPHA-AMYL-CYTO-MONOMER"	44.3
"ALPHACOMP-MONOMER"	45.4
"ALPHAGALACTOSID-MONOMER"	33.9
"ALTRO-OXIDOREDUCT-MONOMER"	68.2
"ALTRODEHYDRAT-MONOMER"	79.3
"AMP-NUCLEOSID-MONOMER"	44.2
"AMTB-MONOMER"	33.4
"AMYLOMALT-MONOMER"	81.8
"ANSA-MONOMER"	45.3
"ANSB-MONOMER"	61.9
"ANSP-MONOMER"	45.7
"ANTHRANSYNCOMPI-MONOMER"	46.1
"APHA-MONOMER"	81.4
"APPA-MONOMER"	39.9
"ARABISOM-MONOMER"	83.2
"ARAF-MONOMER"	38.0
"ARAG-MONOMER"	39.5
"ARCA-MONOMER"	43.4
"ARCB-MONOMER"	42.2
"ARGDECARBOXBIO-MONOMER"	43.2
"ARGDECARBOXDEG-MONOMER"	61.0
"ARGS-MONOMER"	41.7
"ARGSUCCINLYA-MONOMER"	53.0
"ARGSUCCINSYN-MONOMER"	44.9
"ARGT-MONOMER"	53.2
"AROA-MONOMER"	52.6
"AROB-MONOMER"	60.7
"AROC-MONOMER"	42.8
"AROD-MONOMER"	40.9
"AROE-MONOMER"	43.2
"AROF-MONOMER"	36.1
"AROG-MONOMER"	53.3
"AROH-MONOMER"	72.9
"AROK-MONOMER"	48.9
"AROL-MONOMER"	42.0
"AROP-MONOMER"	41.1
"ARTI-MONOMER"	49.6
"ARTJ-MONOMER"	47.4
"ARTP-MONOMER"	46.8
"ARTQ-MONOMER"	44.2
"ASL-MONOMER"	45.9
"ASNS-MONOMER"	60.4
"ASNSYNA-MONOMER"	41.1
"ASNSYNB-MONOMER"	46.0
"ASP-SEMIALDEHYDE-DEHYDROGENASE-MONOMER"	49.2
"ASPAMINOTRANS-MONOMER"	47.2
"ASPARTASE-MONOMER"	44.0
"ASPCARBCAT-MONOMER"	36.7
"ASPCARBREG-MONOMER"	77.4
"ASPDECARBOX-MONOMER"	32.7
"ASPKINIHOMOSERDEHYDROGI-MONOMER"	48.1
"ASPKINIIHOMOSERDEHYDROGII-MONOMER"	46.4
"ASPKINIII-MONOMER"	49.2
"ASPS-MONOMER"	47.8
"ATOC-MONOMER"	120.0
"ATPA-MONOMER"	47.4
"ATPB-MONOMER"	36.9
"ATPC-MONOMER"	47.7
"ATPD-MONOMER"	48.9
"ATPE-MONOMER"	36.9
"ATPF-MONOMER"	44.8
"ATPG-MONOMER"	49.7
"ATPH-MONOMER"	51.6
"ATPPHOSRIBOSTRANS-MONOMER"	47.0
"B0260-MONOMER"	40.2
"B0427-MONOMER"	40.5
"B0899-MONOMER"	71.7
"B1634-MONOMER"	44.9
"B2075-MONOMER"	51.9
"B2076-MONOMER"	47.0
"B4141-MONOMER"	46.2
"BADH-MONOMER"	44.0
"BAER-MONOMER"	51.9
"BAES-MONOMER"	46.7
"BARA-MONOMER"	81.9
"BASR-MONOMER"	42.4
"BASS-MONOMER"	40.9
"BCCP-MONOMER"	51.6
"BETACOMP-MONOMER"	46.9
"BETAGALACTOSID-MONOMER"	43.5
"BETT-MONOMER"	47.4
"BIOTIN-CARBOXYL-MONOMER"	43.9
"BIOTIN-SYN-MONOMER"	30.7
"BIOTINLIG-MONOMER"	37.8
"BRANCHED-CHAINAMINOTRANSFER-MONOMER"	48.3
"BRNQ-MONOMER"	35.3
"BTUD-MONOMER"	32.6
"BTUE-MONOMER"	82.2
"CAIC-MONOMER"	39.3
"CARBOXYL-TRANSFERASE-ALPHA-MONOMER"	43.9
"CARBOXYL-TRANSFERASE-BETA-MONOMER"	43.9
"CARBPSYN-LARGE"	43.5
"CARBPSYN-SMALL"	44.5
"CARDIOLIPSYN-MONOMER"	44.0
"CARNDEHYDRA-MONOMER"	29.5
"CARNRACE-MONOMER"	41.8
"CCME-MONOMER"	41.6
"CDPDIGLYPYPHOSPHA-MONOMER"	47.3
"CELA-MONOMER"	40.1
"CELC-MONOMER"	31.9
"CFA-MONOMER"	24.6
"CHAINI-MONOMER"	55.4
"CHD-MONOMER"	54.6
"CHEB-MONOMER"	56.1
"CHER-MONOMER"	32.8
"CHEW-MONOMER"	33.9
"CHEY-MONOMER"	43.8
"CHEZ-MONOMER"	35.0
"CHORISMUTPREPHENDEHYDRAT-MONOMER"	38.5
"CHORISMUTPREPHENDEHYDROG-MONOMER"	81.4
"CHORPYRLY-MONOMER"	36.7
"CITSYN-MONOMER"	55.1
"CMPKI-MONOMER"	40.3
"COBALADENOSYLTRANS-MONOMER"	40.9
"COBS-MONOMER"	41.3
"COBU-MONOMER"	37.0
"CODB-MONOMER"	45.8
"COPROGENOXI-MONOMER"	46.7
"CORA-MONOMER"	38.8
"CPDB-MONOMER"	49.5
"CPM-KDOSYNTH-MONOMER"	47.6
"CPXA-MONOMER"	41.0
"CPXR-MONOMER"	45.4
"CREB-MONOMER"	43.0
"CREC-MONOMER"	79.3
"CROBETREDUCT-MONOMER"	63.7
"CRR-MONOMER"	45.9
"CTPSYN-MONOMER"	51.8
"CYCA-MONOMER"	37.2
"CYCLASE-MONOMER"	46.8
"CYDA-MONOMER"	55.5
"CYDC-MONOMER"	38.9
"CYDD-MONOMER"	57.8
"CYOA-MONOMER"	39.5
"CYOB-MONOMER"	39.2
"CYSA-MONOMER"	38.6
"CYSD-MONOMER"	41.8
"CYSN-MONOMER"	42.7
"CYSP-MONOMER"	74.4
"CYSS-MONOMER"	41.3
"CYST-MONOMER"	40.5
"CYSTATHIONINE-BETA-LYASE-MONOMER"	39.0
"CYSW-MONOMER"	43.4
"CYTDEAM-MONOMER"	83.4
"CYTIDEAM-MONOMER"	84.1
"CYTOCHROME-B561-MONOMER"	35.3
"CYTOCHROMEC552-MONOMER"	36.5
"DALADALALIGA-MONOMER"	39.8
"DALADALALIGB-MONOMER"	54.1
"DALADEHYDROGA-MONOMER"	30.7
"DAPASYN-MONOMER"	53.4
"DCTA-MONOMER"	46.8
"DCTP-DEAM-MONOMER"	41.8
"DCUA-MONOMER"	44.6
"DCUR-MONOMER"	33.4
"DCUS-MONOMER"	41.6
"DCYSDESULF-MONOMER"	41.4
"DEOA-MONOMER"	49.7
"DEOD-MONOMER"	43.9
"DEOXYGLUCONOKIN-MONOMER"	77.0
"DEOXYRIBOSE-P-ALD-MONOMER"	43.5
"DETHIOBIOTIN-SYN-MONOMER"	45.9
"DGTPTRIPHYDRO-MONOMER"	44.7
"DHHB-METHYLTRANSFER-MONOMER"	46.5
"DIACYLGLYKIN-MONOMER"	82.3
"DIAMINOPIMDECARB-MONOMER"	79.0
"DIAMINOPIMEPIM-MONOMER"	59.0
"DIENOYLCOAREDUCT-MONOMER"	60.4
"DIHYDRODIPICSYN-MONOMER"	52.5
"DIHYDROFOLATEREDUCT-MONOMER"	43.5
"DIHYDROOROT-MONOMER"	58.1
"DIHYDROOROTOX-MONOMER"	43.9
"DIHYDROPICRED-MONOMER"	42.2
"DIHYDROPTERIREDUCT-MONOMER"	42.9
"DIHYDROXYACIDDEHYDRAT-MONOMER"	50.2
"DIOHBUTANONEPSYN-MONOMER"	34.0
"DISULFOXRED-MONOMER"	48.9
"DLACTDEHYDROGFAD-MONOMER"	51.9
"DLACTDEHYDROGNAD-MONOMER"	48.6
"DMBPPRIBOSYLTRANS-MONOMER"	46.8
"DMK-MONOMER"	39.9
"DMSA-MONOMER"	26.3
"DPPA-MONOMER"	48.7
"DPPB-MONOMER"	43.5
"DPPC-MONOMER"	40.0
"DPPD-MONOMER"	99.6
"DPPF-MONOMER"	45.0
"DSBC-MONOMER"	53.9
"DSBD-MONOMER"	40.9
"DSBG-MONOMER"	54.1
"DSERDEAM-MONOMER"	44.7
"DTDPGLUCDEHYDRAT2-MONOMER"	42.3
"DTDPGLUCOSEPP2-MONOMER"	55.4
"DTMPKI-MONOMER"	38.7
"DUTP-PYROP-MONOMER"	82.8
"DXPREDISOM-MONOMER"	51.9
"DXS-MONOMER"	60.3
"E1O-MONOMER"	41.8
"E1P-MONOMER"	43.7
"E2O-MONOMER"	47.7
"E2P-MONOMER"	48.6
"E3-MONOMER"	46.4
"EG10003-MONOMER"	36.5
"EG10011-MONOMER"	47.8
"EG10013-MONOMER"	8.1
"EG10015-MONOMER"	39.5
"EG10018-MONOMER"	46.5
"EG10021-MONOMER"	44.1
"EG10040-MONOMER"	42.0
"EG10041-MONOMER"	40.7
"EG10042-MONOMER"	41.8
"EG10043-MONOMER"	43.4
"EG10044-MONOMER"	39.2
"EG10047-MONOMER"	33.3
"EG10048-MONOMER"	46.5
"EG10083-MONOMER"	39.5
"EG10085-MONOMER"	64.5
"EG10087-MONOMER"	39.4
"EG10108-MONOMER"	43.5
"EG10113-MONOMER"	38.3
"EG10119-MONOMER"	97.4
"EG10122-MONOMER"	66.5
"EG10124-MONOMER"	44.4
"EG10126-MONOMER"	42.0
"EG10136-MONOMER"	41.7
"EG10153-MONOMER"	78.7
"EG10154-MONOMER"	43.6
"EG10155-MONOMER"	75.0
"EG10156-MONOMER"	30.7
"EG10158-MONOMER"	47.6
"EG10159-MONOMER"	38.0
"EG10167-MONOMER"	78.8
"EG10168-MONOMER"	46.4
"EG10201-MONOMER"	46.3
"EG10202-MONOMER"	45.8
"EG10203-MONOMER"	44.8
"EG10204-MONOMER"	41.5
"EG10210-MONOMER"	56.9
"EG10211-MONOMER"	80.7
"EG10212-MONOMER"	45.0
"EG10215-MONOMER"	38.3
"EG10216-MONOMER"	42.0
"EG10218-MONOMER"	33.6
"EG10226-MONOMER"	28.4
"EG10229-MONOMER"	41.7
"EG10230-MONOMER"	37.1
"EG10236-MONOMER"	48.0
"EG10237-MONOMER"	55.6
"EG10238-MONOMER"	39.6
"EG10239-MONOMER"	41.6
"EG10240-MONOMER"	43.3
"EG10241-MONOMER"	50.0
"EG10242-MONOMER"	52.3
"EG10243-MONOMER"	24.3
"EG10244-MONOMER"	42.6
"EG10246-MONOMER"	7.3
"EG10255-MONOMER"	42.8
"EG10266-MONOMER"	47.5
"EG10270-MONOMER"	41.8
"EG10271-MONOMER"	33.8
"EG10272-MONOMER"	34.4
"EG10280-MONOMER"	45.8
"EG10284-MONOMER"	40.8
"EG10286-MONOMER"	43.2
"EG10292-MONOMER"	27.3
"EG10293-MONOMER"	50.2
"EG10299-MONOMER"	40.5
"EG10300-MONOMER"	44.5
"EG10302-MONOMER"	47.0
"EG10306-MONOMER"	44.2
"EG10307-MONOMER"	61.8
"EG10309-MONOMER"	42.5
"EG10310-MONOMER"	46.7
"EG10311-MONOMER"	42.2
"EG10313-MONOMER"	34.9
"EG10315-MONOMER"	34.2
"EG10320-MONOMER"	19.8
"EG10321-MONOMER"	21.4
"EG10322-MONOMER"	39.0
"EG10329-MONOMER"	39.8
"EG10335-MONOMER"	39.0
"EG10339-MONOMER"	52.8
"EG10341-MONOMER"	53.8
"EG10342-MONOMER"	38.5
"EG10343-MONOMER"	69.0
"EG10344-MONOMER"	36.4
"EG10346-MONOMER"	48.4
"EG10347-MONOMER"	31.3
"EG10355-MONOMER"	53.3
"EG10360-MONOMER"	45.7
"EG10370-MONOMER"	45.3
"EG10374-MONOMER"	42.8
"EG10375-MONOMER"	36.5
"EG10376-MONOMER"	59.2
"EG10381-MONOMER"	47.2
"EG10397-MONOMER"	42.7
"EG10415-MONOMER"	44.1
"EG10416-MONOMER"	43.7
"EG10423-MONOMER"	46.6
"EG10424-MONOMER"	52.1
"EG10426-MONOMER"	61.8
"EG10434-MONOMER"	41.0
"EG10435-MONOMER"	42.2
"EG10436-MONOMER"	47.3
"EG10437-MONOMER"	40.0
"EG10438-MONOMER"	30.0
"EG10439-MONOMER"	9.7
"EG10442-MONOMER"	26.4
"EG10443-MONOMER"	55.4
"EG10454-MONOMER"	46.0
"EG10455-MONOMER"	62.7
"EG10456-MONOMER"	47.2
"EG10458-MONOMER"	39.8
"EG10459-MONOMER"	44.7
"EG10460-MONOMER"	73.5
"EG10461-MONOMER"	50.8
"EG10462-MONOMER"	37.8
"EG10463-MONOMER"	46.3
"EG10466-MONOMER"	37.7
"EG10467-MONOMER"	38.2
"EG10481-MONOMER"	43.7
"EG10484-MONOMER"	37.6
"EG10486-MONOMER"	40.0
"EG10487-MONOMER"	37.1
"EG10488-MONOMER"	39.6
"EG10490-MONOMER"	46.2
"EG10504-MONOMER"	32.8
"EG10506-MONOMER"	44.6
"EG10523-MONOMER"	48.4
"EG10528-MONOMER"	48.0
"EG10529-MONOMER"	46.5
"EG10530-MONOMER"	53.2
"EG10534-MONOMER"	42.0
"EG10542-MONOMER"	44.1
"EG10544-MONOMER"	44.6
"EG10559-MONOMER"	42.0
"EG10564-MONOMER"	54.8
"EG10570-MONOMER"	48.3
"EG10571-MONOMER"	43.5
"EG10572-MONOMER"	42.7
"EG10573-MONOMER"	36.6
"EG10575-MONOMER"	42.4
"EG10580-MONOMER"	40.9
"EG10595-MONOMER"	41.0
"EG10596-MONOMER"	54.1
"EG10597-MONOMER"	53.0
"EG10598-MONOMER"	34.0
"EG10599-MONOMER"	49.0
"EG10600-MONOMER"	45.7
"EG10603-MONOMER"	47.7
"EG10606-MONOMER"	72.4
"EG10607-MONOMER"	41.0
"EG10608-MONOMER"	51.3
"EG10609-MONOMER"	36.0
"EG10611-MONOMER"	42.3
"EG10612-MONOMER"	63.6
"EG10613-MONOMER"	55.7
"EG10618-MONOMER"	41.8
"EG10624-MONOMER"	44.8
"EG10625-MONOMER"	53.4
"EG10626-MONOMER"	83.3
"EG10627-MONOMER"	42.2
"EG10651-MONOMER"	34.6
"EG10657-MONOMER"	38.7
"EG10658-MONOMER"	45.5
"EG10662-MONOMER"	54.1
"EG10665-MONOMER"	48.8
"EG10666-MONOMER"	47.8
"EG10667-MONOMER"	41.9
"EG10668-MONOMER"	41.8
"EG10669-MONOMER"	56.6
"EG10670-MONOMER"	51.2
"EG10671-MONOMER"	49.2
"EG10673-MONOMER"	45.0
"EG10680-MONOMER"	52.7
"EG10684-MONOMER"	70.2
"EG10686-MONOMER"	48.1
"EG10687-MONOMER"	44.6
"EG10689-MONOMER"	45.0
"EG10690-MONOMER"	44.0
"EG10694-MONOMER"	44.2
"EG10695-MONOMER"	41.8
"EG10696-MONOMER"	41.7
"EG10697-MONOMER"	53.7
"EG10698-MONOMER"	44.4
"EG10724-MONOMER"	38.6
"EG10725-MONOMER"	40.7
"EG10735-MONOMER"	53.9
"EG10743-MONOMER"	45.7
"EG10746-MONOMER"	45.9
"EG10748-MONOMER"	44.2
"EG10757-MONOMER"	44.5
"EG10758-MONOMER"	47.4
"EG10760-MONOMER"	40.9
"EG10761-MONOMER"	59.3
"EG10762-MONOMER"	46.3
"EG10763-MONOMER"	47.9
"EG10764-MONOMER"	47.6
"EG10765-MONOMER"	41.8
"EG10776-MONOMER"	81.1
"EG10777-MONOMER"	43.4
"EG10778-MONOMER"	40.7
"EG10780-MONOMER"	42.6
"EG10785-MONOMER"	45.2
"EG10786-MONOMER"	61.0
