"id"	"type"	"modified_forms"	"gene_set"	"monomer_set"
"RRFA-RRNA"	"rRNA"	[]	["EG30070"]	[]
"RRFB-RRNA"	"rRNA"	[]	["EG30071"]	[]
"RRFC-RRNA"	"rRNA"	[]	["EG30072"]	[]
"RRFD-RRNA"	"rRNA"	[]	["EG30073"]	[]
"RRFE-RRNA"	"rRNA"	[]	["EG30074"]	[]
"RRFF-RRNA"	"rRNA"	[]	["EG30091"]	[]
"RRFG-RRNA"	"rRNA"	[]	["EG30075"]	[]
"RRFH-RRNA"	"rRNA"	[]	["EG30076"]	[]
"RRLA-RRNA"	"rRNA"	[]	["EG30077"]	[]
"RRLB-RRNA"	"rRNA"	[]	["EG30078"]	[]
"RRLC-RRNA"	"rRNA"	[]	["EG30079"]	[]
"RRLD-RRNA"	"rRNA"	[]	["EG30080"]	[]
"RRLE-RRNA"	"rRNA"	[]	["EG30081"]	[]
"RRLG-RRNA"	"rRNA"	[]	["EG30082"]	[]
"RRLH-RRNA"	"rRNA"	[]	["EG30083"]	[]
"RRSA-RRNA"	"rRNA"	[]	["EG30084"]	[]
"RRSB-RRNA"	"rRNA"	[]	["EG30085"]	[]
"RRSC-RRNA"	"rRNA"	[]	["EG30086"]	[]
"RRSD-RRNA"	"rRNA"	[]	["EG30087"]	[]
"RRSE-RRNA"	"rRNA"	[]	["EG30088"]	[]
"RRSG-RRNA"	"rRNA"	[]	["EG30089"]	[]
"RRSH-RRNA"	"rRNA"	[]	["EG30090"]	[]
"RYBA-RNA"	"miscRNA"	[]	["G0-8881"]	[]
"RYBB-RNA"	"miscRNA"	[]	["G0-8880"]	[]
"RYDB-RNA"	"miscRNA"	[]	["G0-8876"]	[]
"RYEA-RNA"	"miscRNA"	[]	["G0-8865"]	[]
"RYEB-RNA"	"miscRNA"	[]	["G0-8883"]	[]
"RYEC-RNA"	"miscRNA"	[]	["G0-8884"]	[]
"RYED-RNA"	"miscRNA"	[]	["G0-8885"]	[]
"RYEE-RNA"	"miscRNA"	[]	["G0-8878"]	[]
"RYFA-RNA"	"miscRNA"	[]	["G0-8879"]	[]
"RYGB-RNA"	"miscRNA"	[]	["G0-8882"]	[]
"RYGC-RNA"	"miscRNA"	[]	["G0-8886"]	[]
"SPF-RNA"	"miscRNA"	[]	["EG30098"]	[]
"SRAA-RNA"	"miscRNA"	[]	["G0-8861"]	[]
"SRAB-RNA"	"miscRNA"	[]	["G0-8862"]	[]
"SRAD-RNA"	"miscRNA"	[]	["G0-8866"]	[]
"SRAE-RNA"	"miscRNA"	[]	["G0-8868"]	[]
"SRAG-RNA"	"miscRNA"	[]	["G0-8870"]	[]
"SRAH-RNA"	"miscRNA"	[]	["G0-8871"]	[]
"SRAI-RNA"	"miscRNA"	[]	["G0-8872"]	[]
"SRAJ-RNA"	"miscRNA"	[]	["G0-8873"]	[]
"SRAL-RNA"	"miscRNA"	[]	["G0-8875"]	[]
"SSRA-RNA"	"miscRNA"	[]	["EG30100"]	[]
"T44-RNA"	"miscRNA"	[]	["G0-8895"]	[]
"TKE1-RNA"	"miscRNA"	[]	["G0-8910"]	[]
"TKE8-RNA"	"miscRNA"	[]	["G0-8901"]	[]
"TP2-RNA"	"miscRNA"	[]	["G0-8894"]	[]
"TPKE11-RNA"	"miscRNA"	[]	["G0-8893"]	[]
"TPKE70-RNA"	"miscRNA"	[]	["G0-8906"]	[]
