"doublingTime (units.min)"	"fractionActiveRnap"	"stableRnaPerTotalRnaSynthesized"	"fractionActiveRnapSynthesizingStableRna"	"ratioRProteinToTotalProtein"	"distanceBetweenRibosomesOnMRna (units.nt)"	"dnaPolymeraseElongationRate (units.nt/units.s)"	"ribosomeElongationRate (units.aa/units.s)"	"rnaPolymeraseElongationRate (units.nt/units.s)"
100	0.17	0.41	0.24	0.09	79	585	12	39
60	0.20	0.52	0.36	0.114	85	783	16	45
40	0.21	0.68	0.56	0.148	65	870	18	50
30	0.24	0.78	0.68	0.175	52	911	20	52
24	0.30	0.85	0.79	0.211	41	933	21	55
