# Generated by /Users/miagrahn/wcEcoli/reconstruction/ecoli/scripts/protein_half_lives/convert_clim_half_lives_to_flat.py on Sat Feb  7 18:27:48 2026
id	common_name	half_life (units.min)
"DALADALALIGB-MONOMER"	"ddlB"	720.0
"THREODEHYD-MONOMER"	"tdh"	720.0
"LARGEILVB-MONOMER"	"ilvB"	390.8045523935206
"AIRS-MONOMER"	"purM"	720.0
"GART-MONOMER"	"purN"	720.0
"FOLC-MONOMER"	"folC"	720.0
"ISOCITDEH-SUBUNIT"	"icd"	720.0
"ARABISOM-MONOMER"	"araA"	720.0
"EG11128-MONOMER"	"yciH"	303.24437128827367
"EG10626-MONOMER"	"mutT"	720.0
"CREB-MONOMER"	"creB"	720.0
"EG11059-MONOMER"	"usg"	720.0
"EG10824-MONOMER"	"recB"	554.4654333037375
"EG10968-MONOMER"	"sppA"	720.0
"EG10240-MONOMER"	"dnaJ"	720.0
"ASPKINIII-MONOMER"	"lysC"	720.0
"PTSI-MONOMER"	"ptsI"	720.0
"EG10459-MONOMER"	"hsdR"	720.0
"EG10458-MONOMER"	"hsdM"	720.0
"MALATE-SYNTHASE"	"aceB"	393.9392118535511
"EG11073-MONOMER"	"xthA"	720.0
"VALINE-PYRUVATE-AMINOTRANSFER-MONOMER"	"avtA"	720.0
"XYLULOKIN-MONOMER"	"xylB"	720.0
"UROGENIIISYN-MONOMER"	"hemD"	720.0
"HEMX-MONOMER"	"hemX"	720.0
"2-ISOPROPYLMALATESYN-MONOMER"	"leuA"	545.5366189953074
"EG10673-MONOMER"	"ompT"	720.0
"MOTA-FLAGELLAR-MOTOR-STATOR-PROTEIN"	"motA"	146.53986099580854
"EG10416-MONOMER"	"grpE"	720.0
"PYRUVFORMLY-MONOMER"	"pflB"	364.27408806541786
"MANNPDEHYDROG-MONOMER"	"mtlD"	720.0
"PUTA-MONOMER"	"putA"	401.5468147312121
"EG10218-MONOMER"	"dedD"	720.0
"ARGT-MONOMER"	"argT"	720.0
"GLUSYNLARGE-MONOMER"	"gltB"	720.0
"GLUSYNSMALL-MONOMER"	"gltD"	720.0
"MODC-MONOMER"	"modC"	720.0
"UHPB-MONOMER"	"uhpB"	720.0
"EG10837-MONOMER"	"rep"	395.7246873743585
"EG11061-MONOMER"	"uvrA"	720.0
"2-OCTAPRENYLPHENOL-HYDROX-MONOMER"	"ubiB"	720.0
"ACETATEKINA-MONOMER"	"ackA"	720.0
"LEUC-MONOMER"	"leuC"	311.6149013268195
"EG50003-MONOMER"	"acpP"	720.0
"ALARACEBIOSYN-MONOMER"	"alr"	720.0
"G7325-MONOMER"	"iscS"	324.71276050627256
"EG10651-MONOMER"	"nfo"	253.9604294456348
"N-ACETYLTRANSFER-MONOMER"	"argA"	394.91992312586433
"ACETYLGLUTKIN-MONOMER"	"argB"	720.0
"AROA-MONOMER"	"aroA"	720.0
"AROK-MONOMER"	"aroK"	551.0945667601703
"AROL-MONOMER"	"aroL"	720.0
"ARGSUCCINSYN-MONOMER"	"argG"	720.0
"ATPC-MONOMER"	"atpC"	720.0
"G6851-MONOMER"	"bidA"	469.98304189989034
"GLYCEROL-KIN-MONOMER"	"glpK"	720.0
"EG10159-MONOMER"	"clpX"	169.12840923826457
"EG11881-MONOMER"	"hslU"	720.0
"CMPKI-MONOMER"	"cmk"	720.0
"PANTOTHENATE-KIN-MONOMER"	"coaA"	720.0
"PANTEPADENYLYLTRAN-MONOMER"	"coaD"	720.0
"DALADEHYDROGA-MONOMER"	"dadA"	113.75462564785656
"DIAMINOPIMEPIM-MONOMER"	"dapF"	720.0
"EG11440-MONOMER"	"def"	720.0
"PPENTOMUT-MONOMER"	"deoB"	720.0
"DEOXYRIBOSE-P-ALD-MONOMER"	"deoC"	720.0
"ACNEULY-MONOMER"	"nanA"	652.1996005207895
"ALTRO-OXIDOREDUCT-MONOMER"	"uxaB"	720.0
"EG11852-MONOMER"	"dtd"	720.0
"EG10360-MONOMER"	"fusA"	720.0
"EG12099-MONOMER"	"efp"	720.0
"EG11033-MONOMER"	"tsf"	720.0
"G7319-MONOMER"	"der"	720.0
"EG11203-MONOMER"	"yihA"	720.0
"ENOLASE-MONOMER"	"eno"	720.0
"FABH-MONOMER"	"fabH"	720.0
"PD00196"	"fis"	49.83800651303756
"FLGH-FLAGELLAR-L-RING"	"flgH"	720.0
"FLGI-FLAGELLAR-P-RING"	"flgI"	720.0
"G7424-MONOMER"	"ftsB"	720.0
"GLYC3PDEHYDROGBIOSYN-MONOMER"	"gpsA"	720.0
"GTP-CYCLOHYDRO-I-MONOMER"	"folE"	529.8084448884307
"EG10375-MONOMER"	"mnmG"	246.7004978282231
"GLUCOKIN-MONOMER"	"glk"	720.0
"G6810-MONOMER"	"glsB"	720.0
"PHOSNACMURPENTATRANS-MONOMER"	"mraY"	720.0
"EG10415-MONOMER"	"greA"	720.0
"GLUTCYSLIG-MONOMER"	"gshA"	720.0
"GLUTRNAREDUCT-MONOMER"	"hemA"	186.94485726926038
"PD00348"	"ihfB"	720.0
"G7744-MONOMER"	"hslO"	483.47419789105675
"EG10241-MONOMER"	"dnaK"	720.0
"EG12130-MONOMER"	"hscA"	720.0
"EG10461-MONOMER"	"htpG"	720.0
"EG10505-MONOMER"	"infB"	720.0
"EG10506-MONOMER"	"infC"	720.0
"KDO-8PSYNTH-MONOMER"	"kdsA"	720.0
"PRPPSYN-MONOMER"	"prs"	720.0
"DTMPKI-MONOMER"	"tmk"	720.0
"UDPNACETYLGLUCOSAMACYLTRANS-MONOMER"	"lpxA"	720.0
"UDPACYLGLCNACDEACETYL-MONOMER"	"lpxC"	66.52432940748227
"EG11438-MONOMER"	"yceF"	720.0
"METHGLYSYN-MONOMER"	"mgsA"	720.0
"EG10598-MONOMER"	"minE"	510.4746663006678
"EG11666-MONOMER"	"moaC"	720.0
"EG11433-MONOMER"	"msrA"	651.5401176020496
"EG12394-MONOMER"	"msrB"	667.1533857409684
"G7717-MONOMER"	"kefG"	720.0
"GLUCOSAMINE-6-P-DEAMIN-MONOMER"	"nagB"	720.0
"NANE-MONOMER"	"nanE"	720.0
"NUCLEOSIDE-DIP-KIN-MONOMER"	"ndk"	720.0
"G7459-MONOMER"	"rppH"	720.0
"ASPCARBCAT-MONOMER"	"pyrB"	720.0
"ASPDECARBOX-MONOMER"	"panD"	306.9100937223448
"6PFK-1-MONOMER"	"pfkA"	720.0
"PGAM2-MONOMER"	"ytjC"	720.0
"EG10689-MONOMER"	"pcm"	720.0
"GLYCEROL-3-P-ACYLTRANSFER-MONOMER"	"plsB"	720.0
"PPK-MONOMER"	"ppk"	720.0
"GLUTKIN-MONOMER"	"proB"	720.0
"PD00205"	"lexA"	434.7858567486503
"EG11920-MONOMER"	"pepE"	720.0
"EG10785-MONOMER"	"pth"	720.0
"ADENYLOSUCCINATE-SYN-MONOMER"	"purA"	720.0
"SAICARSYN-MONOMER"	"purC"	720.0
"DIHYDROOROTOX-MONOMER"	"pyrD"	720.0
"OROPRIBTRANS-MONOMER"	"pyrE"	720.0
"CTPSYN-MONOMER"	"pyrG"	720.0
"ASPCARBREG-MONOMER"	"pyrI"	720.0
"SPED-MONOMER"	"speD"	720.0
"EG10812-MONOMER"	"queA"	720.0
"EG11178-MONOMER"	"rbfA"	720.0
"EG10834-MONOMER"	"recR"	720.0
"EG12114-MONOMER"	"prfC"	720.0
"GTP-CYCLOHYDRO-II-MONOMER"	"ribA"	720.0
"DIOHBUTANONEPSYN-MONOMER"	"ribB"	90.636544104517
"EG10872-MONOMER"	"rplK"	720.0
"EG10880-MONOMER"	"rplS"	675.0818338065415
"EG10864-MONOMER"	"rplA"	720.0
"EG10886-MONOMER"	"rpmB"	720.0
"EG10889-MONOMER"	"rpmE"	611.7828386635124
"G6167-MONOMER"	"ykgM"	720.0
"EG10890-MONOMER"	"rpmF"	720.0
"EG10892-MONOMER"	"rpmH"	720.0
"EG10870-MONOMER"	"rplI"	720.0
"EG10909-MONOMER"	"rpsJ"	720.0
"EG10910-MONOMER"	"rpsK"	720.0
"EG10912-MONOMER"	"rpsM"	597.6088587391373
"EG10915-MONOMER"	"rpsP"	636.8224305167435
"EG10918-MONOMER"	"rpsS"	720.0
"EG10919-MONOMER"	"rpsT"	720.0
"EG10901-MONOMER"	"rpsB"	720.0
"EG10902-MONOMER"	"rpsC"	720.0
"EG10903-MONOMER"	"rpsD"	720.0
"EG10907-MONOMER"	"rpsH"	720.0
"EG11153-MONOMER"	"rimM"	720.0
"EG10857-MONOMER"	"rnc"	720.0
"EG10860-MONOMER"	"rnhA"	720.0
"EG10862-MONOMER"	"rnpA"	720.0
"RIB5PISOMA-MONOMER"	"rpiA"	720.0
"EG10893-MONOMER"	"rpoA"	720.0
"EG10899-MONOMER"	"rpoZ"	559.0359908495614
"EG10335-MONOMER"	"frr"	720.0
"EG10924-MONOMER"	"ruvB"	667.2725325171953
"EG10925-MONOMER"	"ruvC"	720.0
"S-ADENMETSYN-MONOMER"	"metK"	503.34455363300856
