"tu_id"	"tu_count"
"EG30099"	0.0
"G0-8896"	0.0
"G0-8897"	0.0
"G0-8898"	0.0
"G0-8900"	0.0
"G0-8902"	0.0
"G0-8903"	0.0
"G0-8907"	0.0
"G0-8911"	0.0
"G0-8912"	0.0
"G0-8913"	0.0
"G0-8785"	0.0
"G0-8874"	0.0
"EG31115"	0.0
"G7047"	0.0
"EG10001"	58.6866666667
"EG10003"	48.1066666667
"EG10004"	133.0
"EG10011"	80.1733333333
"EG10013"	50.0133333333
"EG10014"	5.27333333333
"EG10015"	206.22
"EG10016"	2.6
"EG10017"	252.546666667
"EG10018"	38.63
"EG10026"	0.0
"EG10027"	72.24999999999999
"EG10028"	37.8666666667
"EG10030"	36.8966666667
"EG10031"	852.036666667
"EG10032"	722.493333333
"EG10033"	40.4333333333
"EG10034"	454.813333333
"EG10035"	220.816666667
"EG10037"	0.0
"EG10039"	287.38
"EG10040"	19.6233333333
"EG10043"	66.32
"EG10044"	498.883333333
"EG10046"	7.34
"EG10049"	6.9266666667
"EG10050"	10.5666666667
"EG10051"	314.363333333
"EG10054"	28.1466666667
"EG10056"	0.0
"EG10060"	11.3833333333
"EG10061"	660.793333333
"EG10062"	51.3566666667
"EG10063"	170.473333333
"EG10066"	145.65
"EG10067"	220.03
"EG10068"	427.863333333
"EG10069"	141.38
"EG10070"	197.376666667
"EG10071"	144.3
"EG10076"	74.08666666663147
"EG10079"	1087.80666667
"EG10080"	206.76
"EG10083"	0.0
"EG10084"	472.926666667
"EG10085"	1.3700000000000019
"EG10087"	15.6666666667
"EG10088"	1259.62
"EG10089"	4.56
"EG10090"	2.55666666667
"EG10091"	51.1833333333
"EG10092"	150.353333333
"EG10093"	0.0
"EG10094"	706.336666667
"EG10095"	0.0
"EG10096"	1120.4
"EG10097"	241.27
"EG10107"	314.95
"EG10108"	1324.88666667
"EG10112"	21.2666666667
"EG10116"	0.0
"EG10117"	92.18
"EG10122"	27.59
"EG10124"	44.4666666667
"EG10125"	292.183333333
"EG10128"	58.5266666667
"EG10129"	58.60000000000004
"EG10131"	2.11333333333
"EG10133"	4.88666666667
"EG10135"	0.0
"EG10137"	21.9033333333
"EG10138"	25.4066666667
"EG10139"	0.0
"EG10145"	0.0
"EG10155"	3279.29666667
"EG10156"	507.866666667
"EG10157"	142.333333333
"EG10160"	41.7366666667
"EG10164"	968.303333333
"EG10165"	229.5650000000004
"EG10166"	3581.12666667
"EG10167"	80.3233333333
"EG10170"	289.453333333
"EG10172"	148.96
"EG10184"	172.656666667
"EG10187"	132.176666667
"EG10188"	40.31555555552
"EG10189"	35.555
"EG10192"	2691.31333333
"EG10196"	133.466666667
"EG10200"	69.6966666667
"EG10201"	188.1
"EG10202"	45.8766666667
"EG10203"	78.46
"EG10206"	170.303333333
"EG10207"	551.73500000035
"EG10210"	18.65
"EG10212"	104.49
"EG10213"	59.96
"EG10215"	193.69
"EG10217"	526.343333333
"EG10223"	79.7966666667
"EG10224"	80.6
"EG10225"	37.16
"EG10226"	366.793333333
"EG10229"	38.5633333333
"EG10231"	194.766666667
"EG10234"	2.323333333329998
"EG10236"	134.85
"EG10240"	170.626666667
"EG10241"	867.816666667
"EG10243"	99.2833333333
"EG10245"	93.22
"EG10246"	451.713333333
"EG10249"	12.053333333300003
"EG10254"	25.4966666667
"EG10255"	16.4466666667
"EG10256"	117.60666666699998
"EG10258"	1863.30666667
"EG10265"	706.4335897432305
"EG10272"	62.19333333000019
"EG10273"	723.656666667
"EG10274"	400.52
"EG10280"	82.2866666667
"EG10281"	92.7733333333
"EG10283"	208.823333333
"EG10285"	12.79
"EG10294"	205.786666667
"EG10300"	170.77
"EG10306"	371.64
"EG10309"	86.07
"EG10312"	6.0
"EG10316"	0.0
"EG10321"	17634.6266667
"EG10325"	605.02
"EG10326"	83.64
"EG10329"	0.0
"EG10334"	125.61
"EG10335"	877.126666667
"EG10338"	102.01
"EG10342"	38.1569230772308
"EG10347"	410.46692307723083
"EG10351"	3.63
"EG10353"	30.65888888892334
"EG10355"	58.048888888923344
"EG10356"	34.7166666667
"EG10357"	0.5199999999999998
"EG10358"	0.0
"EG10359"	697.8133333334999
"EG10362"	0.0
"EG10363"	14.989999999900002
"EG10364"	39.4
"EG10365"	7.66666666667
"EG10367"	8107.0266666669995
"EG10369"	149.773333333
"EG10370"	280.42
"EG10372"	1720.33
"EG10374"	25.5266666667
"EG10376"	0.0
"EG10383"	826.2883333333
"EG10384"	239.53000000000003
"EG10389"	0.0
"EG10390"	299.496666667
"EG10394"	1844.65333333
"EG10399"	36.6266666667
"EG10400"	0.0
"EG10402"	1547.08
"EG10405"	23.84
"EG10406"	13.7333333333
"EG10407"	424.94
"EG10408"	1603.73
"EG10411"	872.806666667
