"TUs"	"TU_Genes"	"Gene_Names"
TU0-7421	EG12957	"glk"
TU0-13281	EG11825	"yddE"
TU0-8721	EG12200	"yegD"
TU0-13668	EG12308	"yfhH"
TU00233	EG11703 // EG11704	"acrA" // "acrB"
TU0-14061	EG11837	"bipA"
TU562	G6492 // G6491 // G6490	"pqiC" // "pqiB" // "pqiA"
TU0-14528	EG30071 // EG30078	"rrfB" // "rrlB"
TU0-41901	EG10935	"sdiA"
TU0-12871	G6148	"yagK"
TU0-7163	EG10520	"waaA"
TU0-13265	G6746	"ydcP"
TU0-8704	EG11639	"eamA"
TU0-13651	EG10650	"ndk"
TU00216	EG10399 // EG10401	"glpQ" // "glpT"
TU0-14044	EG11466	"rarD"
TU5	G6719 // G6718 // G6717 // G6716 // G6715 // G6714 // G6713 // G6712 // G6711 // G6710 // G6709	"paaK" // "paaJ" // "paaI" // "paaH" // "paaG" // "paaF" // "paaE" // "paaD" // "paaC" // "paaB" // "paaA"
TU0-14509	EG11810	"gcvP"
TU0-41778	G6755 // G6752 // G6753 // G6754 // G6751	"patD" // "ydcT" // "ydcU" // "ydcV" // "ydcS"
TU0-12855	EG11496 // G6119	"prfH" // "ykfJ"
TU0-6942	EG10529 // EG10530	"lepA" // "lepB"
TU0-13249	EG11310	"ydbD"
TU0-8687	G6614	"ycgJ"
TU0-13634	G7282 // G7281	"eutH" // "eutA"
TU00200	EG11078 // EG10652	"nhaR" // "nhaA"
TU0-14027	EG11727	"cbrC"
TU423	G6440	"mdfA"
TU0-14487	EG30074 // EG30081 // EG30034 // EG30088	"rrfE" // "rrlE" // "gltV" // "rrsE"
TU0-4141	EG11070	"dsbC"
TU0-12839	EG11648	"dkgB"
TU0-6685	EG10860	"rnhA"
TU0-13233	EG11020	"trkG"
TU0-8670	G6459	"ybjD"
TU0-13616	G7252	"ypeC"
TU00184	EG10536 // EG10537 // EG10541 // EG10538 // EG10540	"livF" // "livG" // "livM" // "livH" // "livK"
TU0-14011	EG11690	"yicN"
TU354	EG10061	"arcA"
TU0-14464	EG10636	"nagC"
TU0-36442	EG10224	"dgkA"
TU0-12820	EG10605	"mrcB"
TU0-6634	EG10025 // EG10024	"aceF" // "aceE"
TU0-13216	G6663	"ycjY"
TU0-8651	G7344	"yphH"
TU0-13600	G7218	"intS"
TU00168	EG10594 // EG10592 // EG10593	"mglC" // "mglA" // "mglB"
TU0-13996	EG12294	"grxC"
TU263	EG11828 // EG11829	"mobB" // "mobA"
TU0-14429	G6543 // G6544 // G6545 // G6546	"csgG" // "csgF" // "csgE" // "csgD"
TU0-36419	EG10735 // EG10783	"phoU" // "pstB"
TU0-12805	EG12094 // G0-9381 // EG11574 // EG11573 // EG11572	"sgrR" // "sroA" // "tbpA" // "thiP" // "thiQ"
TU0-6559	EG11063	"uvrC"
TU0-13196	EG11759 // EG10130	"yciK" // "btuR"
TU0-8635	G6587	"ymfI"
TU0-13583	G7189	"yfbV"
TU00152	EG10285	"fdhF"
TU0-13980	EG12272	"ghrB"
TU141	G6088	"caiF"
TU0-14406	EG11551	"hypF"
TU0-3602	G6200 // G6199 // G6198 // G6196	"prpE" // "prpD" // "prpC" // "prpB"
TU0-12787	G6081	"yaaX"
TU0-6507	EG10509	"katE"
TU0-13176	G6624	"ymgE"
TU0-8617	G7885	"rraB"
TU0-13567	G7162	"yfaY"
TU00135	EG10351 // EG10348	"fucO" // "fucA"
TU0-13960	EG12238	"yhiS_1"
TU00518	EG30050	"leuU"
TU0-14386	EG10610 // EG10609 // EG10608	"mreD" // "mreC" // "mreB"
TU0-3401	G0-8872	"ryhB"
TU0-1188	EG30075 // EG30082 // EG30035 // EG30089	"rrfG" // "rrlG" // "gltW" // "rrsG"
TU0-6428	EG10258 // EG10810	"eno" // "pyrG"
TU0-13160	G6604	"ycgZ"
TU0-8600	EG11719	"yidX"
TU0-13551	G7148	"pdeN"
TU00119	EG10164	"crp"
TU0-13944	EG12217	"yhhQ"
TU00502	EG30046	"ileX"
TU0-14364	EG11344	"mnmA"
TU0-3122	G6260	"copA"
TU0-1062	EG11297	"dsbA"
TU0-6241	G0-9962	"tisB"
TU0-13143	G6579 // G6578	"ymfA" // "ycfZ"
TU0-8584	EG12213	"yhhM"
TU0-13532	EG12020	"mdtQ"
TU00103	EG10979 // EG10980 // EG10981 // EG10982	"sucA" // "sucB" // "sucC" // "sucD"
TU0-13926	EG12113	"hofQ"
TU00486	EG10820	"rcsA"
TU0-14344	EG12330	"thpR"
TU0-2603	EG10424	"gyrB"
TU-8433	EG11263 // G7701	"gspB" // "gspA"
TU0-5782	G7533 // G7532 // EG10627	"mltC" // "yggX" // "mutY"
TU0-13126	G6554 // EG11820	"yceJ" // "yceI"
TU0-8566	G6408	"ybhQ"
TU0-13516	EG11990 // EG11989 // EG11988 // EG11987	"yehD" // "yehC" // "yehB" // "yehA"
TU00086	EG10729	"phoE"
TU0-13907	G7695	"yhdV"
TU00470	EG10380 // EG10377 // EG10379	"glgP" // "glgA" // "glgC"
TU0-14326	G7521	"yqgB"
TU0-2402	M014 // G6205 // M013 // M012 // M011 // M010	"mhpF" // "mhpE" // "mhpD" // "mhpC" // "mhpB" // "mhpA"
TU-8401	EG12051	"yejO"
TU0-5523	EG10329	"mutM"
TU0-13110	G0-9662 // G6512	"gnsA" // "ymcE"
TU0-8550	G6222	"yaiT"
TU0-13499	G7102 // G7101 // G7100 // G7099 // EG11787 // EG11788 // EG11789 // EG11790 // EG10161 // EG10162 // G7098 // G7097	"wcaC" // "wcaD" // "wcaE" // "wcaF" // "gmd" // "fcl" // "gmm" // "wcaI" // "cpsB" // "cpsG" // "wcaJ" // "wzxC"
TU00070	EG11062	"uvrB"
TU0-13891	G7669	"yhcC"
TU00452	EG11336	"endA"
TU0-14307	EG11793	"ygdD"
TU0-1921	EG11330 // EG10361 // EG11329	"gabP" // "gabT" // "gabD"
TU-8382	EG11241	"ycaC"
TU0-5182	EG10216 // EG10454 // EG11059 // G0-9461	"dedA" // "truA" // "usg" // "pdxB"
TU0-13094	G6480	"elfA"
TU0-8534	EG11060	"ushA"
TU0-13482	G7079	"yeeP"
TU00054	EG11314 // EG11345	"purB" // "hflD"
TU0-13875	G7645	"yraQ"
TU00435	EG10920 // EG10239 // EG10896	"rpsU" // "dnaG" // "rpoD"
TU0-14290	G7662 // EG12802	"kdsD" // "yrbG"
TU0-1721	G7832	"fxsA"
TU0-4931	EG10542	"lon"
TU0-13077	EG11112	"aat"
TU0-8516	G0-8870	"sraG"
TU0-13464	G7053 // G7052	"yedS_2" // "yedS_1"
TU00038	EG10556 // EG10555 // EG10554	"malG" // "malF" // "malE"
TU0-13858	G7606	"ygjR"
TU00418	G0-8893 // EG10241 // EG10240	"tpke11" // "dnaK" // "dnaJ"
TU0-14257	EG10440 // EG10710 // EG10709 // EG11272 // EG10881 // EG11231 // EG10506 // EG11001	"ihfA" // "pheT" // "pheS" // "pheM" // "rplT" // "rpmI" // "infC" // "thrS"
TU0-14822	EG10804	"pykF"
TU0-4783	G812 // EG11417	"nrdG" // "nrdD"
TU0-13061	G6425	"ybiV"
TU0-8499	EG10839	"rfaH"
TU0-13447	G0-10455	"yecJ"
TU00022	EG10325	"fnr"
TU0-13841	G7582	"yqiC"
TU00401	EG10461	"htpG"
TU0-14239	EG12034	"setB"
TU0-14800	G6955	"ynjH"
TU0-4523	EG12630	"gntR"
TU0-13044	G6401	"ybhJ"
TU0-8482	G6924	"ydiU"
TU0-13431	G0-8883	"sdsR"
TU00006	EG10069	"argI"
TU0-13824	G7565	"dkgA"
TU00385	EG10027	"ackA"
TU0-14222	EG12342	"yjjJ"
TU0-14772	G7885	"rraB"
TU0-4401	G6216	"yaiS"
TU0-8455	G6382 // G6383 // G6381 // G6380 // G6379	"ybgL" // "nei" // "ybgK" // "ybgJ" // "ybgI"
TU0-13031	G6384	"abrB"
TU0-8375	EG11778 // EG11777	"ybfH" // "ybfG"
TU0-13028	G0-10440	"ybfQ"
TU0-13412	G6989	"yeaX"
TU0-8868	EG10237 // EG10244	"dnaC" // "dnaT"
TU0-13804	EG12122	"yggI"
TU00365	G1 // EG11590 // EG11589 // EG11587 // EG11586 // EG11585	"thiS" // "thiH" // "thiG" // "thiF" // "thiE" // "thiC"
TU0-14203	EG12576 // G7933	"mdtM" // "yjiN"
TU0-14740	EG10694	"pepA"
TU0-42608	G7395 // G7396	"kbp" // "yqaE"
TU0-8351	G6557	"bssS"
TU0-13010	EG10532 // EG10855 // EG11412 // G6350 // G6349	"leuS" // "lptE" // "holA" // "nadD" // "cobC"
TU0-13395	G6964	"yeaC"
TU0-8841	G7003	"kdgR"
TU00348	EG11036 // EG10360 // EG10906 // EG10911	"tufA" // "fusA" // "rpsG" // "rpsL"
TU0-13788	G7510 // G7509	"sdhE" // "ygfX"
TU0-14185	G7904	"insN-2"
TU0-14702	EG11165 // EG11164 // EG11163 // EG11009	"ygiC" // "ygiB" // "ygiA" // "tolC"
TU0-42583	EG10363 // EG10366 // EG10362	"galK" // "galT" // "galE"
TU0-8332	G6893	"ydhP"
TU0-12994	G6332	"ybdO"
TU0-13378	EG11133	"nlpC"
TU0-8825	EG12400	"mdtK"
TU00329	EG10838 // EG12210 // EG11189 // EG11424	"rfaD" // "waaF" // "waaC" // "waaL"
TU0-13771	G7484	"ygeR"
TU0-14169	G7877	"ridA"
TU0-14680	EG10414	"gpt"
TU0-42561	EG11652	"degS"
TU0-12975	G0-10435 // G6306 // G6305 // G6304 // G6303	"ylcG" // "rusA" // "ybcO" // "ninE" // "ybcN"
TU0-8281	EG10851	"rimJ"
TU0-13362	G6896	"ydhS"
TU0-881	EG10364	"galR"
TU00311	EG11179 // EG10505 // EG10665	"rimP" // "infB" // "nusA"
TU0-13755	EG12361	"kduD"
TU0-14153	G7847 // G7846	"yjfJ" // "yjfI"
TU0-14661	G7712 // G7713 // G7714 // G7715	"tusB" // "tusC" // "tusD" // "yheO"
TU0-42534	G6891 // G6890 // G6889	"gloA" // "nemA" // "nemR"
TU0-12959	G6270 // EG11657	"ybbP" // "ybbA"
TU0-8203	EG11244	"yggE"
TU0-13345	G6862 // G6861	"folM" // "ydgI"
TU0-8789	G7045	"dsrB"
TU0-13737	G7451	"syd"
TU00298	EG12437 // EG11532 // EG11368 // EG12438 // EG10579 // EG12362	"menE" // "menC" // "menB" // "menH" // "menD" // "menF"
TU0-14134	EG12462	"adiC"
TU873	EG11030 // EG11871 // M004 // EG10204 // EG11183 // EG10074 // EG10081	"trpS" // "gph" // "rpe" // "dam" // "damX" // "aroB" // "aroK"
TU0-14640	EG12957	"glk"
TU0-42511	EG11269	"hisL"
TU0-12939	EG11099	"ybaA"
TU0-8083	EG10703	"pgk"
TU0-13328	EG10226	"dicA"
TU0-8767	G7458	"amiC"
TU0-13720	G7415	"pphB"
TU00279	EG11381	"glgS"
TU0-14118	EG11932	"dusA"
TU795	EG11325	"acnA"
TU0-14618	G6454 // G6455	"ybjT" // "ltaE"
TU0-42483	EG50004	"rmf"
TU0-12919	EG11097	"yajD"
TU0-7821	EG12180	"pagP"
TU0-13311	G6814	"ydfH"
TU0-8750	G7526	"yggR"
TU0-13701	G7383	"pinH"
TU00262	EG12628 // EG12627 // EG12626 // EG12625 // EG10248	"dppF" // "dppD" // "dppC" // "dppB" // "dppA"
TU0-14097	EG11395 // EG11394	"yijD" // "fabR"
TU704	EG10773 // EG10772 // EG10771	"proX" // "proW" // "proV"
TU0-14571	G7948 // G7947	"bglJ" // "yjjQ"
TU0-42463	G6777 // G6778 // G6779 // G6780 // G6781 // G6782	"ddpF" // "ddpD" // "ddpC" // "ddpB" // "ddpA" // "ddpX"
TU0-12902	G6209 // EG50010 // G6208	"frmR" // "frmA" // "frmB"
TU0-7681	G6820 // G6821 // EG11634	"tfaQ" // "ydfN" // "nohA"
TU0-13295	G6796	"yneL"
TU0-8734	G7240	"yfdY"
TU0-13683	EG12192	"nadK"
TU00246	EG10128 // EG10129 // EG10127	"btuD" // "btuE" // "btuC"
TU0-14074	EG11860	"yiiG"
TU61	G7750 // G7751	"rtcA" // "rtcB"
TU0-14547	EG11957 // EG11958 // EG11959 // EG12458	"alsE" // "alsC" // "alsA" // "alsB"
TU0-42415	G7901 // EG12544	"yjhC" // "yjhB"
TU0-12884	G6173 // G6171	"rclB" // "rclC"
TU0-7342	EG12100	"tktB"
TU0-13278	G6768	"yncM"
TU0-8718	EG11141	"yedA"
TU0-13664	G7343	"yphG"
TU00230	EG11647	"accA"
TU0-14057	EG11830	"yihD"
TU544	G6660	"tpx"
TU0-14524	EG30076 // EG30083	"rrfH" // "rrlH"
TU0-41857	EG12394	"msrB"
TU0-12868	G6143 // G6142	"yagH" // "yagG"
TU0-7141	EG11508 // G6776	"sra" // "bdm"
TU0-13262	G0-10558	"yncK_1"
TU0-8701	G6741	"ydcK"
TU0-13648	G7317 // G7316	"yfgI" // "yfgH"
TU00213	EG11402 // EG12127	"treC" // "treB"
TU0-14041	G7802	"yzcX"
TU489	EG10467	"hupB"
TU0-14502	EG10353	"fucR"
TU0-41739	G6662	"mpaA"
TU0-12852	G6114	"lafU"
TU0-6886	EG11286	"argE"
TU0-13246	G6725	"insI-2"
TU0-8684	G6569	"comR"
TU0-13630	G7275 // G7274	"yffN" // "yffM"
TU00197	EG11327 // EG11326	"codB" // "codA"
TU0-14023	EG11721	"yidZ"
TU402	EG10400 // EG10397	"glpR" // "glpG"
TU0-14479	G7744 // G7743	"hslO" // "hslR"
TU0-4	EG12705	"yggN"
TU0-12836	EG12138	"yaeF"
TU0-6660	EG10743 // EG10914	"pnp" // "rpsO"
TU0-13230	G6680	"racR"
TU0-8665	EG12164	"ytjC"
TU0-13613	G7245 // G7244 // G7243	"ypdC" // "ypdB" // "ypdA"
TU00181	EG10547	"lrp"
TU0-14008	EG11687	"setC"
TU347	EG10061	"arcA"
TU0-14459	EG11632 // EG11631 // EG11630 // EG11629	"potI" // "potH" // "potG" // "potF"
TU0-36438	G0-10694	"arrS"
TU0-12818	EG11678	"yadC"
TU0-6629	EG12358 // G6476 // G6477 // G6478 // G6479	"ssuB" // "ssuC" // "ssuD" // "ssuA" // "ssuE"
TU0-13213	G6657	"ompG"
TU0-8648	G7046	"yodD"
TU0-13597	G7214	"yfcZ"
TU00165	EG10295 // EG10298 // EG10296	"fepC" // "fepG" // "fepD"
TU0-13993	EG11964	"yibL"
TU26	EG10256	"eda"
TU0-14423	G0-10600	"ryfD"
TU0-36414	EG12712	"luxS"
TU0-12801	EG11570	"djlA"
TU0-6554	EG10682	"pabA"
TU0-13193	EG11125 // EG11126 // EG11127	"yciE" // "yciF" // "yciG"
TU0-8631	G6166	"ykgL"
TU0-13580	G7185	"yfbR"
TU00149	EG13161	"dsdC"
TU0-13977	EG12269	"yhjY"
TU121	EG10802	"putP"
TU0-14403	EG10170	"cyaA"
TU0-3501	EG10070	"argR"
TU0-1261	EG12096 // EG11250	"chpB" // "chpS"
TU0-6504	EG10390	"glnS"
TU0-13173	EG11392	"nhaB"
TU0-8614	G7862	"yjfZ"
TU0-13564	G0-10561 // EG12323	"ypaA" // "rpnE"
TU00132	EG10563 // EG10564	"malX" // "malY"
TU0-13957	EG11441 // EG12233	"prlC" // "rsmJ"
TU00515	EG30013 // EG30019 // EG30018 // EG30015 // EG30095	"argQ" // "argZ" // "argY" // "argV" // "serV"
TU0-14378	EG10175 // EG10176	"cynS" // "cynT"
TU0-3341	G7596	"patA"
TU0-1184	EG30072 // EG30079 // EG30033 // EG30086	"rrfC" // "rrlC" // "gltU" // "rrsC"
TU0-6422	EG10039	"amn"
TU0-13157	G6601	"ycgX"
TU0-8597	EG11711	"yidP"
TU0-13548	EG12036	"yeiQ"
TU00116	EG10112	"betT"
TU0-13941	G7763	"yrhB"
TU00499	EG30022	"asnV"
TU0-14359	EG10821 // EG12385	"rcsB" // "rcsD"
TU0-3102	EG11031	"trxA"
TU0-1022	G7401 // G7402 // EG12381 // EG20257	"nrdH" // "nrdI" // "nrdF" // "nrdE"
TU0-6043	EG11104	"entS"
TU0-13140	G6572	"ycfT"
TU0-8580	G7753	"yhgN"
TU0-13529	EG12015	"pbpG"
TU00099	EG10060	"araJ"
TU0-13923	G7722	"yhfL"
TU00483	EG10788 // EG10789 // EG10165	"ptsH" // "ptsI" // "crr"
TU0-14341	G7642	"lpoA"
TU0-2521	G6414	"fiu"
TU-8428	G6885 // G6884 // G6883	"ydhK" // "ydhJ" // "ydhI"
TU0-5741	EG11933	"pspG"
TU0-13123	G6551 // G6550	"clsC" // "ymdB"
TU0-8563	G6378	"dtpD"
TU0-13513	G7137	"rcnR"
TU00083	EG10897	"rpoH"
TU0-13904	EG10018	"csrD"
TU00467	EG10131 // EG10132	"cadA" // "cadB"
TU0-14323	G7921	"nanC"
TU0-2261	EG12243	"gadX"
TU-8397	EG10415	"greA"
TU0-5481	G6849 // G6848 // G6847 // G6846 // G6845	"dmsD" // "ynfH" // "ynfG" // "ynfF" // "ynfE"
TU0-13107	G6507 // G6506 // G6505	"gfcB" // "gfcC" // "gfcD"
TU0-8547	G6158	"yagU"
TU0-13495	G7091	"ugd"
TU00067	EG11024 // EG11025 // EG11026 // EG11027 // EG11028 // EG11274	"trpA" // "trpB" // "trpC" // "trpD" // "trpE" // "trpL"
TU0-13888	G7657	"ibaG"
TU00449	EG11035	"tsx"
TU0-14304	EG12028	"yeiI"
TU0-1841	EG11422	"inaA"
TU0-5121	EG11036 // EG10360	"tufA" // "fusA"
TU0-13090	EG11253	"ldtD"
TU0-8531	G0-8894	"tp2"
TU0-13479	G7074	"insH-6"
TU00051	EG10681	"oxyR"
TU0-13872	G7629 // EG10955	"yhaV" // "prlF"
TU00432	EG11390	"uspA"
TU0-14286	G7610 // G7609	"mzrA" // "yqjA"
TU0-1603	G6347	"dcuC"
TU0-4927	EG12380	"gntT"
TU0-13074	G6453	"ybjS"
TU0-8513	G6460	"ybjX"
TU0-13461	G7050	"yodC"
TU00035	G0-10439 // EG10515 // EG10514 // EG10513	"kdpF" // "kdpC" // "kdpB" // "kdpA"
TU0-13855	G7603	"rlmG"
TU00415	G7039 // EG11356 // EG11355	"tcyJ" // "fliZ" // "fliA"
TU0-14253	EG11081 // EG11080 // EG10548	"ispH" // "fkpB" // "lspA"
TU0-1482	EG10274	"fabB"
TU0-4742	EG10669	"ompA"
TU0-13058	EG12134	"rhtA"
TU0-8496	G0-9603	"rdlA"
TU0-13444	EG10071	"argS"
TU00019	EG10232 // EG10233 // EG10234	"dmsA" // "dmsB" // "dmsC"
TU0-13837	EG12633 // G7580 // G7579 // G7578 // EG10687	"nudF" // "yqiB" // "cpdA" // "yqiA" // "parE"
TU00398	EG10044	"osmE"
TU0-14236	G0-8907	"C0614"
TU0-14795	G0-10677	"fnrS"
TU0-4504	EG11957 // EG11958 // EG11959 // EG12458 // G7821	"alsE" // "alsC" // "alsA" // "alsB" // "rpiR"
TU0-13041	G6396	"acrZ"
TU0-8479	EG10050	"appY"
TU0-13428	G7008	"rsmF"
TU00003	EG10054	"araC"
TU0-13821	G7557 // G7556	"yghX_2" // "yghX_1"
TU00382	EG10701	"pflB"
TU0-1422	EG10347 // EG10339	"ftsZ" // "ftsA"
TU0-14767	G0-10653	"azuC"
TU0-4287	EG10691 // EG10985 // EG11569	"pdxA" // "surA" // "lptD"
TU0-42650	EG10754 // G6456 // G6457	"poxB" // "hcr" // "hcp"
TU0-8367	EG12121 // EG12120	"rssB" // "rssA"
TU0-13025	EG11521	"ybfA"
TU0-1341	EG10490	"argP"
TU0-8864	G6879 // EG11043 // EG11487	"pdxY" // "tyrS" // "pdxH"
TU00362	EG10048 // EG10047 // EG10523 // EG10691 // EG10985	"apaH" // "apaG" // "rsmA" // "pdxA" // "surA"
TU0-14200	G7929	"yjiJ"
TU0-14737	EG10281	"fadR"
TU0-42603	EG10276 // EG10275	"accC" // "accB"
TU0-8347	G7826 // G7827	"dcuR" // "dcuS"
TU0-13007	EG11592	"ybeD"
TU0-13392	EG12369	"ydjE"
TU0-8838	G7044	"intG"
TU00345	G0-8895 // EG10901 // EG11033	"tff" // "rpsB" // "tsf"
TU0-13785	G7507	"uacT"
TU0-14182	G7898 // G7897	"yjgX_1" // "yjgX_2"
TU0-14698	EG12241 // EG12240	"mdtF" // "mdtE"
TU0-42580	EG10362	"galE"
TU0-8329	G8207	"gatR_1"
TU0-12991	G0-10438	"ybdD"
TU0-13375	EG11132	"ppsR"
TU0-8822	EG10748	"mrcA"
TU00326	EG10776 // EG10777 // EG10778 // EG10779 // EG10780	"pspA" // "pspB" // "pspC" // "pspD" // "pspE"
TU0-13768	G7482	"ygeP"
TU0-14166	EG12439 // EG12520 // EG12518 // EG12517	"yjfF" // "ytfT" // "ytfR" // "ytfQ"
TU0-14677	EG11627 // EG11626 // EG11625 // EG11624	"artM" // "artQ" // "artI" // "artP"
TU0-42558	G7498	"ssnA"
TU0-12972	EG10629 // G6298	"emrE" // "renD"
TU0-8265	EG11775	"ybfE"
TU0-13359	G6892	"mepH"
TU0-8807	EG10422	"guaC"
TU0-13750	G7462	"tas"
TU0-14150	G7841	"rsgA"
TU0-14654	EG10258 // EG10810	"eno" // "pyrG"
TU0-42530	G0-10752	"agrB"
TU0-12955	G6263	"cueR"
TU0-8182	G6891	"gloA"
TU0-13342	G6856	"ydgD"
TU0-8784	EG10213	"ddlA"
TU0-13733	G7442 // EG13174	"ygcE" // "yqcE"
TU00293	EG10520 // EG11190	"waaA" // "coaD"
TU0-14131	EG10712	"yjdN"
TU870	EG11096 // EG10996	"yajC" // "tgt"
TU0-14636	G7080	"flu"
TU0-42508	EG11280	"leuL"
TU0-12936	G6247	"decR"
TU0-8061	EG11015	"tpiA"
TU0-13325	EG10836 // EG11131	"relB" // "relE"
TU0-8764	EG11095	"acpH"
TU0-13716	EG11447	"csrA"
TU00276	EG10322 // EG10323 // EG10324 // EG11224 // EG11975 // EG11976 // EG11977	"fliL" // "fliM" // "fliN" // "fliO" // "fliP" // "fliQ" // "fliR"
TU0-14115	EG10224	"dgkA"
TU792	EG11146	"xapR"
TU0-14615	EG11704	"acrB"
TU0-42480	EG10367	"gapA"
TU0-12916	G6231	"ykiA"
TU0-7804	EG11366	"rob"
TU0-13308	EG11643	"dgcZ"
TU0-8747	G7453	"ygdI"
TU0-13698	G7377	"yfjW"
TU00259	EG10828 // EG10242 // EG10235	"recF" // "dnaN" // "dnaA"
TU0-14092	EG11909 // EG11908	"frwB" // "frwC"
TU7	G6721 // G6720	"paaY" // "paaX"
TU0-14565	EG10435 // EG10436 // EG10437 // EG10438 // EG10595	"hflC" // "hflK" // "hflX" // "hfq" // "miaA"
TU0-42460	G0-8881 // G0-10715	"rybA" // "mntS"
TU0-12897	G6192	"yahM"
TU0-7603	G6283 // G6282 // G6281 // G6280 // G6278 // G6277 // EG11583	"glxK" // "ybbY" // "allB" // "ybbW" // "glxR" // "hyi" // "gcl"
TU0-13292	G6788	"ydeN"
TU0-8731	G7177	"yfbK"
TU0-13680	EG10300	"ffh"
TU00243	EG10100 // EG10101 // EG10104 // EG10098 // EG10105 // EG10103 // EG10102 // EG10099 // EG10106	"atpC" // "atpD" // "atpG" // "atpA" // "atpH" // "atpF" // "atpE" // "atpB" // "atpI"
TU0-14071	EG11854	"yiiE"
TU593	EG10828 // EG10242 // EG10235	"recF" // "dnaN" // "dnaA"
TU0-14540	EG12301	"rutR"
TU0-42252	EG12631	"gntU"
TU0-12881	G6167 // G0-10434	"ykgM" // "ykgO"
TU0-7301	EG12253	"kdgK"
TU0-13275	G6766	"yncH"
TU0-8715	G7004	"yebQ"
TU0-13661	G7337	"yphA"
TU00227	EG10256 // EG10257	"eda" // "edd"
TU0-14054	EG11396	"ubiD"
TU541	EG10754	"poxB"
TU0-14520	EG11044	"ubiX"
TU0-4183	EG11424 // EG11189 // EG12210 // EG10838	"waaL" // "waaC" // "waaF" // "rfaD"
TU0-12865	G6139 // G6138 // G0-10537 // G6137 // EG12340	"insA-2" // "insB-2" // "insAB-2" // "afuB" // "afuC"
TU0-7044	EG11062	"uvrB"
TU0-13259	EG12859	"opgD"
TU0-8698	G0-10450	"ydbJ"
TU0-13644	G7298 // G7297	"ypfJ" // "tmcA"
TU00210	EG10342 // EG10339 // EG10347	"ftsQ" // "ftsA" // "ftsZ"
TU0-14037	EG10844	"rhlB"
TU486	EG10466	"hupA"
TU0-14499	EG10780	"pspE"
TU0-41681	EG10732	"phoQ"
TU0-12849	G6110 // G6109	"dinJ" // "yafQ"
TU0-6882	EG10499 // EG10500	"ilvH" // "ilvI"
TU0-13243	EG13139	"tynA"
TU0-8681	G6502	"yccX"
TU0-13627	EG50006 // EG50007 // G7271 // G7270 // EG12190	"eutB" // "eutC" // "eutL" // "eutK" // "eutR"
TU00194	EG10631	"nadB"
TU0-14020	EG11196	"yidB"
TU369	G6786 // EG11490	"gadC" // "gadB"
TU0-14474	EG11067 // EG11413	"valS" // "holC"
TU0-3941	EG10342	"ftsQ"
TU0-12833	G6096	"tilS"
TU0-6653	EG10707 // EG11271	"pheA" // "pheL"
TU0-13227	EG10813	"racC"
TU0-8662	G7863	"ytfA"
TU0-13610	G7236	"oxc"
TU00178	EG11277 // EG10998 // EG10999 // EG11000	"thrL" // "thrA" // "thrB" // "thrC"
TU0-14005	EG11194	"xanP"
TU344	EG10061	"arcA"
TU0-14454	EG12287 // EG12286 // EG12285 // EG12284 // EG12283 // EG12282 // EG12281 // EG12280 // EG12279	"sgbE" // "sgbU" // "sgbH" // "lyxK" // "yiaO" // "yiaN" // "yiaM" // "yiaL" // "yiaK"
TU0-36432	EG11680 // G7665 // G7664 // G7663	"lptB" // "lptA" // "lptC" // "kdsC"
TU0-12815	EG12321 // EG12320	"yadH" // "yadG"
TU0-6623	G6269 // EG11542	"ybbO" // "tesA"
TU0-13210	G6646 // EG11822 // EG10036 // EG12431 // G6645	"puuE" // "puuB" // "puuC" // "puuR" // "puuD"
TU0-8645	G6995	"yoaH"
TU0-13593	EG12449 // EG10075 // EG10580 // EG11144 // G7201 // G7200	"prmB" // "aroC" // "mepA" // "yfcA" // "epmC" // "yfcL"
TU00162	EG10759	"ppsA"
TU0-13990	EG11766	"yibJ"
TU241	EG11433	"msrA"
TU0-14420	G0-10610	"symR"
TU0-36411	EG11125	"yciE"
TU0-12797	EG11082	"rihC"
TU0-6551	EG10407	"gltX"
TU0-13188	EG11607	"yciI"
TU0-8628	G7945	"lgoD"
TU0-13577	G7181	"yfbO"
TU00146	EG10185 // EG10194 // EG10186	"cysC" // "cysN" // "cysD"
TU0-13973	G0-9042	"rdlD"
TU102	EG10035	"aldA"
TU0-14398	EG10164	"crp"
TU0-3465	EG11877 // EG11876	"uspD" // "yiiS"
TU0-1201	EG10372	"gdhA"
TU0-6486	EG11111	"cspD"
TU0-13170	G6617	"ycgM"
TU0-8611	G7843	"queG"
TU0-13561	EG12073	"ftp"
TU00129	EG10664	"nupG"
TU0-13954	EG12226	"yhiK"
TU00512	G0-16636 // EG30054 // G7991 // EG30039	"3'ETS<sup><i>leuZ</i></sup>" // "leuZ" // "cysT" // "glyW"
TU0-14375	EG11263 // G7701	"gspB" // "gspA"
TU0-3302	EG10828	"recF"
TU0-1181	EG30070 // EG30077 // EG30008 // EG30043 // EG30084	"rrfA" // "rrlA" // "alaT" // "ileT" // "rrsA"
TU0-6407	EG11128 // EG10809	"yciH" // "pyrF"
TU0-13154	EG10573	"mcrA"
TU0-8594	G0-10469	"yicS"
TU0-13545	EG12032	"psuT"
TU00113	EG10093	"asnC"
TU0-13936	G7756	"yhhW"
TU00496	EG30062 // EG31117 // EG30060	"metZ" // "metW" // "metV"
TU0-14355	EG12163	"rsmB"
TU0-2742	EG12189	"hemF"
