"TUs"	"TU_Genes"	"Gene_Names"
TU0-7561	EG11610 // EG11609	"evgS" // "evgA"
TU0-13288	G6785	"yddW"
TU0-8727	EG12048	"yejK"
TU0-13675	EG12098 // EG12097	"rluD" // "yfiH"
TU00239	EG12235 // EG12236 // EG12237	"arsR" // "arsB" // "arsC"
TU0-14067	EG11844	"yihR"
TU584	EG10463	"degP"
TU0-14535	G6120 // G6121 // G0-10432 // G6122	"ykfI" // "yafW" // "ykfH" // "ykfG"
TU0-4205	G7610 // G7609	"mzrA" // "yqjA"
TU0-12877	G6159	"ykgJ"
TU0-7221	G6195	"prpR"
TU0-13271	G6759 // G6758	"mnaT" // "ydcZ"
TU0-8710	G6919	"ydiP"
TU0-13657	G7327	"trmJ"
TU00223	EG10930	"sdaA"
TU0-14050	EG11471	"bioP"
TU523	EG10572 // EG11249 // EG10571	"mazG" // "mazF" // "mazE"
TU0-14515	G7039	"tcyJ"
TU0-41802	EG11644	"ydeI"
TU0-12861	G6129	"perR"
TU0-7002	EG10895 // EG10894	"rpoC" // "rpoB"
TU0-13255	G0-9610	"hokB"
TU0-8693	G6661	"ycjG"
TU0-13640	EG12409	"aegA"
TU00206	EG10819 // EG10817 // EG10814 // EG10816 // EG10815 // EG10818	"rbsR" // "rbsD" // "rbsA" // "rbsC" // "rbsB" // "rbsK"
TU0-14033	EG11733 // EG11732	"yieP" // "hsrA"
TU462	EG11408 // EG11407	"dadX" // "dadA"
TU0-14493	EG11161 // EG11162	"yggC" // "fumE"
TU0-41586	EG10684 // EG12854 // EG11008	"pal" // "cpoB" // "tolB"
TU0-12845	G0-8896	"C0067"
TU0-6823	EG10167	"cstA"
TU0-13239	G6699	"uspF"
TU0-8677	EG12855	"matP"
TU0-13623	EG12133	"ucpA"
TU00190	EG11435 // EG11434 // EG11599	"marR" // "marA" // "marB"
TU0-14017	EG11536	"yidE"
TU362	EG10736 // EG11108	"phr" // "ybgA"
TU0-14470	EG11591 // EG11592	"lipB" // "ybeD"
TU0-3841	EG12609 // EG11083	"rluA" // "rapA"
TU0-12827	EG10570 // EG11411 // EG10207	"map" // "glnD" // "dapD"
TU0-6649	EG10389 // EG10388 // EG10386	"glnQ" // "glnP" // "glnH"
TU0-13222	G6670 // G6669 // EG12853 // EG10668	"abgA" // "abgB" // "abgT" // "ogt"
TU0-8658	G7594	"yqjI"
TU0-13606	G0-10461	"ypdJ"
TU00174	EG10440	"ihfA"
TU0-14001	EG11192	"yicC"
TU305	EG10518 // EG11251 // G6630	"kdsA" // "ychA" // "ychQ"
TU0-14447	G6464	"ftsK"
TU0-36426	EG11036	"tufA"
TU0-12810	EG12312 // EG12313 // EG12314	"coaE" // "zapD" // "yacG"
TU0-6582	G7630	"agaR"
TU0-13205	G6641	"ycjD"
TU0-8641	G6953	"ynjF"
TU0-13589	G7196 // G7195	"yfcH" // "folX"
TU00158	EG10649	"ndh"
TU0-13986	EG12291 // EG12290	"yiaW" // "yiaV"
TU182	EG10311 // EG10315 // EG10314 // EG10313 // EG10310 // EG11974 // EG10308	"fimD" // "fimH" // "fimG" // "fimF" // "fimC" // "fimI" // "fimA"
TU0-14414	EG10258	"eno"
TU0-36402	G7949	"fhuF"
TU0-12793	G6083	"insL-1"
TU0-6513	EG10926	"sbcB"
TU0-13182	EG11819	"purU"
TU0-8624	G7922	"yjiC"
TU0-13573	G7175	"rbn"
TU00141	EG10688	"pck"
TU0-13968	EG12249	"yhjE"
TU00524	EG10933 // EG10934 // EG10931 // EG10932 // EG10979 // EG10980 // EG10981 // EG10982	"sdhC" // "sdhD" // "sdhA" // "sdhB" // "sucA" // "sucB" // "sucC" // "sucD"
TU0-14393	EG10225	"dgt"
TU0-3425	EG11665	"bacA"
TU0-1194	EG10828 // EG10242	"recF" // "dnaN"
TU0-6482	EG10096	"aspC"
TU0-13166	G6610	"ycgH_2"
TU0-8607	EG11878	"zapB"
TU0-13557	EG10885	"rplY"
TU00125	G7624 // G7626 // G7627 // EG11172 // EG10991 // EG10990 // EG10989	"tdcG" // "tdcF" // "tdcE" // "tdcD" // "tdcC" // "tdcB" // "tdcA"
TU0-13950	G0-10563	"yrhC"
TU00508	EG30096	"serW"
TU0-14371	EG30105	"trpT"
TU0-3162	EG10174 // EG10173	"cydB" // "cydA"
TU0-1141	EG10787	"ptsG"
TU0-6401	EG10326	"folA"
TU0-13150	G6589	"ymfK"
TU0-8590	EG12274	"wecH"
TU0-13539	EG11375 // EG11290	"folE" // "yeiB"
TU00109	EG10134 // EG10135	"carA" // "carB"
TU0-13932	G7746	"yhgF"
TU00492	EG30055 // EG30109 // EG30057	"lysT" // "valT" // "lysW"
TU0-14351	G6889	"nemR"
TU0-2706	EG10588	"metJ"
TU-8443	EG11287	"ygbA"
TU0-5964	EG10946	"serC"
TU0-13132	G6561	"murJ"
TU0-8573	G7619	"yhaJ"
TU0-13522	G0-10458	"yehK"
TU00092	EG10273	"fabA"
TU0-13914	EG11181 // EG10113	"bfd" // "bfr"
TU00476	EG10670	"ompC"
TU0-14333	G0-8862	"sraB"
TU0-2443	EG12202	"treR"
TU-8414	EG10561	"malQ"
TU0-5568	G7533 // G7532 // EG10627	"mltC" // "yggX" // "mutY"
TU0-13116	EG11735 // G6527	"efeB" // "efeO"
TU0-8556	EG12454	"ybaK"
TU0-13505	G7118	"yegQ"
TU00076	EG10056	"araE"
TU0-13897	G7681	"yhcB"
TU00459	EG10603 // EG11354 // EG11439	"mprA" // "emrA" // "emrB"
TU0-14315	EG11982 // EG11981	"wbbH" // "glf"
TU0-2021	EG11209	"psiE"
TU-8389	EG10504	"infA"
TU0-5221	EG10523 // EG10691	"rsmA" // "pdxA"
TU0-13100	G6497	"mgsA"
TU0-8540	EG11748	"rpnC"
TU0-13488	EG11893	"dacD"
TU00060	EG10806	"pyrC"
TU0-13881	EG12371	"nlpI"
TU00442	EG10510	"rpoS"
TU0-14296	EG11865	"rhaM"
TU0-1782	EG11404	"ychF"
TU0-5021	EG12734 // G81	"uxaA" // "uxaC"
TU0-13083	EG10028	"pflA"
TU0-8523	G6258	"ybaP"
TU0-13470	G7062	"yodB"
TU00044	EG10638 // EG10639 // EG10641 // EG10640	"narG" // "narH" // "narJ" // "narI"
TU0-13865	G7616	"yqjG"
TU00425	EG10489	"icd"
TU0-14272	EG10859	"rne"
TU0-1546	G7595	"aer"
TU0-4901	G0-16680 // EG11544	"gadF" // "gadE"
TU0-13067	EG10223	"deoR"
TU0-8505	EG11921	"rluF"
TU0-13453	G7038 // G7037 // EG12347	"dcyD" // "tcyL" // "tcyN"
TU00028	EG10385 // EG10387	"glnG" // "glnL"
TU0-13847	EG11603 // EG11602	"ygiF" // "glnE"
TU00407	EG11535 // EG11534	"ibpB" // "ibpA"
TU0-14244	G0-8891	"yciY"
TU0-14812	G7366	"rnlB"
TU0-4624	EG50005	"nfsB"
TU0-13050	EG12406 // G6412 // G6411 // G6410 // G6409	"cecR" // "ybhG" // "ybhF" // "ybhS" // "ybhR"
TU0-8489	EG10696	"pepN"
TU0-13437	EG11807	"yebF"
TU00012	EG10084	"aroP"
TU0-13830	EG10686	"parC"
TU00391	EG11751	"otsA"
TU0-14229	EG11653	"cyaY"
TU0-14785	EG10319 // EG10320	"flhC" // "flhD"
TU0-4444	EG12144 // EG12197	"pgm" // "seqA"
TU0-8472	EG10063	"argA"
TU0-13420	G6999	"mntP"
TU0-961	EG10956	"sohB"
TU0-13814	G7539	"pppA"
TU00374	EG20252 // EG12275 // EG12276 // EG20253	"xylF" // "xylG" // "xylH" // "xylR"
TU00371	EG11053 // EG11052 // EG11051	"uhpC" // "uhpB" // "uhpA"
TU0-1421	EG11636	"ydeA"
TU0-14749	EG12738	"exuT"
TU0-42626	EG10935	"sdiA"
TU0-8359	EG12103 // G8205	"gapC_2" // "gapC_1"
TU0-13016	G6361 // EG10168	"ybeX" // "lnt"
TU0-13402	G6972	"dgcJ"
TU0-8847	EG11334	"ligB"
TU00355	EG10942 // EG10941	"selB" // "selA"
TU0-13794	EG11158 // EG30099	"fau" // "ssrS"
TU0-14192	G7912 // G7911 // G7910	"yjhI" // "yjhH" // "yjhG"
TU0-14715	G7264 // G7263	"murP" // "murQ"
TU0-42593	G6606	"ariR"
TU0-8339	G7443	"queE"
TU0-13000	G6346 // G6345	"dpiA" // "dpiB"
TU0-13384	G6934	"tcyP"
TU0-8831	G6134	"insH-1"
TU00336	EG10908 // EG10874	"rpsI" // "rplM"
TU0-13778	G7494	"yqeB"
TU0-14175	EG10694	"pepA"
TU0-14689	EG11158 // EG30099	"fau" // "ssrS"
TU0-42569	EG10946	"serC"
TU0-12982	G6315	"tfaD"
TU0-8325	EG12116	"acrR"
TU0-13368	G6913 // G6912 // G6911	"ydiJ" // "menI" // "ydiH"
TU0-8815	G7740	"nudE"
TU00319	EG10732 // EG10731	"phoQ" // "phoP"
TU0-13761	G7470	"ygeF"
TU0-14159	EG12504	"cycA"
TU0-14670	EG10001	"alr"
TU0-42544	G7919 // G7920 // G7921	"nanS" // "nanM" // "nanC"
TU0-12965	EG10328 // EG12879	"folD" // "ybcJ"
TU0-8243	EG10925 // EG11137 // EG11138	"ruvC" // "yebC" // "nudB"
TU0-13352	G6869	"cnu"
TU0-8795	G7961	"feaB"
TU0-13743	G7457	"mltA"
TU00304	EG10610 // EG10609 // EG10608	"mreD" // "mreC" // "mreB"
TU0-14141	G7834	"yjeI"
TU0-14647	G7321	"yfgM"
TU0-42517	EG11270	"ilvL"
TU0-12945	EG10765 // EG12830	"priC" // "ybaM"
TU0-8146	G7872	"ytfK"
TU0-13334	G6840	"ynfA"
TU0-8777	EG11753	"chaA"
TU0-13726	EG12634	"cas3"
TU00285	EG11269 // EG10449 // EG10447 // EG10446 // EG10445 // EG10450 // EG10444 // EG10448 // EG10451	"hisL" // "hisG" // "hisD" // "hisC" // "hisB" // "hisH" // "hisA" // "hisF" // "hisI"
TU0-14124	EG11940	"yjcE"
TU841	EG10137	"cdd"
TU0-14629	G6879 // EG11043	"pdxY" // "tyrS"
TU0-42495	EG11358 // G7657	"murA" // "ibaG"
TU0-12927	EG12182	"yajG"
TU0-7881	EG11618 // EG11617 // EG12136 // G7115 // G7114 // G7113	"baeR" // "baeS" // "mdtD" // "mdtC" // "mdtB" // "mdtA"
TU0-13318	G6822 // G0-10452	"ydfO" // "ynfO"
TU0-8757	EG12694	"ttdR"
TU0-13709	G7396	"yqaE"
TU00268	EG10284 // EG11856 // EG11857 // EG11858	"fdhE" // "fdoI" // "fdoH" // "fdoG"
TU0-14106	EG11208	"arpA"
TU783	EG10482 // EG10008	"zraR" // "zraS"
TU0-14609	G6092	"ispU"
TU0-42471	EG10587	"metH"
TU0-12909	G6221	"ykiB"
TU0-7745	G7237	"frc"
TU0-13301	G6807	"yneE"
TU0-8740	EG11538	"yfiC"
TU0-13691	G7361	"yfjJ"
TU00252	EG12151 // EG12150 // EG13238	"cobT" // "cobS" // "cobU"
TU0-14081	EG11874	"yiiQ"
TU67	EG11075 // EG11074	"xylB" // "xylA"
TU0-14553	EG30031 // EG30029 // EG30059 // EG30030	"glnX" // "glnV" // "metU" // "glnW"
TU0-42452	EG11403 // EG11510	"ppx" // "ppk"
TU0-12890	G6181	"yahB"
TU0-7501	EG12013	"bglX"
TU0-13285	G6774	"yddM"
TU0-8724	G7109	"yegI"
TU0-13672	EG10781	"pssA"
TU00236	EG11757 // EG11758 // EG11363 // EG11281 // EG10595 // EG10438 // EG10437 // EG10436 // EG10435	"tsaE" // "yjeF" // "amiB" // "mutL" // "miaA" // "hfq" // "hflX" // "hflK" // "hflC"
TU0-14064	G7814	"ompL"
TU581	G6619	"hlyE"
TU0-14531	EG12093 // EG11773	"nuoN" // "nuoM"
TU0-4201	EG12424 // EG10761 // EG10427	"prmC" // "prfA" // "hemA"
TU0-12874	G6152	"intF"
TU0-7182	G0-10202	"istR-1"
TU0-13268	G6755	"patD"
TU0-8707	G6863	"ydgC"
TU0-13654	G0-8879	"ryfA"
TU00220	EG11029	"trpR"
TU0-14047	EG10833	"recQ"
TU503	EG11531	"cfa"
TU0-14512	EG30013	"argQ"
TU0-41793	G6786	"gadC"
TU0-12858	EG11092	"crl"
TU0-6983	G6511	"cspG"
