FE,ZN,MN,CU,MO,NI,CO,Protein ID
0,0,0,0,0,0,0,ASPARTASE-CPLX
0,0,0,0,0,0,0,ASPCARBCAT-TRIMER
0,2,0,0,0,0,0,ASPCARBREG-DIMER
0,6,0,0,0,0,0,ASPCARBTRANS-CPLX
0,0,0,0,0,0,0,ASPKINIHOMOSERDEHYDROGI-CPLX
0,0,0,0,0,0,0,ASPKINIIHOMOSERDEHYDROGII-CPLX
0,0,0,0,0,0,0,ASPKINIII-CPLX
0,0,0,0,0,0,0,ASPS-CPLX
0,0,0,0,0,0,0,ATOA-CPLX
0,0,0,0,0,0,0,ATOD-CPLX
0,0,0,0,0,0,0,ATPA-CPLX
0,0,0,0,0,0,0,ATPASE-1-CPLX
0,0,0,0,0,0,0,ATPD-CPLX
0,0,0,0,0,0,0,ATPE-CPLX
0,0,0,0,0,0,0,ATPF-CPLX
0,0,0,0,0,0,0,ATPSYN-CPLX
0,0,0,0,0,0,0,B1-CPLX
4,0,0,0,0,0,0,B2-CPLX
0,0,0,0,0,0,0,BADH-CPLX
0,0,0,0,0,0,0,BETAGALACTOSID-CPLX
0,0,0,0,0,0,0,BIOTIN-CARBOXYL-CPLX
12,0,0,0,0,0,0,BIOTIN-SYN-CPLX
0,0,0,0,0,0,0,BRANCHED-CHAINAMINOTRANSFER-CPLX
0,2,0,0,0,0,0,CARBODEHYDRAT-CPLX
0,0,0,0,0,0,0,CARBPSYN-CPLX
0,0,0,0,0,0,0,CARNDEHYDRA-CPLX
0,0,0,0,0,0,0,CFA-CPLX
0,0,0,0,0,0,0,CHEZ-CPLX
0,0,0,0,0,0,0,CHORISMUTPREPHENDEHYDRAT-CPLX
0,0,0,0,0,0,0,CHORISMUTPREPHENDEHYDROG-CPLX
0,0,0,0,0,0,0,CITRATE-SI-SYNTHASE
0,0,0,0,0,0,0,CITRYLY-CPLX
0,0,0,0,0,0,0,CITTRANS-CPLX
0,0,0,0,0,0,0,COADTRI-CPLX
0,0,0,0,0,0,0,COBU-CPLX
0,0,0,0,0,0,0,CPLX-153
0,0,0,0,0,0,0,CPLX-154
0,0,0,0,0,0,0,CPLX-155
0,0,0,0,0,0,0,CPLX-156
0,0,0,0,0,0,0,CPLX-157
0,0,0,0,0,0,0,CPLX-158
0,0,0,0,0,0,0,CPLX-159
0,0,0,0,0,0,0,CPLX-160
0,0,0,0,0,0,0,CPLX-165
0,0,0,0,0,0,0,CPLX-166
0,2,0,0,0,0,0,CPLX-167
0,0,0,0,0,0,0,CPLX-168
0,0,0,0,0,0,0,CPLX-169
0,0,0,0,0,0,0,CPLX-170
0,0,0,0,0,0,0,CPLX-171
0,0,0,0,0,0,0,CPLX-3942
0,0,0,0,0,0,0,CPLX-3945
0,0,0,0,0,0,0,CPLX-3946
0,8,0,0,0,0,0,CPLX-64
0,0,0,0,0,0,0,CPLX-722
0,4,0,0,0,0,0,CPLX-7524
0,0,0,0,0,0,0,CPLX-7
0,0,0,0,0,0,0,CPLX-8331
0,2,0,0,0,0,0,CPLX-8401
0,0,0,0,0,0,0,CPLX-9493
0,0,0,0,0,0,0,CPLX-9494
0,0,0,0,0,0,0,CPLX-9495
0,0,0,0,0,0,0,CPLX0-0
0,0,0,0,0,0,0,CPLX0-1021
0,3,0,0,0,0,0,CPLX0-1101
0,0,0,0,0,0,0,CPLX0-1121
0,0,0,0,0,0,0,CPLX0-1141
0,0,0,0,0,0,0,CPLX0-1142
0,0,0,0,0,0,0,CPLX0-1161
0,0,0,0,0,0,0,CPLX0-1162
0,0,0,0,0,0,0,CPLX0-1163
0,0,0,0,0,0,0,CPLX0-1221
0,0,0,0,0,0,0,CPLX0-1241
0,0,0,0,0,0,0,CPLX0-1242
0,0,0,0,0,0,0,CPLX0-1261
0,4,0,0,0,0,0,CPLX0-1262
0,0,0,0,0,0,0,CPLX0-1321
0,0,0,0,0,0,0,CPLX0-1341
0,0,0,0,0,0,0,CPLX0-1401
96,0,0,0,0,0,0,CPLX0-1421
0,0,0,0,0,0,0,CPLX0-1441
0,0,0,0,0,0,0,CPLX0-1461
0,0,0,0,0,0,0,CPLX0-1521
0,0,0,0,0,0,0,CPLX0-1541
24,0,0,0,2,0,0,CPLX0-1601
0,0,0,0,0,0,0,CPLX0-1621
0,0,0,0,0,0,0,CPLX0-1642
0,0,0,0,0,0,0,CPLX0-1668
0,0,0,0,0,0,0,CPLX0-1683
0,0,0,0,0,0,0,CPLX0-1721
2,0,0,0,0,0,0,CPLX0-1762
0,2,0,0,0,0,0,CPLX0-1821
0,0,0,0,1,0,0,CPLX0-1841
0,0,0,0,0,0,0,CPLX0-1863
0,0,0,0,0,0,0,CPLX0-1881
0,0,0,0,0,0,0,CPLX0-1923
0,0,0,0,0,0,0,CPLX0-1924
0,0,0,0,0,0,0,CPLX0-1941
0,0,0,0,0,0,0,CPLX0-1942
0,0,0,0,0,0,0,CPLX0-1943
0,0,0,0,0,0,0,CPLX0-1962
12,0,0,0,0,0,0,CPLX0-1
0,0,0,0,0,0,0,CPLX0-201
0,0,0,0,0,0,0,CPLX0-2021
0,0,0,0,0,0,0,CPLX0-2061
0,0,0,0,0,0,0,CPLX0-2081
0,0,0,0,0,0,0,CPLX0-2121
0,0,0,0,0,0,0,CPLX0-2141
0,0,0,0,0,0,0,CPLX0-2161
0,0,0,0,0,0,0,CPLX0-2201
0,0,0,0,0,0,0,CPLX0-224
0,0,0,0,0,0,0,CPLX0-225
4,0,0,0,0,0,0,CPLX0-227
8,0,0,0,0,0,0,CPLX0-229
0,0,0,0,0,0,0,CPLX0-230
0,0,0,0,0,0,0,CPLX0-231
0,0,0,0,0,0,0,CPLX0-234
0,0,0,0,0,0,0,CPLX0-235
0,0,0,0,0,0,0,CPLX0-2361
0,0,0,0,0,0,0,CPLX0-236
0,0,0,0,0,0,0,CPLX0-237
0,4,0,0,0,0,0,CPLX0-2381
0,0,0,0,0,0,0,CPLX0-238
0,0,0,0,0,0,0,CPLX0-2401
0,4,0,0,0,0,0,CPLX0-240
0,0,0,0,0,0,0,CPLX0-2424
0,0,0,0,0,0,0,CPLX0-2425
0,0,0,0,0,0,0,CPLX0-242
0,0,0,0,0,0,0,CPLX0-243
0,0,0,0,0,0,0,CPLX0-2441
0,0,0,0,0,0,0,CPLX0-244
0,0,0,0,0,0,0,CPLX0-245
0,0,0,0,0,0,0,CPLX0-246
4,0,0,0,0,0,0,CPLX0-248
0,0,0,0,0,0,0,CPLX0-2502
28,0,0,0,0,0,0,CPLX0-250
0,0,0,0,0,0,0,CPLX0-251
0,0,0,0,0,0,0,CPLX0-2521
0,0,0,0,0,0,0,CPLX0-252
0,0,0,0,0,0,0,CPLX0-253
0,0,0,0,2,0,0,CPLX0-2541
0,0,0,0,0,0,0,CPLX0-254
0,0,0,0,0,0,0,CPLX0-255
0,0,0,0,0,0,0,CPLX0-2561
0,0,0,0,0,0,0,CPLX0-2621
0,0,0,0,0,0,0,CPLX0-2641
0,0,0,0,0,0,0,CPLX0-2661
0,0,0,0,0,0,0,CPLX0-2681
0,0,0,0,0,0,0,CPLX0-2861
0,0,0,0,0,0,0,CPLX0-2881
0,0,0,0,0,0,0,CPLX0-2921
0,0,0,0,0,0,0,CPLX0-2941
0,6,0,0,0,0,0,CPLX0-2982
0,4,0,0,0,0,0,CPLX0-3001
0,0,6,0,0,0,0,CPLX0-301
0,16,0,0,0,0,0,CPLX0-3021
0,0,4,0,0,0,0,CPLX0-303
0,4,0,0,0,0,0,CPLX0-3041
0,0,0,0,0,0,0,CPLX0-3061
0,0,0,0,0,0,0,CPLX0-3081
0,0,0,0,0,0,0,CPLX0-3101
0,6,0,0,0,0,0,CPLX0-3102
0,0,0,0,0,0,0,CPLX0-3104
0,12,0,0,0,0,0,CPLX0-3107
0,6,0,0,0,0,0,CPLX0-3108
0,0,0,0,0,0,0,CPLX0-3121
0,0,0,0,0,0,0,CPLX0-3141
0,4,0,0,0,0,0,CPLX0-3161
0,0,0,0,0,0,0,CPLX0-3181
0,4,0,0,0,0,0,CPLX0-3201
0,0,0,0,0,0,0,CPLX0-321
0,0,0,0,0,0,0,CPLX0-3221
0,0,0,0,0,0,0,CPLX0-322
24,0,0,0,0,0,0,CPLX0-3241
0,0,0,0,0,0,0,CPLX0-3281
0,0,0,0,0,0,0,CPLX0-3301
32,0,0,0,0,0,0,CPLX0-3361
0,1,0,0,0,0,0,CPLX0-3382
0,0,0,0,0,0,0,CPLX0-3401
0,0,0,0,0,0,0,CPLX0-341
0,4,0,0,0,0,0,CPLX0-3461
0,0,0,0,0,0,0,CPLX0-3482
0,0,0,0,0,0,0,CPLX0-3501
0,0,0,0,0,0,0,CPLX0-3521
0,0,0,0,0,0,0,CPLX0-3541
0,2,0,0,0,4,0,CPLX0-3561
0,0,0,0,0,0,0,CPLX0-3581
0,4,0,0,0,0,0,CPLX0-3601
0,0,0,0,0,0,0,CPLX0-3602
0,0,0,0,0,0,0,CPLX0-3621
0,0,0,0,0,0,0,CPLX0-3641
0,0,0,0,0,0,0,CPLX0-3661
0,0,0,0,0,0,0,CPLX0-3681
0,0,0,0,0,0,0,CPLX0-3721
0,0,0,0,0,0,0,CPLX0-3741
0,0,0,0,0,0,0,CPLX0-3761
0,0,0,0,0,0,0,CPLX0-3781
0,0,0,0,0,0,0,CPLX0-3801
