"transcription_units"	"monomers_to_remove"
["EG10527", "EG10526", "EG10524"]	["EG10527", "EG10526", "EG10524"]
["EG10526", "EG10524"]	["EG10526", "EG10524"]
["EG12197", "EG12144"]	["EG12197"]
["EG10053", "EG10052", "EG10055"]	["EG10053", "EG10052", "EG10055"]
["EG10468", "EG10469", "EG10470", "EG10471", "EG10472", "EG10473"]	["EG10468", "EG10469", "EG10470", "EG10471", "EG10472", "EG10473"]
["EG10912", "EG10910", "EG10903", "EG10893", "EG10878"]	["EG10912", "EG10910", "EG10903", "EG10893", "EG10878"]
