"Gene"	"M9 Glucose minus AAs"
"EG10247"	9.82429333333
"EG10248"	11.3328666667
"EG10249"	8.08351
"EG10250"	7.66711
"EG10251"	9.03192
"EG10252"	8.31720666667
"EG10253"	6.85478333333
"EG10254"	8.69053
"EG10255"	10.0507833333
"EG10256"	10.0323166667
"EG10257"	11.0311
"EG10258"	11.7464
"EG10259"	8.47234333333
"EG10260"	9.77446
"EG10261"	9.25031
"EG10262"	7.22732666667
"EG10263"	9.38031666667
"EG10264"	8.48236
"EG10265"	10.6772966667
"EG10266"	7.23312333333
"EG10267"	7.14198333333
"EG10268"	6.31802333333
"EG10269"	9.51442
"EG10270"	8.86186333333
"EG10271"	9.76451666667
"EG10272"	9.8077
"EG10273"	10.7900333333
"EG10274"	11.7660666667
"EG10275"	10.98346
"EG10276"	9.96698
"EG10277"	11.2425666667
"EG10278"	8.64211666667
"EG10279"	8.93490666667
"EG10280"	9.14106333333
"EG10281"	9.83448333333
"EG10282"	10.4961766667
"EG10283"	10.36091
"EG10284"	9.5716
"EG10285"	8.56846
"EG10286"	8.65217666667
"EG10287"	8.2102
"EG10288"	8.67796333333
"EG10289"	8.53868333333
"EG10290"	8.68143333333
"EG10291"	9.16806
"EG10292"	8.47279333333
"EG10293"	10.0727533333
"EG10294"	8.27970333333
"EG10295"	9.05658666667
"EG10296"	9.19131
"EG10297"	8.04355666667
"EG10298"	9.01594
"EG10299"	9.04271333333
"EG10300"	10.1541933333
"EG10301"	8.99098666667
"EG10302"	9.59016
"EG10303"	8.63312
"EG10304"	9.61885
"EG10305"	8.75216333333
"EG10306"	8.52635
"EG10307"	9.65492333333
"EG10308"	10.0388433333
"EG10309"	7.27509
"EG10310"	8.04316
"EG10311"	7.99991666667
"EG10312"	8.20992
"EG10313"	7.84055333333
"EG10314"	8.86956333333
"EG10315"	8.43791
"EG10316"	11.4124333333
"EG10317"	10.94696
"EG10318"	10.2637733333
"EG10319"	8.6091
"EG10320"	9.26736333333
"EG10321"	8.9629
"EG10322"	8.28615666667
"EG10323"	7.17476333333
"EG10324"	8.03695
"EG10325"	9.61242333333
"EG10326"	10.1976666667
"EG10327"	9.88414
"EG10328"	9.86707333333
"EG10329"	9.19016333333
"EG10330"	9.58433333333
"EG10331"	9.99280333333
"EG10332"	7.40534333333
"EG10333"	9.41617333333
"EG10334"	10.2041033333
"EG10335"	10.9122666667
"EG10336"	10.2832166667
"EG10337"	8.94202333333
"EG10338"	9.16185333333
"EG10339"	10.9048666667
"EG10340"	10.4599
"EG10341"	9.59953666667
"EG10342"	10.9675666667
"EG10343"	9.62241333333
"EG10344"	9.22611666667
"EG10345"	10.2140233333
"EG10346"	11.0035333333
"EG10347"	11.6904666667
"EG10348"	7.83731
"EG10349"	8.94746666667
"EG10350"	8.76628666667
"EG10351"	8.43277666667
"EG10352"	6.91261666667
"EG10353"	9.13015666667
"EG10355"	9.67702
"EG10356"	10.1741733333
"EG10357"	8.06937333333
"EG10358"	8.65279666667
"EG10359"	10.5909633333
"EG10360"	13.0333666667
"EG10361"	9.35591
"EG10362"	9.05536
"EG10363"	10.04455
"EG10364"	10.14545
"EG10365"	8.87746333333
"EG10366"	8.56928
"EG10367"	12.3624333333
"EG10368"	10.01995
"EG10369"	10.2408566667
"EG10370"	9.79721666667
"EG10371"	11.8919333333
"EG10372"	11.1838
"EG10373"	9.10687312087
"EG10374"	9.67398333333
"EG10375"	9.85491666667
"EG10376"	9.29833333333
"EG10377"	9.65015
"EG10378"	11.223
"EG10379"	10.38846
"EG10380"	9.46836333333
"EG10381"	10.6578
"EG10382"	10.1220933333
"EG10383"	10.5248966667
"EG10384"	9.05358666667
"EG10385"	9.67762333333
"EG10386"	12.0526333333
"EG10387"	9.52871333333
"EG10388"	10.5634766667
"EG10389"	11.0304
"EG10390"	10.2800333333
"EG10391"	9.09738333333
"EG10392"	9.55634
"EG10393"	9.01118333333
"EG10394"	9.66163333333
"EG10395"	10.04523
"EG10396"	9.55585666667
"EG10397"	10.1531
"EG10398"	9.34481666667
"EG10399"	9.41597333333
"EG10400"	9.17777666667
"EG10401"	10.3128166667
"EG10402"	11.1882566667
"EG10403"	11.88793
"EG10404"	12.2437
"EG10405"	9.08894333333
"EG10406"	9.44535
"EG10407"	10.6262
"EG10408"	10.94107
"EG10409"	10.20526
"EG10410"	10.6198666667
"EG10411"	11.0334366667
"EG10412"	10.7732666667
"EG10413"	8.51226
"EG10414"	10.1611333333
"EG10415"	8.91064666667
"EG10416"	10.4821666667
"EG10417"	9.07623
"EG10418"	11.8529666667
"EG10419"	10.2866666667
"EG10420"	10.0715366667
"EG10421"	10.81823
"EG10422"	9.37627666667
"EG10423"	9.77195666667
"EG10424"	9.37382666667
"EG10425"	9.73885333333
"EG10426"	9.75174666667
"EG10427"	9.71933
"EG10428"	9.70482666667
"EG10429"	9.36095666667
"EG10430"	10.1983
"EG10431"	9.73068666667
"EG10432"	9.98580333333
"EG10433"	10.1434233333
"EG10434"	9.40376
"EG10435"	10.32384
"EG10436"	10.7233666667
"EG10437"	11.1908
"EG10438"	11.8522
"EG10439"	10.5456333333
"EG10440"	12.1660666667
"EG10441"	11.7924333333
"EG10442"	9.08232333333
"EG10443"	9.47904666667
"EG10444"	10.8379333333
"EG10445"	9.54471666667
"EG10446"	10.4868433333
"EG10447"	10.29204
"EG10448"	10.41745
"EG10449"	11.3253666667
"EG10450"	9.99842666667
"EG10451"	9.99055666667
"EG10452"	10.3871
"EG10453"	10.6527333333
"EG10454"	10.5679666667
"EG10455"	11.9412
"EG10456"	9.08616
"EG10457"	12.9521333333
"EG10458"	10.1719533333
"EG10459"	8.34616666667
"EG10460"	7.92157666667
"EG10461"	9.31486
"EG10462"	10.09514
"EG10463"	9.24141333333
"EG10464"	9.39182666667
"EG10465"	10.71538
"EG10466"	12.0094
"EG10467"	11.724
"EG10468"	9.19525333333
"EG10469"	8.99519333333
"EG10470"	8.3007
"EG10471"	8.85798666667
"EG10472"	8.27559666667
"EG10473"	8.02033333333
"EG10474"	8.02270333333
"EG10475"	8.59759666667
"EG10476"	8.52334
"EG10477"	9.01174
"EG10478"	8.48183333333
"EG10479"	8.75688666667
"EG10480"	8.91081666667
"EG10481"	8.64642
"EG10482"	9.50770666667
"EG10483"	9.12334666667
"EG10484"	9.11310333333
"EG10485"	9.85798333333
"EG10486"	9.64231666667
"EG10487"	9.58092333333
"EG10488"	8.42929666667
"EG10489"	12.9410333333
"EG10490"	8.12176333333
"EG10491"	9.41628333333
"EG10492"	11.2457333333
"EG10493"	10.0171033333
"EG10494"	10.55807
"EG10495"	11.91222
"EG10496"	10.5307
"EG10497"	11.2114
"EG10498"	9.10687312087
"EG10499"	10.02241
"EG10500"	10.3471033333
"EG10501"	11.1366
"EG10502"	10.6271666667
"EG10503"	9.85850666667
"EG10504"	11.979
"EG10505"	10.46174
"EG10506"	13.4484333333
"EG10507"	8.28279666667
"EG10508"	9.58104333333
"EG10509"	10.0598533333
"EG10510"	12.0830333333
"EG10511"	10.10355
"EG10512"	10.1068766667
"EG10513"	9.07663333333
"EG10514"	7.35985666667
"EG10515"	9.32465666667
"EG10516"	9.70782666667
"EG10517"	9.81146666667
"EG10518"	10.24143
"EG10519"	9.81155333333
"EG10520"	10.41
"EG10521"	10.18933
"EG10522"	11.7107
"EG10523"	10.1310933333
"EG10524"	6.87401666667
"EG10525"	10.7253666667
"EG10526"	9.10687312087
"EG10527"	9.53529666667
"EG10528"	9.73043
"EG10529"	9.52462666667
"EG10530"	10.0282033333
"EG10531"	7.55685
"EG10532"	10.8504666667
"EG10533"	10.4213266667
"EG10534"	10.03034
"EG10535"	6.10078666667
"EG10536"	10.3932333333
"EG10537"	10.78728
"EG10538"	11.4405
"EG10539"	13.0199666667
"EG10540"	11.3299
"EG10541"	10.1247466667
"EG10542"	10.22539
"EG10543"	11.8234666667
"EG10544"	13.6639666667
"EG10545"	9.28381333333
"EG10546"	9.66525
"EG10547"	11.7703333333
"EG10548"	10.5872
"EG10549"	9.97574
"EG10550"	8.97073
"EG10551"	8.21213
"EG10552"	9.09958666667
"EG10553"	8.62428
"EG10554"	10.03534
"EG10555"	8.77212
"EG10556"	8.74003666667
"EG10557"	9.13605666667
"EG10558"	9.12266666667
"EG10559"	8.98127333333
"EG10560"	9.34657666667
"EG10561"	9.56218666667
"EG10562"	8.94366
"EG10563"	7.69967666667
"EG10564"	7.27700333333
"EG10565"	9.38687
"EG10566"	9.71596333333
"EG10567"	11.3241333333
"EG10568"	11.7372333333
"EG10569"	9.71204666667
"EG10570"	10.2145233333
"EG10571"	11.3152333333
"EG10572"	9.82142666667
"EG10573"	6.44876666667
"EG10574"	8.39731333333
"EG10575"	6.53567666667
"EG10576"	12.0089
"EG10577"	8.85551
"EG10578"	6.95018
"EG10579"	9.33557333333
"EG10580"	9.38924
"EG10581"	10.0483
"EG10582"	9.72452
"EG10583"	9.44565333333
"EG10584"	11.9825333333
"EG10585"	10.5832666667
"EG10586"	10.6308333333
"EG10587"	10.0584666667
"EG10588"	10.2601733333
"EG10589"	10.67527
"EG10590"	9.35172333333
"EG10591"	9.11015
"EG10592"	8.65792
"EG10593"	10.9780666667
"EG10594"	9.11623666667
"EG10595"	12.3471
"EG10596"	11.4413666667
"EG10597"	10.5211133333
"EG10598"	10.52481
"EG10599"	10.2765533333
"EG10600"	11.5014
"EG10601"	7.89344666667
"EG10602"	7.72437333333
"EG10603"	10.5437866667
"EG10604"	8.65047333333
"EG10605"	9.92044666667
"EG10606"	9.28010666667
"EG10607"	9.31726
"EG10608"	10.6340166667
"EG10609"	9.39034333333
"EG10610"	9.38168333333
"EG10611"	10.1529366667
"EG10612"	9.95663
"EG10613"	9.39578666667
"EG10614"	9.72852666667
"EG10615"	10.0388466667
"EG10616"	9.04778666667
"EG10617"	8.84061333333
"EG10618"	9.55681666667
"EG10619"	9.34532666667
"EG10620"	9.6694
"EG10621"	10.3099733333
"EG10622"	9.67078
"EG10623"	9.51078333333
"EG10624"	8.67968
"EG10625"	9.24574333333
"EG10626"	9.12902666667
"EG10627"	9.37279333333
"EG10628"	9.88172666667
"EG10629"	7.34926666667
