"Gene"	"M9 Glucose minus AAs"
"EG10272"	10.9829
"EG10273"	10.58175
"EG10274"	11.6045
"EG10275"	11.28015
"EG10276"	10.7299
"EG10277"	11.0843
"EG10278"	7.832085
"EG10279"	9.215065
"EG10280"	9.318485
"EG10281"	10.10727
"EG10282"	12.26635
"EG10283"	10.250905
"EG10284"	9.69384
"EG10285"	8.144095
"EG10286"	8.994575
"EG10287"	8.312175
"EG10288"	8.58474
"EG10289"	7.921415
"EG10290"	8.52471
"EG10291"	9.861105
"EG10292"	8.789295
"EG10293"	9.395475
"EG10294"	8.074625
"EG10295"	8.747405
"EG10296"	8.329575
"EG10297"	7.63983
"EG10298"	6.89491
"EG10299"	9.02175
"EG10300"	10.2535
"EG10301"	8.030455
"EG10302"	9.972385
"EG10303"	7.187155
"EG10304"	9.47528
"EG10305"	7.6944
"EG10306"	8.731925
"EG10307"	8.838765
"EG10308"	11.008
"EG10309"	9.29413
"EG10310"	9.763695
"EG10311"	8.85085
"EG10312"	8.82276
"EG10313"	8.8236
"EG10314"	8.987275
"EG10315"	8.600405
"EG10316"	11.2802
"EG10317"	11.71375
"EG10318"	10.90695
"EG10319"	9.608355
"EG10320"	9.411475
"EG10321"	10.484815
"EG10322"	8.84377
"EG10323"	9.33188
"EG10324"	8.794255
"EG10325"	11.55175
"EG10326"	9.80401
"EG10327"	10.040305
"EG10328"	10.5769
"EG10329"	8.940265
"EG10330"	8.461345
"EG10331"	7.650755
"EG10332"	6.89715
"EG10333"	8.54785
"EG10334"	10.4653
"EG10335"	11.42155
"EG10336"	9.437435
"EG10337"	9.177825
"EG10338"	10.1243
"EG10339"	10.46885
"EG10340"	9.8003
"EG10341"	9.855095
"EG10342"	10.5612
"EG10343"	9.83456
"EG10344"	9.83507
"EG10345"	9.50338
"EG10346"	9.795005
"EG10347"	11.32385
"EG10348"	8.345255
"EG10349"	7.429175
"EG10350"	7.85434
"EG10351"	8.67778
"EG10352"	7.235265
"EG10353"	9.352805
"EG10355"	9.00181
"EG10356"	10.66091
"EG10357"	8.448035
"EG10358"	9.214845
"EG10359"	11.6524
"EG10360"	13.24975
"EG10361"	8.06179
"EG10362"	9.137685
"EG10363"	9.34558
"EG10364"	9.1078
"EG10365"	9.014885
"EG10366"	9.083785
"EG10367"	12.461
"EG10368"	10.6671
"EG10369"	9.849625
"EG10370"	10.8179
"EG10371"	11.71685
"EG10372"	11.6165
"EG10373"	9.10687312127
"EG10374"	8.903655
"EG10375"	10.0845
"EG10376"	9.58558
"EG10377"	10.4477
"EG10378"	10.66725
"EG10379"	10.45615
"EG10380"	9.908655
"EG10381"	10.09301
"EG10382"	9.7518
"EG10383"	12.77465
"EG10384"	9.846115
"EG10385"	8.99055
"EG10386"	11.60845
"EG10387"	10.7714
"EG10388"	10.6737
