Filtered Monomer ID,Average Protein Count
1-ACYLGLYCEROL-3-P-ACYLTRANSFER-MONOMER[i],181.48375598050032
1-PFK-MONOMER[c],71.46546040258154
2-DEHYDROPANTOATE-REDUCT-MONOMER[c],151.6942595869012
2-ISOPROPYLMALATESYN-MONOMER[c],4173.409858593117
2-OCTAPRENYL-METHOXY-BENZOQ-METH-MONOMER[c],407.57627091734685
2-OCTAPRENYLPHENOL-HYDROX-MONOMER[i],60.300342791149994
3-CH3-2-OXOBUTANOATE-OH-CH3-XFER-MONOMER[c],3410.306472074858
3-ISOPROPYLMALDEHYDROG-MONOMER[c],4945.669755070064
3-OXOACYL-ACP-REDUCT-MONOMER[c],4465.21706975447
3-OXOACYL-ACP-SYNTHII-MONOMER[c],1588.5320885113401
4OHBENZOATE-OCTAPRENYLTRANSFER-MONOMER[i],33.869658900841394
6PFK-1-MONOMER[c],2776.522768187671
6PFK-2-MONOMER[c],174.25690183911948
6PGLUCONDEHYDROG-MONOMER[c],3501.3287394255763
6PGLUCONOLACT-MONOMER[c],1416.9676416991717
7-ALPHA-HYDROXYSTEROID-DEH-MONOMER[c],710.2523197875423
7KAPSYN-MONOMER[c],123.63250266953811
AAS-MONOMER[i],63.85840379761746
ABC-MONOMER[m],491.1951827151582
ABGT-MONOMER[i],2.593381998989443
ACETATEKINA-MONOMER[c],1860.0677412596192
ACETOLACTSYNIII-HCHAIN-MONOMER[c],543.6308103948334
ACETOLACTSYNIII-ICHAIN-MONOMER[c],307.58748147437797
ACETYL-COA-ACETYLTRANSFER-MONOMER[c],175.60026665121572
ACETYLGLUTKIN-MONOMER[c],287.98207845490333
ACETYLORNDEACET-MONOMER[c],613.3348845118379
ACETYLORNTRANSAM-MONOMER[c],455.45618897642424
ACNEULY-MONOMER[c],227.0956734280185
ACONITASE-MONOMER[c],380.8949397684923
ACONITATEDEHYDRB-MONOMER[c],3837.55992904432
ACPSUB-MONOMER[c],0.13145661157024793
ACRB-MONOMER[m],225.55734653569854
ACRD-MONOMER[i],5.640165670718596
ACS-MONOMER[c],289.5881814869513
ACSERLYA-MONOMER[c],19936.225785738963
ACSERLYB-MONOMER[c],822.2888889669366
ACYLCOADEHYDROG-MONOMER[c],23.49151093385111
ACYLCOASYN-MONOMER[c],104.5101331143841
ADCLY-MONOMER[c],1889.602086243321
ADENODEAMIN-MONOMER[c],199.71842070602074
ADENPRIBOSYLTRAN-MONOMER[c],2543.6227185353177
ADENYL-KIN-MONOMER[c],6992.406161952041
ADENYLATECYC-MONOMER[c],73.85502268418405
ADENYLOSUCCINATE-SYN-MONOMER[c],5394.901811371713
ADENYLYLSULFKIN-MONOMER[c],972.5885525110286
ADHC-MONOMER[c],621.2095669305647
ADHE-MONOMER[c],4389.736069304642
ADHP-MONOMER[c],443.7450985366241
AERGLYC3PDEHYDROG-MONOMER[i],9460.142356437023
AGAB-MONOMER[c],0.5714285714285714
AGAC-MONOMER[i],0.39285714285714285
AGAD-MONOMER[i],1.0834983008708607
AGAX-MONOMER[m],56.71064465187946
AGMATIN-MONOMER[c],1494.7502519203247
AICARTRANSIMPCYCLO-CPLX[c],1553.9536368163722
AIRS-MONOMER[c],1991.2846027892413
AKBLIG-MONOMER[c],97.0038856009654
ALARACEBIOSYN-MONOMER[c],75.04730387008998
ALARACECAT-MONOMER[c],97.32923092709643
ALAS-MONOMER[c],1658.385627746338
ALDDEHYDROGB-MONOMER[c],6.400796956190345
ALDHDEHYDROG-MONOMER[c],168.02144984426658
ALDOSE1EPIM-MONOMER[c],732.1619544669504
ALKAPHOSPHA-MONOMER[p],7.720156796546907
ALPHA-AMYL-CYTO-MONOMER[c],303.7234458867908
ALPHA-AMYL-PERI-MONOMER[p],27.19457686550365
ALPHACOMP-MONOMER[c],1080.5899434842192
ALPHAGALACTOSID-MONOMER[c],56.19071075224708
ALTRO-OXIDOREDUCT-MONOMER[c],16.9084643634089
ALTRODEHYDRAT-MONOMER[c],71.2606634545579
AMINEOXID-MONOMER[p],10.311700943654207
AMP-NUCLEOSID-MONOMER[c],1896.3505303540683
