gene	protein_synthesis_rate__molecules_per_generation__MOPS_complete	protein_synthesis_rate__molecules_per_generation__MOPS_minimal	mrna_level__RPKM	translation_efficiency
garL	[16]	10	[1]	NA
garP	[0]	[0]	[0]	NA
garR	127	83	[7]	NA
gatA	1261	3865	152	0.64
gatB	868	2860	119	0.56
gatC	1319	3222	127	0.8
gatD	643	2360	34	1.44
gatY	5521	9086	288	1.48
gatZ	3240	6372	212	1.18
gcd	582	415	49	0.92
gcl	15	9	[1]	NA
gcp	1968	493	99	1.53
gcvA	287	117	39	0.56
gcvH	2321	4002	58	3.07
gcvP	397	836	24	1.29
gcvR	583	579	91	0.49
gcvT	475	941	33	1.12
gdhA	373	5645	17	1.71
gfcA	163	66	[8]	NA
gfcB	[1]	[0]	[2]	NA
gfcC	[12]	[5]	[4]	NA
gfcD	12	4	[2]	NA
gfcE	74	21	[5]	NA
ggt	27	360	[2]	NA
ghrA	561	825	21	2.03
ghrB	2255	1988	73	2.39
glcA	[3]	17	[3]	NA
glcB	214	338	10	1.69
glcC	79	126	11	0.55
glcD	[1]	11	[1]	NA
glcE	[2]	7	[2]	NA
glcF	[1]	10	[2]	NA
glcG	168	278	[7]	NA
gldA	91	94	[7]	NA
glf	3076	1796	185	1.28
glgA	168	622	44	0.29
glgB	117	448	45	0.2
glgC	257	910	39	0.51
glgP	178	427	36	0.38
glgS	231	1445	[18]	NA
glgX	47	180	30	0.12
glk	979	544	31	2.42
glmM	5713	1268	272	1.61
glmS	7232	2254	475	1.17
glmU	3249	795	385	0.65
glnA	2480	14311	88	2.18
glnB	5206	2073	189	2.12
glnD	188	167	27	0.53
glnE	212	153	44	0.37
glnG	137	274	21	0.49
glnH	627	3566	22	2.22
glnK	[0]	223	[1]	NA
glnL	54	82	24	0.17
glnP	149	314	17	0.69
glnQ	246	700	16	1.18
glnS	8204	1605	372	1.7
gloA	5210	2525	126	3.18
gloB	390	401	19	1.57
glpA	[2]	[0]	[1]	NA
glpB	[4]	[0]	[1]	NA
glpC	[8]	5	[1]	NA
glpD	127	45	9	1.1
glpE	934	330	85	0.84
glpF	30	8	[7]	NA
glpG	744	138	109	0.53
glpK	377	129	13	2.15
glpQ	56	31	14	0.31
glpR	1057	295	88	0.92
glpT	49	[2]	[5]	NA
glpX	1029	238	45	1.77
glrK	46	23	17	0.21
glrR	118	60	24	0.37
gltA	2408	8529	124	1.49
gltB	1079	6013	95	0.87
gltD	1275	6079	93	1.05
gltF	488	623	15	2.47
gltI	1254	3332	52	1.86
gltJ	160	80	28	0.44
gltK	173	75	30	0.45
gltL	665	357	35	1.47
gltP	2118	124	155	1.05
gltS	365	108	40	0.7
gltX	13429	2554	458	2.25
glxK	52	39	[4]	NA
glxR	16	10	[1]	NA
glyA	13787	22684	382	2.78
glyQ	12365	1790	662	1.44
glyS	12974	1945	657	1.52
gmd	13	17	[0]	NA
gmhB	1350	530	63	1.66
gmk	4423	524	382	0.89
gmm	[0]	[2]	[1]	NA
gmr	36	89	6	0.5
gnd	27814	9767	1064	2.01
gnsA	6667	921	138	3.72
gnsB	4708	3542	106	3.42
gntK	134	49	[9]	NA
gntP	60	5	[5]	NA
gntR	592	158	59	0.78
gntT	66	58	14	0.37
gntU	31	5	7	0.32
gntX	[8]	[2]	61	0.01
gor	3255	1055	139	1.8
gph	1316	432	171	0.59
gpmA	29287	11670	599	3.76
gpmM	5931	2600	210	2.17
gpp	286	153	89	0.25
gpr	83	114	[6]	NA
gpsA	1471	355	287	0.39
gpt	16116	2035	388	3.2
greA	9172	1510	279	2.53
greB	439	149	39	0.87
groL	52165	11204	2305	1.74
groS	59001	13733	1932	2.35
grpE	23174	4731	680	2.62
grxA	1247	431	49	1.94
grxB	936	2912	25	2.83
grxC	7668	2978	474	1.25
grxD	20731	8964	411	3.88
gshA	1300	502	158	0.63
gshB	2739	1288	124	1.7
gsiA	41	219	13	0.25
gsiB	71	574	9	0.62
gsiC	20	93	9	0.17
gsiD	28	109	[7]	NA
gsk	1792	323	85	1.62
gspA	[0]	[1]	[1]	NA
gspB	4	[5]	[6]	NA
gspC	[5]	7	[1]	NA
gspD	[3]	5	[2]	NA
gspE	[1]	[2]	[1]	NA
gspF	[0]	[2]	[1]	NA
gspG	[2]	[2]	[1]	NA
gspH	[0]	[0]	[1]	NA
gspI	[0]	[0]	[2]	NA
gspJ	[0]	[0]	[1]	NA
gspK	[0]	[0]	[1]	NA
gspL	[1]	[1]	[2]	NA
gspM	[1]	[6]	[2]	NA
gspO	[2]	[1]	[2]	NA
gss	1111	558	53	1.62
gst	706	1382	27	2.03
gtrA	705	118	156	0.35
gtrB	1260	639	113	0.86
gtrS	385	439	55	0.54
guaA	21887	3901	886	1.9
guaB	25233	5538	792	2.45
guaC	2831	3013	134	1.63
guaD	41	37	[4]	NA
gudD	119	58	6	1.49
gudP	[0]	[0]	[1]	NA
gudX	[1]	[2]	[2]	NA
gutM	[18]	11	[3]	NA
gutQ	596	187	28	1.65
gyrA	5219	1407	415	0.97
gyrB	5582	1276	281	1.53
hcaB	[7]	11	[2]	NA
hcaC	[13]	14	[2]	NA
hcaD	22	27	[3]	NA
hcaE	[4]	10	[5]	NA
hcaF	[2]	[6]	[2]	NA
hcaR	33	61	[5]	NA
hcaT	116	20	21	0.41
hchA	335	1879	18	1.43
hcp	[4]	[1]	[2]	NA
hcr	18	16	[2]	NA
hda	188	99	79	0.18
hdeA	714	19005	[23]	NA
hdeB	191	5467	[9]	NA
hdeD	88	1108	[7]	NA
hdfR	297	166	21	1.08
hdhA	864	1152	49	1.34
helD	251	165	26	0.73
hemA	231	115	56	0.32
hemB	3626	1093	153	1.82
hemC	1131	322	105	0.82
hemD	136	96	79	0.13
hemE	2118	621	120	1.36
hemF	221	85	42	0.4
hemG	863	329	64	1.04
hemH	476	124	35	1.03
hemL	4631	1124	208	1.71
hemN	873	305	77	0.87
hemX	1016	543	100	0.78
hemY	798	305	94	0.65
hflC	4009	923	370	0.83
hflD	763	320	156	0.38
hflK	3846	1048	356	0.83
hflX	684	374	270	0.2
hfq	27919	8277	1057	2.03
hha	2927	1656	133	1.69
hicA	[14]	[19]	[15]	NA
hicB	280	233	[12]	NA
higA	315	128	[15]	NA
higB	31	[10]	[15]	NA
hinT	3872	2098	119	2.5
hipA	134	62	11	0.92
hipB	175	91	[18]	NA
hisA	872	739	85	0.79
hisB	1672	1721	101	1.27
hisC	1377	1453	83	1.27
hisD	1430	1353	95	1.16
hisF	1002	989	79	0.97
hisG	2848	2567	99	2.22
hisH	1131	1212	97	0.9
hisI	2356	2042	90	2.01
hisJ	1763	5085	56	2.41
hisL	913	640	448	0.16
hisM	79	142	17	0.35
hisP	241	348	18	1.06
hisQ	88	154	22	0.31
hisS	3774	1118	308	0.94
hiuH	52	81	[2]	NA
hlyE	[4]	11	[0]	NA
hmp	984	289	25	2.97
hns	86090	28848	1459	4.54
hofB	[1]	[1]	[3]	NA
hofC	[3]	[1]	[3]	NA
hofM	17	12	[4]	NA
hofN	[5]	[4]	[2]	NA
hofO	[2]	[1]	[1]	NA
hofP	[0]	[1]	[1]	NA
hofQ	[2]	[2]	[1]	NA
hokA	[7]	[2]	[1]	NA
hokB	[13]	[17]	56	0.02
hokC	[0]	[0]	[0]	NA
hokD	[18]	[8]	82	0.02
hokE	[2]	[2]	[1]	NA
holA	140	82	85	0.13
holB	218	77	62	0.27
holC	266	167	188	0.11
holD	338	118	167	0.16
holE	1204	903	39	2.35
hpf	1006	2917	167	0.46
hpt	7860	1120	329	1.84
hrpA	602	197	46	1
hrpB	134	39	33	0.31
hscA	2256	542	277	0.63
hscB	1461	416	253	0.44
hscC	[5]	[1]	[2]	NA
hsdM	2090	450	95	1.7
hsdR	404	186	41	0.75
hsdS	552	158	45	0.94
hslJ	1675	264	78	1.65
hslO	6405	952	229	2.15
hslR	676	174	158	0.33
hslU	9329	1426	396	1.81
hslV	6354	1016	346	1.41
hspQ	830	254	210	0.3
hsrA	10	10	10	0.07
htpG	12381	2421	418	2.28
htpX	4504	824	289	1.2
htrE	[0]	[0]	[1]	NA
hupA	86734	29042	2120	3.15
hupB	74002	28193	2321	2.45
hyaA	[1]	7	[0]	NA
hyaB	[1]	7	[1]	NA
hyaC	[0]	[3]	[1]	NA
hyaD	[1]	[4]	[2]	NA
hyaE	[1]	[4]	[2]	NA
hyaF	[1]	[2]	[1]	NA
hybA	114	10	15	0.58
hybB	46	5	15	0.24
hybC	273	40	35	0.61
hybD	133	26	46	0.22
hybE	116	23	43	0.21
hybF	47	[9]	[17]	NA
hybG	194	74	[22]	NA
hybO	191	15	18	0.84
hycA	[0]	[1]	[0]	NA
hycB	[4]	[1]	[1]	NA
hycC	[1]	[1]	[0]	NA
hycD	[4]	[1]	[1]	NA
hycE	10	6	[1]	NA
hycF	[14]	[7]	[2]	NA
hycG	21	8	[4]	NA
hycH	28	18	[9]	NA
hycI	191	91	18	0.83
hydN	[3]	[1]	[2]	NA
hyfA	[0]	[0]	[1]	NA
hyfB	[0]	[0]	[1]	NA
hyfC	[0]	[0]	[0]	NA
hyfD	[0]	[0]	[0]	NA
hyfE	[0]	[1]	[0]	NA
hyfF	[0]	[1]	[1]	NA
hyfG	[4]	4	[1]	NA
hyfH	[5]	9	[1]	NA
hyfI	[2]	[6]	[2]	NA
hyfJ	[3]	[4]	[2]	NA
hyfR	[0]	[0]	[1]	NA
hyi	[4]	9	[1]	NA
hypA	[1]	[3]	[5]	NA
hypB	164	54	[9]	NA
hypC	56	19	[6]	NA
hypD	82	24	8	0.78
hypE	72	38	9	0.62
hypF	38	14	4	0.66
hyuA	[1]	[2]	[1]	NA
iaaA	74	257	21	0.27
iadA	1637	225	71	1.77
iap	99	34	13	0.59
ibpA	2834	666	176	1.24
ibpB	620	138	83	0.57
ibsA	[0]	[0]	[8]	NA
ibsB	[0]	[0]	[21]	NA
ibsC	[0]	[0]	[16]	NA
ibsD	[0]	[0]	[47]	NA
ibsE	[5]	[0]	[45]	NA
icd	29482	38899	886	2.56
iclR	519	147	102	0.39
idi	110	96	[6]	NA
idnD	[8]	9	[1]	NA
idnK	29	15	[2]	NA
idnO	50	19	[3]	NA
idnR	84	60	11	0.58
idnT	[4]	[2]	[5]	NA
ihfA	11148	5115	765	1.12
ihfB	15238	12357	610	1.92
ileS	6143	2270	337	1.4
ilvA	346	400	37	0.72
ilvB	1207	1990	57	1.62
ilvC	865	29455	28	2.37
ilvD	579	675	46	0.97
ilvE	2072	2671	62	2.57
ilvH	146	1131	[14]	NA
ilvI	115	944	15	0.58
ilvL	3985	4076	1508	0.2
ilvM	59	279	[22]	NA
ilvN	897	1617	44	1.57
ilvX	102	972	[157]	NA
ilvY	100	33	27	0.29
inaA	369	234	19	1.49
infA	30461	5683	1283	1.83
infB	13806	2855	827	1.28
infC	22624	5470	5767	0.3
insA	[2]	[0]	[0]	NA
insB	[2]	[0]	[0]	NA
insC	[8]	[0]	[0]	NA
insD	[1]	[0]	[0]	NA
insE	[6]	[0]	[0]	NA
insF	[1]	[0]	[0]	NA
insG	195	57	15	1.02
insH	21	[0]	[2]	NA
insI	6	[0]	[0]	NA
insJ	41	[5]	[8]	NA
insK	26	5	[6]	NA
insL	[11]	[0]	[0]	NA
insQ	47	45	33	0.11
intA	286	232	25	0.87
intD	17	11	16	0.08
intE	[8]	10	[3]	NA
intF	651	293	29	1.74
intR	11	3	16	0.05
intS	264	111	22	0.94
intZ	54	44	13	0.33
iraD	[7]	44	[2]	NA
iraM	[14]	[1]	[2]	NA
iraP	350	1040	[16]	NA
iscA	5912	1974	731	0.62
iscR	5551	3324	318	1.34
iscS	13340	5500	620	1.66
iscU	13785	7019	587	1.81
iscX	4185	1140	340	0.95
ispA	950	294	132	0.55
ispB	2699	593	206	1.01
ispD	485	123	133	0.28
ispE	513	223	277	0.14
ispF	1249	445	148	0.65
ispG	1678	675	197	0.65
ispH	1585	409	120	1.02
ispU	830	318	235	0.27
ivbL	614	1526	291	0.16
ivy	1324	2267	52	1.96
katE	26	1967	[1]	NA
katG	2814	1908	126	1.71
kbaY	[7]	[2]	[1]	NA
kbaZ	12	5	[1]	NA
kbl	3729	97	213	1.35
kch	120	123	9	1
kdgK	2326	351	75	2.39
kdgR	2240	649	100	1.72
kdgT	[3]	[2]	[7]	NA
kdpA	[1]	[0]	[0]	NA
kdpB	[3]	3	[1]	NA
kdpC	[9]	[8]	[6]	NA
kdpD	68	40	13	0.41
kdpE	127	52	14	0.71
kdpF	[0]	[1]	[0]	NA
kdsA	6456	2596	227	2.19
kdsB	3374	899	198	1.31
kdsC	997	313	115	0.66
kdsD	751	470	103	0.56
kduD	177	68	[10]	NA
kduI	95	22	[6]	NA
kefA	744	122	64	0.89
kefB	32	26	13	0.19
kefC	58	39	9	0.52
kefF	101	91	[10]	NA
kefG	69	66	21	0.25
kgtP	4544	3937	445	0.79
kilR	[2]	[4]	[1]	NA
kptA	[8]	[6]	[4]	NA
kup	404	75	51	0.61
lacA	[17]	24	[1]	NA
lacI	265	129	25	0.82
lacY	[3]	[2]	[1]	NA
lacZ	31	10	[2]	NA
lamB	100	314	6	1.27
ldcA	380	179	21	1.4
ldcC	17	73	5	0.25
ldhA	2583	998	101	1.96
ldrA+ldrC	[0]	[1]	[0]	NA
ldrB	[0]	[0]	[7]	NA
ldrD	[14]	[8]	86	0.01
lepA	5939	987	316	1.44
lepB	1315	338	263	0.38
leuA	337	2685	26	0.99
leuB	662	3334	39	1.29
leuC	780	4284	36	1.65
leuD	1031	5305	45	1.78
leuE	324	14	30	0.83
leuL	1783	10282	470	0.29
leuO	[11]	11	[1]	NA
leuS	8069	2074	368	1.69
lexA	2752	645	200	1.06
lgt	1509	279	126	0.92
lhgO	[0]	24	[1]	NA
lhr	5	16	3	0.14
ligA	2004	292	100	1.54
ligB	[4]	[2]	[2]	NA
ligT	94	41	28	0.26
lipA	11920	1101	431	2.13
lipB	980	271	73	1.03
lit	84	151	[4]	NA
livF	331	1162	38	0.66
livG	215	819	31	0.53
livH	221	708	39	0.44
livJ	1694	22347	62	2.09
livK	845	3960	43	1.5
livM	176	527	37	0.36
lldD	445	316	18	1.9
lldP	44	33	11	0.31
lldR	61	26	16	0.3
lnt	442	128	71	0.48
lolA	1198	741	87	1.06
lolB	1417	782	56	1.96
lolC	346	140	63	0.42
lolD	817	337	67	0.94
lolE	321	124	65	0.38
lon	5477	1485	410	1.03
lpcA	4159	1650	196	1.63
lpd	44872	9566	2090	1.65
lplA	488	182	29	1.31
lplT	100	41	29	0.27
lpp	1191641	619492	40322	2.27
lptA	1666	853	153	0.84
lptB	1481	631	143	0.79
lptC	519	199	129	0.31
lptD	2267	1037	202	0.86
lptE	1403	522	349	0.31
lptF	946	209	152	0.48
lptG	775	166	142	0.42
lpxA	2545	754	695	0.28
lpxB	398	126	182	0.17
lpxC	5806	2844	901	0.5
lpxD	4225	982	637	0.51
lpxH	214	68	141	0.12
lpxK	264	57	86	0.24
lpxL	938	168	46	1.56
lpxM	787	315	50	1.2
lpxP	27	6	[5]	NA
lpxT	777	84	56	1.07
lrhA	962	174	84	0.88
lrp	4901	5813	261	1.44
lspA	1182	353	331	0.27
lsrA	[0]	[2]	[0]	NA
lsrB	[8]	28	[1]	NA
lsrC	[0]	[1]	[0]	NA
lsrD	[0]	[2]	[1]	NA
lsrF	20	37	[1]	NA
lsrG	[22]	51	[2]	NA
lsrK	[5]	12	[2]	NA
lsrR	83	44	[5]	NA
ltaE	684	516	36	1.45
luxS	9963	9292	304	2.52
lysA	1317	726	66	1.54
lysC	397	2887	42	0.73
lysP	2365	938	217	0.84
lysR	82	28	11	0.57
lysS	15890	2858	620	1.97
lysU	1644	315	64	1.97
lyxK	[1]	[1]	[2]	NA
maa	336	147	51	0.51
macA	224	134	17	1.01
macB	96	54	21	0.35
maeA	1331	861	64	1.6
maeB	1216	1019	60	1.55
mak	458	279	21	1.7
malE	652	682	21	2.43
malF	25	28	6	0.33
malG	42	40	[4]	NA
malI	102	30	[6]	NA
malK	31	61	[2]	NA
malM	131	282	[4]	NA
malP	744	744	31	1.86
malQ	222	220	24	0.72
malS	12	19	[3]	NA
malT	377	299	80	0.36
malX	61	12	6	0.72
malY	179	124	19	0.73
malZ	90	77	8	0.84
manA	1879	576	63	2.3
manX	2425	2117	182	1.03
manY	2694	2026	221	0.94
manZ	2624	1997	250	0.81
map	9464	2117	371	1.96
marA	1160	394	40	2.23
marB	266	29	39	0.53
marC	156	94	17	0.7
marR	88	20	22	0.3
matA	[4]	[0]	[1]	NA
matB	174	135	[4]	NA
matC	[5]	[2]	[1]	NA
matP	601	360	32	1.46
mazE	853	229	65	1.01
mazF	253	123	50	0.39
mazG	566	168	41	1.07
mcbA	[6]	128	[2]	NA
mcbR	[7]	56	[3]	NA
mcrA	100	47	[7]	NA
mcrB	334	123	20	1.28
mcrC	41	17	[7]	NA
mdaB	2863	850	76	2.92
mdfA	291	50	38	0.6
mdh	9529	16149	354	2.07
mdlA	75	20	25	0.23
mdlB	70	16	18	0.3
mdtA	93	40	10	0.73
mdtB	39	20	8	0.38
mdtC	24	11	6	0.33
mdtD	10	7	[4]	NA
mdtE	[7]	95	[1]	NA
mdtF	[3]	33	[2]	NA
mdtG	20	8	[4]	NA
mdtH	[8]	5	[2]	NA
mdtI	104	26	[12]	NA
mdtJ	96	32	[11]	NA
mdtK	670	135	55	0.93
mdtL	55	10	[7]	NA
mdtM	23	13	[5]	NA
mdtN	[0]	[0]	[0]	NA
mdtO	[0]	[0]	[0]	NA
mdtP	[0]	[0]	[1]	NA
melA	14	26	[4]	NA
melB	[3]	5	[2]	NA
melR	16	18	[3]	NA
menA	935	160	81	0.89
menB	3887	1235	126	2.37
menC	593	147	79	0.58
menD	166	44	30	0.43
menE	192	38	45	0.33
menF	165	67	34	0.37
menH	49	14	43	0.09
mepA	625	273	69	0.7
metA	318	1711	22	1.1
metB	183	745	55	0.26
metC	596	1256	23	1.96
metE	571	63552	19	2.25
metF	192	2849	12	1.24
metG	6555	1864	220	2.29
metH	559	753	39	1.1
metI	1092	340	203	0.41
metJ	6612	2317	253	2.01
metK	22856	7214	890	1.98
metL	972	581	71	1.05
metN	2315	754	173	1.03
metQ	7841	10568	313	1.93
metR	292	398	17	1.3
mfd	588	353	44	1.03
mglA	52	83	8	0.5
mglB	289	448	22	1.03
mglC	76	57	[8]	NA
mgrB	941	215	107	0.67
mgsA	3468	1567	111	2.41
mgtA	286	63	39	0.56
mgtL	3365	530	421	0.61
mhpA	[0]	3	[1]	NA
mhpB	[1]	[3]	[1]	NA
mhpC	15	26	[1]	NA
mhpD	[6]	10	[1]	NA
mhpE	15	18	[2]	NA
mhpF	14	15	[1]	NA
mhpR	191	225	[8]	NA
mhpT	[3]	4	[3]	NA
miaA	470	130	430	0.08
miaB	5163	1211	228	1.74
minC	857	364	153	0.43
minD	5358	2444	258	1.6
minE	3597	1970	267	1.04
mioC	2094	953	264	0.61
mipA	20925	5738	616	2.61
mlaA	3213	770	248	1
mlaB	1630	326	220	0.57
mlaC	5249	1923	234	1.73
mlaD	2239	478	189	0.91
mlaE	864	149	156	0.42
mlaF	1079	277	136	0.61
mliC	95	87	[8]	NA
mlrA	[1]	49	[2]	NA
mltA	901	286	97	0.71
mltB	926	274	35	2.01
mltC	392	148	46	0.66
mltD	761	644	183	0.32
mltF	70	22	17	0.32
mmuM	101	156	9	0.87
mmuP	39	64	[5]	NA
mngA	[0]	[1]	[0]	NA
mngB	18	12	3	0.44
mngR	292	93	19	1.19
mnmA	2192	608	183	0.92
mnmC	227	52	26	0.68
mnmE	1049	247	90	0.9
mnmG	2316	500	214	0.83
mntH	136	58	29	0.36
mntR	637	251	55	0.89
moaA	268	184	77	0.27
moaB	1348	1774	93	1.11
moaC	1266	551	98	1
moaD	1029	554	92	0.86
moaE	897	483	87	0.79
mobA	115	94	22	0.41
mobB	156	86	21	0.56
mocA	30	25	[3]	NA
modA	769	462	29	2.02
modB	56	27	23	0.19
modC	57	31	18	0.24
modE	653	158	27	1.88
modF	123	407	19	0.49
moeA	1323	496	62	1.63
moeB	325	107	54	0.46
mog	2026	353	98	1.58
mokB	[4]	[1]	[11]	NA
mokC	[0]	[0]	[0]	NA
motA	[1]	[2]	[1]	NA
motB	[2]	[1]	[1]	NA
mpaA	109	163	13	0.67
mpl	2560	500	162	1.21
mppA	461	202	31	1.13
mprA	14109	2625	408	2.66
mqo	1554	287	98	1.22
mqsA	448	319	38	0.9
mqsR	50	47	48	0.08
mraY	885	210	162	0.42
mraZ	203	123	264	0.06
mrcA	554	116	63	0.68
mrcB	521	139	74	0.54
mrdA	324	76	92	0.27
mrdB	435	103	95	0.35
mreB	11304	2393	548	1.59
mreC	738	176	231	0.25
mreD	367	71	136	0.21
mrp	5277	1391	216	1.88
mrr	426	184	39	0.85
msbA	1044	242	148	0.54
mscL	2802	2481	138	1.57
mscM	357	91	33	0.82
mscS	4271	2927	248	1.32
msrA	482	801	23	1.62
msrB	3069	2643	102	2.33
msyB	402	5249	[12]	NA
mtfA	151	230	14	0.83
mtgA	47	22	31	0.12
mtlA	419	197	40	0.81
mtlD	851	503	65	1.01
mtlR	232	99	58	0.31
mtn	6313	1802	249	1.95
mtr	66	43	12	0.43
mug	455	517	27	1.28
mukB	1215	356	138	0.68
mukE	995	263	124	0.62
mukF	633	204	112	0.43
murA	4855	887	296	1.26
murB	909	228	102	0.69
murC	1242	377	128	0.75
murD	885	394	133	0.51
murE	1147	398	172	0.51
murF	911	346	129	0.54
murG	518	168	94	0.42
murI	989	159	105	0.73
murJ	674	78	60	0.86
murP	29	6	7	0.3
murQ	286	76	12	1.8
murR	54	34	[5]	NA
mutH	119	37	15	0.61
mutL	160	77	73	0.17
mutM	684	86	59	0.89
mutS	1049	150	61	1.33
mutT	623	77	31	1.56
mutY	501	93	64	0.6
mzrA	468	164	58	0.62
nac	[0]	130	[1]	NA
nadA	4511	1359	210	1.65
nadB	2317	363	119	1.5
nadC	1072	465	40	2.05
nadD	318	100	45	0.55
nadE	3352	2198	92	2.79
nadK	218	173	23	0.73
nadR	416	231	54	0.59
nagA	487	213	59	0.64
nagB	1391	687	51	2.11
nagC	505	224	60	0.65
nagD	2085	709	109	1.48
nagE	1222	213	101	0.93
nagK	177	131	55	0.25
nagZ	873	303	61	1.11
nanA	319	59	9	2.69
nanC	[0]	[0]	[1]	NA
nanE	93	39	[7]	NA
nanK	43	14	[6]	NA
nanM	53	128	[3]	NA
nanR	498	273	46	0.83
nanS	13	17	[2]	NA
nanT	[3]	[2]	[2]	NA
napA	165	57	12	1.08
napB	168	56	[12]	NA
napC	74	18	17	0.33
napD	[28]	[8]	[9]	NA
napF	[10]	[3]	[7]	NA
napG	22	8	[11]	NA
napH	20	6	[7]	NA
narG	3	14	[1]	NA
narH	[8]	16	[3]	NA
narI	[20]	22	[3]	NA
narJ	[5]	9	[3]	NA
narK	[1]	6	[1]	NA
narL	1667	1224	46	2.8
narP	1731	356	90	1.48
narQ	38	12	8	0.35
narU	[0]	14	[0]	NA
narV	[7]	20	[2]	NA
narW	[1]	13	[0]	NA
narX	64	47	19	0.26
narY	[3]	26	[1]	NA
narZ	4	25	[1]	NA
ndh	13264	925	453	2.25
ndk	44876	9782	947	3.65
nei	248	93	22	0.86
nemA	514	220	21	1.86
nemR	90	27	[11]	NA
nepI	168	37	16	0.8
nfi	169	229	62	0.21
nfo	1041	436	39	2.07
nfrA	50	19	9	0.43
nfrB	[6]	[1]	5	0.1
nfsA	1916	646	61	2.4
nfsB	6231	2448	143	3.35
nfuA	15911	4329	378	3.24
nhaA	1046	131	76	1.06
nhaB	1060	187	72	1.14
nhaR	141	68	25	0.43
nhoA	53	60	[3]	NA
nikA	30	10	[2]	NA
nikB	[6]	[3]	[2]	NA
nikC	[14]	[1]	[2]	NA
nikD	[15]	[4]	[2]	NA
nikE	[13]	[5]	[3]	NA
nikR	758	401	21	2.75
ninE	[0]	[0]	[0]	NA
nirB	17	17	[3]	NA
nirC	116	34	12	0.77
nirD	[23]	17	[2]	NA
nlpA	272	2248	17	1.26
nlpC	495	371	54	0.71
nlpD	1349	695	214	0.48
nlpE	484	276	34	1.11
nlpI	389	208	653	0.05
nohD	[6]	[2]	[2]	NA
norR	88	36	13	0.53
norV	[0]	4	[2]	NA
norW	[2]	[3]	[1]	NA
npr	389	195	50	0.6
nrdA	6667	904	321	1.6
nrdB	4414	954	289	1.17
nrdD	256	92	16	1.25
nrdE	62	30	10	0.47
nrdF	88	42	[8]	NA
nrdG	[25]	13	[9]	NA
nrdH	735	402	[29]	NA
nrdI	63	20	23	0.21
nrdR	802	354	135	0.46
nrfA	[6]	4	[2]	NA
nrfB	[1]	[3]	[2]	NA
nrfC	[1]	[2]	[1]	NA
nrfD	[1]	[1]	[1]	NA
nrfE	[0]	[0]	[2]	NA
nrfF	[0]	[3]	[2]	NA
nrfG	[0]	[2]	[2]	NA
nsrR	426	168	91	0.36
nth	542	188	41	1.01
nudB	288	72	357	0.06
nudC	593	318	39	1.17
nudE	1130	428	128	0.68
nudF	704	223	47	1.16
nudG	381	107	[17]	NA
nudI	196	68	[9]	NA
nudJ	380	138	35	0.84
nudK	326	215	14	1.77
nudL	110	143	21	0.4
nuoA	3084	1083	304	0.78
nuoB	4225	1617	399	0.81
nuoC	3010	1164	333	0.7
nuoE	3963	1650	356	0.86
nuoF	2470	1034	333	0.57
nuoG	2657	1173	352	0.58
nuoH	1631	626	350	0.36
nuoI	2352	926	295	0.61
nuoJ	1336	529	345	0.3
nuoK	1352	592	294	0.35
nuoL	1634	510	326	0.39
nuoM	2158	576	258	0.64
nuoN	2545	682	287	0.68
nupC	2588	484	181	1.1
nupG	230	49	21	0.86
nupX	[0]	[1]	[1]	NA
nusA	10864	2195	697	1.2
nusB	6870	1081	471	1.12
nusG	18635	3487	1280	1.12
obgE	4571	522	292	1.2
ogrK	1104	323	[29]	NA
ogt	163	94	[11]	NA
ompA	207618	69396	7571	2.11
ompC	163538	52929	4911	2.56
ompF	88988	71798	2771	2.47
ompG	[0]	[1]	[0]	NA
ompL	[1]	[1]	[0]	NA
ompN	4	2	[3]	NA
ompR	2248	865	109	1.58
ompT	40237	24644	1214	2.55
ompW	331	151	[11]	NA
ompX	125295	22947	2851	3.38
opgB	450	84	65	0.53
opgC	257	44	22	0.89
opgD	596	259	42	1.1
opgG	4229	1637	183	1.78
opgH	1234	304	173	0.55
oppA	21419	6516	809	2.04
oppB	2694	318	392	0.53
oppC	2612	261	382	0.53
oppD	3522	474	363	0.75
oppF	3935	485	356	0.85
orn	3846	825	97	3.06
osmB	1297	1573	[33]	NA
osmC	431	4306	[17]	NA
osmE	1466	10048	49	2.3
osmF	19	410	[2]	NA
osmY	864	8781	21	3.13
otsA	43	685	[3]	NA
otsB	[4]	201	[1]	NA
oxc	8	8	[1]	NA
oxyR	1867	726	103	1.4
paaA	[2]	[3]	[1]	NA
paaB	[4]	[3]	[1]	NA
paaC	[1]	[3]	[0]	NA
paaD	[1]	[1]	[0]	NA
paaE	[7]	8	[1]	NA
paaF	[2]	[3]	[1]	NA
paaG	[5]	[4]	[1]	NA
paaH	[2]	[3]	[1]	NA
paaI	[5]	[6]	[1]	NA
paaJ	[6]	8	[3]	NA
paaK	[8]	15	[3]	NA
paaX	177	140	13	1.05
paaY	222	213	16	1.06
paaZ	[4]	[2]	[0]	NA
pabA	380	80	35	0.82
pabB	363	124	23	1.23
pabC	82	75	33	0.19
pagP	[16]	[6]	[1]	NA
pal	64020	17960	1725	2.85
panB	7878	2859	197	3.08
panC	3635	1425	237	1.18
panD	15147	5227	516	2.26
panE	589	205	46	0.99
panF	382	29	72	0.41
paoA	[0]	14	[1]	NA
paoB	[1]	12	[1]	NA
paoC	[1]	13	[1]	NA
