gene	protein_synthesis_rate__molecules_per_generation__MOPS_complete	protein_synthesis_rate__molecules_per_generation__MOPS_minimal	mrna_level__RPKM	translation_efficiency
cbl	[6]	372	[1]	NA
cbpA	508	583	22	1.77
cbpM	477	548	29	1.27
cbrA	[9]	[2]	[3]	NA
cbrB	32	[7]	[7]	NA
cbrC	57	23	[13]	NA
cca	258	122	42	0.47
ccmA	34	23	[11]	NA
ccmB	25	12	[11]	NA
ccmC	171	65	21	0.63
ccmD	211	76	[21]	NA
ccmE	159	58	20	0.62
ccmF	48	14	16	0.23
ccmG	73	27	[13]	NA
ccmH	83	34	15	0.43
cdaR	[9]	7	[6]	NA
cdd	313	287	16	1.47
cdh	527	58	40	1.01
cdsA	735	182	213	0.27
cedA	663	139	[32]	NA
cfa	1049	1715	67	1.2
chaA	432	197	45	0.73
chaB	81	406	[3]	NA
chaC	19	25	[11]	NA
chbA	99	41	[7]	NA
chbB	264	158	[15]	NA
chbC	14	3	[6]	NA
chbF	20	10	[2]	NA
chbG	33	36	[8]	NA
chbR	15	27	[4]	NA
cheA	20	13	[2]	NA
cheB	[1]	[1]	[1]	NA
cheR	[0]	[1]	[0]	NA
cheW	89	48	[4]	NA
cheY	66	46	[2]	NA
cheZ	41	37	[3]	NA
chiA	97	30	10	0.74
chiP	[3]	[0]	[3]	NA
chiQ	[2]	[2]	[5]	NA
cho	110	53	[7]	NA
chpB	111	47	30	0.29
chpS	421	252	[23]	NA
cirA	79	79	8	0.78
citC	[0]	[0]	[0]	NA
citD	[0]	[1]	[0]	NA
citE	[0]	[0]	[0]	NA
citF	[1]	[0]	[1]	NA
citG	[0]	[0]	[0]	NA
citT	[2]	[0]	[2]	NA
citX	[0]	[0]	[0]	NA
clcA	137	50	27	0.39
clcB	35	10	[5]	NA
cld	6206	1434	412	1.16
clpA	989	2420	108	0.7
clpB	3312	1421	230	1.11
clpP	6334	3256	385	1.26
clpS	514	304	80	0.5
clpX	5857	2475	479	0.94
cls	336	252	46	0.56
cmk	1997	536	420	0.37
cmoA	1571	317	104	1.16
cmoB	1115	209	101	0.85
cmtA	[0]	[0]	[1]	NA
cmtB	[0]	[2]	[0]	NA
cnu	1001	186	39	2
coaA	1020	327	66	1.18
coaD	1201	323	88	1.06
coaE	283	133	80	0.27
cobB	827	572	49	1.31
cobC	45	24	22	0.16
cobS	382	149	33	0.9
cobT	186	109	26	0.55
cobU	102	52	24	0.32
codA	1426	2303	71	1.54
codB	587	1466	56	0.8
cof	48	35	12	0.31
cohE	697	223	67	0.8
copA	117	922	17	0.52
corA	1650	463	171	0.74
cpdA	394	153	142	0.21
cpdB	479	207	20	1.87
cpsB	[3]	4	[1]	NA
cpsG	[10]	8	[1]	NA
cpxA	328	106	76	0.33
cpxP	279	120	79	0.27
cpxR	2893	1543	151	1.48
crcB	798	223	34	1.79
creA	1423	489	70	1.57
creB	149	64	45	0.25
creC	35	17	13	0.2
