gene	ribosome initiation rate (ribosome/s)	mrna_RPKM
bhsA	0.4519552457	148.15
cobB	0.2258385266	129.59
icd	0.3951884278	5110.97
icdC	0.5600654262	4100.31
bluR	0.0917563098	242.63
ycgJ	0.6048690584	62.58
pliG	0.5141847867	896.20
ycgL	0.1272176168	697.24
ycgM	0.2301504632	775.49
ycgN	0.2190394649	124.12
nhaB	0.1167164274	76.64
ldcA	0.2974363893	81.35
ychF	0.310753304	894.59
pth	0.4805225505	236.88
ychH	0.2575827608	667.66
prs	0.1239662961	1095.76
rssA	0.087742269	57.38
galU	0.249412619	524.73
hns	0.7757937669	7326.71
tdk	0.9495571666	82.61
adhE	0.3391759409	463.90
ychE	0.1511936695	79.93
yciY	0.0529492654	1252.53
yciI	0.5388491665	462.49
ompW	0.8076020489	237.61
topA	0.0731660216	183.88
cysB	1.2346458265	162.27
acnA	0.158463725	111.60
ribA	0.2678333373	345.04
pgpB	0.0375411502	86.61
osmB	0.4375138311	828.69
yciT	0.269203896	83.48
yciZ	0.257896973	87.50
rnb	0.2329835046	271.50
fabI	0.2948219604	1831.54
ymjA	0.7655774589	77.31
puuA	0.1569863782	85.76
pspA	0.0164746258	655.72
pspE	0.3144461649	732.91
fnr	0.1812022085	1204.09
ydaN	0.0826512936	63.40
racR	0.195235674	200.46
uspF	0.8408771369	532.06
ldhA	0.3225224699	221.18
azoR	1.077712462	169.56
hrpA	0.0944275673	56.53
ydcF	0.3264173021	159.55
aldA	0.283072195	905.27
ydcA	0.165469575	97.49
opgD	0.1055445721	71.04
ydcH	0.4615499201	83.33
ydcL	0.1875103183	97.69
yncJ	0.44686829	206.31
yncL	0.0632147109	72.49
yncE	0.1116211411	82.48
yddM	0.0421547714	219.34
maeA	0.1859415173	208.94
sra	1.1060859637	109.10
osmC	0.4222075099	444.30
sad	0.2009653808	59.62
ydfG	0.3106129294	579.23
rspR	0.0515241872	86.52
gnsB	2.1459721611	426.17
cspI	0.0949604823	191.25
cspB	0.0148659657	1203.62
cspF	0.0216678844	87.54
hokD	0.015367115	935.67
dicA	0.4210845238	228.86
ydgH	0.3619166684	911.04
fumA	0.1942858008	708.63
manA	0.3803166567	199.26
ydgA	0.1465098556	222.87
uidR	0.0893708317	72.75
hdhA	0.5873450991	134.35
blr	1.2870619399	392.64
cnu	0.4734356401	145.18
ydgK	0.0569889273	107.58
tyrS	0.1109371243	833.44
pdxH	0.4637935974	108.83
mliC	0.3635550781	159.41
anmK	0.0997135304	84.38
gloA	0.8288209346	542.43
sodB	1.0332667483	2933.67
ydhP	0.0822143042	61.88
ynhF	0.1609664829	952.17
ydhR	0.2580211795	894.74
ydhZ	0.0442276116	142.25
pykF	0.4659365928	452.87
lpp	0.2759636966	81675.83
ynhG	0.1279542404	60.02
rydB	0.0467912758	448.01
ydiH	3.4023845683	59.11
ydiK	0.1402383357	139.30
rprA	0.0105432388	3548.89
aroH	0.2545079369	93.99
nlpC	0.1447352048	490.24
rplT	0.130537383	17522.37
rpmI	0.2529261355	19980.26
ydiY	0.326701057	244.95
pfkB	0.4752059818	155.59
ydiZ	0.4512549599	66.56
yniC	0.3241052955	136.77
cedA	0.7591260075	66.58
chbB	0.4912715472	90.53
osmE	0.360990863	364.69
nadE	0.3450304693	243.37
spy	0.4644587089	184.69
xthA	0.1210445667	462.93
gdhA	0.3158008133	512.45
ydjA	0.1590517191	605.07
sppA	0.0942048259	67.59
ydjF	0.1354256286	58.05
gapA	0.6190168301	6648.79
